force,displacement,judge,name
0,0,0,Aflion Black and Orange
0.1,0,0,Aflion Black and Orange
-0.1,0,0,Aflion Black and Orange
-0.1,0,0,Aflion Black and Orange
0,0,0,Aflion Black and Orange
0,0,0,Aflion Black and Orange
0,0,0,Aflion Black and Orange
-0.1,0,0,Aflion Black and Orange
0.1,0,0,Aflion Black and Orange
0.2,0,0,Aflion Black and Orange
0.1,0,0,Aflion Black and Orange
0,0,0,Aflion Black and Orange
0.1,0,0,Aflion Black and Orange
0.1,0,0,Aflion Black and Orange
-0.1,0,0,Aflion Black and Orange
-0.1,0,0,Aflion Black and Orange
0.1,0,0,Aflion Black and Orange
0,0,0,Aflion Black and Orange
-0.2,0,0,Aflion Black and Orange
0,0,0,Aflion Black and Orange
0.1,0,0,Aflion Black and Orange
0,0,0,Aflion Black and Orange
-0.2,0,0,Aflion Black and Orange
-0.1,0,0,Aflion Black and Orange
0.1,0,0,Aflion Black and Orange
0,0.005,0,Aflion Black and Orange
-0.1,0.005,0,Aflion Black and Orange
-0.1,0.01,0,Aflion Black and Orange
0,0.015,0,Aflion Black and Orange
0,0.02,0,Aflion Black and Orange
-0.1,0.025,0,Aflion Black and Orange
-0.1,0.03,0,Aflion Black and Orange
-0.1,0.035,0,Aflion Black and Orange
0.1,0.045,0,Aflion Black and Orange
0,0.05,0,Aflion Black and Orange
-0.1,0.06,0,Aflion Black and Orange
-0.1,0.07,0,Aflion Black and Orange
0.1,0.075,0,Aflion Black and Orange
0.1,0.085,0,Aflion Black and Orange
-0.2,0.095,0,Aflion Black and Orange
-0.1,0.1,0,Aflion Black and Orange
0.2,0.105,0,Aflion Black and Orange
0,0.115,0,Aflion Black and Orange
-0.1,0.12,0,Aflion Black and Orange
-0.1,0.125,0,Aflion Black and Orange
0.1,0.13,0,Aflion Black and Orange
0,0.135,0,Aflion Black and Orange
-0.2,0.14,0,Aflion Black and Orange
-0.1,0.145,0,Aflion Black and Orange
0,0.15,0,Aflion Black and Orange
0,0.155,0,Aflion Black and Orange
-0.1,0.165,0,Aflion Black and Orange
-0.1,0.17,0,Aflion Black and Orange
-0.1,0.175,0,Aflion Black and Orange
0,0.18,0,Aflion Black and Orange
-0.1,0.185,0,Aflion Black and Orange
-0.1,0.195,0,Aflion Black and Orange
-0.2,0.2,0,Aflion Black and Orange
-0.1,0.205,0,Aflion Black and Orange
0,0.21,0,Aflion Black and Orange
0,0.22,0,Aflion Black and Orange
-0.1,0.23,0,Aflion Black and Orange
0,0.235,0,Aflion Black and Orange
-0.1,0.245,0,Aflion Black and Orange
