force,displacement,judge,name
-0.1,0,0,Aflion Blush
0,0,0,Aflion Blush
0,0,0,Aflion Blush
0.1,0,0,Aflion Blush
0.1,0,0,Aflion Blush
-0.1,0,0,Aflion Blush
-0.2,0,0,Aflion Blush
0,0,0,Aflion Blush
0,0,0,Aflion Blush
0,0,0,Aflion Blush
-0.1,0,0,Aflion Blush
-1.3,0,0,Aflion Blush
-0.1,0,0,Aflion Blush
0.1,0,0,Aflion Blush
0,0,0,Aflion Blush
-0.1,0,0,Aflion Blush
0,0,0,Aflion Blush
0,0,0,Aflion Blush
0.1,0,0,Aflion Blush
-0.1,0.005,0,Aflion Blush
0,0.005,0,Aflion Blush
-0.3,0.01,0,Aflion Blush
-0.1,0.02,0,Aflion Blush
0,0.03,0,Aflion Blush
-0.2,0.045,0,Aflion Blush
-0.1,0.055,0,Aflion Blush
0.1,0.06,0,Aflion Blush
-0.1,0.065,0,Aflion Blush
-0.2,0.075,0,Aflion Blush
-0.1,0.08,0,Aflion Blush
0,0.09,0,Aflion Blush
-0.2,0.095,0,Aflion Blush
0,0.11,0,Aflion Blush
0,0.12,0,Aflion Blush
0,0.12,0,Aflion Blush
-0.1,0.13,0,Aflion Blush
0,0.14,0,Aflion Blush
0,0.145,0,Aflion Blush
-0.1,0.15,0,Aflion Blush
-0.1,0.16,0,Aflion Blush
-0.1,0.175,0,Aflion Blush
9.3,0.185,0,Aflion Blush
17.9,0.195,0,Aflion Blush
23.6,0.2,0,Aflion Blush
28,0.205,0,Aflion Blush
32.7,0.21,0,Aflion Blush
38.3,0.215,0,Aflion Blush
43.1,0.22,0,Aflion Blush
45.8,0.225,0,Aflion Blush
46.1,0.23,0,Aflion Blush
46.7,0.23,0,Aflion Blush
47,0.23,0,Aflion Blush
47.8,0.235,0,Aflion Blush
47.4,0.24,0,Aflion Blush
47.1,0.245,0,Aflion Blush
47,0.25,0,Aflion Blush
47,0.25,0,Aflion Blush
47,0.255,0,Aflion Blush
47.1,0.26,0,Aflion Blush
47,0.265,0,Aflion Blush
46.9,0.265,0,Aflion Blush
46.7,0.27,0,Aflion Blush
46.8,0.275,0,Aflion Blush
46.6,0.28,0,Aflion Blush
46.6,0.28,0,Aflion Blush
46.4,0.285,0,Aflion Blush
46.3,0.29,0,Aflion Blush
46.4,0.29,0,Aflion Blush
46.4,0.295,0,Aflion Blush
46.1,0.3,0,Aflion Blush
46.2,0.305,0,Aflion Blush
46.3,0.31,0,Aflion Blush
46.3,0.31,0,Aflion Blush
46.4,0.315,0,Aflion Blush
46.3,0.325,0,Aflion Blush
46.1,0.33,0,Aflion Blush
46,0.335,0,Aflion Blush
46.1,0.34,0,Aflion Blush
46,0.345,0,Aflion Blush
46.2,0.35,0,Aflion Blush
46.4,0.36,0,Aflion Blush
46.4,0.37,0,Aflion Blush
46.5,0.375,0,Aflion Blush
46.5,0.385,0,Aflion Blush
46.5,0.39,0,Aflion Blush
46.4,0.395,0,Aflion Blush
46.4,0.395,0,Aflion Blush
46.6,0.4,0,Aflion Blush
46.5,0.405,0,Aflion Blush
46.4,0.41,0,Aflion Blush
46.3,0.415,0,Aflion Blush
46.3,0.415,0,Aflion Blush
46.2,0.42,0,Aflion Blush
46.1,0.42,0,Aflion Blush
46.3,0.425,0,Aflion Blush
46.2,0.43,0,Aflion Blush
46.1,0.43,0,Aflion Blush
46,0.43,0,Aflion Blush
46.1,0.435,0,Aflion Blush
46,0.435,0,Aflion Blush
46.1,0.435,0,Aflion Blush
46.1,0.44,0,Aflion Blush
46.1,0.44,0,Aflion Blush
46,0.445,0,Aflion Blush
46,0.445,0,Aflion Blush
46,0.45,0,Aflion Blush
46,0.45,0,Aflion Blush
46,0.455,0,Aflion Blush
46.2,0.455,0,Aflion Blush
46.4,0.46,0,Aflion Blush
46.1,0.465,0,Aflion Blush
46.2,0.47,0,Aflion Blush
46.3,0.47,0,Aflion Blush
46.2,0.475,0,Aflion Blush
46.2,0.48,0,Aflion Blush
46.4,0.48,0,Aflion Blush
46.3,0.485,0,Aflion Blush
46.4,0.49,0,Aflion Blush
46.5,0.495,0,Aflion Blush
46.4,0.495,0,Aflion Blush
46.6,0.5,0,Aflion Blush
46.6,0.505,0,Aflion Blush
46.8,0.51,0,Aflion Blush
46.7,0.51,0,Aflion Blush
46.7,0.515,0,Aflion Blush
46.7,0.52,0,Aflion Blush
46.7,0.52,0,Aflion Blush
46.8,0.525,0,Aflion Blush
46.9,0.525,0,Aflion Blush
46.9,0.53,0,Aflion Blush
46.9,0.535,0,Aflion Blush
46.8,0.535,0,Aflion Blush
46.9,0.54,0,Aflion Blush
46.8,0.545,0,Aflion Blush
46.9,0.545,0,Aflion Blush
46.9,0.55,0,Aflion Blush
46.9,0.55,0,Aflion Blush
47,0.555,0,Aflion Blush
46.9,0.555,0,Aflion Blush
47.1,0.56,0,Aflion Blush
47,0.565,0,Aflion Blush
47,0.565,0,Aflion Blush
47,0.57,0,Aflion Blush
47.2,0.575,0,Aflion Blush
47.1,0.575,0,Aflion Blush
47.3,0.58,0,Aflion Blush
47.3,0.58,0,Aflion Blush
47.3,0.585,0,Aflion Blush
47.2,0.59,0,Aflion Blush
47.3,0.59,0,Aflion Blush
47.3,0.595,0,Aflion Blush
47.4,0.595,0,Aflion Blush
47.3,0.6,0,Aflion Blush
47.3,0.605,0,Aflion Blush
47.3,0.605,0,Aflion Blush
47.4,0.61,0,Aflion Blush
47.4,0.61,0,Aflion Blush
47.5,0.615,0,Aflion Blush
47.6,0.615,0,Aflion Blush
47.6,0.62,0,Aflion Blush
47.5,0.62,0,Aflion Blush
47.7,0.625,0,Aflion Blush
47.7,0.63,0,Aflion Blush
47.8,0.635,0,Aflion Blush
47.8,0.635,0,Aflion Blush
47.8,0.64,0,Aflion Blush
47.7,0.645,0,Aflion Blush
47.7,0.65,0,Aflion Blush
47.8,0.65,0,Aflion Blush
47.9,0.655,0,Aflion Blush
47.9,0.66,0,Aflion Blush
48,0.66,0,Aflion Blush
48,0.665,0,Aflion Blush
48,0.67,0,Aflion Blush
48,0.67,0,Aflion Blush
47.9,0.675,0,Aflion Blush
47.8,0.68,0,Aflion Blush
48.1,0.68,0,Aflion Blush
48,0.685,0,Aflion Blush
48.1,0.69,0,Aflion Blush
48.1,0.695,0,Aflion Blush
48,0.695,0,Aflion Blush
48,0.7,0,Aflion Blush
48,0.7,0,Aflion Blush
48,0.705,0,Aflion Blush
48.1,0.705,0,Aflion Blush
48.2,0.71,0,Aflion Blush
48.1,0.715,0,Aflion Blush
48.4,0.72,0,Aflion Blush
48.4,0.725,0,Aflion Blush
48.3,0.73,0,Aflion Blush
48.2,0.73,0,Aflion Blush
48.4,0.735,0,Aflion Blush
48.5,0.74,0,Aflion Blush
48.5,0.745,0,Aflion Blush
48.4,0.745,0,Aflion Blush
48.6,0.75,0,Aflion Blush
48.5,0.755,0,Aflion Blush
48.6,0.76,0,Aflion Blush
