force,displacement,judge,name
0.1,0,0,Aflion Holy Panda
0,0,0,Aflion Holy Panda
-0.1,0,0,Aflion Holy Panda
0.1,0,0,Aflion Holy Panda
0.2,0,0,Aflion Holy Panda
0,0,0,Aflion Holy Panda
0,0,0,Aflion Holy Panda
0,0,0,Aflion Holy Panda
0,0,0,Aflion Holy Panda
0.2,0,0,Aflion Holy Panda
0.1,0,0,Aflion Holy Panda
-0.1,0,0,Aflion Holy Panda
-0.1,0,0,Aflion Holy Panda
0.1,0,0,Aflion Holy Panda
0.2,0,0,Aflion Holy Panda
0,0,0,Aflion Holy Panda
-0.1,0,0,Aflion Holy Panda
0.1,0,0,Aflion Holy Panda
0.2,0,0,Aflion Holy Panda
0,0,0,Aflion Holy Panda
-0.1,0,0,Aflion Holy Panda
0,0.005,0,Aflion Holy Panda
0,0.005,0,Aflion Holy Panda
0,0.005,0,Aflion Holy Panda
0.2,0.005,0,Aflion Holy Panda
-0.1,0.005,0,Aflion Holy Panda
-0.1,0.01,0,Aflion Holy Panda
0,0.01,0,Aflion Holy Panda
0.1,0.015,0,Aflion Holy Panda
0,0.02,0,Aflion Holy Panda
-0.1,0.03,0,Aflion Holy Panda
0.1,0.04,0,Aflion Holy Panda
-0.1,0.05,0,Aflion Holy Panda
0,0.055,0,Aflion Holy Panda
0.1,0.065,0,Aflion Holy Panda
0.1,0.07,0,Aflion Holy Panda
0,0.08,0,Aflion Holy Panda
0,0.09,0,Aflion Holy Panda
0,0.1,0,Aflion Holy Panda
0,0.11,0,Aflion Holy Panda
0,0.12,0,Aflion Holy Panda
0,0.13,0,Aflion Holy Panda
0,0.14,0,Aflion Holy Panda
0,0.145,0,Aflion Holy Panda
0,0.15,0,Aflion Holy Panda
0,0.16,0,Aflion Holy Panda
0,0.165,0,Aflion Holy Panda
0,0.17,0,Aflion Holy Panda
0.1,0.175,0,Aflion Holy Panda
0.1,0.185,0,Aflion Holy Panda
0,0.19,0,Aflion Holy Panda
0.1,0.195,0,Aflion Holy Panda
0.1,0.2,0,Aflion Holy Panda
0,0.205,0,Aflion Holy Panda
-0.1,0.21,0,Aflion Holy Panda
0.1,0.22,0,Aflion Holy Panda
3.8,0.225,0,Aflion Holy Panda
10.2,0.23,0,Aflion Holy Panda
16.3,0.24,0,Aflion Holy Panda
21.8,0.245,0,Aflion Holy Panda
26.3,0.25,0,Aflion Holy Panda
30.1,0.255,0,Aflion Holy Panda
32.9,0.255,0,Aflion Holy Panda
34.9,0.26,0,Aflion Holy Panda
37.2,0.26,0,Aflion Holy Panda
40,0.265,0,Aflion Holy Panda
43,0.27,0,Aflion Holy Panda
45.9,0.27,0,Aflion Holy Panda
47.6,0.275,0,Aflion Holy Panda
48.2,0.28,0,Aflion Holy Panda
48.1,0.285,0,Aflion Holy Panda
48.1,0.285,0,Aflion Holy Panda
48.2,0.29,0,Aflion Holy Panda
48.3,0.29,0,Aflion Holy Panda
48.3,0.295,0,Aflion Holy Panda
48.4,0.295,0,Aflion Holy Panda
48.5,0.3,0,Aflion Holy Panda
48.6,0.3,0,Aflion Holy Panda
48.6,0.305,0,Aflion Holy Panda
48.6,0.31,0,Aflion Holy Panda
48.7,0.31,0,Aflion Holy Panda
48.7,0.315,0,Aflion Holy Panda
48.8,0.32,0,Aflion Holy Panda
48.9,0.325,0,Aflion Holy Panda
48.8,0.33,0,Aflion Holy Panda
48.8,0.335,0,Aflion Holy Panda
48.9,0.34,0,Aflion Holy Panda
49,0.345,0,Aflion Holy Panda
49.1,0.35,0,Aflion Holy Panda
49.3,0.355,0,Aflion Holy Panda
49.4,0.36,0,Aflion Holy Panda
49.5,0.365,0,Aflion Holy Panda
49.6,0.365,0,Aflion Holy Panda
49.6,0.37,0,Aflion Holy Panda
49.6,0.375,0,Aflion Holy Panda
49.6,0.38,0,Aflion Holy Panda
49.6,0.38,0,Aflion Holy Panda
49.7,0.385,0,Aflion Holy Panda
49.8,0.39,0,Aflion Holy Panda
49.7,0.395,0,Aflion Holy Panda
49.8,0.395,0,Aflion Holy Panda
49.8,0.4,0,Aflion Holy Panda
49.8,0.405,0,Aflion Holy Panda
49.8,0.41,0,Aflion Holy Panda
49.8,0.41,0,Aflion Holy Panda
50,0.415,0,Aflion Holy Panda
50,0.42,0,Aflion Holy Panda
50,0.425,0,Aflion Holy Panda
50,0.43,0,Aflion Holy Panda
50,0.435,0,Aflion Holy Panda
50.1,0.44,0,Aflion Holy Panda
50.2,0.445,0,Aflion Holy Panda
50.3,0.445,0,Aflion Holy Panda
50.3,0.45,0,Aflion Holy Panda
50.4,0.455,0,Aflion Holy Panda
50.5,0.46,0,Aflion Holy Panda
50.6,0.465,0,Aflion Holy Panda
50.6,0.465,0,Aflion Holy Panda
50.7,0.47,0,Aflion Holy Panda
50.7,0.47,0,Aflion Holy Panda
50.8,0.475,0,Aflion Holy Panda
50.9,0.48,0,Aflion Holy Panda
50.9,0.48,0,Aflion Holy Panda
50.9,0.485,0,Aflion Holy Panda
50.8,0.49,0,Aflion Holy Panda
50.8,0.495,0,Aflion Holy Panda
50.8,0.5,0,Aflion Holy Panda
50.9,0.505,0,Aflion Holy Panda
50.8,0.51,0,Aflion Holy Panda
50.9,0.51,0,Aflion Holy Panda
50.9,0.515,0,Aflion Holy Panda
51,0.52,0,Aflion Holy Panda
51,0.525,0,Aflion Holy Panda
51,0.53,0,Aflion Holy Panda
50.9,0.535,0,Aflion Holy Panda
50.9,0.54,0,Aflion Holy Panda
50.9,0.54,0,Aflion Holy Panda
51.1,0.545,0,Aflion Holy Panda
51.1,0.55,0,Aflion Holy Panda
51.1,0.55,0,Aflion Holy Panda
51.1,0.555,0,Aflion Holy Panda
51.1,0.56,0,Aflion Holy Panda
51.2,0.565,0,Aflion Holy Panda
51.2,0.57,0,Aflion Holy Panda
51.1,0.58,0,Aflion Holy Panda
51.1,0.585,0,Aflion Holy Panda
51,0.59,0,Aflion Holy Panda
50.9,0.595,0,Aflion Holy Panda
50.8,0.6,0,Aflion Holy Panda
50.8,0.605,0,Aflion Holy Panda
50.8,0.605,0,Aflion Holy Panda
50.8,0.61,0,Aflion Holy Panda
50.8,0.61,0,Aflion Holy Panda
50.9,0.615,0,Aflion Holy Panda
50.8,0.62,0,Aflion Holy Panda
50.8,0.62,0,Aflion Holy Panda
50.7,0.625,0,Aflion Holy Panda
50.9,0.63,0,Aflion Holy Panda
50.8,0.63,0,Aflion Holy Panda
50.8,0.635,0,Aflion Holy Panda
50.8,0.64,0,Aflion Holy Panda
50.8,0.64,0,Aflion Holy Panda
50.8,0.645,0,Aflion Holy Panda
50.9,0.65,0,Aflion Holy Panda
50.9,0.655,0,Aflion Holy Panda
50.9,0.66,0,Aflion Holy Panda
50.8,0.66,0,Aflion Holy Panda
50.9,0.665,0,Aflion Holy Panda
50.8,0.67,0,Aflion Holy Panda
50.8,0.675,0,Aflion Holy Panda
50.8,0.675,0,Aflion Holy Panda
50.9,0.68,0,Aflion Holy Panda
50.9,0.685,0,Aflion Holy Panda
50.9,0.69,0,Aflion Holy Panda
50.9,0.69,0,Aflion Holy Panda
50.8,0.695,0,Aflion Holy Panda
50.9,0.7,0,Aflion Holy Panda
50.9,0.7,0,Aflion Holy Panda
50.9,0.705,0,Aflion Holy Panda
50.9,0.705,0,Aflion Holy Panda
50.9,0.71,0,Aflion Holy Panda
51,0.715,0,Aflion Holy Panda
51,0.72,0,Aflion Holy Panda
51,0.72,0,Aflion Holy Panda
51,0.725,0,Aflion Holy Panda
51,0.73,0,Aflion Holy Panda
51,0.735,0,Aflion Holy Panda
51,0.74,0,Aflion Holy Panda
50.9,0.745,0,Aflion Holy Panda
51,0.75,0,Aflion Holy Panda
50.9,0.755,0,Aflion Holy Panda
50.8,0.76,0,Aflion Holy Panda
50.7,0.765,0,Aflion Holy Panda
50.6,0.77,0,Aflion Holy Panda
50.8,0.775,0,Aflion Holy Panda
50.7,0.78,0,Aflion Holy Panda
50.6,0.785,0,Aflion Holy Panda
50.6,0.79,0,Aflion Holy Panda
50.7,0.795,0,Aflion Holy Panda
50.7,0.805,0,Aflion Holy Panda
50.6,0.81,0,Aflion Holy Panda
50.7,0.815,0,Aflion Holy Panda
50.6,0.82,0,Aflion Holy Panda
50.5,0.83,0,Aflion Holy Panda
50.5,0.835,0,Aflion Holy Panda
50.6,0.84,0,Aflion Holy Panda
50.6,0.845,0,Aflion Holy Panda
50.6,0.85,0,Aflion Holy Panda
50.6,0.855,0,Aflion Holy Panda
50.6,0.86,0,Aflion Holy Panda
50.4,0.865,0,Aflion Holy Panda
50.4,0.87,0,Aflion Holy Panda
50.4,0.875,0,Aflion Holy Panda
50.4,0.88,0,Aflion Holy Panda
50.4,0.88,0,Aflion Holy Panda
50.4,0.885,0,Aflion Holy Panda
50.4,0.89,0,Aflion Holy Panda
50.5,0.895,0,Aflion Holy Panda
50.4,0.905,0,Aflion Holy Panda
50.4,0.91,0,Aflion Holy Panda
50.3,0.915,0,Aflion Holy Panda
50.4,0.92,0,Aflion Holy Panda
50.4,0.925,0,Aflion Holy Panda
50.5,0.93,0,Aflion Holy Panda
50.5,0.935,0,Aflion Holy Panda
50.4,0.94,0,Aflion Holy Panda
50.4,0.945,0,Aflion Holy Panda
50.3,0.95,0,Aflion Holy Panda
50.3,0.96,0,Aflion Holy Panda
50.3,0.965,0,Aflion Holy Panda
50.3,0.97,0,Aflion Holy Panda
50.2,0.975,0,Aflion Holy Panda
50.3,0.98,0,Aflion Holy Panda
50.2,0.985,0,Aflion Holy Panda
50.3,0.99,0,Aflion Holy Panda
50.3,0.995,0,Aflion Holy Panda
50.1,1,0,Aflion Holy Panda
50.2,1.005,0,Aflion Holy Panda
50.2,1.005,0,Aflion Holy Panda
50.2,1.01,0,Aflion Holy Panda
50.2,1.015,0,Aflion Holy Panda
50,1.02,0,Aflion Holy Panda
50.1,1.025,0,Aflion Holy Panda
50.1,1.03,0,Aflion Holy Panda
50.1,1.035,0,Aflion Holy Panda
49.9,1.045,0,Aflion Holy Panda
49.8,1.05,0,Aflion Holy Panda
49.8,1.05,0,Aflion Holy Panda
50,1.06,0,Aflion Holy Panda
49.8,1.065,0,Aflion Holy Panda
49.8,1.07,0,Aflion Holy Panda
49.8,1.075,0,Aflion Holy Panda
49.7,1.085,0,Aflion Holy Panda
49.7,1.09,0,Aflion Holy Panda
49.6,1.095,0,Aflion Holy Panda
49.5,1.105,0,Aflion Holy Panda
49.5,1.11,0,Aflion Holy Panda
49.5,1.115,0,Aflion Holy Panda
49.4,1.125,0,Aflion Holy Panda
49.5,1.13,0,Aflion Holy Panda
49.4,1.135,0,Aflion Holy Panda
49.3,1.135,0,Aflion Holy Panda
49.4,1.14,0,Aflion Holy Panda
49.3,1.145,0,Aflion Holy Panda
49.4,1.145,0,Aflion Holy Panda
49.4,1.15,0,Aflion Holy Panda
49.4,1.155,0,Aflion Holy Panda
49.4,1.155,0,Aflion Holy Panda
49.4,1.16,0,Aflion Holy Panda
49.3,1.165,0,Aflion Holy Panda
49.3,1.17,0,Aflion Holy Panda
49.2,1.175,0,Aflion Holy Panda
49.2,1.18,0,Aflion Holy Panda
49.1,1.185,0,Aflion Holy Panda
48.9,1.19,0,Aflion Holy Panda
49,1.195,0,Aflion Holy Panda
49,1.2,0,Aflion Holy Panda
49,1.205,0,Aflion Holy Panda
48.9,1.21,0,Aflion Holy Panda
48.9,1.215,0,Aflion Holy Panda
48.8,1.22,0,Aflion Holy Panda
48.6,1.225,0,Aflion Holy Panda
48.5,1.23,0,Aflion Holy Panda
48.3,1.23,0,Aflion Holy Panda
48.3,1.235,0,Aflion Holy Panda
48.5,1.235,0,Aflion Holy Panda
48.6,1.24,0,Aflion Holy Panda
48.5,1.245,0,Aflion Holy Panda
48.4,1.25,0,Aflion Holy Panda
48.2,1.26,0,Aflion Holy Panda
48.1,1.27,0,Aflion Holy Panda
48,1.275,0,Aflion Holy Panda
47.9,1.28,0,Aflion Holy Panda
48,1.29,0,Aflion Holy Panda
48.1,1.3,0,Aflion Holy Panda
47.8,1.31,0,Aflion Holy Panda
47.7,1.32,0,Aflion Holy Panda
47.5,1.325,0,Aflion Holy Panda
47.6,1.33,0,Aflion Holy Panda
47.5,1.335,0,Aflion Holy Panda
47.5,1.34,0,Aflion Holy Panda
47.4,1.35,0,Aflion Holy Panda
47.3,1.355,0,Aflion Holy Panda
47.3,1.365,0,Aflion Holy Panda
47.2,1.37,0,Aflion Holy Panda
47.2,1.38,0,Aflion Holy Panda
47.1,1.39,0,Aflion Holy Panda
47,1.4,0,Aflion Holy Panda
46.9,1.405,0,Aflion Holy Panda
46.9,1.415,0,Aflion Holy Panda
47,1.42,0,Aflion Holy Panda
46.9,1.425,0,Aflion Holy Panda
46.9,1.43,0,Aflion Holy Panda
46.8,1.435,0,Aflion Holy Panda
46.7,1.44,0,Aflion Holy Panda
46.8,1.445,0,Aflion Holy Panda
46.7,1.45,0,Aflion Holy Panda
46.7,1.455,0,Aflion Holy Panda
46.7,1.46,0,Aflion Holy Panda
46.3,1.47,0,Aflion Holy Panda
45.8,1.47,0,Aflion Holy Panda
46,1.47,0,Aflion Holy Panda
46.3,1.475,0,Aflion Holy Panda
46.4,1.475,0,Aflion Holy Panda
46.3,1.48,0,Aflion Holy Panda
46.4,1.485,0,Aflion Holy Panda
46.1,1.49,0,Aflion Holy Panda
46,1.495,0,Aflion Holy Panda
46,1.5,0,Aflion Holy Panda
46,1.505,0,Aflion Holy Panda
45.9,1.515,0,Aflion Holy Panda
45.8,1.52,0,Aflion Holy Panda
45.6,1.525,0,Aflion Holy Panda
45.6,1.53,0,Aflion Holy Panda
45.5,1.54,0,Aflion Holy Panda
45.5,1.545,0,Aflion Holy Panda
45.6,1.55,0,Aflion Holy Panda
45.6,1.555,0,Aflion Holy Panda
45.4,1.565,0,Aflion Holy Panda
45.4,1.565,0,Aflion Holy Panda
45.5,1.575,0,Aflion Holy Panda
45.3,1.585,0,Aflion Holy Panda
45.1,1.59,0,Aflion Holy Panda
45.1,1.595,0,Aflion Holy Panda
45.1,1.6,0,Aflion Holy Panda
45.1,1.605,0,Aflion Holy Panda
45.1,1.61,0,Aflion Holy Panda
45,1.615,0,Aflion Holy Panda
44.9,1.615,0,Aflion Holy Panda
44.7,1.62,0,Aflion Holy Panda
44.9,1.62,0,Aflion Holy Panda
45,1.62,0,Aflion Holy Panda
44.9,1.625,0,Aflion Holy Panda
45.1,1.625,0,Aflion Holy Panda
45.3,1.63,0,Aflion Holy Panda
45.4,1.635,0,Aflion Holy Panda
44.9,1.64,0,Aflion Holy Panda
44.9,1.645,0,Aflion Holy Panda
44.9,1.65,0,Aflion Holy Panda
45,1.65,0,Aflion Holy Panda
45,1.655,0,Aflion Holy Panda
45,1.665,0,Aflion Holy Panda
44.9,1.67,0,Aflion Holy Panda
44.9,1.675,0,Aflion Holy Panda
44.9,1.685,0,Aflion Holy Panda
44.8,1.69,0,Aflion Holy Panda
44.7,1.695,0,Aflion Holy Panda
44.7,1.705,0,Aflion Holy Panda
44.6,1.71,0,Aflion Holy Panda
44.6,1.715,0,Aflion Holy Panda
44.5,1.72,0,Aflion Holy Panda
44.5,1.73,0,Aflion Holy Panda
44.5,1.735,0,Aflion Holy Panda
44.5,1.735,0,Aflion Holy Panda
44.5,1.74,0,Aflion Holy Panda
44.6,1.745,0,Aflion Holy Panda
44.6,1.75,0,Aflion Holy Panda
44.5,1.755,0,Aflion Holy Panda
44.4,1.76,0,Aflion Holy Panda
44.3,1.76,0,Aflion Holy Panda
44.3,1.765,0,Aflion Holy Panda
44.3,1.77,0,Aflion Holy Panda
44.3,1.77,0,Aflion Holy Panda
44.3,1.775,0,Aflion Holy Panda
44.3,1.775,0,Aflion Holy Panda
44.4,1.78,0,Aflion Holy Panda
44.5,1.785,0,Aflion Holy Panda
44.4,1.79,0,Aflion Holy Panda
44.4,1.795,0,Aflion Holy Panda
44.3,1.8,0,Aflion Holy Panda
44.3,1.805,0,Aflion Holy Panda
44.3,1.81,0,Aflion Holy Panda
44.4,1.81,0,Aflion Holy Panda
44.4,1.82,0,Aflion Holy Panda
44.3,1.825,0,Aflion Holy Panda
44.2,1.825,0,Aflion Holy Panda
44.1,1.83,0,Aflion Holy Panda
44.2,1.835,0,Aflion Holy Panda
44.1,1.84,0,Aflion Holy Panda
44.1,1.845,0,Aflion Holy Panda
44.1,1.85,0,Aflion Holy Panda
44.1,1.855,0,Aflion Holy Panda
44.1,1.86,0,Aflion Holy Panda
44.1,1.865,0,Aflion Holy Panda
44,1.87,0,Aflion Holy Panda
44,1.87,0,Aflion Holy Panda
44,1.875,0,Aflion Holy Panda
43.9,1.88,0,Aflion Holy Panda
43.9,1.885,0,Aflion Holy Panda
43.9,1.885,0,Aflion Holy Panda
43.9,1.89,0,Aflion Holy Panda
43.8,1.895,0,Aflion Holy Panda
43.9,1.895,0,Aflion Holy Panda
43.8,1.9,0,Aflion Holy Panda
43.7,1.905,0,Aflion Holy Panda
43.7,1.905,0,Aflion Holy Panda
43.8,1.91,0,Aflion Holy Panda
43.9,1.91,0,Aflion Holy Panda
44,1.915,0,Aflion Holy Panda
44,1.92,0,Aflion Holy Panda
43.9,1.925,0,Aflion Holy Panda
44,1.925,0,Aflion Holy Panda
44,1.93,0,Aflion Holy Panda
43.9,1.935,0,Aflion Holy Panda
43.9,1.94,0,Aflion Holy Panda
43.9,1.945,0,Aflion Holy Panda
43.9,1.95,0,Aflion Holy Panda
43.8,1.955,0,Aflion Holy Panda
43.8,1.96,0,Aflion Holy Panda
43.8,1.965,0,Aflion Holy Panda
43.8,1.97,0,Aflion Holy Panda
43.9,1.97,0,Aflion Holy Panda
44,1.975,0,Aflion Holy Panda
44,1.98,0,Aflion Holy Panda
43.9,1.985,0,Aflion Holy Panda
43.8,1.99,0,Aflion Holy Panda
43.9,1.995,0,Aflion Holy Panda
43.9,2,0,Aflion Holy Panda
43.9,2,0,Aflion Holy Panda
44.1,2.005,0,Aflion Holy Panda
44.3,2.015,0,Aflion Holy Panda
44.2,2.02,0,Aflion Holy Panda
44.2,2.025,0,Aflion Holy Panda
44.1,2.03,0,Aflion Holy Panda
44.1,2.035,0,Aflion Holy Panda
44.3,2.04,0,Aflion Holy Panda
44.2,2.045,0,Aflion Holy Panda
44.2,2.05,0,Aflion Holy Panda
44.2,2.055,0,Aflion Holy Panda
44.3,2.06,0,Aflion Holy Panda
44.4,2.065,0,Aflion Holy Panda
44.4,2.07,0,Aflion Holy Panda
44.3,2.075,0,Aflion Holy Panda
44.4,2.08,0,Aflion Holy Panda
44.5,2.085,0,Aflion Holy Panda
44.6,2.09,0,Aflion Holy Panda
44.6,2.09,0,Aflion Holy Panda
44.6,2.095,0,Aflion Holy Panda
44.8,2.1,0,Aflion Holy Panda
44.8,2.105,0,Aflion Holy Panda
44.8,2.11,0,Aflion Holy Panda
44.9,2.115,0,Aflion Holy Panda
44.9,2.12,0,Aflion Holy Panda
44.9,2.125,0,Aflion Holy Panda
44.9,2.13,0,Aflion Holy Panda
45,2.135,0,Aflion Holy Panda
45,2.135,0,Aflion Holy Panda
45,2.14,0,Aflion Holy Panda
45.1,2.145,0,Aflion Holy Panda
45.2,2.15,0,Aflion Holy Panda
45.2,2.155,0,Aflion Holy Panda
45.2,2.16,0,Aflion Holy Panda
45.2,2.16,0,Aflion Holy Panda
45.5,2.17,0,Aflion Holy Panda
45.9,2.175,0,Aflion Holy Panda
46.1,2.18,0,Aflion Holy Panda
46.4,2.19,0,Aflion Holy Panda
46.6,2.195,0,Aflion Holy Panda
46.8,2.2,0,Aflion Holy Panda
47.1,2.205,0,Aflion Holy Panda
47.3,2.215,0,Aflion Holy Panda
47.6,2.215,0,Aflion Holy Panda
47.9,2.22,0,Aflion Holy Panda
48.2,2.23,0,Aflion Holy Panda
48.4,2.235,0,Aflion Holy Panda
48.5,2.235,0,Aflion Holy Panda
48.7,2.24,0,Aflion Holy Panda
48.9,2.245,0,Aflion Holy Panda
49,2.25,0,Aflion Holy Panda
49.1,2.255,0,Aflion Holy Panda
49.3,2.26,0,Aflion Holy Panda
49.1,2.265,0,Aflion Holy Panda
48.1,2.27,0,Aflion Holy Panda
48.7,2.275,0,Aflion Holy Panda
49.5,2.28,0,Aflion Holy Panda
49.7,2.28,0,Aflion Holy Panda
49.9,2.285,0,Aflion Holy Panda
50.1,2.29,0,Aflion Holy Panda
50.2,2.295,0,Aflion Holy Panda
50.4,2.3,0,Aflion Holy Panda
50.6,2.305,0,Aflion Holy Panda
50.7,2.305,0,Aflion Holy Panda
50.8,2.31,0,Aflion Holy Panda
50.9,2.315,0,Aflion Holy Panda
51,2.315,0,Aflion Holy Panda
51.1,2.32,0,Aflion Holy Panda
51.2,2.325,0,Aflion Holy Panda
51.3,2.33,0,Aflion Holy Panda
51.4,2.33,0,Aflion Holy Panda
51.4,2.335,0,Aflion Holy Panda
51.5,2.34,0,Aflion Holy Panda
51.6,2.345,0,Aflion Holy Panda
51.6,2.35,0,Aflion Holy Panda
51.6,2.355,0,Aflion Holy Panda
51.7,2.36,0,Aflion Holy Panda
51.8,2.365,0,Aflion Holy Panda
51.9,2.37,0,Aflion Holy Panda
51.9,2.37,0,Aflion Holy Panda
51.9,2.375,0,Aflion Holy Panda
52,2.38,0,Aflion Holy Panda
51.9,2.385,0,Aflion Holy Panda
51.9,2.39,0,Aflion Holy Panda
52.1,2.395,0,Aflion Holy Panda
52.1,2.4,0,Aflion Holy Panda
51.9,2.405,0,Aflion Holy Panda
52,2.405,0,Aflion Holy Panda
52.2,2.41,0,Aflion Holy Panda
52.2,2.41,0,Aflion Holy Panda
52.1,2.415,0,Aflion Holy Panda
52.1,2.415,0,Aflion Holy Panda
52.2,2.42,0,Aflion Holy Panda
52.3,2.42,0,Aflion Holy Panda
52.1,2.425,0,Aflion Holy Panda
52.2,2.43,0,Aflion Holy Panda
52.3,2.43,0,Aflion Holy Panda
52.3,2.435,0,Aflion Holy Panda
52.3,2.44,0,Aflion Holy Panda
52.2,2.44,0,Aflion Holy Panda
52.4,2.445,0,Aflion Holy Panda
52.3,2.45,0,Aflion Holy Panda
52.3,2.455,0,Aflion Holy Panda
52.5,2.455,0,Aflion Holy Panda
52.6,2.46,0,Aflion Holy Panda
52.3,2.465,0,Aflion Holy Panda
52.4,2.465,0,Aflion Holy Panda
52.6,2.47,0,Aflion Holy Panda
52.4,2.47,0,Aflion Holy Panda
52.5,2.475,0,Aflion Holy Panda
52.5,2.48,0,Aflion Holy Panda
52.7,2.485,0,Aflion Holy Panda
52.6,2.49,0,Aflion Holy Panda
52.7,2.495,0,Aflion Holy Panda
52.8,2.5,0,Aflion Holy Panda
52.8,2.505,0,Aflion Holy Panda
52.7,2.51,0,Aflion Holy Panda
52.8,2.515,0,Aflion Holy Panda
53,2.52,0,Aflion Holy Panda
53,2.53,0,Aflion Holy Panda
52.9,2.535,0,Aflion Holy Panda
52.9,2.54,0,Aflion Holy Panda
53.2,2.545,0,Aflion Holy Panda
53.3,2.555,0,Aflion Holy Panda
53.1,2.56,0,Aflion Holy Panda
53.1,2.565,0,Aflion Holy Panda
53.2,2.57,0,Aflion Holy Panda
53.4,2.575,0,Aflion Holy Panda
53.2,2.58,0,Aflion Holy Panda
53.3,2.585,0,Aflion Holy Panda
53.4,2.59,0,Aflion Holy Panda
53.5,2.595,0,Aflion Holy Panda
53.5,2.6,0,Aflion Holy Panda
53.5,2.605,0,Aflion Holy Panda
53.5,2.61,0,Aflion Holy Panda
53.4,2.615,0,Aflion Holy Panda
53.6,2.62,0,Aflion Holy Panda
53.7,2.625,0,Aflion Holy Panda
53.6,2.625,0,Aflion Holy Panda
53.5,2.63,0,Aflion Holy Panda
53.6,2.635,0,Aflion Holy Panda
53.7,2.635,0,Aflion Holy Panda
53.7,2.64,0,Aflion Holy Panda
53.7,2.645,0,Aflion Holy Panda
53.9,2.65,0,Aflion Holy Panda
53.9,2.65,0,Aflion Holy Panda
53.8,2.655,0,Aflion Holy Panda
53.9,2.66,0,Aflion Holy Panda
54,2.67,0,Aflion Holy Panda
54.1,2.675,0,Aflion Holy Panda
53.9,2.68,0,Aflion Holy Panda
54,2.685,0,Aflion Holy Panda
54.3,2.695,0,Aflion Holy Panda
54.3,2.7,0,Aflion Holy Panda
54.2,2.705,0,Aflion Holy Panda
54.2,2.71,0,Aflion Holy Panda
54.3,2.715,0,Aflion Holy Panda
54.4,2.72,0,Aflion Holy Panda
54.3,2.72,0,Aflion Holy Panda
54.3,2.725,0,Aflion Holy Panda
54.2,2.73,0,Aflion Holy Panda
54.5,2.735,0,Aflion Holy Panda
54.5,2.745,0,Aflion Holy Panda
54.6,2.75,0,Aflion Holy Panda
54.6,2.755,0,Aflion Holy Panda
54.4,2.755,0,Aflion Holy Panda
54.7,2.76,0,Aflion Holy Panda
54.7,2.765,0,Aflion Holy Panda
54.6,2.77,0,Aflion Holy Panda
54.6,2.77,0,Aflion Holy Panda
54.7,2.775,0,Aflion Holy Panda
54.7,2.775,0,Aflion Holy Panda
54.7,2.78,0,Aflion Holy Panda
54.7,2.78,0,Aflion Holy Panda
54.8,2.785,0,Aflion Holy Panda
54.8,2.785,0,Aflion Holy Panda
54.8,2.79,0,Aflion Holy Panda
54.9,2.79,0,Aflion Holy Panda
54.9,2.795,0,Aflion Holy Panda
54.9,2.795,0,Aflion Holy Panda
54.8,2.8,0,Aflion Holy Panda
54.8,2.8,0,Aflion Holy Panda
55.1,2.805,0,Aflion Holy Panda
55,2.81,0,Aflion Holy Panda
54.9,2.815,0,Aflion Holy Panda
54.8,2.815,0,Aflion Holy Panda
55.1,2.82,0,Aflion Holy Panda
55.2,2.825,0,Aflion Holy Panda
55.1,2.83,0,Aflion Holy Panda
55,2.83,0,Aflion Holy Panda
55.2,2.835,0,Aflion Holy Panda
55.3,2.84,0,Aflion Holy Panda
55.2,2.84,0,Aflion Holy Panda
55.2,2.845,0,Aflion Holy Panda
55.1,2.85,0,Aflion Holy Panda
55.3,2.85,0,Aflion Holy Panda
55.6,2.855,0,Aflion Holy Panda
55.6,2.855,0,Aflion Holy Panda
55.2,2.855,0,Aflion Holy Panda
55.2,2.86,0,Aflion Holy Panda
55.4,2.865,0,Aflion Holy Panda
55.5,2.87,0,Aflion Holy Panda
55.4,2.88,0,Aflion Holy Panda
55.3,2.89,0,Aflion Holy Panda
55.5,2.89,0,Aflion Holy Panda
55.6,2.895,0,Aflion Holy Panda
55.6,2.9,0,Aflion Holy Panda
55.6,2.9,0,Aflion Holy Panda
55.6,2.905,0,Aflion Holy Panda
55.7,2.91,0,Aflion Holy Panda
55.8,2.915,0,Aflion Holy Panda
55.8,2.92,0,Aflion Holy Panda
55.8,2.925,0,Aflion Holy Panda
55.7,2.93,0,Aflion Holy Panda
55.9,2.94,0,Aflion Holy Panda
56,2.945,0,Aflion Holy Panda
55.9,2.945,0,Aflion Holy Panda
55.9,2.95,0,Aflion Holy Panda
56.1,2.955,0,Aflion Holy Panda
56.1,2.965,0,Aflion Holy Panda
56.1,2.97,0,Aflion Holy Panda
56.1,2.975,0,Aflion Holy Panda
56.3,2.98,0,Aflion Holy Panda
