force,displacement,judge,name
0.1,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
-0.2,0,0,Aflion Iceberg Teal V2
0.1,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0.1,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0,0,Aflion Iceberg Teal V2
0,0.005,0,Aflion Iceberg Teal V2
0,0.005,0,Aflion Iceberg Teal V2
0,0.005,0,Aflion Iceberg Teal V2
0,0.01,0,Aflion Iceberg Teal V2
0,0.015,0,Aflion Iceberg Teal V2
3.9,0.02,0,Aflion Iceberg Teal V2
8.6,0.02,0,Aflion Iceberg Teal V2
13.3,0.025,0,Aflion Iceberg Teal V2
17.5,0.03,0,Aflion Iceberg Teal V2
20.6,0.035,0,Aflion Iceberg Teal V2
23.5,0.04,0,Aflion Iceberg Teal V2
26.1,0.04,0,Aflion Iceberg Teal V2
28.8,0.045,0,Aflion Iceberg Teal V2
31.1,0.045,0,Aflion Iceberg Teal V2
32.4,0.05,0,Aflion Iceberg Teal V2
32.9,0.05,0,Aflion Iceberg Teal V2
33.6,0.055,0,Aflion Iceberg Teal V2
34.2,0.055,0,Aflion Iceberg Teal V2
34.7,0.06,0,Aflion Iceberg Teal V2
35.1,0.06,0,Aflion Iceberg Teal V2
35.4,0.065,0,Aflion Iceberg Teal V2
35.3,0.07,0,Aflion Iceberg Teal V2
35.3,0.07,0,Aflion Iceberg Teal V2
35.2,0.075,0,Aflion Iceberg Teal V2
35.2,0.075,0,Aflion Iceberg Teal V2
35.3,0.08,0,Aflion Iceberg Teal V2
35.2,0.08,0,Aflion Iceberg Teal V2
35.1,0.085,0,Aflion Iceberg Teal V2
35.1,0.085,0,Aflion Iceberg Teal V2
35.1,0.085,0,Aflion Iceberg Teal V2
35,0.09,0,Aflion Iceberg Teal V2
35.1,0.09,0,Aflion Iceberg Teal V2
35.1,0.09,0,Aflion Iceberg Teal V2
35,0.095,0,Aflion Iceberg Teal V2
35.1,0.095,0,Aflion Iceberg Teal V2
35,0.1,0,Aflion Iceberg Teal V2
35,0.1,0,Aflion Iceberg Teal V2
35,0.105,0,Aflion Iceberg Teal V2
35.1,0.11,0,Aflion Iceberg Teal V2
35.1,0.11,0,Aflion Iceberg Teal V2
35.1,0.115,0,Aflion Iceberg Teal V2
34.9,0.115,0,Aflion Iceberg Teal V2
34.9,0.12,0,Aflion Iceberg Teal V2
35,0.12,0,Aflion Iceberg Teal V2
34.9,0.125,0,Aflion Iceberg Teal V2
34.9,0.125,0,Aflion Iceberg Teal V2
34.8,0.13,0,Aflion Iceberg Teal V2
34.8,0.13,0,Aflion Iceberg Teal V2
35,0.135,0,Aflion Iceberg Teal V2
34.9,0.135,0,Aflion Iceberg Teal V2
34.7,0.14,0,Aflion Iceberg Teal V2
34.8,0.145,0,Aflion Iceberg Teal V2
34.8,0.145,0,Aflion Iceberg Teal V2
34.9,0.15,0,Aflion Iceberg Teal V2
34.9,0.155,0,Aflion Iceberg Teal V2
34.7,0.16,0,Aflion Iceberg Teal V2
34.7,0.16,0,Aflion Iceberg Teal V2
34.8,0.165,0,Aflion Iceberg Teal V2
34.8,0.17,0,Aflion Iceberg Teal V2
34.7,0.175,0,Aflion Iceberg Teal V2
34.7,0.175,0,Aflion Iceberg Teal V2
34.7,0.18,0,Aflion Iceberg Teal V2
34.7,0.18,0,Aflion Iceberg Teal V2
34.7,0.185,0,Aflion Iceberg Teal V2
34.8,0.185,0,Aflion Iceberg Teal V2
34.8,0.19,0,Aflion Iceberg Teal V2
34.9,0.19,0,Aflion Iceberg Teal V2
34.9,0.195,0,Aflion Iceberg Teal V2
34.8,0.2,0,Aflion Iceberg Teal V2
34.9,0.205,0,Aflion Iceberg Teal V2
34.8,0.205,0,Aflion Iceberg Teal V2
34.7,0.21,0,Aflion Iceberg Teal V2
34.7,0.21,0,Aflion Iceberg Teal V2
34.8,0.21,0,Aflion Iceberg Teal V2
34.9,0.215,0,Aflion Iceberg Teal V2
34.9,0.22,0,Aflion Iceberg Teal V2
34.8,0.22,0,Aflion Iceberg Teal V2
34.8,0.225,0,Aflion Iceberg Teal V2
34.8,0.23,0,Aflion Iceberg Teal V2
34.6,0.235,0,Aflion Iceberg Teal V2
34.6,0.235,0,Aflion Iceberg Teal V2
34.6,0.24,0,Aflion Iceberg Teal V2
34.6,0.245,0,Aflion Iceberg Teal V2
34.6,0.245,0,Aflion Iceberg Teal V2
34.5,0.25,0,Aflion Iceberg Teal V2
34.6,0.255,0,Aflion Iceberg Teal V2
34.6,0.255,0,Aflion Iceberg Teal V2
34.6,0.26,0,Aflion Iceberg Teal V2
34.7,0.265,0,Aflion Iceberg Teal V2
34.8,0.27,0,Aflion Iceberg Teal V2
34.7,0.28,0,Aflion Iceberg Teal V2
34.9,0.285,0,Aflion Iceberg Teal V2
35,0.295,0,Aflion Iceberg Teal V2
35,0.3,0,Aflion Iceberg Teal V2
35.1,0.31,0,Aflion Iceberg Teal V2
35.1,0.315,0,Aflion Iceberg Teal V2
35.1,0.32,0,Aflion Iceberg Teal V2
35.2,0.325,0,Aflion Iceberg Teal V2
35.2,0.33,0,Aflion Iceberg Teal V2
35.3,0.335,0,Aflion Iceberg Teal V2
35.4,0.34,0,Aflion Iceberg Teal V2
35.4,0.345,0,Aflion Iceberg Teal V2
35.4,0.35,0,Aflion Iceberg Teal V2
35.3,0.355,0,Aflion Iceberg Teal V2
35.2,0.36,0,Aflion Iceberg Teal V2
35.2,0.36,0,Aflion Iceberg Teal V2
35.3,0.365,0,Aflion Iceberg Teal V2
35.3,0.37,0,Aflion Iceberg Teal V2
35.2,0.375,0,Aflion Iceberg Teal V2
35.2,0.375,0,Aflion Iceberg Teal V2
35.3,0.38,0,Aflion Iceberg Teal V2
35.3,0.385,0,Aflion Iceberg Teal V2
35.3,0.39,0,Aflion Iceberg Teal V2
