force,displacement,judge,name
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
-0.1,0,0,Agile Moon
-0.1,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0,0,Agile Moon
0,0.005,0,Agile Moon
0,0.005,0,Agile Moon
0,0.005,0,Agile Moon
0,0.005,0,Agile Moon
0,0.01,0,Agile Moon
0,0.015,0,Agile Moon
0,0.02,0,Agile Moon
0,0.02,0,Agile Moon
2,0.025,0,Agile Moon
5.1,0.03,0,Agile Moon
7.9,0.03,0,Agile Moon
10.3,0.035,0,Agile Moon
12.6,0.04,0,Agile Moon
14.2,0.04,0,Agile Moon
15.7,0.04,0,Agile Moon
17.2,0.045,0,Agile Moon
18.7,0.045,0,Agile Moon
20.2,0.045,0,Agile Moon
21.5,0.05,0,Agile Moon
22.7,0.05,0,Agile Moon
23.7,0.05,0,Agile Moon
24.4,0.05,0,Agile Moon
25,0.05,0,Agile Moon
25.6,0.055,0,Agile Moon
26.1,0.055,0,Agile Moon
26.7,0.055,0,Agile Moon
27,0.055,0,Agile Moon
27.4,0.055,0,Agile Moon
27.7,0.055,0,Agile Moon
28.1,0.055,0,Agile Moon
28.3,0.055,0,Agile Moon
28.5,0.055,0,Agile Moon
28.9,0.06,0,Agile Moon
29.3,0.06,0,Agile Moon
29.6,0.06,0,Agile Moon
29.9,0.06,0,Agile Moon
30.2,0.06,0,Agile Moon
30.3,0.06,0,Agile Moon
30.5,0.06,0,Agile Moon
30.8,0.065,0,Agile Moon
31.2,0.065,0,Agile Moon
31.5,0.065,0,Agile Moon
31.8,0.065,0,Agile Moon
32.2,0.065,0,Agile Moon
32.5,0.065,0,Agile Moon
32.9,0.065,0,Agile Moon
33.2,0.07,0,Agile Moon
33.4,0.07,0,Agile Moon
33.5,0.07,0,Agile Moon
33.5,0.07,0,Agile Moon
33.5,0.07,0,Agile Moon
33.6,0.07,0,Agile Moon
33.6,0.07,0,Agile Moon
33.7,0.075,0,Agile Moon
33.6,0.075,0,Agile Moon
33.6,0.075,0,Agile Moon
33.6,0.075,0,Agile Moon
33.6,0.075,0,Agile Moon
33.7,0.075,0,Agile Moon
33.8,0.075,0,Agile Moon
33.8,0.075,0,Agile Moon
33.8,0.08,0,Agile Moon
33.9,0.08,0,Agile Moon
34,0.08,0,Agile Moon
33.9,0.08,0,Agile Moon
33.9,0.08,0,Agile Moon
33.9,0.085,0,Agile Moon
34,0.085,0,Agile Moon
34.1,0.085,0,Agile Moon
34.3,0.085,0,Agile Moon
34.4,0.09,0,Agile Moon
34.4,0.09,0,Agile Moon
34.3,0.095,0,Agile Moon
34.2,0.095,0,Agile Moon
34.2,0.1,0,Agile Moon
34.4,0.1,0,Agile Moon
34.6,0.105,0,Agile Moon
34.9,0.105,0,Agile Moon
35,0.105,0,Agile Moon
34.9,0.11,0,Agile Moon
35,0.11,0,Agile Moon
36.2,0.115,0,Agile Moon
37.3,0.115,0,Agile Moon
38.3,0.115,0,Agile Moon
38.6,0.12,0,Agile Moon
38.2,0.12,0,Agile Moon
37.8,0.12,0,Agile Moon
37.7,0.125,0,Agile Moon
37.7,0.125,0,Agile Moon
37.7,0.125,0,Agile Moon
37.7,0.13,0,Agile Moon
37.5,0.13,0,Agile Moon
37.4,0.13,0,Agile Moon
37.4,0.135,0,Agile Moon
37.6,0.135,0,Agile Moon
37.4,0.135,0,Agile Moon
37.3,0.14,0,Agile Moon
37.2,0.14,0,Agile Moon
37.3,0.14,0,Agile Moon
37.3,0.14,0,Agile Moon
37.2,0.145,0,Agile Moon
37.2,0.145,0,Agile Moon
37.2,0.145,0,Agile Moon
