force,displacement,judge,name
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
-0.1,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0,0,Ajazz Doyu Orange
0,0.005,0,Ajazz Doyu Orange
0,0.005,0,Ajazz Doyu Orange
0,0.005,0,Ajazz Doyu Orange
0,0.005,0,Ajazz Doyu Orange
0,0.01,0,Ajazz Doyu Orange
0,0.01,0,Ajazz Doyu Orange
0,0.01,0,Ajazz Doyu Orange
0,0.015,0,Ajazz Doyu Orange
0,0.015,0,Ajazz Doyu Orange
0,0.02,0,Ajazz Doyu Orange
0.7,0.025,0,Ajazz Doyu Orange
3.5,0.025,0,Ajazz Doyu Orange
6.3,0.03,0,Ajazz Doyu Orange
9.1,0.03,0,Ajazz Doyu Orange
11.6,0.035,0,Ajazz Doyu Orange
14,0.035,0,Ajazz Doyu Orange
16.1,0.04,0,Ajazz Doyu Orange
18.3,0.04,0,Ajazz Doyu Orange
20.3,0.045,0,Ajazz Doyu Orange
22.3,0.045,0,Ajazz Doyu Orange
24.8,0.05,0,Ajazz Doyu Orange
27.9,0.05,0,Ajazz Doyu Orange
30.7,0.055,0,Ajazz Doyu Orange
33.2,0.055,0,Ajazz Doyu Orange
35.2,0.06,0,Ajazz Doyu Orange
36.6,0.06,0,Ajazz Doyu Orange
37.4,0.06,0,Ajazz Doyu Orange
38.3,0.06,0,Ajazz Doyu Orange
38.6,0.065,0,Ajazz Doyu Orange
38.8,0.065,0,Ajazz Doyu Orange
39.1,0.065,0,Ajazz Doyu Orange
39.5,0.065,0,Ajazz Doyu Orange
39.9,0.07,0,Ajazz Doyu Orange
40.3,0.07,0,Ajazz Doyu Orange
40.7,0.07,0,Ajazz Doyu Orange
41,0.075,0,Ajazz Doyu Orange
41.1,0.075,0,Ajazz Doyu Orange
41.3,0.08,0,Ajazz Doyu Orange
41.4,0.08,0,Ajazz Doyu Orange
41.4,0.08,0,Ajazz Doyu Orange
41.5,0.08,0,Ajazz Doyu Orange
41.5,0.085,0,Ajazz Doyu Orange
41.5,0.085,0,Ajazz Doyu Orange
41.5,0.085,0,Ajazz Doyu Orange
41.6,0.09,0,Ajazz Doyu Orange
41.8,0.09,0,Ajazz Doyu Orange
41.8,0.095,0,Ajazz Doyu Orange
41.8,0.095,0,Ajazz Doyu Orange
41.8,0.1,0,Ajazz Doyu Orange
41.8,0.1,0,Ajazz Doyu Orange
41.8,0.105,0,Ajazz Doyu Orange
41.8,0.105,0,Ajazz Doyu Orange
41.8,0.11,0,Ajazz Doyu Orange
41.9,0.11,0,Ajazz Doyu Orange
41.9,0.11,0,Ajazz Doyu Orange
42,0.115,0,Ajazz Doyu Orange
42,0.115,0,Ajazz Doyu Orange
42.1,0.12,0,Ajazz Doyu Orange
42.1,0.12,0,Ajazz Doyu Orange
42.1,0.125,0,Ajazz Doyu Orange
42.2,0.125,0,Ajazz Doyu Orange
42.3,0.125,0,Ajazz Doyu Orange
42.4,0.13,0,Ajazz Doyu Orange
42.4,0.13,0,Ajazz Doyu Orange
42.4,0.135,0,Ajazz Doyu Orange
42.5,0.135,0,Ajazz Doyu Orange
42.6,0.14,0,Ajazz Doyu Orange
42.6,0.14,0,Ajazz Doyu Orange
42.7,0.145,0,Ajazz Doyu Orange
42.7,0.145,0,Ajazz Doyu Orange
42.7,0.15,0,Ajazz Doyu Orange
42.8,0.15,0,Ajazz Doyu Orange
42.8,0.155,0,Ajazz Doyu Orange
42.9,0.155,0,Ajazz Doyu Orange
43,0.155,0,Ajazz Doyu Orange
43,0.16,0,Ajazz Doyu Orange
43,0.16,0,Ajazz Doyu Orange
43.1,0.165,0,Ajazz Doyu Orange
43.2,0.165,0,Ajazz Doyu Orange
43.3,0.17,0,Ajazz Doyu Orange
43.4,0.17,0,Ajazz Doyu Orange
43.5,0.175,0,Ajazz Doyu Orange
43.6,0.175,0,Ajazz Doyu Orange
43.7,0.18,0,Ajazz Doyu Orange
43.8,0.18,0,Ajazz Doyu Orange
43.9,0.185,0,Ajazz Doyu Orange
44,0.185,0,Ajazz Doyu Orange
44,0.19,0,Ajazz Doyu Orange
44.1,0.19,0,Ajazz Doyu Orange
44.1,0.195,0,Ajazz Doyu Orange
44.2,0.195,0,Ajazz Doyu Orange
44.3,0.2,0,Ajazz Doyu Orange
44.3,0.2,0,Ajazz Doyu Orange
44.4,0.205,0,Ajazz Doyu Orange
44.6,0.205,0,Ajazz Doyu Orange
44.6,0.21,0,Ajazz Doyu Orange
44.8,0.21,0,Ajazz Doyu Orange
44.8,0.215,0,Ajazz Doyu Orange
44.8,0.215,0,Ajazz Doyu Orange
44.9,0.22,0,Ajazz Doyu Orange
45,0.22,0,Ajazz Doyu Orange
45,0.22,0,Ajazz Doyu Orange
45,0.225,0,Ajazz Doyu Orange
45.1,0.225,0,Ajazz Doyu Orange
45.1,0.23,0,Ajazz Doyu Orange
45.3,0.23,0,Ajazz Doyu Orange
45.4,0.235,0,Ajazz Doyu Orange
45.5,0.235,0,Ajazz Doyu Orange
45.5,0.24,0,Ajazz Doyu Orange
45.6,0.24,0,Ajazz Doyu Orange
45.7,0.245,0,Ajazz Doyu Orange
45.8,0.245,0,Ajazz Doyu Orange
45.9,0.25,0,Ajazz Doyu Orange
46,0.25,0,Ajazz Doyu Orange
46,0.25,0,Ajazz Doyu Orange
46.2,0.255,0,Ajazz Doyu Orange
46.2,0.255,0,Ajazz Doyu Orange
46.3,0.26,0,Ajazz Doyu Orange
46.4,0.26,0,Ajazz Doyu Orange
46.5,0.265,0,Ajazz Doyu Orange
46.6,0.265,0,Ajazz Doyu Orange
46.8,0.27,0,Ajazz Doyu Orange
46.9,0.27,0,Ajazz Doyu Orange
47.1,0.275,0,Ajazz Doyu Orange
47.2,0.275,0,Ajazz Doyu Orange
