force,displacement,judge,name
0.1,0,0,Ajazz x Huano Banana
0,0,0,Ajazz x Huano Banana
0,0,0,Ajazz x Huano Banana
0,0,0,Ajazz x Huano Banana
0,0,0,Ajazz x Huano Banana
0,0,0,Ajazz x Huano Banana
0,0,0,Ajazz x Huano Banana
0,0,0,Ajazz x Huano Banana
0,0,0,Ajazz x Huano Banana
-0.1,0,0,Ajazz x Huano Banana
0.5,0,0,Ajazz x Huano Banana
0.1,0,0,Ajazz x Huano Banana
-0.1,0,0,Ajazz x Huano Banana
-0.3,0,0,Ajazz x Huano Banana
-0.2,0.005,0,Ajazz x Huano Banana
0,0.005,0,Ajazz x Huano Banana
-0.1,0.005,0,Ajazz x Huano Banana
0,0.01,0,Ajazz x Huano Banana
0,0.015,0,Ajazz x Huano Banana
0,0.02,0,Ajazz x Huano Banana
0.1,0.02,0,Ajazz x Huano Banana
-0.1,0.03,0,Ajazz x Huano Banana
-0.1,0.035,0,Ajazz x Huano Banana
0,0.04,0,Ajazz x Huano Banana
3,0.045,0,Ajazz x Huano Banana
7,0.05,0,Ajazz x Huano Banana
11.7,0.055,0,Ajazz x Huano Banana
17,0.06,0,Ajazz x Huano Banana
21.8,0.065,0,Ajazz x Huano Banana
26.3,0.07,0,Ajazz x Huano Banana
30.1,0.075,0,Ajazz x Huano Banana
32.9,0.08,0,Ajazz x Huano Banana
33.7,0.08,0,Ajazz x Huano Banana
34.5,0.085,0,Ajazz x Huano Banana
35.2,0.09,0,Ajazz x Huano Banana
35.3,0.095,0,Ajazz x Huano Banana
35.1,0.095,0,Ajazz x Huano Banana
35.2,0.1,0,Ajazz x Huano Banana
35.2,0.1,0,Ajazz x Huano Banana
35.1,0.105,0,Ajazz x Huano Banana
35.2,0.105,0,Ajazz x Huano Banana
35.3,0.11,0,Ajazz x Huano Banana
35.3,0.115,0,Ajazz x Huano Banana
35.2,0.115,0,Ajazz x Huano Banana
35.2,0.12,0,Ajazz x Huano Banana
35.4,0.12,0,Ajazz x Huano Banana
35.6,0.125,0,Ajazz x Huano Banana
35.6,0.125,0,Ajazz x Huano Banana
35.6,0.13,0,Ajazz x Huano Banana
35.8,0.135,0,Ajazz x Huano Banana
36,0.14,0,Ajazz x Huano Banana
36.1,0.14,0,Ajazz x Huano Banana
36.1,0.145,0,Ajazz x Huano Banana
36.2,0.145,0,Ajazz x Huano Banana
36.3,0.15,0,Ajazz x Huano Banana
36.4,0.15,0,Ajazz x Huano Banana
36.4,0.155,0,Ajazz x Huano Banana
36.5,0.155,0,Ajazz x Huano Banana
36.6,0.16,0,Ajazz x Huano Banana
36.6,0.16,0,Ajazz x Huano Banana
36.7,0.165,0,Ajazz x Huano Banana
36.8,0.165,0,Ajazz x Huano Banana
36.9,0.17,0,Ajazz x Huano Banana
37,0.17,0,Ajazz x Huano Banana
37,0.175,0,Ajazz x Huano Banana
37.2,0.175,0,Ajazz x Huano Banana
37.4,0.18,0,Ajazz x Huano Banana
37.5,0.18,0,Ajazz x Huano Banana
37.5,0.185,0,Ajazz x Huano Banana
37.6,0.185,0,Ajazz x Huano Banana
37.7,0.19,0,Ajazz x Huano Banana
37.7,0.195,0,Ajazz x Huano Banana
37.8,0.195,0,Ajazz x Huano Banana
37.9,0.2,0,Ajazz x Huano Banana
38,0.205,0,Ajazz x Huano Banana
38.1,0.205,0,Ajazz x Huano Banana
38.1,0.21,0,Ajazz x Huano Banana
38.1,0.215,0,Ajazz x Huano Banana
38.2,0.215,0,Ajazz x Huano Banana
38.2,0.22,0,Ajazz x Huano Banana
38.2,0.22,0,Ajazz x Huano Banana
38.2,0.225,0,Ajazz x Huano Banana
38.3,0.23,0,Ajazz x Huano Banana
