force,displacement,judge,name
0,0,0,Akko Air
0,0,0,Akko Air
0,0,0,Akko Air
0,0,0,Akko Air
-0.1,0,0,Akko Air
0,0,0,Akko Air
0.1,0,0,Akko Air
0,0,0,Akko Air
0,0,0,Akko Air
0,0,0,Akko Air
0,0,0,Akko Air
0,0,0,Akko Air
0,0,0,Akko Air
0,0,0,Akko Air
0,0.005,0,Akko Air
0,0.005,0,Akko Air
0,0.005,0,Akko Air
0,0.005,0,Akko Air
0,0.01,0,Akko Air
0.7,0.01,0,Akko Air
4.6,0.015,0,Akko Air
9,0.02,0,Akko Air
13.9,0.025,0,Akko Air
18.4,0.03,0,Akko Air
22,0.035,0,Akko Air
25.3,0.035,0,Akko Air
28.6,0.04,0,Akko Air
31.8,0.045,0,Akko Air
35,0.045,0,Akko Air
37.1,0.05,0,Akko Air
39.5,0.05,0,Akko Air
41.1,0.055,0,Akko Air
42,0.055,0,Akko Air
42.5,0.06,0,Akko Air
43.1,0.06,0,Akko Air
43.6,0.065,0,Akko Air
43.9,0.065,0,Akko Air
44,0.065,0,Akko Air
44.1,0.07,0,Akko Air
44.1,0.07,0,Akko Air
44.2,0.075,0,Akko Air
44.2,0.075,0,Akko Air
44.2,0.08,0,Akko Air
44.2,0.08,0,Akko Air
44.1,0.085,0,Akko Air
44,0.085,0,Akko Air
44,0.09,0,Akko Air
44,0.09,0,Akko Air
43.9,0.095,0,Akko Air
43.9,0.1,0,Akko Air
43.8,0.105,0,Akko Air
43.6,0.11,0,Akko Air
43.4,0.115,0,Akko Air
43.3,0.12,0,Akko Air
43.2,0.125,0,Akko Air
43.2,0.13,0,Akko Air
43.2,0.135,0,Akko Air
43,0.14,0,Akko Air
42.9,0.145,0,Akko Air
42.9,0.15,0,Akko Air
42.6,0.155,0,Akko Air
42.7,0.16,0,Akko Air
42.8,0.16,0,Akko Air
42.8,0.17,0,Akko Air
42.8,0.175,0,Akko Air
42.8,0.175,0,Akko Air
42.7,0.18,0,Akko Air
42.7,0.185,0,Akko Air
42.6,0.19,0,Akko Air
42.6,0.195,0,Akko Air
42.6,0.2,0,Akko Air
42.5,0.205,0,Akko Air
42.6,0.21,0,Akko Air
42.6,0.215,0,Akko Air
42.7,0.215,0,Akko Air
42.8,0.22,0,Akko Air
42.8,0.225,0,Akko Air
42.8,0.225,0,Akko Air
42.7,0.23,0,Akko Air
42.6,0.235,0,Akko Air
42.5,0.235,0,Akko Air
42.6,0.24,0,Akko Air
42.6,0.24,0,Akko Air
42.5,0.245,0,Akko Air
42.5,0.245,0,Akko Air
42.6,0.245,0,Akko Air
42.7,0.25,0,Akko Air
42.7,0.255,0,Akko Air
42.7,0.255,0,Akko Air
42.7,0.26,0,Akko Air
42.8,0.265,0,Akko Air
42.7,0.27,0,Akko Air
42.7,0.27,0,Akko Air
42.6,0.275,0,Akko Air
42.7,0.28,0,Akko Air
42.6,0.28,0,Akko Air
42.6,0.285,0,Akko Air
42.7,0.29,0,Akko Air
42.8,0.29,0,Akko Air
42.9,0.295,0,Akko Air
42.9,0.3,0,Akko Air
42.9,0.305,0,Akko Air
43,0.31,0,Akko Air
43,0.315,0,Akko Air
43.1,0.32,0,Akko Air
43.2,0.325,0,Akko Air
43.3,0.33,0,Akko Air
43.2,0.33,0,Akko Air
43.2,0.335,0,Akko Air
43.1,0.34,0,Akko Air
43.1,0.34,0,Akko Air
43,0.345,0,Akko Air
43.1,0.345,0,Akko Air
43.1,0.35,0,Akko Air
43.1,0.355,0,Akko Air
43.1,0.355,0,Akko Air
43.1,0.36,0,Akko Air
43,0.365,0,Akko Air
42.9,0.365,0,Akko Air
42.8,0.37,0,Akko Air
42.8,0.37,0,Akko Air
42.8,0.375,0,Akko Air
42.7,0.375,0,Akko Air
42.7,0.375,0,Akko Air
42.8,0.38,0,Akko Air
42.7,0.38,0,Akko Air
42.8,0.38,0,Akko Air
42.9,0.385,0,Akko Air
42.9,0.39,0,Akko Air
42.9,0.395,0,Akko Air
42.9,0.4,0,Akko Air
42.9,0.4,0,Akko Air
43,0.405,0,Akko Air
43.2,0.41,0,Akko Air
43.3,0.415,0,Akko Air
43.4,0.42,0,Akko Air
43.4,0.42,0,Akko Air
43.3,0.425,0,Akko Air
43.1,0.43,0,Akko Air
42.9,0.435,0,Akko Air
42.9,0.44,0,Akko Air
43,0.445,0,Akko Air
42.9,0.45,0,Akko Air
43,0.455,0,Akko Air
43,0.455,0,Akko Air
43.2,0.46,0,Akko Air
43.2,0.465,0,Akko Air
43.2,0.47,0,Akko Air
43.3,0.475,0,Akko Air
43.2,0.48,0,Akko Air
43.1,0.485,0,Akko Air
43.1,0.49,0,Akko Air
43.1,0.49,0,Akko Air
43,0.495,0,Akko Air
42.9,0.5,0,Akko Air
43,0.5,0,Akko Air
43.1,0.505,0,Akko Air
43.1,0.51,0,Akko Air
43.1,0.51,0,Akko Air
43,0.515,0,Akko Air
43,0.52,0,Akko Air
43,0.52,0,Akko Air
