force,displacement,judge,name
0,0,0,Akko Blue V2
0,0,0,Akko Blue V2
0,0,0,Akko Blue V2
0.1,0,0,Akko Blue V2
-0.1,0,0,Akko Blue V2
0,0,0,Akko Blue V2
0,0,0,Akko Blue V2
-0.1,0,0,Akko Blue V2
0,0,0,Akko Blue V2
-0.1,0,0,Akko Blue V2
0,0,0,Akko Blue V2
0,0,0,Akko Blue V2
-0.1,0,0,Akko Blue V2
-0.1,0,0,Akko Blue V2
-0.1,0,0,Akko Blue V2
0,0,0,Akko Blue V2
0,0,0,Akko Blue V2
0,0.005,0,Akko Blue V2
0,0.005,0,Akko Blue V2
0,0.005,0,Akko Blue V2
-0.1,0.01,0,Akko Blue V2
0,0.01,0,Akko Blue V2
0,0.015,0,Akko Blue V2
3,0.02,0,Akko Blue V2
6.7,0.025,0,Akko Blue V2
10.7,0.03,0,Akko Blue V2
14.8,0.03,0,Akko Blue V2
18,0.035,0,Akko Blue V2
20.9,0.04,0,Akko Blue V2
23.2,0.04,0,Akko Blue V2
25.3,0.045,0,Akko Blue V2
27.6,0.045,0,Akko Blue V2
30.5,0.05,0,Akko Blue V2
32.4,0.05,0,Akko Blue V2
34.6,0.055,0,Akko Blue V2
36.5,0.055,0,Akko Blue V2
36.7,0.06,0,Akko Blue V2
36.9,0.06,0,Akko Blue V2
37.1,0.06,0,Akko Blue V2
37.3,0.065,0,Akko Blue V2
37.5,0.065,0,Akko Blue V2
37.5,0.065,0,Akko Blue V2
37.6,0.07,0,Akko Blue V2
37.7,0.07,0,Akko Blue V2
37.6,0.07,0,Akko Blue V2
37.6,0.075,0,Akko Blue V2
37.7,0.075,0,Akko Blue V2
37.7,0.075,0,Akko Blue V2
37.6,0.075,0,Akko Blue V2
37.6,0.08,0,Akko Blue V2
37.7,0.08,0,Akko Blue V2
37.6,0.08,0,Akko Blue V2
37.7,0.085,0,Akko Blue V2
37.7,0.085,0,Akko Blue V2
37.7,0.085,0,Akko Blue V2
37.7,0.085,0,Akko Blue V2
37.7,0.085,0,Akko Blue V2
37.7,0.085,0,Akko Blue V2
37.7,0.09,0,Akko Blue V2
37.7,0.09,0,Akko Blue V2
37.7,0.09,0,Akko Blue V2
37.7,0.09,0,Akko Blue V2
37.7,0.09,0,Akko Blue V2
37.7,0.09,0,Akko Blue V2
37.7,0.095,0,Akko Blue V2
37.7,0.095,0,Akko Blue V2
37.7,0.095,0,Akko Blue V2
37.8,0.095,0,Akko Blue V2
37.8,0.1,0,Akko Blue V2
37.8,0.1,0,Akko Blue V2
37.8,0.105,0,Akko Blue V2
37.8,0.105,0,Akko Blue V2
37.8,0.105,0,Akko Blue V2
37.8,0.105,0,Akko Blue V2
37.8,0.105,0,Akko Blue V2
37.8,0.105,0,Akko Blue V2
37.8,0.11,0,Akko Blue V2
37.9,0.11,0,Akko Blue V2
37.9,0.11,0,Akko Blue V2
37.8,0.115,0,Akko Blue V2
37.9,0.115,0,Akko Blue V2
37.9,0.12,0,Akko Blue V2
37.9,0.12,0,Akko Blue V2
37.9,0.125,0,Akko Blue V2
38,0.125,0,Akko Blue V2
38,0.13,0,Akko Blue V2
38,0.135,0,Akko Blue V2
38,0.135,0,Akko Blue V2
38,0.14,0,Akko Blue V2
38.1,0.145,0,Akko Blue V2
38.2,0.15,0,Akko Blue V2
38.2,0.155,0,Akko Blue V2
38.1,0.16,0,Akko Blue V2
38.2,0.165,0,Akko Blue V2
38.2,0.17,0,Akko Blue V2
38.3,0.175,0,Akko Blue V2
38.2,0.18,0,Akko Blue V2
38.3,0.185,0,Akko Blue V2
38.4,0.19,0,Akko Blue V2
38.4,0.195,0,Akko Blue V2
38.4,0.2,0,Akko Blue V2
38.4,0.205,0,Akko Blue V2
38.5,0.205,0,Akko Blue V2
38.5,0.21,0,Akko Blue V2
38.5,0.215,0,Akko Blue V2
38.5,0.22,0,Akko Blue V2
38.6,0.22,0,Akko Blue V2
38.6,0.225,0,Akko Blue V2
38.6,0.225,0,Akko Blue V2
38.6,0.23,0,Akko Blue V2
38.7,0.235,0,Akko Blue V2
38.7,0.235,0,Akko Blue V2
38.7,0.24,0,Akko Blue V2
38.7,0.245,0,Akko Blue V2
38.7,0.25,0,Akko Blue V2
38.8,0.25,0,Akko Blue V2
38.8,0.255,0,Akko Blue V2
38.8,0.255,0,Akko Blue V2
38.8,0.26,0,Akko Blue V2
38.8,0.26,0,Akko Blue V2
38.8,0.265,0,Akko Blue V2
38.9,0.265,0,Akko Blue V2
38.9,0.27,0,Akko Blue V2
38.9,0.275,0,Akko Blue V2
39,0.275,0,Akko Blue V2
38.9,0.28,0,Akko Blue V2
38.9,0.285,0,Akko Blue V2
38.9,0.285,0,Akko Blue V2
39,0.29,0,Akko Blue V2
39,0.295,0,Akko Blue V2
39.1,0.3,0,Akko Blue V2
39.1,0.3,0,Akko Blue V2
39.1,0.305,0,Akko Blue V2
39.1,0.31,0,Akko Blue V2
39.1,0.31,0,Akko Blue V2
39.1,0.315,0,Akko Blue V2
39.2,0.315,0,Akko Blue V2
39.2,0.32,0,Akko Blue V2
39.2,0.32,0,Akko Blue V2
39.2,0.325,0,Akko Blue V2
39.3,0.325,0,Akko Blue V2
39.3,0.33,0,Akko Blue V2
39.3,0.33,0,Akko Blue V2
39.3,0.33,0,Akko Blue V2
39.3,0.33,0,Akko Blue V2
39.3,0.335,0,Akko Blue V2
39.3,0.335,0,Akko Blue V2
39.3,0.335,0,Akko Blue V2
39.3,0.34,0,Akko Blue V2
39.4,0.345,0,Akko Blue V2
