force,displacement,judge,name
0,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
-0.1,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
-0.1,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
-0.1,0,0,Akko CS Jelly Pink
0.1,0,0,Akko CS Jelly Pink
0.1,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0.1,0,0,Akko CS Jelly Pink
0,0,0,Akko CS Jelly Pink
0,0.005,0,Akko CS Jelly Pink
0,0.005,0,Akko CS Jelly Pink
0,0.01,0,Akko CS Jelly Pink
-0.1,0.01,0,Akko CS Jelly Pink
0,0.015,0,Akko CS Jelly Pink
3,0.02,0,Akko CS Jelly Pink
6.8,0.025,0,Akko CS Jelly Pink
10.9,0.03,0,Akko CS Jelly Pink
14.2,0.035,0,Akko CS Jelly Pink
17.6,0.035,0,Akko CS Jelly Pink
21.4,0.04,0,Akko CS Jelly Pink
25.1,0.045,0,Akko CS Jelly Pink
28.3,0.045,0,Akko CS Jelly Pink
31.1,0.05,0,Akko CS Jelly Pink
33.2,0.055,0,Akko CS Jelly Pink
34.9,0.055,0,Akko CS Jelly Pink
35.3,0.055,0,Akko CS Jelly Pink
35.8,0.06,0,Akko CS Jelly Pink
36.3,0.06,0,Akko CS Jelly Pink
36.5,0.065,0,Akko CS Jelly Pink
36.6,0.065,0,Akko CS Jelly Pink
36.5,0.07,0,Akko CS Jelly Pink
36.4,0.07,0,Akko CS Jelly Pink
36.3,0.075,0,Akko CS Jelly Pink
36.3,0.075,0,Akko CS Jelly Pink
36.4,0.08,0,Akko CS Jelly Pink
36.1,0.08,0,Akko CS Jelly Pink
36,0.08,0,Akko CS Jelly Pink
36.1,0.08,0,Akko CS Jelly Pink
36.2,0.085,0,Akko CS Jelly Pink
36.1,0.085,0,Akko CS Jelly Pink
36.1,0.085,0,Akko CS Jelly Pink
36.1,0.085,0,Akko CS Jelly Pink
36.2,0.085,0,Akko CS Jelly Pink
36.1,0.09,0,Akko CS Jelly Pink
36.2,0.09,0,Akko CS Jelly Pink
36,0.095,0,Akko CS Jelly Pink
36,0.095,0,Akko CS Jelly Pink
35.9,0.1,0,Akko CS Jelly Pink
35.8,0.1,0,Akko CS Jelly Pink
35.8,0.105,0,Akko CS Jelly Pink
35.8,0.105,0,Akko CS Jelly Pink
35.8,0.11,0,Akko CS Jelly Pink
35.8,0.11,0,Akko CS Jelly Pink
35.8,0.115,0,Akko CS Jelly Pink
35.7,0.115,0,Akko CS Jelly Pink
35.6,0.12,0,Akko CS Jelly Pink
35.6,0.125,0,Akko CS Jelly Pink
35.5,0.125,0,Akko CS Jelly Pink
35.5,0.13,0,Akko CS Jelly Pink
35.4,0.13,0,Akko CS Jelly Pink
35.4,0.135,0,Akko CS Jelly Pink
35.4,0.14,0,Akko CS Jelly Pink
35.4,0.14,0,Akko CS Jelly Pink
35.4,0.145,0,Akko CS Jelly Pink
35.3,0.15,0,Akko CS Jelly Pink
35.4,0.155,0,Akko CS Jelly Pink
35.3,0.16,0,Akko CS Jelly Pink
35.3,0.16,0,Akko CS Jelly Pink
35.3,0.165,0,Akko CS Jelly Pink
35.3,0.17,0,Akko CS Jelly Pink
35.3,0.175,0,Akko CS Jelly Pink
35.3,0.18,0,Akko CS Jelly Pink
35.3,0.18,0,Akko CS Jelly Pink
35.4,0.185,0,Akko CS Jelly Pink
35.4,0.19,0,Akko CS Jelly Pink
35.4,0.19,0,Akko CS Jelly Pink
35.5,0.195,0,Akko CS Jelly Pink
35.5,0.2,0,Akko CS Jelly Pink
35.5,0.2,0,Akko CS Jelly Pink
35.5,0.205,0,Akko CS Jelly Pink
35.5,0.21,0,Akko CS Jelly Pink
35.5,0.21,0,Akko CS Jelly Pink
35.6,0.215,0,Akko CS Jelly Pink
35.4,0.22,0,Akko CS Jelly Pink
35.4,0.22,0,Akko CS Jelly Pink
35.6,0.225,0,Akko CS Jelly Pink
35.5,0.225,0,Akko CS Jelly Pink
35.6,0.23,0,Akko CS Jelly Pink
35.5,0.235,0,Akko CS Jelly Pink
35.5,0.235,0,Akko CS Jelly Pink
35.6,0.24,0,Akko CS Jelly Pink
35.6,0.24,0,Akko CS Jelly Pink
35.7,0.245,0,Akko CS Jelly Pink
35.8,0.25,0,Akko CS Jelly Pink
35.8,0.255,0,Akko CS Jelly Pink
35.8,0.265,0,Akko CS Jelly Pink
35.9,0.27,0,Akko CS Jelly Pink
35.8,0.275,0,Akko CS Jelly Pink
35.8,0.275,0,Akko CS Jelly Pink
35.8,0.28,0,Akko CS Jelly Pink
35.8,0.28,0,Akko CS Jelly Pink
35.8,0.28,0,Akko CS Jelly Pink
35.8,0.285,0,Akko CS Jelly Pink
36,0.285,0,Akko CS Jelly Pink
36,0.29,0,Akko CS Jelly Pink
36,0.29,0,Akko CS Jelly Pink
36.1,0.295,0,Akko CS Jelly Pink
36.1,0.3,0,Akko CS Jelly Pink
36.1,0.305,0,Akko CS Jelly Pink
36.1,0.31,0,Akko CS Jelly Pink
36,0.31,0,Akko CS Jelly Pink
36,0.315,0,Akko CS Jelly Pink
36,0.315,0,Akko CS Jelly Pink
35.9,0.315,0,Akko CS Jelly Pink
35.9,0.315,0,Akko CS Jelly Pink
36.1,0.315,0,Akko CS Jelly Pink
36.1,0.32,0,Akko CS Jelly Pink
36.2,0.32,0,Akko CS Jelly Pink
36.2,0.32,0,Akko CS Jelly Pink
36.2,0.325,0,Akko CS Jelly Pink
36.3,0.325,0,Akko CS Jelly Pink
36.2,0.325,0,Akko CS Jelly Pink
36.2,0.33,0,Akko CS Jelly Pink
36.3,0.33,0,Akko CS Jelly Pink
36.4,0.335,0,Akko CS Jelly Pink
36.4,0.335,0,Akko CS Jelly Pink
36.4,0.34,0,Akko CS Jelly Pink
36.4,0.345,0,Akko CS Jelly Pink
36.5,0.345,0,Akko CS Jelly Pink
36.5,0.35,0,Akko CS Jelly Pink
36.5,0.355,0,Akko CS Jelly Pink
36.5,0.36,0,Akko CS Jelly Pink
36.4,0.36,0,Akko CS Jelly Pink
36.5,0.365,0,Akko CS Jelly Pink
36.5,0.37,0,Akko CS Jelly Pink
36.5,0.37,0,Akko CS Jelly Pink
36.5,0.375,0,Akko CS Jelly Pink
36.5,0.375,0,Akko CS Jelly Pink
36.6,0.38,0,Akko CS Jelly Pink
36.5,0.385,0,Akko CS Jelly Pink
36.5,0.385,0,Akko CS Jelly Pink
36.6,0.39,0,Akko CS Jelly Pink
36.6,0.395,0,Akko CS Jelly Pink
36.6,0.395,0,Akko CS Jelly Pink
36.6,0.4,0,Akko CS Jelly Pink
36.6,0.405,0,Akko CS Jelly Pink
36.6,0.41,0,Akko CS Jelly Pink
36.6,0.41,0,Akko CS Jelly Pink
36.6,0.415,0,Akko CS Jelly Pink
36.7,0.42,0,Akko CS Jelly Pink
36.8,0.425,0,Akko CS Jelly Pink
36.7,0.43,0,Akko CS Jelly Pink
36.7,0.435,0,Akko CS Jelly Pink
36.7,0.44,0,Akko CS Jelly Pink
36.8,0.44,0,Akko CS Jelly Pink
36.8,0.445,0,Akko CS Jelly Pink
36.8,0.45,0,Akko CS Jelly Pink
36.7,0.45,0,Akko CS Jelly Pink
36.8,0.455,0,Akko CS Jelly Pink
36.7,0.46,0,Akko CS Jelly Pink
36.7,0.46,0,Akko CS Jelly Pink
36.8,0.465,0,Akko CS Jelly Pink
36.7,0.47,0,Akko CS Jelly Pink
36.7,0.47,0,Akko CS Jelly Pink
36.7,0.475,0,Akko CS Jelly Pink
36.8,0.48,0,Akko CS Jelly Pink
36.8,0.485,0,Akko CS Jelly Pink
36.7,0.485,0,Akko CS Jelly Pink
36.7,0.49,0,Akko CS Jelly Pink
36.8,0.495,0,Akko CS Jelly Pink
36.8,0.5,0,Akko CS Jelly Pink
36.8,0.5,0,Akko CS Jelly Pink
36.8,0.505,0,Akko CS Jelly Pink
36.8,0.51,0,Akko CS Jelly Pink
36.8,0.515,0,Akko CS Jelly Pink
36.8,0.515,0,Akko CS Jelly Pink
36.8,0.52,0,Akko CS Jelly Pink
36.8,0.525,0,Akko CS Jelly Pink
36.8,0.53,0,Akko CS Jelly Pink
36.9,0.53,0,Akko CS Jelly Pink
36.9,0.535,0,Akko CS Jelly Pink
36.9,0.54,0,Akko CS Jelly Pink
36.9,0.54,0,Akko CS Jelly Pink
36.9,0.545,0,Akko CS Jelly Pink
37,0.55,0,Akko CS Jelly Pink
37,0.55,0,Akko CS Jelly Pink
37,0.555,0,Akko CS Jelly Pink
37,0.56,0,Akko CS Jelly Pink
37,0.56,0,Akko CS Jelly Pink
37,0.565,0,Akko CS Jelly Pink
37,0.57,0,Akko CS Jelly Pink
37,0.575,0,Akko CS Jelly Pink
37.1,0.575,0,Akko CS Jelly Pink
37.1,0.58,0,Akko CS Jelly Pink
37,0.585,0,Akko CS Jelly Pink
37.1,0.585,0,Akko CS Jelly Pink
