force,displacement,judge,name
0.1,0,0,Akko CS Jelly Purple
0,0,0,Akko CS Jelly Purple
0,0,0,Akko CS Jelly Purple
-0.1,0,0,Akko CS Jelly Purple
0,0,0,Akko CS Jelly Purple
-0.1,0,0,Akko CS Jelly Purple
0,0,0,Akko CS Jelly Purple
0,0,0,Akko CS Jelly Purple
0,0,0,Akko CS Jelly Purple
-0.1,0,0,Akko CS Jelly Purple
-0.1,0,0,Akko CS Jelly Purple
0,0,0,Akko CS Jelly Purple
0,0,0,Akko CS Jelly Purple
-0.1,0,0,Akko CS Jelly Purple
0,0,0,Akko CS Jelly Purple
0.1,0,0,Akko CS Jelly Purple
0,0,0,Akko CS Jelly Purple
0.1,0.005,0,Akko CS Jelly Purple
0,0.005,0,Akko CS Jelly Purple
0.3,0.005,0,Akko CS Jelly Purple
1.3,0.005,0,Akko CS Jelly Purple
2.5,0.01,0,Akko CS Jelly Purple
3.8,0.01,0,Akko CS Jelly Purple
4.8,0.01,0,Akko CS Jelly Purple
5.6,0.01,0,Akko CS Jelly Purple
6.4,0.01,0,Akko CS Jelly Purple
7.4,0.015,0,Akko CS Jelly Purple
8.5,0.015,0,Akko CS Jelly Purple
9.3,0.015,0,Akko CS Jelly Purple
9.7,0.02,0,Akko CS Jelly Purple
10.7,0.02,0,Akko CS Jelly Purple
11.6,0.02,0,Akko CS Jelly Purple
12.4,0.025,0,Akko CS Jelly Purple
13.3,0.025,0,Akko CS Jelly Purple
14.3,0.025,0,Akko CS Jelly Purple
15.8,0.025,0,Akko CS Jelly Purple
17,0.03,0,Akko CS Jelly Purple
18.2,0.03,0,Akko CS Jelly Purple
19.2,0.03,0,Akko CS Jelly Purple
19.9,0.03,0,Akko CS Jelly Purple
20.6,0.035,0,Akko CS Jelly Purple
21.5,0.035,0,Akko CS Jelly Purple
22.5,0.035,0,Akko CS Jelly Purple
23.3,0.035,0,Akko CS Jelly Purple
23.9,0.035,0,Akko CS Jelly Purple
24.5,0.035,0,Akko CS Jelly Purple
25.2,0.04,0,Akko CS Jelly Purple
25.8,0.04,0,Akko CS Jelly Purple
26.5,0.04,0,Akko CS Jelly Purple
27,0.04,0,Akko CS Jelly Purple
27.6,0.04,0,Akko CS Jelly Purple
28.5,0.04,0,Akko CS Jelly Purple
29.5,0.04,0,Akko CS Jelly Purple
30.5,0.045,0,Akko CS Jelly Purple
31.4,0.045,0,Akko CS Jelly Purple
32.3,0.045,0,Akko CS Jelly Purple
33.1,0.045,0,Akko CS Jelly Purple
33.7,0.05,0,Akko CS Jelly Purple
34,0.05,0,Akko CS Jelly Purple
34.3,0.05,0,Akko CS Jelly Purple
34.9,0.055,0,Akko CS Jelly Purple
35.5,0.055,0,Akko CS Jelly Purple
36.2,0.055,0,Akko CS Jelly Purple
36.8,0.055,0,Akko CS Jelly Purple
37.2,0.06,0,Akko CS Jelly Purple
37.7,0.06,0,Akko CS Jelly Purple
38.1,0.06,0,Akko CS Jelly Purple
38.6,0.06,0,Akko CS Jelly Purple
39.2,0.065,0,Akko CS Jelly Purple
39.7,0.065,0,Akko CS Jelly Purple
40.1,0.065,0,Akko CS Jelly Purple
40.7,0.065,0,Akko CS Jelly Purple
41,0.065,0,Akko CS Jelly Purple
41.5,0.07,0,Akko CS Jelly Purple
41.9,0.07,0,Akko CS Jelly Purple
42.5,0.07,0,Akko CS Jelly Purple
42.9,0.07,0,Akko CS Jelly Purple
43.2,0.07,0,Akko CS Jelly Purple
43.6,0.075,0,Akko CS Jelly Purple
43.7,0.075,0,Akko CS Jelly Purple
44,0.075,0,Akko CS Jelly Purple
44.5,0.075,0,Akko CS Jelly Purple
44.7,0.08,0,Akko CS Jelly Purple
45.1,0.08,0,Akko CS Jelly Purple
45.3,0.08,0,Akko CS Jelly Purple
45.5,0.08,0,Akko CS Jelly Purple
45.9,0.085,0,Akko CS Jelly Purple
46.2,0.085,0,Akko CS Jelly Purple
46.3,0.085,0,Akko CS Jelly Purple
46.4,0.085,0,Akko CS Jelly Purple
46.5,0.09,0,Akko CS Jelly Purple
46.5,0.09,0,Akko CS Jelly Purple
46.5,0.09,0,Akko CS Jelly Purple
46.6,0.09,0,Akko CS Jelly Purple
46.6,0.095,0,Akko CS Jelly Purple
46.8,0.095,0,Akko CS Jelly Purple
46.8,0.095,0,Akko CS Jelly Purple
46.9,0.095,0,Akko CS Jelly Purple
47,0.1,0,Akko CS Jelly Purple
47.1,0.1,0,Akko CS Jelly Purple
47.3,0.1,0,Akko CS Jelly Purple
47.3,0.105,0,Akko CS Jelly Purple
47.4,0.105,0,Akko CS Jelly Purple
47.6,0.105,0,Akko CS Jelly Purple
47.7,0.11,0,Akko CS Jelly Purple
47.8,0.11,0,Akko CS Jelly Purple
47.9,0.115,0,Akko CS Jelly Purple
48.1,0.115,0,Akko CS Jelly Purple
48.2,0.12,0,Akko CS Jelly Purple
48.3,0.12,0,Akko CS Jelly Purple
48.4,0.125,0,Akko CS Jelly Purple
48.5,0.13,0,Akko CS Jelly Purple
48.7,0.13,0,Akko CS Jelly Purple
48.9,0.135,0,Akko CS Jelly Purple
49,0.135,0,Akko CS Jelly Purple
49.2,0.14,0,Akko CS Jelly Purple
49.2,0.14,0,Akko CS Jelly Purple
49.4,0.145,0,Akko CS Jelly Purple
49.6,0.145,0,Akko CS Jelly Purple
49.8,0.15,0,Akko CS Jelly Purple
50,0.15,0,Akko CS Jelly Purple
50.2,0.155,0,Akko CS Jelly Purple
50.4,0.155,0,Akko CS Jelly Purple
50.6,0.16,0,Akko CS Jelly Purple
50.8,0.16,0,Akko CS Jelly Purple
51,0.165,0,Akko CS Jelly Purple
51.2,0.165,0,Akko CS Jelly Purple
51.3,0.17,0,Akko CS Jelly Purple
51.5,0.17,0,Akko CS Jelly Purple
51.7,0.175,0,Akko CS Jelly Purple
51.8,0.175,0,Akko CS Jelly Purple
51.9,0.18,0,Akko CS Jelly Purple
52.1,0.18,0,Akko CS Jelly Purple
52.2,0.185,0,Akko CS Jelly Purple
52.3,0.185,0,Akko CS Jelly Purple
52.4,0.19,0,Akko CS Jelly Purple
52.7,0.19,0,Akko CS Jelly Purple
52.7,0.195,0,Akko CS Jelly Purple
52.9,0.195,0,Akko CS Jelly Purple
53,0.195,0,Akko CS Jelly Purple
53.1,0.2,0,Akko CS Jelly Purple
53.2,0.2,0,Akko CS Jelly Purple
53.2,0.205,0,Akko CS Jelly Purple
53.3,0.205,0,Akko CS Jelly Purple
53.5,0.21,0,Akko CS Jelly Purple
53.5,0.21,0,Akko CS Jelly Purple
53.7,0.215,0,Akko CS Jelly Purple
53.7,0.215,0,Akko CS Jelly Purple
53.8,0.215,0,Akko CS Jelly Purple
53.8,0.22,0,Akko CS Jelly Purple
53.9,0.22,0,Akko CS Jelly Purple
53.9,0.225,0,Akko CS Jelly Purple
53.9,0.225,0,Akko CS Jelly Purple
53.9,0.225,0,Akko CS Jelly Purple
53.9,0.23,0,Akko CS Jelly Purple
54,0.23,0,Akko CS Jelly Purple
54,0.23,0,Akko CS Jelly Purple
53.9,0.235,0,Akko CS Jelly Purple
53.9,0.235,0,Akko CS Jelly Purple
53.9,0.235,0,Akko CS Jelly Purple
53.9,0.235,0,Akko CS Jelly Purple
53.9,0.24,0,Akko CS Jelly Purple
54,0.24,0,Akko CS Jelly Purple
53.9,0.24,0,Akko CS Jelly Purple
54.1,0.245,0,Akko CS Jelly Purple
54,0.245,0,Akko CS Jelly Purple
53.9,0.245,0,Akko CS Jelly Purple
53.9,0.25,0,Akko CS Jelly Purple
54,0.25,0,Akko CS Jelly Purple
54,0.25,0,Akko CS Jelly Purple
54,0.255,0,Akko CS Jelly Purple
54,0.255,0,Akko CS Jelly Purple
54,0.255,0,Akko CS Jelly Purple
54,0.26,0,Akko CS Jelly Purple
54,0.26,0,Akko CS Jelly Purple
54,0.26,0,Akko CS Jelly Purple
54,0.265,0,Akko CS Jelly Purple
54.1,0.265,0,Akko CS Jelly Purple
54.2,0.27,0,Akko CS Jelly Purple
53.9,0.27,0,Akko CS Jelly Purple
54,0.275,0,Akko CS Jelly Purple
54,0.275,0,Akko CS Jelly Purple
54,0.275,0,Akko CS Jelly Purple
54.1,0.28,0,Akko CS Jelly Purple
54.2,0.28,0,Akko CS Jelly Purple
54.1,0.285,0,Akko CS Jelly Purple
54.1,0.285,0,Akko CS Jelly Purple
54,0.29,0,Akko CS Jelly Purple
54,0.29,0,Akko CS Jelly Purple
54,0.295,0,Akko CS Jelly Purple
54.1,0.3,0,Akko CS Jelly Purple
54,0.305,0,Akko CS Jelly Purple
53.9,0.305,0,Akko CS Jelly Purple
53.8,0.31,0,Akko CS Jelly Purple
53.9,0.315,0,Akko CS Jelly Purple
53.9,0.315,0,Akko CS Jelly Purple
53.8,0.32,0,Akko CS Jelly Purple
53.8,0.325,0,Akko CS Jelly Purple
53.8,0.325,0,Akko CS Jelly Purple
53.9,0.33,0,Akko CS Jelly Purple
53.8,0.33,0,Akko CS Jelly Purple
53.9,0.335,0,Akko CS Jelly Purple
53.8,0.34,0,Akko CS Jelly Purple
53.8,0.34,0,Akko CS Jelly Purple
53.8,0.345,0,Akko CS Jelly Purple
53.7,0.35,0,Akko CS Jelly Purple
53.6,0.355,0,Akko CS Jelly Purple
53.5,0.355,0,Akko CS Jelly Purple
