force,displacement,judge,name
0,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0.1,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0.2,0,0,Akko CS Starfish
-0.1,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0.1,0,0,Akko CS Starfish
-0.1,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0.1,0,0,Akko CS Starfish
0,0,0,Akko CS Starfish
0,0.005,0,Akko CS Starfish
0,0.01,0,Akko CS Starfish
0.1,0.01,0,Akko CS Starfish
0.4,0.02,0,Akko CS Starfish
2.4,0.025,0,Akko CS Starfish
6.6,0.03,0,Akko CS Starfish
11,0.035,0,Akko CS Starfish
15.9,0.04,0,Akko CS Starfish
20.9,0.045,0,Akko CS Starfish
26,0.05,0,Akko CS Starfish
31,0.055,0,Akko CS Starfish
35.1,0.06,0,Akko CS Starfish
38.8,0.065,0,Akko CS Starfish
40,0.065,0,Akko CS Starfish
40.5,0.07,0,Akko CS Starfish
41.2,0.075,0,Akko CS Starfish
41.7,0.075,0,Akko CS Starfish
41.9,0.08,0,Akko CS Starfish
41.7,0.08,0,Akko CS Starfish
41.6,0.085,0,Akko CS Starfish
41.4,0.085,0,Akko CS Starfish
41.2,0.09,0,Akko CS Starfish
41.2,0.09,0,Akko CS Starfish
41.2,0.09,0,Akko CS Starfish
41.1,0.095,0,Akko CS Starfish
41.1,0.095,0,Akko CS Starfish
41.1,0.1,0,Akko CS Starfish
41.2,0.1,0,Akko CS Starfish
40.8,0.105,0,Akko CS Starfish
40.9,0.105,0,Akko CS Starfish
40.9,0.105,0,Akko CS Starfish
40.8,0.11,0,Akko CS Starfish
40.7,0.11,0,Akko CS Starfish
40.7,0.115,0,Akko CS Starfish
40.7,0.115,0,Akko CS Starfish
40.7,0.12,0,Akko CS Starfish
40.7,0.12,0,Akko CS Starfish
40.6,0.125,0,Akko CS Starfish
40.5,0.13,0,Akko CS Starfish
40.5,0.13,0,Akko CS Starfish
40.6,0.135,0,Akko CS Starfish
40.4,0.135,0,Akko CS Starfish
40.4,0.14,0,Akko CS Starfish
40.5,0.14,0,Akko CS Starfish
40.5,0.145,0,Akko CS Starfish
40.7,0.145,0,Akko CS Starfish
40.6,0.15,0,Akko CS Starfish
40.6,0.15,0,Akko CS Starfish
40.7,0.155,0,Akko CS Starfish
40.7,0.155,0,Akko CS Starfish
40.7,0.16,0,Akko CS Starfish
40.7,0.16,0,Akko CS Starfish
40.7,0.165,0,Akko CS Starfish
40.8,0.165,0,Akko CS Starfish
40.9,0.17,0,Akko CS Starfish
40.9,0.17,0,Akko CS Starfish
40.9,0.175,0,Akko CS Starfish
40.9,0.175,0,Akko CS Starfish
40.9,0.18,0,Akko CS Starfish
40.9,0.18,0,Akko CS Starfish
41,0.185,0,Akko CS Starfish
41,0.185,0,Akko CS Starfish
41,0.19,0,Akko CS Starfish
41,0.19,0,Akko CS Starfish
41,0.195,0,Akko CS Starfish
40.9,0.2,0,Akko CS Starfish
40.7,0.2,0,Akko CS Starfish
40.6,0.205,0,Akko CS Starfish
40.6,0.21,0,Akko CS Starfish
40.6,0.215,0,Akko CS Starfish
40.6,0.215,0,Akko CS Starfish
40.6,0.22,0,Akko CS Starfish
40.6,0.22,0,Akko CS Starfish
40.6,0.225,0,Akko CS Starfish
40.3,0.23,0,Akko CS Starfish
40.5,0.23,0,Akko CS Starfish
40.5,0.235,0,Akko CS Starfish
40.5,0.235,0,Akko CS Starfish
40.4,0.24,0,Akko CS Starfish
40.2,0.24,0,Akko CS Starfish
40.2,0.245,0,Akko CS Starfish
40.2,0.245,0,Akko CS Starfish
40.3,0.25,0,Akko CS Starfish
40.1,0.25,0,Akko CS Starfish
40,0.255,0,Akko CS Starfish
40.2,0.255,0,Akko CS Starfish
40,0.255,0,Akko CS Starfish
39.9,0.26,0,Akko CS Starfish
40,0.26,0,Akko CS Starfish
40.1,0.265,0,Akko CS Starfish
40.1,0.265,0,Akko CS Starfish
40.1,0.27,0,Akko CS Starfish
40,0.275,0,Akko CS Starfish
39.7,0.28,0,Akko CS Starfish
39.8,0.28,0,Akko CS Starfish
40,0.285,0,Akko CS Starfish
40.1,0.285,0,Akko CS Starfish
40.1,0.29,0,Akko CS Starfish
40,0.29,0,Akko CS Starfish
40.2,0.295,0,Akko CS Starfish
40.2,0.3,0,Akko CS Starfish
40.2,0.3,0,Akko CS Starfish
40.2,0.305,0,Akko CS Starfish
40.2,0.305,0,Akko CS Starfish
40.2,0.31,0,Akko CS Starfish
40.3,0.31,0,Akko CS Starfish
40.3,0.31,0,Akko CS Starfish
40.5,0.315,0,Akko CS Starfish
40.7,0.32,0,Akko CS Starfish
40.8,0.32,0,Akko CS Starfish
40.6,0.325,0,Akko CS Starfish
40.6,0.33,0,Akko CS Starfish
40.7,0.335,0,Akko CS Starfish
40.8,0.34,0,Akko CS Starfish
40.7,0.345,0,Akko CS Starfish
40.7,0.345,0,Akko CS Starfish
40.6,0.35,0,Akko CS Starfish
40.6,0.355,0,Akko CS Starfish
