force,displacement,judge,name
-0.1,0,0,Akko Crystal
0.1,0,0,Akko Crystal
-0.1,0,0,Akko Crystal
-0.1,0,0,Akko Crystal
0.1,0,0,Akko Crystal
0.2,0,0,Akko Crystal
0.1,0,0,Akko Crystal
-0.1,0,0,Akko Crystal
0,0,0,Akko Crystal
0,0,0,Akko Crystal
0,0,0,Akko Crystal
0.1,0,0,Akko Crystal
0.1,0,0,Akko Crystal
0,0,0,Akko Crystal
-0.1,0,0,Akko Crystal
-0.1,0,0,Akko Crystal
0,0.005,0,Akko Crystal
0,0.005,0,Akko Crystal
0.1,0.005,0,Akko Crystal
0,0.01,0,Akko Crystal
0,0.01,0,Akko Crystal
0,0.015,0,Akko Crystal
-0.1,0.015,0,Akko Crystal
0,0.02,0,Akko Crystal
0.1,0.02,0,Akko Crystal
0.1,0.02,0,Akko Crystal
0.4,0.025,0,Akko Crystal
1.6,0.025,0,Akko Crystal
3.2,0.03,0,Akko Crystal
4.9,0.03,0,Akko Crystal
6.4,0.03,0,Akko Crystal
7.8,0.035,0,Akko Crystal
9.7,0.035,0,Akko Crystal
11.5,0.035,0,Akko Crystal
12.8,0.04,0,Akko Crystal
14.4,0.04,0,Akko Crystal
16,0.04,0,Akko Crystal
17.5,0.045,0,Akko Crystal
19.1,0.045,0,Akko Crystal
20.5,0.045,0,Akko Crystal
22.1,0.05,0,Akko Crystal
23.5,0.05,0,Akko Crystal
24.9,0.05,0,Akko Crystal
26.5,0.055,0,Akko Crystal
28.2,0.055,0,Akko Crystal
29.9,0.055,0,Akko Crystal
31.4,0.06,0,Akko Crystal
32.6,0.06,0,Akko Crystal
33.9,0.06,0,Akko Crystal
35.3,0.065,0,Akko Crystal
36,0.065,0,Akko Crystal
35.8,0.065,0,Akko Crystal
36.2,0.07,0,Akko Crystal
36.7,0.07,0,Akko Crystal
37.3,0.07,0,Akko Crystal
38.1,0.075,0,Akko Crystal
38.8,0.08,0,Akko Crystal
39.7,0.08,0,Akko Crystal
40.3,0.085,0,Akko Crystal
41.1,0.09,0,Akko Crystal
42,0.095,0,Akko Crystal
41.6,0.095,0,Akko Crystal
41.4,0.095,0,Akko Crystal
42.1,0.095,0,Akko Crystal
42.3,0.095,0,Akko Crystal
42.5,0.1,0,Akko Crystal
42,0.1,0,Akko Crystal
41.8,0.1,0,Akko Crystal
42,0.1,0,Akko Crystal
42.2,0.105,0,Akko Crystal
41.9,0.105,0,Akko Crystal
41.6,0.11,0,Akko Crystal
