force,displacement,judge,name
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0,0,Akko Crystal V3 Pro
0,0.005,0,Akko Crystal V3 Pro
0,0.005,0,Akko Crystal V3 Pro
0,0.005,0,Akko Crystal V3 Pro
0,0.005,0,Akko Crystal V3 Pro
0,0.01,0,Akko Crystal V3 Pro
0,0.01,0,Akko Crystal V3 Pro
0,0.01,0,Akko Crystal V3 Pro
0,0.015,0,Akko Crystal V3 Pro
0,0.015,0,Akko Crystal V3 Pro
0,0.02,0,Akko Crystal V3 Pro
0,0.02,0,Akko Crystal V3 Pro
0,0.025,0,Akko Crystal V3 Pro
0,0.025,0,Akko Crystal V3 Pro
0,0.03,0,Akko Crystal V3 Pro
0,0.03,0,Akko Crystal V3 Pro
1.5,0.035,0,Akko Crystal V3 Pro
4.1,0.035,0,Akko Crystal V3 Pro
6.5,0.04,0,Akko Crystal V3 Pro
8.7,0.04,0,Akko Crystal V3 Pro
10.7,0.045,0,Akko Crystal V3 Pro
12.6,0.045,0,Akko Crystal V3 Pro
14.6,0.05,0,Akko Crystal V3 Pro
16.5,0.05,0,Akko Crystal V3 Pro
18.4,0.05,0,Akko Crystal V3 Pro
20.3,0.055,0,Akko Crystal V3 Pro
22.3,0.055,0,Akko Crystal V3 Pro
24.1,0.06,0,Akko Crystal V3 Pro
25.8,0.06,0,Akko Crystal V3 Pro
27.2,0.06,0,Akko Crystal V3 Pro
28.5,0.065,0,Akko Crystal V3 Pro
29.7,0.065,0,Akko Crystal V3 Pro
30.3,0.065,0,Akko Crystal V3 Pro
30.6,0.065,0,Akko Crystal V3 Pro
30.9,0.065,0,Akko Crystal V3 Pro
31.1,0.07,0,Akko Crystal V3 Pro
31.3,0.07,0,Akko Crystal V3 Pro
31.5,0.07,0,Akko Crystal V3 Pro
31.7,0.07,0,Akko Crystal V3 Pro
31.8,0.07,0,Akko Crystal V3 Pro
31.9,0.075,0,Akko Crystal V3 Pro
32.1,0.075,0,Akko Crystal V3 Pro
32.3,0.075,0,Akko Crystal V3 Pro
32.4,0.075,0,Akko Crystal V3 Pro
32.5,0.075,0,Akko Crystal V3 Pro
32.6,0.075,0,Akko Crystal V3 Pro
32.8,0.075,0,Akko Crystal V3 Pro
32.9,0.08,0,Akko Crystal V3 Pro
33,0.08,0,Akko Crystal V3 Pro
33.2,0.08,0,Akko Crystal V3 Pro
33.3,0.08,0,Akko Crystal V3 Pro
33.4,0.08,0,Akko Crystal V3 Pro
33.6,0.08,0,Akko Crystal V3 Pro
33.8,0.08,0,Akko Crystal V3 Pro
34,0.08,0,Akko Crystal V3 Pro
34.2,0.085,0,Akko Crystal V3 Pro
34.3,0.085,0,Akko Crystal V3 Pro
34.4,0.085,0,Akko Crystal V3 Pro
34.7,0.085,0,Akko Crystal V3 Pro
34.9,0.085,0,Akko Crystal V3 Pro
35,0.09,0,Akko Crystal V3 Pro
34.9,0.09,0,Akko Crystal V3 Pro
34.8,0.09,0,Akko Crystal V3 Pro
34.8,0.09,0,Akko Crystal V3 Pro
34.9,0.09,0,Akko Crystal V3 Pro
35,0.095,0,Akko Crystal V3 Pro
35.1,0.095,0,Akko Crystal V3 Pro
35.1,0.095,0,Akko Crystal V3 Pro
35.1,0.095,0,Akko Crystal V3 Pro
35.1,0.1,0,Akko Crystal V3 Pro
35.1,0.1,0,Akko Crystal V3 Pro
35.1,0.1,0,Akko Crystal V3 Pro
35.1,0.1,0,Akko Crystal V3 Pro
35.1,0.105,0,Akko Crystal V3 Pro
35.1,0.105,0,Akko Crystal V3 Pro
35.2,0.105,0,Akko Crystal V3 Pro
35.3,0.105,0,Akko Crystal V3 Pro
35.2,0.11,0,Akko Crystal V3 Pro
35,0.11,0,Akko Crystal V3 Pro
35.1,0.115,0,Akko Crystal V3 Pro
35,0.115,0,Akko Crystal V3 Pro
35.1,0.115,0,Akko Crystal V3 Pro
35,0.12,0,Akko Crystal V3 Pro
35,0.12,0,Akko Crystal V3 Pro
35.1,0.125,0,Akko Crystal V3 Pro
34.9,0.125,0,Akko Crystal V3 Pro
34.9,0.125,0,Akko Crystal V3 Pro
35,0.13,0,Akko Crystal V3 Pro
35.1,0.13,0,Akko Crystal V3 Pro
35.2,0.13,0,Akko Crystal V3 Pro
35.2,0.135,0,Akko Crystal V3 Pro
34.9,0.14,0,Akko Crystal V3 Pro
34.8,0.14,0,Akko Crystal V3 Pro
34.9,0.145,0,Akko Crystal V3 Pro
34.8,0.145,0,Akko Crystal V3 Pro
34.8,0.15,0,Akko Crystal V3 Pro
34.6,0.155,0,Akko Crystal V3 Pro
34.7,0.155,0,Akko Crystal V3 Pro
34.6,0.16,0,Akko Crystal V3 Pro
34.6,0.165,0,Akko Crystal V3 Pro
34.4,0.165,0,Akko Crystal V3 Pro
34.6,0.17,0,Akko Crystal V3 Pro
34.4,0.175,0,Akko Crystal V3 Pro
34.3,0.18,0,Akko Crystal V3 Pro
34.3,0.185,0,Akko Crystal V3 Pro
34.1,0.185,0,Akko Crystal V3 Pro
34.1,0.19,0,Akko Crystal V3 Pro
34,0.195,0,Akko Crystal V3 Pro
33.9,0.2,0,Akko Crystal V3 Pro
33.9,0.205,0,Akko Crystal V3 Pro
33.8,0.21,0,Akko Crystal V3 Pro
33.7,0.215,0,Akko Crystal V3 Pro
33.6,0.215,0,Akko Crystal V3 Pro
33.6,0.22,0,Akko Crystal V3 Pro
33.6,0.225,0,Akko Crystal V3 Pro
33.5,0.225,0,Akko Crystal V3 Pro
33.5,0.23,0,Akko Crystal V3 Pro
33.4,0.235,0,Akko Crystal V3 Pro
33.4,0.24,0,Akko Crystal V3 Pro
32.9,0.24,0,Akko Crystal V3 Pro
33.5,0.245,0,Akko Crystal V3 Pro
33.6,0.25,0,Akko Crystal V3 Pro
33.4,0.25,0,Akko Crystal V3 Pro
33.4,0.255,0,Akko Crystal V3 Pro
33.4,0.26,0,Akko Crystal V3 Pro
33.4,0.26,0,Akko Crystal V3 Pro
33.4,0.26,0,Akko Crystal V3 Pro
33.5,0.265,0,Akko Crystal V3 Pro
33.4,0.265,0,Akko Crystal V3 Pro
33.3,0.27,0,Akko Crystal V3 Pro
33.4,0.27,0,Akko Crystal V3 Pro
33.4,0.27,0,Akko Crystal V3 Pro
33.4,0.275,0,Akko Crystal V3 Pro
33.3,0.275,0,Akko Crystal V3 Pro
33.3,0.28,0,Akko Crystal V3 Pro
33.3,0.28,0,Akko Crystal V3 Pro
33.3,0.285,0,Akko Crystal V3 Pro
33.3,0.29,0,Akko Crystal V3 Pro
33.3,0.29,0,Akko Crystal V3 Pro
33.4,0.295,0,Akko Crystal V3 Pro
33.5,0.3,0,Akko Crystal V3 Pro
33.3,0.3,0,Akko Crystal V3 Pro
33.4,0.3,0,Akko Crystal V3 Pro
33.6,0.305,0,Akko Crystal V3 Pro
33.5,0.305,0,Akko Crystal V3 Pro
33.5,0.31,0,Akko Crystal V3 Pro
33.5,0.31,0,Akko Crystal V3 Pro
33.5,0.315,0,Akko Crystal V3 Pro
33.4,0.315,0,Akko Crystal V3 Pro
33.6,0.315,0,Akko Crystal V3 Pro
33.6,0.32,0,Akko Crystal V3 Pro
33.6,0.32,0,Akko Crystal V3 Pro
33.5,0.325,0,Akko Crystal V3 Pro
33.7,0.325,0,Akko Crystal V3 Pro
33.8,0.33,0,Akko Crystal V3 Pro
33.7,0.33,0,Akko Crystal V3 Pro
33.7,0.335,0,Akko Crystal V3 Pro
33.6,0.335,0,Akko Crystal V3 Pro
33.6,0.335,0,Akko Crystal V3 Pro
33.8,0.335,0,Akko Crystal V3 Pro
34,0.34,0,Akko Crystal V3 Pro
33.9,0.34,0,Akko Crystal V3 Pro
33.8,0.345,0,Akko Crystal V3 Pro
33.8,0.345,0,Akko Crystal V3 Pro
33.9,0.345,0,Akko Crystal V3 Pro
33.9,0.35,0,Akko Crystal V3 Pro
33.8,0.35,0,Akko Crystal V3 Pro
33.9,0.35,0,Akko Crystal V3 Pro
33.9,0.35,0,Akko Crystal V3 Pro
33.9,0.355,0,Akko Crystal V3 Pro
33.9,0.355,0,Akko Crystal V3 Pro
34,0.355,0,Akko Crystal V3 Pro
34,0.36,0,Akko Crystal V3 Pro
34,0.36,0,Akko Crystal V3 Pro
33.9,0.36,0,Akko Crystal V3 Pro
33.9,0.36,0,Akko Crystal V3 Pro
33.9,0.365,0,Akko Crystal V3 Pro
34,0.365,0,Akko Crystal V3 Pro
33.9,0.37,0,Akko Crystal V3 Pro
33.8,0.37,0,Akko Crystal V3 Pro
33.9,0.37,0,Akko Crystal V3 Pro
33.8,0.375,0,Akko Crystal V3 Pro
33.8,0.375,0,Akko Crystal V3 Pro
33.8,0.38,0,Akko Crystal V3 Pro
33.9,0.38,0,Akko Crystal V3 Pro
33.8,0.385,0,Akko Crystal V3 Pro
33.7,0.385,0,Akko Crystal V3 Pro
33.7,0.39,0,Akko Crystal V3 Pro
33.6,0.39,0,Akko Crystal V3 Pro
33.5,0.395,0,Akko Crystal V3 Pro
33.6,0.395,0,Akko Crystal V3 Pro
33.5,0.4,0,Akko Crystal V3 Pro
33.5,0.405,0,Akko Crystal V3 Pro
33.4,0.41,0,Akko Crystal V3 Pro
33.4,0.41,0,Akko Crystal V3 Pro
33.5,0.415,0,Akko Crystal V3 Pro
33.4,0.42,0,Akko Crystal V3 Pro
33.4,0.42,0,Akko Crystal V3 Pro
33.4,0.425,0,Akko Crystal V3 Pro
33.4,0.43,0,Akko Crystal V3 Pro
33.4,0.435,0,Akko Crystal V3 Pro
33.4,0.44,0,Akko Crystal V3 Pro
33.4,0.445,0,Akko Crystal V3 Pro
33.4,0.445,0,Akko Crystal V3 Pro
33.4,0.45,0,Akko Crystal V3 Pro
33.5,0.45,0,Akko Crystal V3 Pro
33.5,0.455,0,Akko Crystal V3 Pro
33.5,0.455,0,Akko Crystal V3 Pro
33.4,0.46,0,Akko Crystal V3 Pro
33.4,0.46,0,Akko Crystal V3 Pro
33.4,0.465,0,Akko Crystal V3 Pro
33.4,0.465,0,Akko Crystal V3 Pro
33.5,0.47,0,Akko Crystal V3 Pro
33.4,0.475,0,Akko Crystal V3 Pro
33.5,0.475,0,Akko Crystal V3 Pro
33.4,0.48,0,Akko Crystal V3 Pro
33.3,0.48,0,Akko Crystal V3 Pro
33.3,0.485,0,Akko Crystal V3 Pro
33.3,0.49,0,Akko Crystal V3 Pro
33.2,0.495,0,Akko Crystal V3 Pro
33.2,0.495,0,Akko Crystal V3 Pro
33.2,0.5,0,Akko Crystal V3 Pro
33.2,0.505,0,Akko Crystal V3 Pro
33.2,0.51,0,Akko Crystal V3 Pro
33.2,0.51,0,Akko Crystal V3 Pro
33.2,0.515,0,Akko Crystal V3 Pro
33.2,0.52,0,Akko Crystal V3 Pro
33.2,0.525,0,Akko Crystal V3 Pro
33.2,0.525,0,Akko Crystal V3 Pro
33.2,0.53,0,Akko Crystal V3 Pro
33.2,0.535,0,Akko Crystal V3 Pro
33.2,0.535,0,Akko Crystal V3 Pro
33.2,0.54,0,Akko Crystal V3 Pro
33.1,0.545,0,Akko Crystal V3 Pro
33.1,0.545,0,Akko Crystal V3 Pro
33.2,0.55,0,Akko Crystal V3 Pro
33.2,0.55,0,Akko Crystal V3 Pro
33.1,0.555,0,Akko Crystal V3 Pro
33.2,0.555,0,Akko Crystal V3 Pro
33.2,0.56,0,Akko Crystal V3 Pro
33.2,0.56,0,Akko Crystal V3 Pro
33.2,0.565,0,Akko Crystal V3 Pro
