force,displacement,judge,name
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0,0,Akko Ice Cream Pink
0,0.005,0,Akko Ice Cream Pink
0,0.005,0,Akko Ice Cream Pink
0,0.005,0,Akko Ice Cream Pink
0,0.01,0,Akko Ice Cream Pink
0,0.01,0,Akko Ice Cream Pink
0,0.01,0,Akko Ice Cream Pink
0,0.015,0,Akko Ice Cream Pink
0,0.015,0,Akko Ice Cream Pink
0,0.02,0,Akko Ice Cream Pink
0,0.025,0,Akko Ice Cream Pink
0,0.03,0,Akko Ice Cream Pink
0,0.03,0,Akko Ice Cream Pink
0,0.035,0,Akko Ice Cream Pink
0,0.04,0,Akko Ice Cream Pink
0,0.04,0,Akko Ice Cream Pink
0.4,0.045,0,Akko Ice Cream Pink
2.4,0.045,0,Akko Ice Cream Pink
4.4,0.05,0,Akko Ice Cream Pink
6.6,0.05,0,Akko Ice Cream Pink
8.4,0.055,0,Akko Ice Cream Pink
10,0.055,0,Akko Ice Cream Pink
11.6,0.055,0,Akko Ice Cream Pink
13.8,0.06,0,Akko Ice Cream Pink
16.2,0.06,0,Akko Ice Cream Pink
19,0.065,0,Akko Ice Cream Pink
21.4,0.07,0,Akko Ice Cream Pink
24,0.07,0,Akko Ice Cream Pink
26.8,0.075,0,Akko Ice Cream Pink
29.6,0.075,0,Akko Ice Cream Pink
31.8,0.08,0,Akko Ice Cream Pink
33.6,0.08,0,Akko Ice Cream Pink
33.7,0.085,0,Akko Ice Cream Pink
33.7,0.085,0,Akko Ice Cream Pink
33.9,0.085,0,Akko Ice Cream Pink
34,0.09,0,Akko Ice Cream Pink
34.2,0.09,0,Akko Ice Cream Pink
34.3,0.095,0,Akko Ice Cream Pink
34.4,0.095,0,Akko Ice Cream Pink
34.2,0.095,0,Akko Ice Cream Pink
33.7,0.1,0,Akko Ice Cream Pink
33.8,0.1,0,Akko Ice Cream Pink
33.7,0.105,0,Akko Ice Cream Pink
33.7,0.105,0,Akko Ice Cream Pink
33.7,0.11,0,Akko Ice Cream Pink
33.7,0.11,0,Akko Ice Cream Pink
33.7,0.115,0,Akko Ice Cream Pink
33.7,0.115,0,Akko Ice Cream Pink
33.6,0.12,0,Akko Ice Cream Pink
33.6,0.125,0,Akko Ice Cream Pink
33.5,0.13,0,Akko Ice Cream Pink
33.5,0.13,0,Akko Ice Cream Pink
33.4,0.135,0,Akko Ice Cream Pink
33.4,0.135,0,Akko Ice Cream Pink
33.4,0.14,0,Akko Ice Cream Pink
33.5,0.14,0,Akko Ice Cream Pink
33.5,0.145,0,Akko Ice Cream Pink
33.5,0.145,0,Akko Ice Cream Pink
33.5,0.15,0,Akko Ice Cream Pink
33.6,0.15,0,Akko Ice Cream Pink
33.6,0.155,0,Akko Ice Cream Pink
