force,displacement,judge,name
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
-0.1,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0,0,Akko Ice Cream Purple
0,0.005,0,Akko Ice Cream Purple
0,0.005,0,Akko Ice Cream Purple
0,0.005,0,Akko Ice Cream Purple
0,0.005,0,Akko Ice Cream Purple
0.4,0.01,0,Akko Ice Cream Purple
0.9,0.01,0,Akko Ice Cream Purple
2,0.01,0,Akko Ice Cream Purple
3,0.01,0,Akko Ice Cream Purple
3.6,0.015,0,Akko Ice Cream Purple
4.3,0.015,0,Akko Ice Cream Purple
4.7,0.015,0,Akko Ice Cream Purple
5.2,0.015,0,Akko Ice Cream Purple
5.7,0.015,0,Akko Ice Cream Purple
6.3,0.015,0,Akko Ice Cream Purple
6.7,0.015,0,Akko Ice Cream Purple
7.3,0.015,0,Akko Ice Cream Purple
8.1,0.02,0,Akko Ice Cream Purple
8.5,0.02,0,Akko Ice Cream Purple
9,0.02,0,Akko Ice Cream Purple
9.4,0.02,0,Akko Ice Cream Purple
9.8,0.02,0,Akko Ice Cream Purple
10.2,0.02,0,Akko Ice Cream Purple
10.6,0.02,0,Akko Ice Cream Purple
10.9,0.02,0,Akko Ice Cream Purple
11.3,0.02,0,Akko Ice Cream Purple
11.8,0.02,0,Akko Ice Cream Purple
12.4,0.02,0,Akko Ice Cream Purple
13,0.025,0,Akko Ice Cream Purple
13.5,0.025,0,Akko Ice Cream Purple
14.2,0.025,0,Akko Ice Cream Purple
14.8,0.025,0,Akko Ice Cream Purple
15.4,0.025,0,Akko Ice Cream Purple
15.9,0.025,0,Akko Ice Cream Purple
16.3,0.025,0,Akko Ice Cream Purple
17,0.025,0,Akko Ice Cream Purple
17.3,0.025,0,Akko Ice Cream Purple
17.8,0.03,0,Akko Ice Cream Purple
18.3,0.03,0,Akko Ice Cream Purple
18.9,0.03,0,Akko Ice Cream Purple
19.5,0.03,0,Akko Ice Cream Purple
20.2,0.03,0,Akko Ice Cream Purple
20.8,0.03,0,Akko Ice Cream Purple
21.8,0.03,0,Akko Ice Cream Purple
22.6,0.035,0,Akko Ice Cream Purple
23.3,0.035,0,Akko Ice Cream Purple
23.9,0.035,0,Akko Ice Cream Purple
24.9,0.035,0,Akko Ice Cream Purple
25.9,0.035,0,Akko Ice Cream Purple
26.7,0.04,0,Akko Ice Cream Purple
27.6,0.04,0,Akko Ice Cream Purple
28.7,0.04,0,Akko Ice Cream Purple
29.5,0.04,0,Akko Ice Cream Purple
30.2,0.04,0,Akko Ice Cream Purple
30.8,0.04,0,Akko Ice Cream Purple
31.5,0.045,0,Akko Ice Cream Purple
32,0.045,0,Akko Ice Cream Purple
32.5,0.045,0,Akko Ice Cream Purple
33,0.045,0,Akko Ice Cream Purple
33.5,0.045,0,Akko Ice Cream Purple
33.9,0.045,0,Akko Ice Cream Purple
34.4,0.045,0,Akko Ice Cream Purple
35,0.05,0,Akko Ice Cream Purple
35.6,0.05,0,Akko Ice Cream Purple
36.4,0.05,0,Akko Ice Cream Purple
37,0.05,0,Akko Ice Cream Purple
37.6,0.05,0,Akko Ice Cream Purple
38.1,0.055,0,Akko Ice Cream Purple
