force,displacement,judge,name
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
-0.1,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0,0,Akko Matcha Green V3 Pro
0,0.005,0,Akko Matcha Green V3 Pro
0,0.005,0,Akko Matcha Green V3 Pro
0,0.005,0,Akko Matcha Green V3 Pro
0,0.005,0,Akko Matcha Green V3 Pro
0,0.005,0,Akko Matcha Green V3 Pro
0,0.005,0,Akko Matcha Green V3 Pro
0,0.01,0,Akko Matcha Green V3 Pro
0,0.01,0,Akko Matcha Green V3 Pro
0,0.01,0,Akko Matcha Green V3 Pro
0,0.01,0,Akko Matcha Green V3 Pro
0,0.01,0,Akko Matcha Green V3 Pro
0,0.01,0,Akko Matcha Green V3 Pro
0,0.01,0,Akko Matcha Green V3 Pro
0,0.01,0,Akko Matcha Green V3 Pro
0,0.015,0,Akko Matcha Green V3 Pro
0,0.015,0,Akko Matcha Green V3 Pro
0,0.02,0,Akko Matcha Green V3 Pro
0,0.02,0,Akko Matcha Green V3 Pro
0,0.025,0,Akko Matcha Green V3 Pro
0,0.03,0,Akko Matcha Green V3 Pro
0,0.04,0,Akko Matcha Green V3 Pro
0,0.045,0,Akko Matcha Green V3 Pro
0,0.05,0,Akko Matcha Green V3 Pro
0,0.055,0,Akko Matcha Green V3 Pro
0,0.06,0,Akko Matcha Green V3 Pro
0,0.065,0,Akko Matcha Green V3 Pro
0,0.065,0,Akko Matcha Green V3 Pro
0,0.07,0,Akko Matcha Green V3 Pro
0,0.075,0,Akko Matcha Green V3 Pro
0,0.075,0,Akko Matcha Green V3 Pro
0,0.08,0,Akko Matcha Green V3 Pro
0,0.08,0,Akko Matcha Green V3 Pro
0,0.085,0,Akko Matcha Green V3 Pro
0,0.085,0,Akko Matcha Green V3 Pro
0,0.085,0,Akko Matcha Green V3 Pro
0,0.09,0,Akko Matcha Green V3 Pro
0,0.09,0,Akko Matcha Green V3 Pro
0,0.095,0,Akko Matcha Green V3 Pro
0,0.095,0,Akko Matcha Green V3 Pro
0,0.095,0,Akko Matcha Green V3 Pro
0,0.1,0,Akko Matcha Green V3 Pro
0,0.1,0,Akko Matcha Green V3 Pro
0,0.105,0,Akko Matcha Green V3 Pro
0,0.105,0,Akko Matcha Green V3 Pro
0,0.11,0,Akko Matcha Green V3 Pro
0,0.115,0,Akko Matcha Green V3 Pro
0,0.115,0,Akko Matcha Green V3 Pro
0.2,0.12,0,Akko Matcha Green V3 Pro
2.9,0.125,0,Akko Matcha Green V3 Pro
6.5,0.13,0,Akko Matcha Green V3 Pro
10.1,0.13,0,Akko Matcha Green V3 Pro
12.9,0.135,0,Akko Matcha Green V3 Pro
15.4,0.135,0,Akko Matcha Green V3 Pro
17.7,0.14,0,Akko Matcha Green V3 Pro
20.2,0.14,0,Akko Matcha Green V3 Pro
22.4,0.145,0,Akko Matcha Green V3 Pro
24.3,0.145,0,Akko Matcha Green V3 Pro
25.9,0.15,0,Akko Matcha Green V3 Pro
27.8,0.15,0,Akko Matcha Green V3 Pro
30,0.15,0,Akko Matcha Green V3 Pro
31.7,0.155,0,Akko Matcha Green V3 Pro
33.5,0.155,0,Akko Matcha Green V3 Pro
34.8,0.16,0,Akko Matcha Green V3 Pro
36.1,0.16,0,Akko Matcha Green V3 Pro
36.7,0.16,0,Akko Matcha Green V3 Pro
37.5,0.16,0,Akko Matcha Green V3 Pro
38.1,0.16,0,Akko Matcha Green V3 Pro
38.5,0.16,0,Akko Matcha Green V3 Pro
38.8,0.16,0,Akko Matcha Green V3 Pro
39.3,0.165,0,Akko Matcha Green V3 Pro
39.7,0.165,0,Akko Matcha Green V3 Pro
40.3,0.165,0,Akko Matcha Green V3 Pro
41.1,0.165,0,Akko Matcha Green V3 Pro
41.8,0.165,0,Akko Matcha Green V3 Pro
42.7,0.165,0,Akko Matcha Green V3 Pro
43.8,0.17,0,Akko Matcha Green V3 Pro
44.9,0.17,0,Akko Matcha Green V3 Pro
45.7,0.17,0,Akko Matcha Green V3 Pro
44.2,0.17,0,Akko Matcha Green V3 Pro
42.2,0.175,0,Akko Matcha Green V3 Pro
41.8,0.175,0,Akko Matcha Green V3 Pro
41.8,0.175,0,Akko Matcha Green V3 Pro
41.9,0.18,0,Akko Matcha Green V3 Pro
41.9,0.18,0,Akko Matcha Green V3 Pro
41.9,0.18,0,Akko Matcha Green V3 Pro
42,0.185,0,Akko Matcha Green V3 Pro
41.9,0.185,0,Akko Matcha Green V3 Pro
41.9,0.19,0,Akko Matcha Green V3 Pro
41.9,0.19,0,Akko Matcha Green V3 Pro
41.9,0.195,0,Akko Matcha Green V3 Pro
41.9,0.195,0,Akko Matcha Green V3 Pro
41.9,0.2,0,Akko Matcha Green V3 Pro
41.9,0.2,0,Akko Matcha Green V3 Pro
42,0.205,0,Akko Matcha Green V3 Pro
42.2,0.205,0,Akko Matcha Green V3 Pro
42.1,0.21,0,Akko Matcha Green V3 Pro
42,0.215,0,Akko Matcha Green V3 Pro
41.9,0.22,0,Akko Matcha Green V3 Pro
41.8,0.225,0,Akko Matcha Green V3 Pro
41.7,0.225,0,Akko Matcha Green V3 Pro
41.6,0.23,0,Akko Matcha Green V3 Pro
41.7,0.23,0,Akko Matcha Green V3 Pro
41.8,0.235,0,Akko Matcha Green V3 Pro
41.6,0.235,0,Akko Matcha Green V3 Pro
41.6,0.235,0,Akko Matcha Green V3 Pro
41.7,0.24,0,Akko Matcha Green V3 Pro
41.6,0.24,0,Akko Matcha Green V3 Pro
41.5,0.24,0,Akko Matcha Green V3 Pro
41.5,0.24,0,Akko Matcha Green V3 Pro
41.6,0.245,0,Akko Matcha Green V3 Pro
41.7,0.245,0,Akko Matcha Green V3 Pro
41.9,0.25,0,Akko Matcha Green V3 Pro
41.9,0.25,0,Akko Matcha Green V3 Pro
41.9,0.255,0,Akko Matcha Green V3 Pro
42.1,0.26,0,Akko Matcha Green V3 Pro
42.1,0.265,0,Akko Matcha Green V3 Pro
42.1,0.27,0,Akko Matcha Green V3 Pro
42.1,0.275,0,Akko Matcha Green V3 Pro
42,0.28,0,Akko Matcha Green V3 Pro
41.9,0.285,0,Akko Matcha Green V3 Pro
41.8,0.29,0,Akko Matcha Green V3 Pro
41.9,0.295,0,Akko Matcha Green V3 Pro
41.8,0.295,0,Akko Matcha Green V3 Pro
41.7,0.3,0,Akko Matcha Green V3 Pro
41.4,0.3,0,Akko Matcha Green V3 Pro
41.6,0.305,0,Akko Matcha Green V3 Pro
41.5,0.305,0,Akko Matcha Green V3 Pro
41.4,0.31,0,Akko Matcha Green V3 Pro
41.4,0.31,0,Akko Matcha Green V3 Pro
41.4,0.315,0,Akko Matcha Green V3 Pro
41.3,0.315,0,Akko Matcha Green V3 Pro
41.3,0.315,0,Akko Matcha Green V3 Pro
41.3,0.32,0,Akko Matcha Green V3 Pro
41.4,0.32,0,Akko Matcha Green V3 Pro
41.4,0.325,0,Akko Matcha Green V3 Pro
41.4,0.325,0,Akko Matcha Green V3 Pro
41.4,0.325,0,Akko Matcha Green V3 Pro
41.4,0.33,0,Akko Matcha Green V3 Pro
41.4,0.33,0,Akko Matcha Green V3 Pro
41.4,0.335,0,Akko Matcha Green V3 Pro
41.4,0.335,0,Akko Matcha Green V3 Pro
41.4,0.335,0,Akko Matcha Green V3 Pro
41.4,0.34,0,Akko Matcha Green V3 Pro
41.4,0.34,0,Akko Matcha Green V3 Pro
41.3,0.345,0,Akko Matcha Green V3 Pro
41.3,0.345,0,Akko Matcha Green V3 Pro
41.4,0.345,0,Akko Matcha Green V3 Pro
41.3,0.345,0,Akko Matcha Green V3 Pro
41.4,0.35,0,Akko Matcha Green V3 Pro
41.4,0.35,0,Akko Matcha Green V3 Pro
41.4,0.35,0,Akko Matcha Green V3 Pro
41.3,0.355,0,Akko Matcha Green V3 Pro
41.3,0.355,0,Akko Matcha Green V3 Pro
41.3,0.355,0,Akko Matcha Green V3 Pro
41.3,0.36,0,Akko Matcha Green V3 Pro
41.3,0.36,0,Akko Matcha Green V3 Pro
41.4,0.36,0,Akko Matcha Green V3 Pro
41.4,0.36,0,Akko Matcha Green V3 Pro
41.4,0.365,0,Akko Matcha Green V3 Pro
41.3,0.365,0,Akko Matcha Green V3 Pro
41.4,0.365,0,Akko Matcha Green V3 Pro
41.6,0.37,0,Akko Matcha Green V3 Pro
41.7,0.37,0,Akko Matcha Green V3 Pro
41.6,0.37,0,Akko Matcha Green V3 Pro
