force,displacement,judge,name
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0,0,Akko Orange V1
0,0.005,0,Akko Orange V1
0,0.005,0,Akko Orange V1
0,0.01,0,Akko Orange V1
0,0.015,0,Akko Orange V1
0,0.02,0,Akko Orange V1
3.6,0.025,0,Akko Orange V1
9.4,0.035,0,Akko Orange V1
13.7,0.04,0,Akko Orange V1
17.1,0.04,0,Akko Orange V1
19.9,0.045,0,Akko Orange V1
22.7,0.05,0,Akko Orange V1
24.9,0.05,0,Akko Orange V1
26.6,0.05,0,Akko Orange V1
28.1,0.055,0,Akko Orange V1
30,0.055,0,Akko Orange V1
32.1,0.06,0,Akko Orange V1
33.8,0.06,0,Akko Orange V1
35.7,0.065,0,Akko Orange V1
36.3,0.065,0,Akko Orange V1
36.7,0.07,0,Akko Orange V1
37.1,0.07,0,Akko Orange V1
37.5,0.07,0,Akko Orange V1
37.7,0.075,0,Akko Orange V1
38,0.075,0,Akko Orange V1
38.1,0.075,0,Akko Orange V1
38.3,0.075,0,Akko Orange V1
38.3,0.08,0,Akko Orange V1
38.5,0.08,0,Akko Orange V1
38.6,0.08,0,Akko Orange V1
38.5,0.08,0,Akko Orange V1
38.3,0.085,0,Akko Orange V1
38.2,0.085,0,Akko Orange V1
38.2,0.085,0,Akko Orange V1
38.1,0.085,0,Akko Orange V1
38,0.085,0,Akko Orange V1
38.1,0.085,0,Akko Orange V1
38.1,0.09,0,Akko Orange V1
38.1,0.09,0,Akko Orange V1
38.2,0.09,0,Akko Orange V1
38.1,0.09,0,Akko Orange V1
38.1,0.09,0,Akko Orange V1
38,0.09,0,Akko Orange V1
37.9,0.09,0,Akko Orange V1
37.9,0.09,0,Akko Orange V1
38,0.09,0,Akko Orange V1
38.1,0.09,0,Akko Orange V1
38.1,0.095,0,Akko Orange V1
38,0.095,0,Akko Orange V1
37.9,0.095,0,Akko Orange V1
37.8,0.095,0,Akko Orange V1
37.9,0.095,0,Akko Orange V1
38,0.1,0,Akko Orange V1
38,0.1,0,Akko Orange V1
38.1,0.105,0,Akko Orange V1
38.1,0.105,0,Akko Orange V1
38.2,0.105,0,Akko Orange V1
38.3,0.11,0,Akko Orange V1
38.3,0.11,0,Akko Orange V1
38.3,0.115,0,Akko Orange V1
38.2,0.115,0,Akko Orange V1
38.3,0.115,0,Akko Orange V1
38.3,0.12,0,Akko Orange V1
38.3,0.125,0,Akko Orange V1
38.3,0.125,0,Akko Orange V1
38.2,0.13,0,Akko Orange V1
38,0.135,0,Akko Orange V1
37.9,0.135,0,Akko Orange V1
37.9,0.14,0,Akko Orange V1
38,0.145,0,Akko Orange V1
38.1,0.145,0,Akko Orange V1
38,0.15,0,Akko Orange V1
38,0.155,0,Akko Orange V1
38,0.155,0,Akko Orange V1
38,0.16,0,Akko Orange V1
38,0.16,0,Akko Orange V1
38,0.165,0,Akko Orange V1
38,0.165,0,Akko Orange V1
38,0.17,0,Akko Orange V1
38,0.17,0,Akko Orange V1
38,0.175,0,Akko Orange V1
38,0.18,0,Akko Orange V1
38.1,0.185,0,Akko Orange V1
38.1,0.19,0,Akko Orange V1
37.9,0.195,0,Akko Orange V1
37.9,0.195,0,Akko Orange V1
37.9,0.2,0,Akko Orange V1
37.9,0.205,0,Akko Orange V1
37.9,0.205,0,Akko Orange V1
37.9,0.205,0,Akko Orange V1
38,0.21,0,Akko Orange V1
38,0.21,0,Akko Orange V1
38,0.21,0,Akko Orange V1
38,0.215,0,Akko Orange V1
37.9,0.215,0,Akko Orange V1
38,0.215,0,Akko Orange V1
38.1,0.22,0,Akko Orange V1
38.1,0.22,0,Akko Orange V1
38.1,0.225,0,Akko Orange V1
38.2,0.225,0,Akko Orange V1
38.2,0.225,0,Akko Orange V1
38.1,0.23,0,Akko Orange V1
38.1,0.23,0,Akko Orange V1
38.1,0.23,0,Akko Orange V1
38,0.23,0,Akko Orange V1
37.9,0.235,0,Akko Orange V1
37.9,0.235,0,Akko Orange V1
37.9,0.235,0,Akko Orange V1
37.8,0.235,0,Akko Orange V1
37.8,0.235,0,Akko Orange V1
37.9,0.24,0,Akko Orange V1
37.9,0.24,0,Akko Orange V1
37.9,0.24,0,Akko Orange V1
37.8,0.24,0,Akko Orange V1
37.9,0.245,0,Akko Orange V1
37.9,0.245,0,Akko Orange V1
38,0.245,0,Akko Orange V1
38,0.245,0,Akko Orange V1
38,0.25,0,Akko Orange V1
38.1,0.25,0,Akko Orange V1
38.1,0.255,0,Akko Orange V1
38.1,0.255,0,Akko Orange V1
38.1,0.255,0,Akko Orange V1
38.1,0.26,0,Akko Orange V1
38.3,0.26,0,Akko Orange V1
38.3,0.26,0,Akko Orange V1
38.2,0.265,0,Akko Orange V1
38.2,0.265,0,Akko Orange V1
38.2,0.265,0,Akko Orange V1
38.1,0.265,0,Akko Orange V1
38.2,0.27,0,Akko Orange V1
38.3,0.27,0,Akko Orange V1
38.3,0.27,0,Akko Orange V1
38.3,0.275,0,Akko Orange V1
38.2,0.275,0,Akko Orange V1
38.2,0.275,0,Akko Orange V1
38.3,0.28,0,Akko Orange V1
38.3,0.28,0,Akko Orange V1
38.4,0.285,0,Akko Orange V1
38.5,0.285,0,Akko Orange V1
38.5,0.29,0,Akko Orange V1
38.5,0.29,0,Akko Orange V1
38.5,0.295,0,Akko Orange V1
38.3,0.3,0,Akko Orange V1
38.4,0.3,0,Akko Orange V1
38.5,0.305,0,Akko Orange V1
38.7,0.31,0,Akko Orange V1
38.8,0.31,0,Akko Orange V1
38.7,0.315,0,Akko Orange V1
38.6,0.315,0,Akko Orange V1
38.5,0.32,0,Akko Orange V1
38.5,0.325,0,Akko Orange V1
38.5,0.325,0,Akko Orange V1
38.5,0.33,0,Akko Orange V1
38.6,0.33,0,Akko Orange V1
38.6,0.33,0,Akko Orange V1
39,0.335,0,Akko Orange V1
38.5,0.335,0,Akko Orange V1
38.9,0.34,0,Akko Orange V1
38.7,0.34,0,Akko Orange V1
38.8,0.345,0,Akko Orange V1
38.7,0.35,0,Akko Orange V1
38.7,0.35,0,Akko Orange V1
38.9,0.355,0,Akko Orange V1
39,0.36,0,Akko Orange V1
38.9,0.36,0,Akko Orange V1
38.8,0.365,0,Akko Orange V1
38.7,0.365,0,Akko Orange V1
38.8,0.37,0,Akko Orange V1
38.8,0.37,0,Akko Orange V1
38.9,0.375,0,Akko Orange V1
38.7,0.375,0,Akko Orange V1
38.7,0.38,0,Akko Orange V1
38.9,0.38,0,Akko Orange V1
39.2,0.385,0,Akko Orange V1
39,0.385,0,Akko Orange V1
39.1,0.39,0,Akko Orange V1
39,0.395,0,Akko Orange V1
38.9,0.4,0,Akko Orange V1
39,0.4,0,Akko Orange V1
