force,displacement,judge,name
-0.1,0,0,Akko POM Silver
0.2,0,0,Akko POM Silver
0,0,0,Akko POM Silver
0,0,0,Akko POM Silver
0,0,0,Akko POM Silver
-0.1,0,0,Akko POM Silver
-0.1,0,0,Akko POM Silver
-0.1,0,0,Akko POM Silver
0,0,0,Akko POM Silver
0.1,0,0,Akko POM Silver
-0.2,0,0,Akko POM Silver
-0.1,0,0,Akko POM Silver
-0.1,0,0,Akko POM Silver
0,0,0,Akko POM Silver
0,0,0,Akko POM Silver
0.1,0,0,Akko POM Silver
0,0.005,0,Akko POM Silver
0,0.005,0,Akko POM Silver
-0.2,0.005,0,Akko POM Silver
0,0.005,0,Akko POM Silver
0.1,0.01,0,Akko POM Silver
0,0.01,0,Akko POM Silver
-0.1,0.015,0,Akko POM Silver
-0.1,0.015,0,Akko POM Silver
0,0.02,0,Akko POM Silver
0,0.02,0,Akko POM Silver
-0.1,0.025,0,Akko POM Silver
0,0.03,0,Akko POM Silver
0,0.03,0,Akko POM Silver
-0.1,0.03,0,Akko POM Silver
-0.2,0.035,0,Akko POM Silver
-0.1,0.035,0,Akko POM Silver
0.1,0.04,0,Akko POM Silver
0.1,0.04,0,Akko POM Silver
-0.1,0.045,0,Akko POM Silver
-0.1,0.045,0,Akko POM Silver
0,0.045,0,Akko POM Silver
0.4,0.05,0,Akko POM Silver
2.6,0.05,0,Akko POM Silver
5.4,0.055,0,Akko POM Silver
7.9,0.06,0,Akko POM Silver
9.4,0.06,0,Akko POM Silver
11,0.06,0,Akko POM Silver
12.6,0.065,0,Akko POM Silver
14.1,0.065,0,Akko POM Silver
15.7,0.065,0,Akko POM Silver
17.3,0.07,0,Akko POM Silver
18.9,0.07,0,Akko POM Silver
20.3,0.07,0,Akko POM Silver
21.6,0.07,0,Akko POM Silver
23,0.075,0,Akko POM Silver
24,0.075,0,Akko POM Silver
25.1,0.075,0,Akko POM Silver
26.5,0.08,0,Akko POM Silver
28.1,0.08,0,Akko POM Silver
29.6,0.08,0,Akko POM Silver
31,0.085,0,Akko POM Silver
32.3,0.085,0,Akko POM Silver
33.7,0.085,0,Akko POM Silver
35.1,0.09,0,Akko POM Silver
36.6,0.09,0,Akko POM Silver
37.8,0.095,0,Akko POM Silver
38.3,0.095,0,Akko POM Silver
38.7,0.095,0,Akko POM Silver
39.3,0.1,0,Akko POM Silver
39.9,0.1,0,Akko POM Silver
40.5,0.105,0,Akko POM Silver
41.1,0.105,0,Akko POM Silver
41.5,0.105,0,Akko POM Silver
41.7,0.11,0,Akko POM Silver
41.6,0.11,0,Akko POM Silver
41.6,0.115,0,Akko POM Silver
41.7,0.115,0,Akko POM Silver
41.8,0.115,0,Akko POM Silver
41.7,0.12,0,Akko POM Silver
41.6,0.12,0,Akko POM Silver
41.5,0.125,0,Akko POM Silver
41.5,0.125,0,Akko POM Silver
41.6,0.13,0,Akko POM Silver
41.5,0.13,0,Akko POM Silver
41.5,0.135,0,Akko POM Silver
41.5,0.14,0,Akko POM Silver
41.5,0.14,0,Akko POM Silver
41.5,0.145,0,Akko POM Silver
41.4,0.145,0,Akko POM Silver
41.4,0.15,0,Akko POM Silver
41.4,0.15,0,Akko POM Silver
41.4,0.155,0,Akko POM Silver
41.4,0.155,0,Akko POM Silver
41.4,0.16,0,Akko POM Silver
41.4,0.16,0,Akko POM Silver
41.4,0.165,0,Akko POM Silver
41.4,0.165,0,Akko POM Silver
41.4,0.17,0,Akko POM Silver
41.5,0.17,0,Akko POM Silver
41.4,0.175,0,Akko POM Silver
41.5,0.18,0,Akko POM Silver
41.5,0.18,0,Akko POM Silver
41.5,0.185,0,Akko POM Silver
41.4,0.185,0,Akko POM Silver
41.5,0.19,0,Akko POM Silver
41.5,0.195,0,Akko POM Silver
41.6,0.195,0,Akko POM Silver
41.6,0.2,0,Akko POM Silver
