force,displacement,judge,name
0,0,0,Akko Silver V3 Pro
-0.1,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0.1,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0,0,Akko Silver V3 Pro
0,0.005,0,Akko Silver V3 Pro
0,0.005,0,Akko Silver V3 Pro
0,0.005,0,Akko Silver V3 Pro
0,0.01,0,Akko Silver V3 Pro
0,0.01,0,Akko Silver V3 Pro
0,0.01,0,Akko Silver V3 Pro
0,0.015,0,Akko Silver V3 Pro
0,0.015,0,Akko Silver V3 Pro
0,0.015,0,Akko Silver V3 Pro
0,0.02,0,Akko Silver V3 Pro
0,0.025,0,Akko Silver V3 Pro
0,0.025,0,Akko Silver V3 Pro
0,0.03,0,Akko Silver V3 Pro
0,0.035,0,Akko Silver V3 Pro
0,0.035,0,Akko Silver V3 Pro
0,0.04,0,Akko Silver V3 Pro
0.2,0.045,0,Akko Silver V3 Pro
5.2,0.05,0,Akko Silver V3 Pro
9.7,0.055,0,Akko Silver V3 Pro
11.1,0.06,0,Akko Silver V3 Pro
13.9,0.07,0,Akko Silver V3 Pro
19,0.075,0,Akko Silver V3 Pro
25.1,0.08,0,Akko Silver V3 Pro
31.7,0.085,0,Akko Silver V3 Pro
36.6,0.095,0,Akko Silver V3 Pro
37.8,0.1,0,Akko Silver V3 Pro
39,0.105,0,Akko Silver V3 Pro
38.9,0.11,0,Akko Silver V3 Pro
38.8,0.115,0,Akko Silver V3 Pro
38.8,0.115,0,Akko Silver V3 Pro
38.9,0.12,0,Akko Silver V3 Pro
38.9,0.125,0,Akko Silver V3 Pro
38.9,0.13,0,Akko Silver V3 Pro
38.9,0.13,0,Akko Silver V3 Pro
39,0.135,0,Akko Silver V3 Pro
39,0.14,0,Akko Silver V3 Pro
39.1,0.14,0,Akko Silver V3 Pro
39.1,0.14,0,Akko Silver V3 Pro
39.2,0.145,0,Akko Silver V3 Pro
39.2,0.145,0,Akko Silver V3 Pro
39.2,0.15,0,Akko Silver V3 Pro
39.2,0.15,0,Akko Silver V3 Pro
39.3,0.155,0,Akko Silver V3 Pro
39.3,0.155,0,Akko Silver V3 Pro
39.2,0.155,0,Akko Silver V3 Pro
39.3,0.16,0,Akko Silver V3 Pro
39.2,0.16,0,Akko Silver V3 Pro
39.2,0.16,0,Akko Silver V3 Pro
39.2,0.16,0,Akko Silver V3 Pro
39.2,0.165,0,Akko Silver V3 Pro
39.2,0.165,0,Akko Silver V3 Pro
39,0.165,0,Akko Silver V3 Pro
39,0.17,0,Akko Silver V3 Pro
38.8,0.17,0,Akko Silver V3 Pro
38.7,0.17,0,Akko Silver V3 Pro
38.7,0.17,0,Akko Silver V3 Pro
38.8,0.17,0,Akko Silver V3 Pro
38.8,0.17,0,Akko Silver V3 Pro
38.6,0.175,0,Akko Silver V3 Pro
38.5,0.175,0,Akko Silver V3 Pro
38.6,0.175,0,Akko Silver V3 Pro
38.9,0.175,0,Akko Silver V3 Pro
38.5,0.175,0,Akko Silver V3 Pro
38.8,0.175,0,Akko Silver V3 Pro
38.8,0.175,0,Akko Silver V3 Pro
38.7,0.18,0,Akko Silver V3 Pro
39,0.18,0,Akko Silver V3 Pro
38.8,0.185,0,Akko Silver V3 Pro
38.7,0.185,0,Akko Silver V3 Pro
38.6,0.185,0,Akko Silver V3 Pro
38.8,0.185,0,Akko Silver V3 Pro
38.6,0.19,0,Akko Silver V3 Pro
38.7,0.19,0,Akko Silver V3 Pro
38.7,0.19,0,Akko Silver V3 Pro
38.7,0.19,0,Akko Silver V3 Pro
38.8,0.195,0,Akko Silver V3 Pro
38.8,0.195,0,Akko Silver V3 Pro
38.7,0.195,0,Akko Silver V3 Pro
38.9,0.195,0,Akko Silver V3 Pro
38.9,0.2,0,Akko Silver V3 Pro
38.8,0.2,0,Akko Silver V3 Pro
38.7,0.2,0,Akko Silver V3 Pro
38.7,0.2,0,Akko Silver V3 Pro
38.8,0.2,0,Akko Silver V3 Pro
38.7,0.2,0,Akko Silver V3 Pro
38.7,0.2,0,Akko Silver V3 Pro
38.7,0.2,0,Akko Silver V3 Pro
38.8,0.2,0,Akko Silver V3 Pro
38.8,0.205,0,Akko Silver V3 Pro
38.8,0.205,0,Akko Silver V3 Pro
38.7,0.205,0,Akko Silver V3 Pro
38.7,0.205,0,Akko Silver V3 Pro
38.7,0.205,0,Akko Silver V3 Pro
38.7,0.205,0,Akko Silver V3 Pro
38.7,0.21,0,Akko Silver V3 Pro
38.6,0.21,0,Akko Silver V3 Pro
