force,displacement,judge,name
0,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
-0.1,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
0.1,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
-0.1,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
-0.1,0,0,Akko Snow Blue Grey
0,0,0,Akko Snow Blue Grey
-0.1,0.005,0,Akko Snow Blue Grey
0,0.005,0,Akko Snow Blue Grey
0,0.01,0,Akko Snow Blue Grey
0,0.015,0,Akko Snow Blue Grey
0,0.025,0,Akko Snow Blue Grey
4.4,0.03,0,Akko Snow Blue Grey
10.5,0.035,0,Akko Snow Blue Grey
15.6,0.04,0,Akko Snow Blue Grey
20.4,0.045,0,Akko Snow Blue Grey
23.8,0.05,0,Akko Snow Blue Grey
28,0.055,0,Akko Snow Blue Grey
31.9,0.055,0,Akko Snow Blue Grey
33.7,0.06,0,Akko Snow Blue Grey
34.3,0.065,0,Akko Snow Blue Grey
34.9,0.065,0,Akko Snow Blue Grey
34.9,0.07,0,Akko Snow Blue Grey
34.8,0.07,0,Akko Snow Blue Grey
34.9,0.075,0,Akko Snow Blue Grey
35,0.08,0,Akko Snow Blue Grey
35.2,0.08,0,Akko Snow Blue Grey
35.2,0.085,0,Akko Snow Blue Grey
35,0.09,0,Akko Snow Blue Grey
34.8,0.09,0,Akko Snow Blue Grey
34.7,0.095,0,Akko Snow Blue Grey
34.5,0.1,0,Akko Snow Blue Grey
34.3,0.105,0,Akko Snow Blue Grey
34.2,0.11,0,Akko Snow Blue Grey
34.2,0.115,0,Akko Snow Blue Grey
34,0.125,0,Akko Snow Blue Grey
33.9,0.13,0,Akko Snow Blue Grey
34,0.135,0,Akko Snow Blue Grey
34,0.14,0,Akko Snow Blue Grey
33.9,0.145,0,Akko Snow Blue Grey
33.9,0.15,0,Akko Snow Blue Grey
33.8,0.155,0,Akko Snow Blue Grey
33.8,0.16,0,Akko Snow Blue Grey
33.8,0.165,0,Akko Snow Blue Grey
33.8,0.165,0,Akko Snow Blue Grey
33.9,0.17,0,Akko Snow Blue Grey
33.9,0.175,0,Akko Snow Blue Grey
34,0.18,0,Akko Snow Blue Grey
33.9,0.185,0,Akko Snow Blue Grey
33.9,0.19,0,Akko Snow Blue Grey
33.9,0.195,0,Akko Snow Blue Grey
34,0.2,0,Akko Snow Blue Grey
34,0.205,0,Akko Snow Blue Grey
34,0.205,0,Akko Snow Blue Grey
34,0.21,0,Akko Snow Blue Grey
33.9,0.215,0,Akko Snow Blue Grey
33.9,0.22,0,Akko Snow Blue Grey
34,0.22,0,Akko Snow Blue Grey
34,0.225,0,Akko Snow Blue Grey
