force,displacement,judge,name
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
-0.1,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
-0.1,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0,0,Akko V3 Cream Yellow
0,0.005,0,Akko V3 Cream Yellow
0,0.005,0,Akko V3 Cream Yellow
0.1,0.01,0,Akko V3 Cream Yellow
2.6,0.02,0,Akko V3 Cream Yellow
10.1,0.025,0,Akko V3 Cream Yellow
15.9,0.03,0,Akko V3 Cream Yellow
20.5,0.035,0,Akko V3 Cream Yellow
23.5,0.04,0,Akko V3 Cream Yellow
25.9,0.04,0,Akko V3 Cream Yellow
28.1,0.045,0,Akko V3 Cream Yellow
29.9,0.05,0,Akko V3 Cream Yellow
31.4,0.05,0,Akko V3 Cream Yellow
32.5,0.055,0,Akko V3 Cream Yellow
33.3,0.055,0,Akko V3 Cream Yellow
33.9,0.06,0,Akko V3 Cream Yellow
34.6,0.06,0,Akko V3 Cream Yellow
35.4,0.065,0,Akko V3 Cream Yellow
36.1,0.065,0,Akko V3 Cream Yellow
36.9,0.07,0,Akko V3 Cream Yellow
37.6,0.07,0,Akko V3 Cream Yellow
39.4,0.075,0,Akko V3 Cream Yellow
40.1,0.075,0,Akko V3 Cream Yellow
39.9,0.08,0,Akko V3 Cream Yellow
39.8,0.085,0,Akko V3 Cream Yellow
39.8,0.085,0,Akko V3 Cream Yellow
39.8,0.09,0,Akko V3 Cream Yellow
39.6,0.09,0,Akko V3 Cream Yellow
39.6,0.095,0,Akko V3 Cream Yellow
39.7,0.095,0,Akko V3 Cream Yellow
39.6,0.1,0,Akko V3 Cream Yellow
39.4,0.1,0,Akko V3 Cream Yellow
39.4,0.1,0,Akko V3 Cream Yellow
39.5,0.1,0,Akko V3 Cream Yellow
39.4,0.105,0,Akko V3 Cream Yellow
39.5,0.105,0,Akko V3 Cream Yellow
39.5,0.11,0,Akko V3 Cream Yellow
39.5,0.11,0,Akko V3 Cream Yellow
39.5,0.115,0,Akko V3 Cream Yellow
39.3,0.115,0,Akko V3 Cream Yellow
39.2,0.12,0,Akko V3 Cream Yellow
39.2,0.125,0,Akko V3 Cream Yellow
39.2,0.13,0,Akko V3 Cream Yellow
39.1,0.13,0,Akko V3 Cream Yellow
39.2,0.135,0,Akko V3 Cream Yellow
39.2,0.135,0,Akko V3 Cream Yellow
39.3,0.14,0,Akko V3 Cream Yellow
39.2,0.145,0,Akko V3 Cream Yellow
