force,displacement,judge,name
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0,0,All Clack
0,0.005,0,All Clack
0,0.005,0,All Clack
0,0.005,0,All Clack
0.1,0.005,0,All Clack
0.2,0.01,0,All Clack
1.7,0.01,0,All Clack
6.8,0.015,0,All Clack
12.4,0.02,0,All Clack
17.7,0.03,0,All Clack
22,0.035,0,All Clack
26.7,0.04,0,All Clack
30.9,0.045,0,All Clack
33.7,0.05,0,All Clack
36.1,0.055,0,All Clack
38.6,0.06,0,All Clack
40.7,0.065,0,All Clack
41.7,0.065,0,All Clack
42.4,0.07,0,All Clack
43.1,0.075,0,All Clack
43.7,0.075,0,All Clack
44.1,0.08,0,All Clack
44.3,0.08,0,All Clack
44.6,0.085,0,All Clack
44.5,0.09,0,All Clack
44.5,0.09,0,All Clack
44.6,0.095,0,All Clack
44.6,0.095,0,All Clack
44.7,0.1,0,All Clack
44.7,0.1,0,All Clack
44.6,0.105,0,All Clack
44.4,0.105,0,All Clack
44.3,0.11,0,All Clack
44.4,0.11,0,All Clack
44.6,0.11,0,All Clack
44.7,0.115,0,All Clack
44.9,0.115,0,All Clack
44.9,0.115,0,All Clack
44.8,0.12,0,All Clack
44.7,0.12,0,All Clack
44.7,0.125,0,All Clack
44.8,0.125,0,All Clack
45,0.125,0,All Clack
44.9,0.13,0,All Clack
44.9,0.13,0,All Clack
45,0.13,0,All Clack
45,0.13,0,All Clack
45,0.135,0,All Clack
45.1,0.135,0,All Clack
45.3,0.14,0,All Clack
45.3,0.145,0,All Clack
45.3,0.15,0,All Clack
45.7,0.15,0,All Clack
45.9,0.155,0,All Clack
46.1,0.155,0,All Clack
46.1,0.16,0,All Clack
46.1,0.165,0,All Clack
46.1,0.165,0,All Clack
46,0.17,0,All Clack
46.1,0.17,0,All Clack
46.1,0.175,0,All Clack
46,0.18,0,All Clack
45.9,0.185,0,All Clack
46.2,0.19,0,All Clack
46.1,0.19,0,All Clack
46.2,0.195,0,All Clack
46.4,0.2,0,All Clack
46.6,0.2,0,All Clack
46.7,0.205,0,All Clack
46.7,0.205,0,All Clack
46.7,0.21,0,All Clack
46.8,0.21,0,All Clack
47,0.215,0,All Clack
47.1,0.22,0,All Clack
47.2,0.22,0,All Clack
47.4,0.225,0,All Clack
47.4,0.225,0,All Clack
47.6,0.23,0,All Clack
47.9,0.23,0,All Clack
48.1,0.235,0,All Clack
48.4,0.235,0,All Clack
48.6,0.24,0,All Clack
48.9,0.24,0,All Clack
49.2,0.24,0,All Clack
49.4,0.245,0,All Clack
49.6,0.245,0,All Clack
49.9,0.25,0,All Clack
50.2,0.25,0,All Clack
50.4,0.25,0,All Clack
50.7,0.255,0,All Clack
51,0.255,0,All Clack
51.1,0.255,0,All Clack
51.1,0.26,0,All Clack
51.2,0.26,0,All Clack
