force,displacement,judge,name
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
-0.1,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0.1,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0.1,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
0,0,0,Asus Rog NX Red
-0.1,0.005,0,Asus Rog NX Red
0,0.005,0,Asus Rog NX Red
0.1,0.005,0,Asus Rog NX Red
0,0.01,0,Asus Rog NX Red
0,0.015,0,Asus Rog NX Red
5.2,0.02,0,Asus Rog NX Red
11.4,0.025,0,Asus Rog NX Red
17.5,0.03,0,Asus Rog NX Red
22.6,0.035,0,Asus Rog NX Red
27.1,0.045,0,Asus Rog NX Red
29.5,0.045,0,Asus Rog NX Red
31.5,0.05,0,Asus Rog NX Red
33,0.055,0,Asus Rog NX Red
34.5,0.06,0,Asus Rog NX Red
35.8,0.065,0,Asus Rog NX Red
36.2,0.07,0,Asus Rog NX Red
36.2,0.07,0,Asus Rog NX Red
35.7,0.08,0,Asus Rog NX Red
35.6,0.085,0,Asus Rog NX Red
35.1,0.09,0,Asus Rog NX Red
34.8,0.09,0,Asus Rog NX Red
35.2,0.095,0,Asus Rog NX Red
34.7,0.1,0,Asus Rog NX Red
35.2,0.1,0,Asus Rog NX Red
35.7,0.105,0,Asus Rog NX Red
35.7,0.105,0,Asus Rog NX Red
35.5,0.11,0,Asus Rog NX Red
35.7,0.11,0,Asus Rog NX Red
35.8,0.115,0,Asus Rog NX Red
36,0.115,0,Asus Rog NX Red
36.1,0.12,0,Asus Rog NX Red
36.2,0.12,0,Asus Rog NX Red
36.5,0.125,0,Asus Rog NX Red
36.6,0.125,0,Asus Rog NX Red
36.8,0.125,0,Asus Rog NX Red
37.1,0.13,0,Asus Rog NX Red
37.4,0.13,0,Asus Rog NX Red
37.5,0.135,0,Asus Rog NX Red
37.2,0.135,0,Asus Rog NX Red
36.9,0.135,0,Asus Rog NX Red
36.7,0.135,0,Asus Rog NX Red
36.7,0.14,0,Asus Rog NX Red
36.7,0.14,0,Asus Rog NX Red
36.6,0.14,0,Asus Rog NX Red
36.6,0.14,0,Asus Rog NX Red
36.5,0.145,0,Asus Rog NX Red
36.5,0.145,0,Asus Rog NX Red
36.5,0.145,0,Asus Rog NX Red
36.5,0.145,0,Asus Rog NX Red
36.5,0.145,0,Asus Rog NX Red
36.5,0.15,0,Asus Rog NX Red
36.6,0.15,0,Asus Rog NX Red
36.9,0.15,0,Asus Rog NX Red
37,0.155,0,Asus Rog NX Red
37,0.155,0,Asus Rog NX Red
36.9,0.16,0,Asus Rog NX Red
36.9,0.16,0,Asus Rog NX Red
36.9,0.165,0,Asus Rog NX Red
37,0.165,0,Asus Rog NX Red
36.9,0.165,0,Asus Rog NX Red
37,0.17,0,Asus Rog NX Red
36.9,0.17,0,Asus Rog NX Red
36.9,0.17,0,Asus Rog NX Red
36.9,0.17,0,Asus Rog NX Red
36.9,0.175,0,Asus Rog NX Red
36.9,0.175,0,Asus Rog NX Red
36.8,0.175,0,Asus Rog NX Red
36.9,0.175,0,Asus Rog NX Red
36.9,0.18,0,Asus Rog NX Red
36.9,0.18,0,Asus Rog NX Red
36.9,0.18,0,Asus Rog NX Red
36.9,0.18,0,Asus Rog NX Red
36.9,0.18,0,Asus Rog NX Red
36.9,0.185,0,Asus Rog NX Red
36.9,0.185,0,Asus Rog NX Red
36.9,0.185,0,Asus Rog NX Red
36.8,0.185,0,Asus Rog NX Red
36.7,0.19,0,Asus Rog NX Red
36.9,0.19,0,Asus Rog NX Red
36.9,0.19,0,Asus Rog NX Red
37,0.195,0,Asus Rog NX Red
37,0.195,0,Asus Rog NX Red
36.9,0.2,0,Asus Rog NX Red
37,0.2,0,Asus Rog NX Red
37,0.205,0,Asus Rog NX Red
37.1,0.21,0,Asus Rog NX Red
37,0.21,0,Asus Rog NX Red
37.1,0.215,0,Asus Rog NX Red
37,0.22,0,Asus Rog NX Red
37,0.22,0,Asus Rog NX Red
37.1,0.225,0,Asus Rog NX Red
37.3,0.23,0,Asus Rog NX Red
37.3,0.235,0,Asus Rog NX Red
37.2,0.24,0,Asus Rog NX Red
37.2,0.245,0,Asus Rog NX Red
37.2,0.25,0,Asus Rog NX Red
37.2,0.255,0,Asus Rog NX Red
37.2,0.26,0,Asus Rog NX Red
37.2,0.26,0,Asus Rog NX Red
37.2,0.265,0,Asus Rog NX Red
37.2,0.27,0,Asus Rog NX Red
37.2,0.275,0,Asus Rog NX Red
37.2,0.28,0,Asus Rog NX Red
37.2,0.285,0,Asus Rog NX Red
37.2,0.29,0,Asus Rog NX Red
37.1,0.29,0,Asus Rog NX Red
37.2,0.295,0,Asus Rog NX Red
37.1,0.3,0,Asus Rog NX Red
37.3,0.305,0,Asus Rog NX Red
37.5,0.305,0,Asus Rog NX Red
37.4,0.31,0,Asus Rog NX Red
37.5,0.315,0,Asus Rog NX Red
37.5,0.315,0,Asus Rog NX Red
37.5,0.32,0,Asus Rog NX Red
37.5,0.32,0,Asus Rog NX Red
37.5,0.325,0,Asus Rog NX Red
37.4,0.325,0,Asus Rog NX Red
37.4,0.33,0,Asus Rog NX Red
37.4,0.33,0,Asus Rog NX Red
37.4,0.335,0,Asus Rog NX Red
37.5,0.335,0,Asus Rog NX Red
37.5,0.34,0,Asus Rog NX Red
37.6,0.34,0,Asus Rog NX Red
37.7,0.345,0,Asus Rog NX Red
37.8,0.345,0,Asus Rog NX Red
37.7,0.35,0,Asus Rog NX Red
37.7,0.355,0,Asus Rog NX Red
37.7,0.355,0,Asus Rog NX Red
37.7,0.36,0,Asus Rog NX Red
37.8,0.36,0,Asus Rog NX Red
37.9,0.365,0,Asus Rog NX Red
37.8,0.37,0,Asus Rog NX Red
37.8,0.375,0,Asus Rog NX Red
37.7,0.38,0,Asus Rog NX Red
37.7,0.385,0,Asus Rog NX Red
37.9,0.39,0,Asus Rog NX Red
38,0.395,0,Asus Rog NX Red
37.9,0.4,0,Asus Rog NX Red
37.7,0.405,0,Asus Rog NX Red
37.8,0.41,0,Asus Rog NX Red
37.8,0.415,0,Asus Rog NX Red
37.7,0.415,0,Asus Rog NX Red
37.8,0.42,0,Asus Rog NX Red
37.8,0.425,0,Asus Rog NX Red
37.9,0.425,0,Asus Rog NX Red
37.9,0.43,0,Asus Rog NX Red
38.1,0.43,0,Asus Rog NX Red
38.2,0.435,0,Asus Rog NX Red
38.1,0.44,0,Asus Rog NX Red
38,0.445,0,Asus Rog NX Red
37.9,0.445,0,Asus Rog NX Red
38,0.45,0,Asus Rog NX Red
37.9,0.45,0,Asus Rog NX Red
38.1,0.455,0,Asus Rog NX Red
38.3,0.46,0,Asus Rog NX Red
38.4,0.465,0,Asus Rog NX Red
38.3,0.47,0,Asus Rog NX Red
38.3,0.475,0,Asus Rog NX Red
38.3,0.48,0,Asus Rog NX Red
38.4,0.48,0,Asus Rog NX Red
38.3,0.485,0,Asus Rog NX Red
38.4,0.49,0,Asus Rog NX Red
38.3,0.49,0,Asus Rog NX Red
38.3,0.495,0,Asus Rog NX Red
38.3,0.5,0,Asus Rog NX Red
38.4,0.505,0,Asus Rog NX Red
38.4,0.51,0,Asus Rog NX Red
38.6,0.51,0,Asus Rog NX Red
38.4,0.515,0,Asus Rog NX Red
38.5,0.52,0,Asus Rog NX Red
38.5,0.525,0,Asus Rog NX Red
38.5,0.525,0,Asus Rog NX Red
38.3,0.53,0,Asus Rog NX Red
38.5,0.53,0,Asus Rog NX Red
38.8,0.535,0,Asus Rog NX Red
38.6,0.54,0,Asus Rog NX Red
38.6,0.545,0,Asus Rog NX Red
38.6,0.55,0,Asus Rog NX Red
38.6,0.555,0,Asus Rog NX Red
38.5,0.56,0,Asus Rog NX Red
38.6,0.56,0,Asus Rog NX Red
38.6,0.565,0,Asus Rog NX Red
38.6,0.565,0,Asus Rog NX Red
38.6,0.57,0,Asus Rog NX Red
38.7,0.575,0,Asus Rog NX Red
38.7,0.58,0,Asus Rog NX Red
38.7,0.585,0,Asus Rog NX Red
38.7,0.59,0,Asus Rog NX Red
38.8,0.595,0,Asus Rog NX Red
38.8,0.6,0,Asus Rog NX Red
38.9,0.605,0,Asus Rog NX Red
39,0.61,0,Asus Rog NX Red
39,0.615,0,Asus Rog NX Red
38.8,0.625,0,Asus Rog NX Red
38.7,0.625,0,Asus Rog NX Red
38.8,0.63,0,Asus Rog NX Red
38.9,0.635,0,Asus Rog NX Red
39,0.64,0,Asus Rog NX Red
38.9,0.645,0,Asus Rog NX Red
38.8,0.645,0,Asus Rog NX Red
38.9,0.65,0,Asus Rog NX Red
38.9,0.655,0,Asus Rog NX Red
39,0.655,0,Asus Rog NX Red
39,0.66,0,Asus Rog NX Red
39,0.665,0,Asus Rog NX Red
39,0.67,0,Asus Rog NX Red
39,0.67,0,Asus Rog NX Red
39,0.675,0,Asus Rog NX Red
39,0.675,0,Asus Rog NX Red
39,0.68,0,Asus Rog NX Red
39,0.68,0,Asus Rog NX Red
39,0.685,0,Asus Rog NX Red
39,0.685,0,Asus Rog NX Red
39.1,0.69,0,Asus Rog NX Red
39.2,0.695,0,Asus Rog NX Red
39.1,0.695,0,Asus Rog NX Red
38.9,0.7,0,Asus Rog NX Red
38.8,0.7,0,Asus Rog NX Red
39.1,0.7,0,Asus Rog NX Red
39,0.705,0,Asus Rog NX Red
39.1,0.705,0,Asus Rog NX Red
39.1,0.71,0,Asus Rog NX Red
39.2,0.71,0,Asus Rog NX Red
39.2,0.715,0,Asus Rog NX Red
39.2,0.72,0,Asus Rog NX Red
39.2,0.72,0,Asus Rog NX Red
39.2,0.725,0,Asus Rog NX Red
39.2,0.73,0,Asus Rog NX Red
39.2,0.73,0,Asus Rog NX Red
39.3,0.735,0,Asus Rog NX Red
39.3,0.74,0,Asus Rog NX Red
39.3,0.745,0,Asus Rog NX Red
39.2,0.745,0,Asus Rog NX Red
39.2,0.75,0,Asus Rog NX Red
39.2,0.755,0,Asus Rog NX Red
39.3,0.755,0,Asus Rog NX Red
39.3,0.76,0,Asus Rog NX Red
39.3,0.765,0,Asus Rog NX Red
39.2,0.765,0,Asus Rog NX Red
39.3,0.77,0,Asus Rog NX Red
39.3,0.77,0,Asus Rog NX Red
39.2,0.775,0,Asus Rog NX Red
39.3,0.775,0,Asus Rog NX Red
39.3,0.78,0,Asus Rog NX Red
39.3,0.785,0,Asus Rog NX Red
39.3,0.785,0,Asus Rog NX Red
39.4,0.79,0,Asus Rog NX Red
39.3,0.79,0,Asus Rog NX Red
39.4,0.795,0,Asus Rog NX Red
39.4,0.795,0,Asus Rog NX Red
39.4,0.8,0,Asus Rog NX Red
39.4,0.8,0,Asus Rog NX Red
39.5,0.805,0,Asus Rog NX Red
39.6,0.805,0,Asus Rog NX Red
39.7,0.81,0,Asus Rog NX Red
39.7,0.815,0,Asus Rog NX Red
39.6,0.815,0,Asus Rog NX Red
39.6,0.82,0,Asus Rog NX Red
39.8,0.825,0,Asus Rog NX Red
39.9,0.825,0,Asus Rog NX Red
39.9,0.83,0,Asus Rog NX Red
39.8,0.835,0,Asus Rog NX Red
39.7,0.835,0,Asus Rog NX Red
39.7,0.84,0,Asus Rog NX Red
39.9,0.84,0,Asus Rog NX Red
39.8,0.845,0,Asus Rog NX Red
39.7,0.85,0,Asus Rog NX Red
39.7,0.85,0,Asus Rog NX Red
39.7,0.855,0,Asus Rog NX Red
39.6,0.855,0,Asus Rog NX Red
39.6,0.86,0,Asus Rog NX Red
39.6,0.86,0,Asus Rog NX Red
39.6,0.865,0,Asus Rog NX Red
39.6,0.865,0,Asus Rog NX Red
39.7,0.87,0,Asus Rog NX Red
39.6,0.87,0,Asus Rog NX Red
39.6,0.875,0,Asus Rog NX Red
39.7,0.875,0,Asus Rog NX Red
39.6,0.88,0,Asus Rog NX Red
39.7,0.88,0,Asus Rog NX Red
39.7,0.885,0,Asus Rog NX Red
39.8,0.885,0,Asus Rog NX Red
39.9,0.89,0,Asus Rog NX Red
39.9,0.89,0,Asus Rog NX Red
39.9,0.895,0,Asus Rog NX Red
39.9,0.895,0,Asus Rog NX Red
39.8,0.9,0,Asus Rog NX Red
39.9,0.9,0,Asus Rog NX Red
40,0.905,0,Asus Rog NX Red
40,0.905,0,Asus Rog NX Red
40,0.91,0,Asus Rog NX Red
40,0.915,0,Asus Rog NX Red
40,0.915,0,Asus Rog NX Red
40,0.92,0,Asus Rog NX Red
39.9,0.925,0,Asus Rog NX Red
40,0.925,0,Asus Rog NX Red
40,0.93,0,Asus Rog NX Red
40.1,0.935,0,Asus Rog NX Red
40.1,0.935,0,Asus Rog NX Red
40.2,0.94,0,Asus Rog NX Red
40.3,0.945,0,Asus Rog NX Red
40.3,0.95,0,Asus Rog NX Red
40.3,0.95,0,Asus Rog NX Red
40.4,0.955,0,Asus Rog NX Red
40.4,0.96,0,Asus Rog NX Red
40.4,0.965,0,Asus Rog NX Red
40.4,0.97,0,Asus Rog NX Red
40.3,0.97,0,Asus Rog NX Red
40.3,0.975,0,Asus Rog NX Red
40.3,0.975,0,Asus Rog NX Red
40.2,0.98,0,Asus Rog NX Red
40.2,0.98,0,Asus Rog NX Red
40.3,0.985,0,Asus Rog NX Red
40.3,0.985,0,Asus Rog NX Red
40.3,0.99,0,Asus Rog NX Red
40.3,0.99,0,Asus Rog NX Red
40.4,0.995,0,Asus Rog NX Red
40.5,1,0,Asus Rog NX Red
40.3,1,0,Asus Rog NX Red
40.3,1.005,0,Asus Rog NX Red
40.3,1.01,0,Asus Rog NX Red
40.3,1.01,0,Asus Rog NX Red
40.2,1.015,0,Asus Rog NX Red
40.2,1.015,0,Asus Rog NX Red
40.3,1.02,0,Asus Rog NX Red
40.3,1.02,0,Asus Rog NX Red
40.4,1.025,0,Asus Rog NX Red
40.4,1.025,0,Asus Rog NX Red
40.4,1.03,0,Asus Rog NX Red
40.4,1.03,0,Asus Rog NX Red
40.4,1.035,0,Asus Rog NX Red
40.4,1.035,0,Asus Rog NX Red
40.4,1.035,0,Asus Rog NX Red
40.4,1.04,0,Asus Rog NX Red
40.4,1.04,0,Asus Rog NX Red
40.4,1.045,0,Asus Rog NX Red
40.4,1.045,0,Asus Rog NX Red
40.5,1.045,0,Asus Rog NX Red
40.6,1.05,0,Asus Rog NX Red
40.6,1.05,0,Asus Rog NX Red
40.7,1.055,0,Asus Rog NX Red
40.6,1.055,0,Asus Rog NX Red
40.6,1.06,0,Asus Rog NX Red
40.6,1.06,0,Asus Rog NX Red
40.6,1.06,0,Asus Rog NX Red
40.6,1.065,0,Asus Rog NX Red
40.6,1.065,0,Asus Rog NX Red
40.7,1.07,0,Asus Rog NX Red
40.7,1.07,0,Asus Rog NX Red
40.8,1.075,0,Asus Rog NX Red
40.9,1.075,0,Asus Rog NX Red
40.8,1.08,0,Asus Rog NX Red
40.8,1.085,0,Asus Rog NX Red
40.8,1.085,0,Asus Rog NX Red
40.8,1.09,0,Asus Rog NX Red
40.8,1.09,0,Asus Rog NX Red
40.8,1.095,0,Asus Rog NX Red
40.8,1.1,0,Asus Rog NX Red
41,1.1,0,Asus Rog NX Red
41,1.105,0,Asus Rog NX Red
41,1.11,0,Asus Rog NX Red
40.9,1.11,0,Asus Rog NX Red
41,1.115,0,Asus Rog NX Red
41,1.12,0,Asus Rog NX Red
41,1.12,0,Asus Rog NX Red
40.9,1.125,0,Asus Rog NX Red
40.8,1.13,0,Asus Rog NX Red
40.9,1.13,0,Asus Rog NX Red
41,1.135,0,Asus Rog NX Red
41,1.14,0,Asus Rog NX Red
41,1.145,0,Asus Rog NX Red
41.1,1.15,0,Asus Rog NX Red
41.1,1.15,0,Asus Rog NX Red
41,1.155,0,Asus Rog NX Red
41.1,1.155,0,Asus Rog NX Red
41.1,1.16,0,Asus Rog NX Red
41.1,1.16,0,Asus Rog NX Red
41.1,1.165,0,Asus Rog NX Red
41.1,1.165,0,Asus Rog NX Red
41,1.165,0,Asus Rog NX Red
41.1,1.17,0,Asus Rog NX Red
41.2,1.17,0,Asus Rog NX Red
41.2,1.175,0,Asus Rog NX Red
41.1,1.175,0,Asus Rog NX Red
41.1,1.18,0,Asus Rog NX Red
41.1,1.18,0,Asus Rog NX Red
41.1,1.18,0,Asus Rog NX Red
41.4,1.185,0,Asus Rog NX Red
41.2,1.19,0,Asus Rog NX Red
41.1,1.195,0,Asus Rog NX Red
41,1.195,0,Asus Rog NX Red
41.1,1.2,0,Asus Rog NX Red
41.1,1.2,0,Asus Rog NX Red
41.1,1.205,0,Asus Rog NX Red
41.1,1.205,0,Asus Rog NX Red
41,1.21,0,Asus Rog NX Red
41,1.21,0,Asus Rog NX Red
41,1.21,0,Asus Rog NX Red
41,1.21,0,Asus Rog NX Red
41,1.215,0,Asus Rog NX Red
40.8,1.215,0,Asus Rog NX Red
40.9,1.215,0,Asus Rog NX Red
40.9,1.22,0,Asus Rog NX Red
40.9,1.22,0,Asus Rog NX Red
40.7,1.22,0,Asus Rog NX Red
40.6,1.22,0,Asus Rog NX Red
40.6,1.22,0,Asus Rog NX Red
40.6,1.22,0,Asus Rog NX Red
40.6,1.22,0,Asus Rog NX Red
40.7,1.22,0,Asus Rog NX Red
40.8,1.22,0,Asus Rog NX Red
40.7,1.225,0,Asus Rog NX Red
40.8,1.225,0,Asus Rog NX Red
40.9,1.225,0,Asus Rog NX Red
41.1,1.225,0,Asus Rog NX Red
41,1.23,0,Asus Rog NX Red
40.9,1.23,0,Asus Rog NX Red
40.8,1.23,0,Asus Rog NX Red
40.8,1.23,0,Asus Rog NX Red
40.8,1.23,0,Asus Rog NX Red
40.8,1.235,0,Asus Rog NX Red
41,1.235,0,Asus Rog NX Red
41,1.235,0,Asus Rog NX Red
41,1.24,0,Asus Rog NX Red
41.1,1.24,0,Asus Rog NX Red
41.2,1.245,0,Asus Rog NX Red
41.1,1.245,0,Asus Rog NX Red
41.1,1.25,0,Asus Rog NX Red
41.1,1.25,0,Asus Rog NX Red
41,1.255,0,Asus Rog NX Red
41.1,1.255,0,Asus Rog NX Red
41.2,1.255,0,Asus Rog NX Red
41.2,1.26,0,Asus Rog NX Red
41.1,1.26,0,Asus Rog NX Red
41.1,1.265,0,Asus Rog NX Red
41.2,1.265,0,Asus Rog NX Red
41,1.27,0,Asus Rog NX Red
41,1.27,0,Asus Rog NX Red
41,1.27,0,Asus Rog NX Red
41.1,1.275,0,Asus Rog NX Red
41.1,1.275,0,Asus Rog NX Red
41.1,1.28,0,Asus Rog NX Red
41.2,1.28,0,Asus Rog NX Red
41.2,1.28,0,Asus Rog NX Red
41.2,1.285,0,Asus Rog NX Red
41.2,1.285,0,Asus Rog NX Red
41.2,1.285,0,Asus Rog NX Red
41.2,1.29,0,Asus Rog NX Red
