force,displacement,judge,name
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0,0,BSUN 5 Pin Green Panda
0,0.005,0,BSUN 5 Pin Green Panda
0,0.005,0,BSUN 5 Pin Green Panda
0,0.005,0,BSUN 5 Pin Green Panda
0,0.005,0,BSUN 5 Pin Green Panda
0,0.01,0,BSUN 5 Pin Green Panda
0,0.01,0,BSUN 5 Pin Green Panda
0,0.015,0,BSUN 5 Pin Green Panda
0,0.02,0,BSUN 5 Pin Green Panda
0,0.02,0,BSUN 5 Pin Green Panda
0,0.025,0,BSUN 5 Pin Green Panda
0,0.025,0,BSUN 5 Pin Green Panda
0,0.03,0,BSUN 5 Pin Green Panda
0,0.03,0,BSUN 5 Pin Green Panda
0.2,0.035,0,BSUN 5 Pin Green Panda
2.5,0.035,0,BSUN 5 Pin Green Panda
5.1,0.04,0,BSUN 5 Pin Green Panda
7.2,0.04,0,BSUN 5 Pin Green Panda
8.9,0.045,0,BSUN 5 Pin Green Panda
10.5,0.045,0,BSUN 5 Pin Green Panda
12.1,0.045,0,BSUN 5 Pin Green Panda
13.7,0.05,0,BSUN 5 Pin Green Panda
15.3,0.05,0,BSUN 5 Pin Green Panda
17.3,0.055,0,BSUN 5 Pin Green Panda
19.4,0.055,0,BSUN 5 Pin Green Panda
21.7,0.06,0,BSUN 5 Pin Green Panda
23.9,0.06,0,BSUN 5 Pin Green Panda
26.2,0.065,0,BSUN 5 Pin Green Panda
28.5,0.065,0,BSUN 5 Pin Green Panda
30.7,0.065,0,BSUN 5 Pin Green Panda
32.5,0.07,0,BSUN 5 Pin Green Panda
34,0.07,0,BSUN 5 Pin Green Panda
35.6,0.075,0,BSUN 5 Pin Green Panda
36.9,0.075,0,BSUN 5 Pin Green Panda
37.8,0.08,0,BSUN 5 Pin Green Panda
38.3,0.08,0,BSUN 5 Pin Green Panda
38.7,0.085,0,BSUN 5 Pin Green Panda
39,0.09,0,BSUN 5 Pin Green Panda
39.5,0.09,0,BSUN 5 Pin Green Panda
39.7,0.095,0,BSUN 5 Pin Green Panda
39.3,0.095,0,BSUN 5 Pin Green Panda
39.3,0.1,0,BSUN 5 Pin Green Panda
39.3,0.1,0,BSUN 5 Pin Green Panda
39.3,0.105,0,BSUN 5 Pin Green Panda
39.3,0.105,0,BSUN 5 Pin Green Panda
39.4,0.11,0,BSUN 5 Pin Green Panda
39.2,0.11,0,BSUN 5 Pin Green Panda
39.2,0.11,0,BSUN 5 Pin Green Panda
39.2,0.115,0,BSUN 5 Pin Green Panda
39.2,0.115,0,BSUN 5 Pin Green Panda
39.1,0.12,0,BSUN 5 Pin Green Panda
39.1,0.12,0,BSUN 5 Pin Green Panda
39,0.125,0,BSUN 5 Pin Green Panda
38.9,0.125,0,BSUN 5 Pin Green Panda
38.8,0.13,0,BSUN 5 Pin Green Panda
38.8,0.13,0,BSUN 5 Pin Green Panda
38.8,0.135,0,BSUN 5 Pin Green Panda
38.7,0.135,0,BSUN 5 Pin Green Panda
38.7,0.14,0,BSUN 5 Pin Green Panda
38.6,0.14,0,BSUN 5 Pin Green Panda
38.6,0.14,0,BSUN 5 Pin Green Panda
38.6,0.145,0,BSUN 5 Pin Green Panda
38.6,0.145,0,BSUN 5 Pin Green Panda
38.7,0.15,0,BSUN 5 Pin Green Panda
38.9,0.155,0,BSUN 5 Pin Green Panda
38.9,0.155,0,BSUN 5 Pin Green Panda
38.9,0.16,0,BSUN 5 Pin Green Panda
39,0.165,0,BSUN 5 Pin Green Panda
40.1,0.17,0,BSUN 5 Pin Green Panda
41.2,0.17,0,BSUN 5 Pin Green Panda
42.1,0.175,0,BSUN 5 Pin Green Panda
42.3,0.18,0,BSUN 5 Pin Green Panda
42.5,0.185,0,BSUN 5 Pin Green Panda
42.6,0.185,0,BSUN 5 Pin Green Panda
42.6,0.19,0,BSUN 5 Pin Green Panda
42.6,0.195,0,BSUN 5 Pin Green Panda
42.4,0.195,0,BSUN 5 Pin Green Panda
42.2,0.2,0,BSUN 5 Pin Green Panda
42.1,0.2,0,BSUN 5 Pin Green Panda
42,0.205,0,BSUN 5 Pin Green Panda
41.8,0.21,0,BSUN 5 Pin Green Panda
41.6,0.21,0,BSUN 5 Pin Green Panda
41.3,0.215,0,BSUN 5 Pin Green Panda
40.9,0.22,0,BSUN 5 Pin Green Panda
40.7,0.225,0,BSUN 5 Pin Green Panda
40.5,0.225,0,BSUN 5 Pin Green Panda
40.4,0.23,0,BSUN 5 Pin Green Panda
40.5,0.23,0,BSUN 5 Pin Green Panda
40.4,0.235,0,BSUN 5 Pin Green Panda
40.3,0.235,0,BSUN 5 Pin Green Panda
40.2,0.24,0,BSUN 5 Pin Green Panda
40.1,0.24,0,BSUN 5 Pin Green Panda
40.1,0.245,0,BSUN 5 Pin Green Panda
39.9,0.25,0,BSUN 5 Pin Green Panda
39.8,0.25,0,BSUN 5 Pin Green Panda
39.8,0.25,0,BSUN 5 Pin Green Panda
39.9,0.255,0,BSUN 5 Pin Green Panda
39.8,0.255,0,BSUN 5 Pin Green Panda
39.8,0.255,0,BSUN 5 Pin Green Panda
39.7,0.26,0,BSUN 5 Pin Green Panda
39.8,0.26,0,BSUN 5 Pin Green Panda
39.6,0.265,0,BSUN 5 Pin Green Panda
39.6,0.27,0,BSUN 5 Pin Green Panda
39.6,0.275,0,BSUN 5 Pin Green Panda
39.4,0.28,0,BSUN 5 Pin Green Panda
39.4,0.29,0,BSUN 5 Pin Green Panda
39.4,0.295,0,BSUN 5 Pin Green Panda
39.4,0.305,0,BSUN 5 Pin Green Panda
39.4,0.31,0,BSUN 5 Pin Green Panda
39.4,0.315,0,BSUN 5 Pin Green Panda
39.5,0.32,0,BSUN 5 Pin Green Panda
39.5,0.325,0,BSUN 5 Pin Green Panda
39.5,0.33,0,BSUN 5 Pin Green Panda
39.5,0.335,0,BSUN 5 Pin Green Panda
39.6,0.34,0,BSUN 5 Pin Green Panda
39.6,0.34,0,BSUN 5 Pin Green Panda
39.6,0.345,0,BSUN 5 Pin Green Panda
39.5,0.35,0,BSUN 5 Pin Green Panda
39.6,0.355,0,BSUN 5 Pin Green Panda
39.6,0.365,0,BSUN 5 Pin Green Panda
39.7,0.37,0,BSUN 5 Pin Green Panda
39.8,0.375,0,BSUN 5 Pin Green Panda
39.8,0.375,0,BSUN 5 Pin Green Panda
39.7,0.38,0,BSUN 5 Pin Green Panda
39.7,0.385,0,BSUN 5 Pin Green Panda
39.7,0.39,0,BSUN 5 Pin Green Panda
39.7,0.395,0,BSUN 5 Pin Green Panda
39.7,0.395,0,BSUN 5 Pin Green Panda
39.8,0.4,0,BSUN 5 Pin Green Panda
39.9,0.405,0,BSUN 5 Pin Green Panda
39.7,0.41,0,BSUN 5 Pin Green Panda
39.7,0.415,0,BSUN 5 Pin Green Panda
39.7,0.42,0,BSUN 5 Pin Green Panda
39.7,0.42,0,BSUN 5 Pin Green Panda
39.9,0.425,0,BSUN 5 Pin Green Panda
39.9,0.425,0,BSUN 5 Pin Green Panda
39.9,0.43,0,BSUN 5 Pin Green Panda
40,0.435,0,BSUN 5 Pin Green Panda
40,0.44,0,BSUN 5 Pin Green Panda
40,0.445,0,BSUN 5 Pin Green Panda
40,0.445,0,BSUN 5 Pin Green Panda
40.1,0.45,0,BSUN 5 Pin Green Panda
40,0.455,0,BSUN 5 Pin Green Panda
40,0.455,0,BSUN 5 Pin Green Panda
40,0.455,0,BSUN 5 Pin Green Panda
40,0.46,0,BSUN 5 Pin Green Panda
40.1,0.46,0,BSUN 5 Pin Green Panda
