force,displacement,judge,name
0.1,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
-0.1,0,0,BSUN Bitao
0.1,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0.1,0,0,BSUN Bitao
0.1,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
0,0,0,BSUN Bitao
-0.1,0,0,BSUN Bitao
0,0.005,0,BSUN Bitao
0,0.005,0,BSUN Bitao
0,0.005,0,BSUN Bitao
0,0.005,0,BSUN Bitao
0,0.01,0,BSUN Bitao
0,0.01,0,BSUN Bitao
0,0.01,0,BSUN Bitao
0,0.015,0,BSUN Bitao
0,0.015,0,BSUN Bitao
0,0.015,0,BSUN Bitao
0,0.02,0,BSUN Bitao
0,0.02,0,BSUN Bitao
0.3,0.025,0,BSUN Bitao
2.9,0.025,0,BSUN Bitao
5.4,0.03,0,BSUN Bitao
8.1,0.03,0,BSUN Bitao
10.4,0.035,0,BSUN Bitao
12.1,0.035,0,BSUN Bitao
13.8,0.04,0,BSUN Bitao
15.4,0.04,0,BSUN Bitao
17.1,0.04,0,BSUN Bitao
18.6,0.045,0,BSUN Bitao
20.4,0.045,0,BSUN Bitao
22.3,0.05,0,BSUN Bitao
24.4,0.05,0,BSUN Bitao
26.3,0.05,0,BSUN Bitao
27.9,0.055,0,BSUN Bitao
29.1,0.055,0,BSUN Bitao
30.2,0.06,0,BSUN Bitao
30.9,0.06,0,BSUN Bitao
31.3,0.06,0,BSUN Bitao
31.4,0.06,0,BSUN Bitao
31.9,0.065,0,BSUN Bitao
32.6,0.065,0,BSUN Bitao
33.7,0.065,0,BSUN Bitao
34.8,0.07,0,BSUN Bitao
35.7,0.075,0,BSUN Bitao
36.7,0.08,0,BSUN Bitao
37.5,0.08,0,BSUN Bitao
37.4,0.085,0,BSUN Bitao
37.2,0.09,0,BSUN Bitao
37.3,0.095,0,BSUN Bitao
37.3,0.1,0,BSUN Bitao
37.4,0.105,0,BSUN Bitao
37.4,0.115,0,BSUN Bitao
37.4,0.12,0,BSUN Bitao
37.3,0.13,0,BSUN Bitao
37.3,0.135,0,BSUN Bitao
37.5,0.14,0,BSUN Bitao
37.5,0.145,0,BSUN Bitao
37.5,0.15,0,BSUN Bitao
37.5,0.15,0,BSUN Bitao
37.6,0.155,0,BSUN Bitao
37.6,0.155,0,BSUN Bitao
37.6,0.16,0,BSUN Bitao
37.8,0.16,0,BSUN Bitao
37.8,0.165,0,BSUN Bitao
37.7,0.165,0,BSUN Bitao
37.6,0.17,0,BSUN Bitao
37.6,0.175,0,BSUN Bitao
37.4,0.18,0,BSUN Bitao
37.4,0.185,0,BSUN Bitao
37.5,0.19,0,BSUN Bitao
37.6,0.19,0,BSUN Bitao
37.6,0.195,0,BSUN Bitao
37.5,0.2,0,BSUN Bitao
37.5,0.205,0,BSUN Bitao
37.5,0.21,0,BSUN Bitao
37.6,0.21,0,BSUN Bitao
37.6,0.215,0,BSUN Bitao
37.6,0.215,0,BSUN Bitao
37.6,0.215,0,BSUN Bitao
37.7,0.22,0,BSUN Bitao
37.7,0.22,0,BSUN Bitao
37.8,0.22,0,BSUN Bitao
37.8,0.225,0,BSUN Bitao
37.8,0.225,0,BSUN Bitao
37.8,0.225,0,BSUN Bitao
37.8,0.23,0,BSUN Bitao
37.7,0.23,0,BSUN Bitao
37.8,0.23,0,BSUN Bitao
37.8,0.235,0,BSUN Bitao
37.7,0.235,0,BSUN Bitao
37.8,0.235,0,BSUN Bitao
37.8,0.24,0,BSUN Bitao
37.8,0.24,0,BSUN Bitao
37.9,0.24,0,BSUN Bitao
37.8,0.245,0,BSUN Bitao
37.8,0.245,0,BSUN Bitao
37.8,0.245,0,BSUN Bitao
37.8,0.245,0,BSUN Bitao
37.8,0.25,0,BSUN Bitao
37.8,0.25,0,BSUN Bitao
37.7,0.25,0,BSUN Bitao
37.7,0.255,0,BSUN Bitao
37.8,0.255,0,BSUN Bitao
37.7,0.255,0,BSUN Bitao
37.7,0.255,0,BSUN Bitao
37.8,0.26,0,BSUN Bitao
37.8,0.26,0,BSUN Bitao
