force,displacement,judge,name
-0.1,0,0,BSUN Dragon Fruit Panda V2
0,0,0,BSUN Dragon Fruit Panda V2
0.1,0,0,BSUN Dragon Fruit Panda V2
0,0,0,BSUN Dragon Fruit Panda V2
0,0,0,BSUN Dragon Fruit Panda V2
0,0,0,BSUN Dragon Fruit Panda V2
0.1,0,0,BSUN Dragon Fruit Panda V2
-0.1,0,0,BSUN Dragon Fruit Panda V2
-0.1,0,0,BSUN Dragon Fruit Panda V2
-0.1,0,0,BSUN Dragon Fruit Panda V2
0,0,0,BSUN Dragon Fruit Panda V2
-0.3,0,0,BSUN Dragon Fruit Panda V2
-0.3,0,0,BSUN Dragon Fruit Panda V2
0.1,0,0,BSUN Dragon Fruit Panda V2
0.1,0,0,BSUN Dragon Fruit Panda V2
0,0,0,BSUN Dragon Fruit Panda V2
0,0,0,BSUN Dragon Fruit Panda V2
0,0,0,BSUN Dragon Fruit Panda V2
0,0,0,BSUN Dragon Fruit Panda V2
0.1,0,0,BSUN Dragon Fruit Panda V2
0,0.005,0,BSUN Dragon Fruit Panda V2
0,0.005,0,BSUN Dragon Fruit Panda V2
0,0.005,0,BSUN Dragon Fruit Panda V2
0,0.005,0,BSUN Dragon Fruit Panda V2
-0.1,0.01,0,BSUN Dragon Fruit Panda V2
1.3,0.015,0,BSUN Dragon Fruit Panda V2
4.3,0.015,0,BSUN Dragon Fruit Panda V2
7.6,0.02,0,BSUN Dragon Fruit Panda V2
10.9,0.025,0,BSUN Dragon Fruit Panda V2
14.1,0.025,0,BSUN Dragon Fruit Panda V2
16.9,0.03,0,BSUN Dragon Fruit Panda V2
18.5,0.03,0,BSUN Dragon Fruit Panda V2
19.4,0.035,0,BSUN Dragon Fruit Panda V2
20.4,0.035,0,BSUN Dragon Fruit Panda V2
21.6,0.035,0,BSUN Dragon Fruit Panda V2
22.9,0.035,0,BSUN Dragon Fruit Panda V2
24.4,0.04,0,BSUN Dragon Fruit Panda V2
26,0.04,0,BSUN Dragon Fruit Panda V2
28,0.04,0,BSUN Dragon Fruit Panda V2
