force,displacement,judge,name
-0.1,0,0,BSUN Pikachu
0,0,0,BSUN Pikachu
0,0,0,BSUN Pikachu
-0.1,0,0,BSUN Pikachu
0,0,0,BSUN Pikachu
0,0,0,BSUN Pikachu
-0.1,0,0,BSUN Pikachu
-0.1,0,0,BSUN Pikachu
0,0,0,BSUN Pikachu
0,0,0,BSUN Pikachu
0,0,0,BSUN Pikachu
0,0,0,BSUN Pikachu
0,0,0,BSUN Pikachu
-0.1,0,0,BSUN Pikachu
0,0,0,BSUN Pikachu
-0.1,0,0,BSUN Pikachu
0,0.005,0,BSUN Pikachu
0,0.005,0,BSUN Pikachu
0,0.005,0,BSUN Pikachu
0.2,0.005,0,BSUN Pikachu
1,0.01,0,BSUN Pikachu
2,0.01,0,BSUN Pikachu
3.3,0.01,0,BSUN Pikachu
4.6,0.01,0,BSUN Pikachu
5.5,0.015,0,BSUN Pikachu
6.3,0.015,0,BSUN Pikachu
7.2,0.015,0,BSUN Pikachu
8.3,0.015,0,BSUN Pikachu
9.5,0.02,0,BSUN Pikachu
10.6,0.02,0,BSUN Pikachu
11.9,0.02,0,BSUN Pikachu
13.5,0.02,0,BSUN Pikachu
15.2,0.025,0,BSUN Pikachu
16.8,0.025,0,BSUN Pikachu
18.2,0.025,0,BSUN Pikachu
20.1,0.03,0,BSUN Pikachu
22.3,0.03,0,BSUN Pikachu
24.6,0.035,0,BSUN Pikachu
26.6,0.035,0,BSUN Pikachu
28.4,0.035,0,BSUN Pikachu
30.1,0.04,0,BSUN Pikachu
31.1,0.04,0,BSUN Pikachu
31.5,0.045,0,BSUN Pikachu
31.9,0.045,0,BSUN Pikachu
32.4,0.045,0,BSUN Pikachu
32.7,0.05,0,BSUN Pikachu
33.1,0.05,0,BSUN Pikachu
33.6,0.05,0,BSUN Pikachu
34,0.055,0,BSUN Pikachu
34.5,0.055,0,BSUN Pikachu
34.6,0.055,0,BSUN Pikachu
34.5,0.06,0,BSUN Pikachu
34.5,0.06,0,BSUN Pikachu
34.7,0.06,0,BSUN Pikachu
34.8,0.06,0,BSUN Pikachu
34.8,0.065,0,BSUN Pikachu
34.7,0.065,0,BSUN Pikachu
34.7,0.065,0,BSUN Pikachu
34.7,0.07,0,BSUN Pikachu
34.7,0.07,0,BSUN Pikachu
34.7,0.07,0,BSUN Pikachu
34.7,0.07,0,BSUN Pikachu
34.7,0.075,0,BSUN Pikachu
34.7,0.075,0,BSUN Pikachu
34.9,0.075,0,BSUN Pikachu
35.1,0.075,0,BSUN Pikachu
35,0.08,0,BSUN Pikachu
35,0.085,0,BSUN Pikachu
34.9,0.09,0,BSUN Pikachu
34.7,0.09,0,BSUN Pikachu
34.6,0.095,0,BSUN Pikachu
34.7,0.1,0,BSUN Pikachu
34.6,0.1,0,BSUN Pikachu
34.7,0.105,0,BSUN Pikachu
34.7,0.11,0,BSUN Pikachu
34.8,0.115,0,BSUN Pikachu
34.9,0.115,0,BSUN Pikachu
34.8,0.12,0,BSUN Pikachu
34.8,0.125,0,BSUN Pikachu
34.8,0.13,0,BSUN Pikachu
34.4,0.135,0,BSUN Pikachu
34.5,0.14,0,BSUN Pikachu
34.3,0.14,0,BSUN Pikachu
34.5,0.145,0,BSUN Pikachu
34.3,0.145,0,BSUN Pikachu
34.3,0.145,0,BSUN Pikachu
34.2,0.15,0,BSUN Pikachu
34.3,0.15,0,BSUN Pikachu
34.2,0.15,0,BSUN Pikachu
34.3,0.155,0,BSUN Pikachu
34.2,0.155,0,BSUN Pikachu
34.3,0.155,0,BSUN Pikachu
34.5,0.16,0,BSUN Pikachu
34.6,0.16,0,BSUN Pikachu
34.6,0.16,0,BSUN Pikachu
34.5,0.165,0,BSUN Pikachu
34.6,0.165,0,BSUN Pikachu
34.6,0.17,0,BSUN Pikachu
34.6,0.17,0,BSUN Pikachu
34.8,0.175,0,BSUN Pikachu
34.9,0.175,0,BSUN Pikachu
34.8,0.18,0,BSUN Pikachu
34.7,0.185,0,BSUN Pikachu
34.8,0.185,0,BSUN Pikachu
34.8,0.19,0,BSUN Pikachu
34.9,0.19,0,BSUN Pikachu
34.7,0.195,0,BSUN Pikachu
34.7,0.195,0,BSUN Pikachu
34.9,0.2,0,BSUN Pikachu
35,0.205,0,BSUN Pikachu
35,0.21,0,BSUN Pikachu
35,0.215,0,BSUN Pikachu
34.9,0.215,0,BSUN Pikachu
34.9,0.22,0,BSUN Pikachu
34.9,0.22,0,BSUN Pikachu
34.8,0.22,0,BSUN Pikachu
34.6,0.225,0,BSUN Pikachu
34.6,0.225,0,BSUN Pikachu
34.9,0.225,0,BSUN Pikachu
35.2,0.225,0,BSUN Pikachu
35.2,0.23,0,BSUN Pikachu
35.2,0.23,0,BSUN Pikachu
35.2,0.235,0,BSUN Pikachu
35.2,0.235,0,BSUN Pikachu
35.2,0.235,0,BSUN Pikachu
35.3,0.24,0,BSUN Pikachu
35.2,0.24,0,BSUN Pikachu
35.2,0.245,0,BSUN Pikachu
35.2,0.245,0,BSUN Pikachu
35.2,0.25,0,BSUN Pikachu
35.2,0.25,0,BSUN Pikachu
35.3,0.25,0,BSUN Pikachu
35.3,0.255,0,BSUN Pikachu
35.4,0.255,0,BSUN Pikachu
35.5,0.26,0,BSUN Pikachu
35.4,0.265,0,BSUN Pikachu
35.4,0.265,0,BSUN Pikachu
35.4,0.27,0,BSUN Pikachu
35.5,0.27,0,BSUN Pikachu
35.5,0.275,0,BSUN Pikachu
35.5,0.275,0,BSUN Pikachu
35.4,0.28,0,BSUN Pikachu
35.5,0.28,0,BSUN Pikachu
35.6,0.285,0,BSUN Pikachu
35.7,0.29,0,BSUN Pikachu
35.6,0.29,0,BSUN Pikachu
35.6,0.295,0,BSUN Pikachu
35.7,0.295,0,BSUN Pikachu
35.7,0.3,0,BSUN Pikachu
35.6,0.3,0,BSUN Pikachu
35.7,0.305,0,BSUN Pikachu
35.7,0.305,0,BSUN Pikachu
35.6,0.31,0,BSUN Pikachu
35.5,0.31,0,BSUN Pikachu
35.6,0.315,0,BSUN Pikachu
35.6,0.315,0,BSUN Pikachu
35.6,0.315,0,BSUN Pikachu
35.6,0.32,0,BSUN Pikachu
35.7,0.32,0,BSUN Pikachu
35.7,0.325,0,BSUN Pikachu
35.7,0.33,0,BSUN Pikachu
35.7,0.335,0,BSUN Pikachu
35.5,0.335,0,BSUN Pikachu
35.5,0.335,0,BSUN Pikachu
35.7,0.34,0,BSUN Pikachu
35.6,0.345,0,BSUN Pikachu
35.7,0.345,0,BSUN Pikachu
35.6,0.35,0,BSUN Pikachu
35.8,0.35,0,BSUN Pikachu
35.9,0.355,0,BSUN Pikachu
35.9,0.355,0,BSUN Pikachu
36,0.36,0,BSUN Pikachu
36,0.365,0,BSUN Pikachu
36.2,0.37,0,BSUN Pikachu
36,0.375,0,BSUN Pikachu
35.9,0.375,0,BSUN Pikachu
35.9,0.38,0,BSUN Pikachu
35.8,0.385,0,BSUN Pikachu
35.8,0.39,0,BSUN Pikachu
35.8,0.39,0,BSUN Pikachu
36.1,0.395,0,BSUN Pikachu
36.1,0.4,0,BSUN Pikachu
36.1,0.405,0,BSUN Pikachu
36.1,0.405,0,BSUN Pikachu
36.2,0.41,0,BSUN Pikachu
36.3,0.41,0,BSUN Pikachu
36.4,0.415,0,BSUN Pikachu
36.4,0.42,0,BSUN Pikachu
