force,displacement,judge,name
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0,0,Banana Milk Linear Factory Sample
0,0.005,0,Banana Milk Linear Factory Sample
0,0.005,0,Banana Milk Linear Factory Sample
0,0.005,0,Banana Milk Linear Factory Sample
0,0.005,0,Banana Milk Linear Factory Sample
0,0.005,0,Banana Milk Linear Factory Sample
0,0.01,0,Banana Milk Linear Factory Sample
0.8,0.01,0,Banana Milk Linear Factory Sample
2.6,0.015,0,Banana Milk Linear Factory Sample
4.6,0.015,0,Banana Milk Linear Factory Sample
7,0.02,0,Banana Milk Linear Factory Sample
9.3,0.02,0,Banana Milk Linear Factory Sample
11.7,0.025,0,Banana Milk Linear Factory Sample
14,0.025,0,Banana Milk Linear Factory Sample
16.8,0.03,0,Banana Milk Linear Factory Sample
19.3,0.03,0,Banana Milk Linear Factory Sample
22.2,0.035,0,Banana Milk Linear Factory Sample
24.9,0.04,0,Banana Milk Linear Factory Sample
27.4,0.04,0,Banana Milk Linear Factory Sample
29.6,0.045,0,Banana Milk Linear Factory Sample
31.7,0.045,0,Banana Milk Linear Factory Sample
33.8,0.045,0,Banana Milk Linear Factory Sample
35.7,0.05,0,Banana Milk Linear Factory Sample
37.7,0.05,0,Banana Milk Linear Factory Sample
39.8,0.055,0,Banana Milk Linear Factory Sample
41.9,0.055,0,Banana Milk Linear Factory Sample
44.5,0.06,0,Banana Milk Linear Factory Sample
47.2,0.065,0,Banana Milk Linear Factory Sample
49.6,0.065,0,Banana Milk Linear Factory Sample
51.1,0.07,0,Banana Milk Linear Factory Sample
51.7,0.075,0,Banana Milk Linear Factory Sample
52.4,0.08,0,Banana Milk Linear Factory Sample
53,0.08,0,Banana Milk Linear Factory Sample
53.5,0.085,0,Banana Milk Linear Factory Sample
53.6,0.09,0,Banana Milk Linear Factory Sample
53.3,0.095,0,Banana Milk Linear Factory Sample
53.4,0.1,0,Banana Milk Linear Factory Sample
53.1,0.105,0,Banana Milk Linear Factory Sample
53.1,0.105,0,Banana Milk Linear Factory Sample
53.5,0.11,0,Banana Milk Linear Factory Sample
53.6,0.11,0,Banana Milk Linear Factory Sample
53.7,0.115,0,Banana Milk Linear Factory Sample
53.7,0.12,0,Banana Milk Linear Factory Sample
53.6,0.12,0,Banana Milk Linear Factory Sample
