force,displacement,judge,name
0,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0.1,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0.1,0,0,Brazilian Iron
0.1,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0,0,0,Brazilian Iron
0.1,0,0,Brazilian Iron
1.1,0.005,0,Brazilian Iron
2.3,0.005,0,Brazilian Iron
4.8,0.01,0,Brazilian Iron
8,0.01,0,Brazilian Iron
10.4,0.015,0,Brazilian Iron
12.1,0.015,0,Brazilian Iron
14.4,0.02,0,Brazilian Iron
16.4,0.02,0,Brazilian Iron
18.1,0.02,0,Brazilian Iron
19.3,0.025,0,Brazilian Iron
20.4,0.025,0,Brazilian Iron
21.8,0.025,0,Brazilian Iron
23,0.03,0,Brazilian Iron
24,0.03,0,Brazilian Iron
25.1,0.03,0,Brazilian Iron
26.3,0.03,0,Brazilian Iron
27.4,0.03,0,Brazilian Iron
28.3,0.035,0,Brazilian Iron
29.7,0.035,0,Brazilian Iron
31.2,0.035,0,Brazilian Iron
33.1,0.04,0,Brazilian Iron
34.9,0.04,0,Brazilian Iron
36.7,0.04,0,Brazilian Iron
36.8,0.045,0,Brazilian Iron
37.4,0.045,0,Brazilian Iron
38,0.05,0,Brazilian Iron
38.7,0.05,0,Brazilian Iron
39.4,0.055,0,Brazilian Iron
39.9,0.055,0,Brazilian Iron
40.6,0.06,0,Brazilian Iron
41.3,0.06,0,Brazilian Iron
41.9,0.065,0,Brazilian Iron
41.6,0.07,0,Brazilian Iron
41.6,0.075,0,Brazilian Iron
41.7,0.075,0,Brazilian Iron
41.7,0.08,0,Brazilian Iron
41.6,0.085,0,Brazilian Iron
41.5,0.09,0,Brazilian Iron
41.3,0.1,0,Brazilian Iron
41.1,0.105,0,Brazilian Iron
41.2,0.115,0,Brazilian Iron
41,0.12,0,Brazilian Iron
40.9,0.125,0,Brazilian Iron
40.8,0.13,0,Brazilian Iron
40.8,0.135,0,Brazilian Iron
41,0.145,0,Brazilian Iron
41.3,0.15,0,Brazilian Iron
41.3,0.155,0,Brazilian Iron
41.6,0.16,0,Brazilian Iron
41.4,0.165,0,Brazilian Iron
41.3,0.17,0,Brazilian Iron
41.1,0.175,0,Brazilian Iron
40.8,0.185,0,Brazilian Iron
40.7,0.19,0,Brazilian Iron
40.7,0.195,0,Brazilian Iron
40.7,0.205,0,Brazilian Iron
40.7,0.21,0,Brazilian Iron
40.6,0.215,0,Brazilian Iron
40.6,0.22,0,Brazilian Iron
40.5,0.225,0,Brazilian Iron
40.6,0.23,0,Brazilian Iron
40.6,0.235,0,Brazilian Iron
40.6,0.24,0,Brazilian Iron
40.6,0.245,0,Brazilian Iron
40.6,0.25,0,Brazilian Iron
40.6,0.25,0,Brazilian Iron
40.6,0.255,0,Brazilian Iron
40.6,0.26,0,Brazilian Iron
40.7,0.26,0,Brazilian Iron
40.7,0.265,0,Brazilian Iron
40.7,0.265,0,Brazilian Iron
40.9,0.27,0,Brazilian Iron
41,0.27,0,Brazilian Iron
41,0.27,0,Brazilian Iron
41,0.275,0,Brazilian Iron
41.1,0.275,0,Brazilian Iron
41.1,0.28,0,Brazilian Iron
41.1,0.28,0,Brazilian Iron
41.2,0.285,0,Brazilian Iron
41.1,0.285,0,Brazilian Iron
41.1,0.29,0,Brazilian Iron
41.1,0.295,0,Brazilian Iron
41,0.295,0,Brazilian Iron
41,0.3,0,Brazilian Iron
41.1,0.305,0,Brazilian Iron
41.2,0.305,0,Brazilian Iron
41.4,0.31,0,Brazilian Iron
41.4,0.315,0,Brazilian Iron
41.3,0.315,0,Brazilian Iron
41.2,0.32,0,Brazilian Iron
41.2,0.325,0,Brazilian Iron
41.1,0.33,0,Brazilian Iron
41.1,0.335,0,Brazilian Iron
41.1,0.34,0,Brazilian Iron
40.8,0.34,0,Brazilian Iron
40.9,0.345,0,Brazilian Iron
41.2,0.345,0,Brazilian Iron
40.9,0.35,0,Brazilian Iron
40.4,0.35,0,Brazilian Iron
40.8,0.355,0,Brazilian Iron
40.9,0.36,0,Brazilian Iron
40.8,0.36,0,Brazilian Iron
40.8,0.365,0,Brazilian Iron
40.9,0.365,0,Brazilian Iron
40.9,0.37,0,Brazilian Iron
40.6,0.37,0,Brazilian Iron
40.9,0.37,0,Brazilian Iron
40.8,0.375,0,Brazilian Iron
40.9,0.375,0,Brazilian Iron
41,0.375,0,Brazilian Iron
40.9,0.375,0,Brazilian Iron
41.1,0.38,0,Brazilian Iron
41,0.38,0,Brazilian Iron
41.1,0.38,0,Brazilian Iron
41.1,0.385,0,Brazilian Iron
41.1,0.385,0,Brazilian Iron
41,0.385,0,Brazilian Iron
41.1,0.39,0,Brazilian Iron
41.1,0.39,0,Brazilian Iron
41.1,0.39,0,Brazilian Iron
41,0.395,0,Brazilian Iron
41,0.395,0,Brazilian Iron
41.1,0.395,0,Brazilian Iron
41.1,0.395,0,Brazilian Iron
41.3,0.4,0,Brazilian Iron
41.5,0.4,0,Brazilian Iron
41.3,0.405,0,Brazilian Iron
41.2,0.41,0,Brazilian Iron
41.2,0.41,0,Brazilian Iron
41.3,0.415,0,Brazilian Iron
41.3,0.42,0,Brazilian Iron
41.2,0.42,0,Brazilian Iron
41.3,0.425,0,Brazilian Iron
41.2,0.43,0,Brazilian Iron
41.3,0.435,0,Brazilian Iron
41,0.435,0,Brazilian Iron
40.9,0.44,0,Brazilian Iron
41.1,0.445,0,Brazilian Iron
41.2,0.445,0,Brazilian Iron
41.2,0.45,0,Brazilian Iron
41.2,0.455,0,Brazilian Iron
41.1,0.46,0,Brazilian Iron
41.4,0.465,0,Brazilian Iron
41.3,0.475,0,Brazilian Iron
41.4,0.48,0,Brazilian Iron
41.2,0.49,0,Brazilian Iron
41.2,0.495,0,Brazilian Iron
40.9,0.5,0,Brazilian Iron
40.7,0.505,0,Brazilian Iron
40.9,0.505,0,Brazilian Iron
40.9,0.51,0,Brazilian Iron
41.2,0.51,0,Brazilian Iron
41.1,0.515,0,Brazilian Iron
40.9,0.52,0,Brazilian Iron
41.1,0.525,0,Brazilian Iron
41.1,0.53,0,Brazilian Iron
41.1,0.53,0,Brazilian Iron
41.2,0.535,0,Brazilian Iron
41.2,0.54,0,Brazilian Iron
41.2,0.545,0,Brazilian Iron
41.3,0.545,0,Brazilian Iron
41.1,0.55,0,Brazilian Iron
41,0.555,0,Brazilian Iron
41,0.555,0,Brazilian Iron
41,0.56,0,Brazilian Iron
41.1,0.565,0,Brazilian Iron
40.8,0.565,0,Brazilian Iron
40.9,0.57,0,Brazilian Iron
41,0.57,0,Brazilian Iron
41.1,0.57,0,Brazilian Iron
41.1,0.575,0,Brazilian Iron
41.2,0.58,0,Brazilian Iron
41.2,0.58,0,Brazilian Iron
41.5,0.585,0,Brazilian Iron
41.6,0.585,0,Brazilian Iron
41.6,0.59,0,Brazilian Iron
41.6,0.595,0,Brazilian Iron
41.7,0.6,0,Brazilian Iron
41.7,0.605,0,Brazilian Iron
41.9,0.605,0,Brazilian Iron
41.9,0.61,0,Brazilian Iron
41.8,0.615,0,Brazilian Iron
41.9,0.615,0,Brazilian Iron
41.8,0.62,0,Brazilian Iron
41.8,0.625,0,Brazilian Iron
41.8,0.63,0,Brazilian Iron
42,0.635,0,Brazilian Iron
42.2,0.64,0,Brazilian Iron
42,0.65,0,Brazilian Iron
41.9,0.655,0,Brazilian Iron
41.9,0.66,0,Brazilian Iron
41.9,0.665,0,Brazilian Iron
41.9,0.67,0,Brazilian Iron
41.8,0.675,0,Brazilian Iron
41.7,0.685,0,Brazilian Iron
41.8,0.69,0,Brazilian Iron
41.8,0.695,0,Brazilian Iron
41.9,0.705,0,Brazilian Iron
42,0.71,0,Brazilian Iron
42,0.715,0,Brazilian Iron
42,0.72,0,Brazilian Iron
41.9,0.725,0,Brazilian Iron
41.8,0.725,0,Brazilian Iron
41.9,0.73,0,Brazilian Iron
42.1,0.735,0,Brazilian Iron
42.2,0.735,0,Brazilian Iron
42.1,0.74,0,Brazilian Iron
42.1,0.74,0,Brazilian Iron
42.2,0.745,0,Brazilian Iron
42.2,0.75,0,Brazilian Iron
42.2,0.75,0,Brazilian Iron
42.3,0.755,0,Brazilian Iron
42.3,0.76,0,Brazilian Iron
42.3,0.76,0,Brazilian Iron
42.4,0.765,0,Brazilian Iron
42.4,0.77,0,Brazilian Iron
42.5,0.77,0,Brazilian Iron
42.7,0.775,0,Brazilian Iron
42.7,0.775,0,Brazilian Iron
42.7,0.78,0,Brazilian Iron
42.6,0.78,0,Brazilian Iron
42.6,0.785,0,Brazilian Iron
42.5,0.79,0,Brazilian Iron
42.3,0.79,0,Brazilian Iron
42.4,0.795,0,Brazilian Iron
42.3,0.8,0,Brazilian Iron
42.4,0.805,0,Brazilian Iron
42.4,0.805,0,Brazilian Iron
42.4,0.81,0,Brazilian Iron
42.4,0.815,0,Brazilian Iron
42.2,0.82,0,Brazilian Iron
42.2,0.82,0,Brazilian Iron
42.2,0.825,0,Brazilian Iron
42.2,0.83,0,Brazilian Iron
42.3,0.83,0,Brazilian Iron
42.4,0.835,0,Brazilian Iron
42.4,0.84,0,Brazilian Iron
42.4,0.845,0,Brazilian Iron
42.4,0.85,0,Brazilian Iron
42.5,0.855,0,Brazilian Iron
42.6,0.855,0,Brazilian Iron
42.6,0.86,0,Brazilian Iron
42.6,0.865,0,Brazilian Iron
42.5,0.87,0,Brazilian Iron
42.5,0.875,0,Brazilian Iron
