force,displacement,judge,name
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0,0,C3 Equalz Tangerine V2 (62g)
0,0.005,0,C3 Equalz Tangerine V2 (62g)
0,0.005,0,C3 Equalz Tangerine V2 (62g)
0,0.005,0,C3 Equalz Tangerine V2 (62g)
0,0.005,0,C3 Equalz Tangerine V2 (62g)
0,0.01,0,C3 Equalz Tangerine V2 (62g)
0,0.01,0,C3 Equalz Tangerine V2 (62g)
0,0.015,0,C3 Equalz Tangerine V2 (62g)
0,0.015,0,C3 Equalz Tangerine V2 (62g)
0,0.02,0,C3 Equalz Tangerine V2 (62g)
0.1,0.02,0,C3 Equalz Tangerine V2 (62g)
0,0.025,0,C3 Equalz Tangerine V2 (62g)
0,0.025,0,C3 Equalz Tangerine V2 (62g)
0,0.03,0,C3 Equalz Tangerine V2 (62g)
0,0.03,0,C3 Equalz Tangerine V2 (62g)
2.1,0.035,0,C3 Equalz Tangerine V2 (62g)
4.6,0.035,0,C3 Equalz Tangerine V2 (62g)
7.2,0.04,0,C3 Equalz Tangerine V2 (62g)
9.7,0.04,0,C3 Equalz Tangerine V2 (62g)
12.3,0.045,0,C3 Equalz Tangerine V2 (62g)
14.8,0.045,0,C3 Equalz Tangerine V2 (62g)
17,0.05,0,C3 Equalz Tangerine V2 (62g)
18,0.05,0,C3 Equalz Tangerine V2 (62g)
19.2,0.055,0,C3 Equalz Tangerine V2 (62g)
20.1,0.055,0,C3 Equalz Tangerine V2 (62g)
20.7,0.055,0,C3 Equalz Tangerine V2 (62g)
21.1,0.06,0,C3 Equalz Tangerine V2 (62g)
21.5,0.06,0,C3 Equalz Tangerine V2 (62g)
21.8,0.06,0,C3 Equalz Tangerine V2 (62g)
22.1,0.065,0,C3 Equalz Tangerine V2 (62g)
22.4,0.065,0,C3 Equalz Tangerine V2 (62g)
22.8,0.065,0,C3 Equalz Tangerine V2 (62g)
23,0.07,0,C3 Equalz Tangerine V2 (62g)
23.1,0.07,0,C3 Equalz Tangerine V2 (62g)
23.4,0.075,0,C3 Equalz Tangerine V2 (62g)
23.9,0.075,0,C3 Equalz Tangerine V2 (62g)
24.4,0.08,0,C3 Equalz Tangerine V2 (62g)
25,0.08,0,C3 Equalz Tangerine V2 (62g)
25.6,0.085,0,C3 Equalz Tangerine V2 (62g)
26,0.09,0,C3 Equalz Tangerine V2 (62g)
26.1,0.095,0,C3 Equalz Tangerine V2 (62g)
26.1,0.1,0,C3 Equalz Tangerine V2 (62g)
26.4,0.1,0,C3 Equalz Tangerine V2 (62g)
26.8,0.105,0,C3 Equalz Tangerine V2 (62g)
27.4,0.105,0,C3 Equalz Tangerine V2 (62g)
27.7,0.105,0,C3 Equalz Tangerine V2 (62g)
27.8,0.11,0,C3 Equalz Tangerine V2 (62g)
28,0.11,0,C3 Equalz Tangerine V2 (62g)
27.9,0.115,0,C3 Equalz Tangerine V2 (62g)
28,0.115,0,C3 Equalz Tangerine V2 (62g)
28.2,0.115,0,C3 Equalz Tangerine V2 (62g)
28.1,0.12,0,C3 Equalz Tangerine V2 (62g)
