force,displacement,judge,name
-0.1,0,0,CHAOSERA Klein
0.1,0,0,CHAOSERA Klein
0,0,0,CHAOSERA Klein
0,0,0,CHAOSERA Klein
-0.1,0,0,CHAOSERA Klein
-0.1,0,0,CHAOSERA Klein
0.1,0,0,CHAOSERA Klein
0.1,0,0,CHAOSERA Klein
-0.2,0,0,CHAOSERA Klein
0,0,0,CHAOSERA Klein
0.2,0,0,CHAOSERA Klein
0,0,0,CHAOSERA Klein
0.1,0,0,CHAOSERA Klein
0.1,0,0,CHAOSERA Klein
-0.1,0,0,CHAOSERA Klein
-0.1,0.005,0,CHAOSERA Klein
-0.1,0.005,0,CHAOSERA Klein
0,0.005,0,CHAOSERA Klein
0,0.005,0,CHAOSERA Klein
0,0.005,0,CHAOSERA Klein
-0.1,0.005,0,CHAOSERA Klein
-0.1,0.01,0,CHAOSERA Klein
0.1,0.01,0,CHAOSERA Klein
0.2,0.015,0,CHAOSERA Klein
-0.2,0.015,0,CHAOSERA Klein
-0.2,0.02,0,CHAOSERA Klein
0,0.03,0,CHAOSERA Klein
0.2,0.04,0,CHAOSERA Klein
0,0.05,0,CHAOSERA Klein
-0.1,0.05,0,CHAOSERA Klein
-0.1,0.055,0,CHAOSERA Klein
-0.1,0.06,0,CHAOSERA Klein
0.1,0.06,0,CHAOSERA Klein
0,0.07,0,CHAOSERA Klein
-0.1,0.07,0,CHAOSERA Klein
-0.1,0.075,0,CHAOSERA Klein
-0.1,0.08,0,CHAOSERA Klein
0.1,0.085,0,CHAOSERA Klein
0,0.09,0,CHAOSERA Klein
-0.2,0.09,0,CHAOSERA Klein
0,0.095,0,CHAOSERA Klein
0,0.105,0,CHAOSERA Klein
0,0.105,0,CHAOSERA Klein
0,0.11,0,CHAOSERA Klein
0,0.115,0,CHAOSERA Klein
0,0.12,0,CHAOSERA Klein
0.1,0.125,0,CHAOSERA Klein
0.1,0.13,0,CHAOSERA Klein
-0.1,0.13,0,CHAOSERA Klein
-0.2,0.135,0,CHAOSERA Klein
0.1,0.14,0,CHAOSERA Klein
0,0.145,0,CHAOSERA Klein
0,0.145,0,CHAOSERA Klein
-0.1,0.15,0,CHAOSERA Klein
0.4,0.16,0,CHAOSERA Klein
3.8,0.165,0,CHAOSERA Klein
8.3,0.17,0,CHAOSERA Klein
11.8,0.17,0,CHAOSERA Klein
14.6,0.175,0,CHAOSERA Klein
17.3,0.18,0,CHAOSERA Klein
20.2,0.18,0,CHAOSERA Klein
22.8,0.185,0,CHAOSERA Klein
25.4,0.185,0,CHAOSERA Klein
27.7,0.19,0,CHAOSERA Klein
30.1,0.19,0,CHAOSERA Klein
32.2,0.195,0,CHAOSERA Klein
34.1,0.195,0,CHAOSERA Klein
36.5,0.2,0,CHAOSERA Klein
37.7,0.205,0,CHAOSERA Klein
38.4,0.205,0,CHAOSERA Klein
36.3,0.21,0,CHAOSERA Klein
36.9,0.21,0,CHAOSERA Klein
37.3,0.215,0,CHAOSERA Klein
37.6,0.215,0,CHAOSERA Klein
37.8,0.22,0,CHAOSERA Klein
38.2,0.22,0,CHAOSERA Klein
38.7,0.225,0,CHAOSERA Klein
39,0.225,0,CHAOSERA Klein
39.3,0.225,0,CHAOSERA Klein
39.6,0.23,0,CHAOSERA Klein
40,0.23,0,CHAOSERA Klein
40.2,0.235,0,CHAOSERA Klein
40.3,0.235,0,CHAOSERA Klein
40.5,0.24,0,CHAOSERA Klein
40.9,0.24,0,CHAOSERA Klein
41.2,0.245,0,CHAOSERA Klein
41.2,0.25,0,CHAOSERA Klein
40.8,0.25,0,CHAOSERA Klein
40.8,0.255,0,CHAOSERA Klein
40.8,0.255,0,CHAOSERA Klein
40.9,0.26,0,CHAOSERA Klein
41,0.26,0,CHAOSERA Klein
40.9,0.265,0,CHAOSERA Klein
40.9,0.265,0,CHAOSERA Klein
40.9,0.27,0,CHAOSERA Klein
40.8,0.275,0,CHAOSERA Klein
40.9,0.28,0,CHAOSERA Klein
40.9,0.28,0,CHAOSERA Klein
40.9,0.285,0,CHAOSERA Klein
40.9,0.29,0,CHAOSERA Klein
41,0.295,0,CHAOSERA Klein
41,0.295,0,CHAOSERA Klein
41.1,0.3,0,CHAOSERA Klein
41.2,0.305,0,CHAOSERA Klein
41.1,0.305,0,CHAOSERA Klein
41,0.31,0,CHAOSERA Klein
41,0.315,0,CHAOSERA Klein
40.9,0.32,0,CHAOSERA Klein
40.8,0.325,0,CHAOSERA Klein
40.8,0.33,0,CHAOSERA Klein
40.8,0.335,0,CHAOSERA Klein
40.8,0.335,0,CHAOSERA Klein
40.9,0.34,0,CHAOSERA Klein
40.9,0.345,0,CHAOSERA Klein
40.9,0.35,0,CHAOSERA Klein
40.9,0.355,0,CHAOSERA Klein
41,0.36,0,CHAOSERA Klein
40.9,0.36,0,CHAOSERA Klein
41,0.365,0,CHAOSERA Klein
40.9,0.365,0,CHAOSERA Klein
40.9,0.37,0,CHAOSERA Klein
40.8,0.375,0,CHAOSERA Klein
40.8,0.375,0,CHAOSERA Klein
40.9,0.38,0,CHAOSERA Klein
40.9,0.38,0,CHAOSERA Klein
41,0.385,0,CHAOSERA Klein
40.9,0.39,0,CHAOSERA Klein
40.8,0.395,0,CHAOSERA Klein
40.8,0.4,0,CHAOSERA Klein
40.9,0.4,0,CHAOSERA Klein
40.9,0.405,0,CHAOSERA Klein
40.7,0.41,0,CHAOSERA Klein
40.7,0.415,0,CHAOSERA Klein
40.7,0.42,0,CHAOSERA Klein
40.8,0.425,0,CHAOSERA Klein
40.8,0.43,0,CHAOSERA Klein
40.7,0.435,0,CHAOSERA Klein
40.6,0.44,0,CHAOSERA Klein
40.7,0.445,0,CHAOSERA Klein
40.7,0.45,0,CHAOSERA Klein
40.6,0.45,0,CHAOSERA Klein
