force,displacement,judge,name
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0,0,CIY Primaris Asura
0,0.005,0,CIY Primaris Asura
0,0.005,0,CIY Primaris Asura
0,0.01,0,CIY Primaris Asura
0,0.01,0,CIY Primaris Asura
0,0.015,0,CIY Primaris Asura
0,0.015,0,CIY Primaris Asura
0,0.02,0,CIY Primaris Asura
2.8,0.025,0,CIY Primaris Asura
8,0.03,0,CIY Primaris Asura
12.5,0.035,0,CIY Primaris Asura
16.5,0.035,0,CIY Primaris Asura
19.6,0.04,0,CIY Primaris Asura
22.1,0.045,0,CIY Primaris Asura
23.9,0.045,0,CIY Primaris Asura
25.7,0.045,0,CIY Primaris Asura
27.4,0.05,0,CIY Primaris Asura
28.6,0.05,0,CIY Primaris Asura
30,0.05,0,CIY Primaris Asura
31.4,0.055,0,CIY Primaris Asura
32.7,0.055,0,CIY Primaris Asura
34.3,0.055,0,CIY Primaris Asura
35.5,0.055,0,CIY Primaris Asura
36.3,0.055,0,CIY Primaris Asura
37.4,0.06,0,CIY Primaris Asura
38.5,0.06,0,CIY Primaris Asura
39.9,0.06,0,CIY Primaris Asura
41.8,0.065,0,CIY Primaris Asura
44.2,0.065,0,CIY Primaris Asura
46.5,0.07,0,CIY Primaris Asura
48.6,0.07,0,CIY Primaris Asura
50.5,0.075,0,CIY Primaris Asura
52,0.075,0,CIY Primaris Asura
53.5,0.075,0,CIY Primaris Asura
54.5,0.08,0,CIY Primaris Asura
55.5,0.08,0,CIY Primaris Asura
56.3,0.08,0,CIY Primaris Asura
57.3,0.085,0,CIY Primaris Asura
58.3,0.085,0,CIY Primaris Asura
59.1,0.085,0,CIY Primaris Asura
59.5,0.09,0,CIY Primaris Asura
59.6,0.09,0,CIY Primaris Asura
59.9,0.09,0,CIY Primaris Asura
60.1,0.095,0,CIY Primaris Asura
60.5,0.095,0,CIY Primaris Asura
60.7,0.1,0,CIY Primaris Asura
61,0.1,0,CIY Primaris Asura
61.2,0.1,0,CIY Primaris Asura
61.6,0.105,0,CIY Primaris Asura
61.5,0.105,0,CIY Primaris Asura
61.5,0.105,0,CIY Primaris Asura
61.6,0.11,0,CIY Primaris Asura
62,0.11,0,CIY Primaris Asura
62.1,0.115,0,CIY Primaris Asura
62,0.115,0,CIY Primaris Asura
62,0.115,0,CIY Primaris Asura
62,0.12,0,CIY Primaris Asura
62,0.12,0,CIY Primaris Asura
62,0.12,0,CIY Primaris Asura
62.2,0.125,0,CIY Primaris Asura
62.2,0.125,0,CIY Primaris Asura
62.1,0.13,0,CIY Primaris Asura
62.2,0.13,0,CIY Primaris Asura
62.4,0.135,0,CIY Primaris Asura
62.4,0.135,0,CIY Primaris Asura
62.7,0.14,0,CIY Primaris Asura
62.8,0.14,0,CIY Primaris Asura
62.9,0.145,0,CIY Primaris Asura
62.6,0.15,0,CIY Primaris Asura
63,0.155,0,CIY Primaris Asura
63.4,0.155,0,CIY Primaris Asura
63.4,0.16,0,CIY Primaris Asura
63.7,0.165,0,CIY Primaris Asura
64,0.165,0,CIY Primaris Asura
64.3,0.165,0,CIY Primaris Asura
