force,displacement,judge,name
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
-0.1,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0,0,CIY Primaris Naraka
0,0.005,0,CIY Primaris Naraka
0,0.005,0,CIY Primaris Naraka
0,0.005,0,CIY Primaris Naraka
0,0.005,0,CIY Primaris Naraka
0,0.005,0,CIY Primaris Naraka
0,0.01,0,CIY Primaris Naraka
0,0.01,0,CIY Primaris Naraka
0,0.01,0,CIY Primaris Naraka
0,0.015,0,CIY Primaris Naraka
0,0.015,0,CIY Primaris Naraka
0,0.015,0,CIY Primaris Naraka
0,0.02,0,CIY Primaris Naraka
0,0.02,0,CIY Primaris Naraka
0,0.025,0,CIY Primaris Naraka
0,0.03,0,CIY Primaris Naraka
0,0.03,0,CIY Primaris Naraka
0,0.035,0,CIY Primaris Naraka
0,0.035,0,CIY Primaris Naraka
0,0.04,0,CIY Primaris Naraka
0,0.045,0,CIY Primaris Naraka
0,0.05,0,CIY Primaris Naraka
0,0.055,0,CIY Primaris Naraka
0,0.06,0,CIY Primaris Naraka
0,0.065,0,CIY Primaris Naraka
2.4,0.07,0,CIY Primaris Naraka
7.1,0.075,0,CIY Primaris Naraka
11.3,0.08,0,CIY Primaris Naraka
15.1,0.08,0,CIY Primaris Naraka
18.3,0.085,0,CIY Primaris Naraka
21.2,0.09,0,CIY Primaris Naraka
23.9,0.09,0,CIY Primaris Naraka
26.1,0.095,0,CIY Primaris Naraka
28.2,0.095,0,CIY Primaris Naraka
30,0.1,0,CIY Primaris Naraka
31.4,0.1,0,CIY Primaris Naraka
32.6,0.105,0,CIY Primaris Naraka
33.8,0.105,0,CIY Primaris Naraka
34.8,0.105,0,CIY Primaris Naraka
34.8,0.105,0,CIY Primaris Naraka
35,0.11,0,CIY Primaris Naraka
35.2,0.11,0,CIY Primaris Naraka
35.4,0.11,0,CIY Primaris Naraka
35.7,0.115,0,CIY Primaris Naraka
35.9,0.115,0,CIY Primaris Naraka
36.2,0.115,0,CIY Primaris Naraka
36.5,0.115,0,CIY Primaris Naraka
36.7,0.12,0,CIY Primaris Naraka
37,0.12,0,CIY Primaris Naraka
37.4,0.12,0,CIY Primaris Naraka
37.7,0.125,0,CIY Primaris Naraka
37.8,0.125,0,CIY Primaris Naraka
37.1,0.125,0,CIY Primaris Naraka
37,0.13,0,CIY Primaris Naraka
36.9,0.13,0,CIY Primaris Naraka
37,0.135,0,CIY Primaris Naraka
36.9,0.135,0,CIY Primaris Naraka
36.9,0.135,0,CIY Primaris Naraka
36.8,0.14,0,CIY Primaris Naraka
36.8,0.14,0,CIY Primaris Naraka
36.6,0.145,0,CIY Primaris Naraka
36.7,0.145,0,CIY Primaris Naraka
36.7,0.15,0,CIY Primaris Naraka
36.7,0.15,0,CIY Primaris Naraka
36.7,0.15,0,CIY Primaris Naraka
36.7,0.155,0,CIY Primaris Naraka
36.8,0.155,0,CIY Primaris Naraka
36.7,0.16,0,CIY Primaris Naraka
36.7,0.16,0,CIY Primaris Naraka
36.8,0.16,0,CIY Primaris Naraka
36.8,0.165,0,CIY Primaris Naraka
36.7,0.165,0,CIY Primaris Naraka
36.9,0.165,0,CIY Primaris Naraka
36.9,0.17,0,CIY Primaris Naraka
36.8,0.17,0,CIY Primaris Naraka
36.8,0.17,0,CIY Primaris Naraka
36.9,0.175,0,CIY Primaris Naraka
36.9,0.175,0,CIY Primaris Naraka
37.1,0.175,0,CIY Primaris Naraka
37.1,0.18,0,CIY Primaris Naraka
37.1,0.18,0,CIY Primaris Naraka
37.1,0.18,0,CIY Primaris Naraka
37.1,0.185,0,CIY Primaris Naraka
37.1,0.185,0,CIY Primaris Naraka
37.2,0.185,0,CIY Primaris Naraka
37.2,0.19,0,CIY Primaris Naraka
37.2,0.19,0,CIY Primaris Naraka
37.2,0.19,0,CIY Primaris Naraka
37.2,0.195,0,CIY Primaris Naraka
37.2,0.195,0,CIY Primaris Naraka
37.2,0.2,0,CIY Primaris Naraka
37.2,0.2,0,CIY Primaris Naraka
37.2,0.205,0,CIY Primaris Naraka
37.2,0.205,0,CIY Primaris Naraka
37.2,0.21,0,CIY Primaris Naraka
37.2,0.21,0,CIY Primaris Naraka
37.2,0.215,0,CIY Primaris Naraka
37.2,0.215,0,CIY Primaris Naraka
37.1,0.215,0,CIY Primaris Naraka
37,0.22,0,CIY Primaris Naraka
37,0.22,0,CIY Primaris Naraka
37,0.225,0,CIY Primaris Naraka
37,0.225,0,CIY Primaris Naraka
37,0.23,0,CIY Primaris Naraka
37,0.23,0,CIY Primaris Naraka
37,0.235,0,CIY Primaris Naraka
37,0.24,0,CIY Primaris Naraka
37,0.24,0,CIY Primaris Naraka
37,0.245,0,CIY Primaris Naraka
36.9,0.245,0,CIY Primaris Naraka
36.9,0.25,0,CIY Primaris Naraka
36.9,0.255,0,CIY Primaris Naraka
36.9,0.255,0,CIY Primaris Naraka
36.9,0.26,0,CIY Primaris Naraka
36.9,0.26,0,CIY Primaris Naraka
37,0.265,0,CIY Primaris Naraka
37,0.265,0,CIY Primaris Naraka
37,0.27,0,CIY Primaris Naraka
37,0.275,0,CIY Primaris Naraka
37,0.275,0,CIY Primaris Naraka
37,0.28,0,CIY Primaris Naraka
37.1,0.28,0,CIY Primaris Naraka
37.1,0.285,0,CIY Primaris Naraka
37.1,0.29,0,CIY Primaris Naraka
37.2,0.29,0,CIY Primaris Naraka
37.2,0.295,0,CIY Primaris Naraka
37.2,0.295,0,CIY Primaris Naraka
37.1,0.3,0,CIY Primaris Naraka
37.1,0.3,0,CIY Primaris Naraka
37.1,0.305,0,CIY Primaris Naraka
37.1,0.305,0,CIY Primaris Naraka
37.1,0.31,0,CIY Primaris Naraka
37.3,0.31,0,CIY Primaris Naraka
37.2,0.315,0,CIY Primaris Naraka
37.2,0.315,0,CIY Primaris Naraka
37.3,0.32,0,CIY Primaris Naraka
37.3,0.32,0,CIY Primaris Naraka
37.3,0.325,0,CIY Primaris Naraka
37.2,0.325,0,CIY Primaris Naraka
37.2,0.33,0,CIY Primaris Naraka
37.3,0.33,0,CIY Primaris Naraka
37.3,0.335,0,CIY Primaris Naraka
37.3,0.335,0,CIY Primaris Naraka
37.3,0.34,0,CIY Primaris Naraka
37.3,0.34,0,CIY Primaris Naraka
37.3,0.345,0,CIY Primaris Naraka
37.3,0.35,0,CIY Primaris Naraka
37.4,0.35,0,CIY Primaris Naraka
37.5,0.355,0,CIY Primaris Naraka
37.5,0.36,0,CIY Primaris Naraka
37.6,0.36,0,CIY Primaris Naraka
37.6,0.365,0,CIY Primaris Naraka
37.6,0.365,0,CIY Primaris Naraka
37.6,0.37,0,CIY Primaris Naraka
37.7,0.37,0,CIY Primaris Naraka
37.7,0.375,0,CIY Primaris Naraka
37.7,0.375,0,CIY Primaris Naraka
37.6,0.38,0,CIY Primaris Naraka
37.6,0.38,0,CIY Primaris Naraka
37.6,0.385,0,CIY Primaris Naraka
37.6,0.385,0,CIY Primaris Naraka
37.6,0.385,0,CIY Primaris Naraka
37.8,0.39,0,CIY Primaris Naraka
37.8,0.39,0,CIY Primaris Naraka
37.7,0.395,0,CIY Primaris Naraka
37.8,0.4,0,CIY Primaris Naraka
37.9,0.4,0,CIY Primaris Naraka
38.1,0.405,0,CIY Primaris Naraka
37.9,0.41,0,CIY Primaris Naraka
37.9,0.415,0,CIY Primaris Naraka
37.8,0.415,0,CIY Primaris Naraka
37.7,0.42,0,CIY Primaris Naraka
37.7,0.42,0,CIY Primaris Naraka
37.7,0.425,0,CIY Primaris Naraka
37.8,0.425,0,CIY Primaris Naraka
37.8,0.43,0,CIY Primaris Naraka
37.8,0.43,0,CIY Primaris Naraka
37.7,0.435,0,CIY Primaris Naraka
37.7,0.435,0,CIY Primaris Naraka
37.8,0.44,0,CIY Primaris Naraka
37.8,0.44,0,CIY Primaris Naraka
37.7,0.445,0,CIY Primaris Naraka
37.9,0.45,0,CIY Primaris Naraka
37.7,0.45,0,CIY Primaris Naraka
37.8,0.455,0,CIY Primaris Naraka
37.9,0.455,0,CIY Primaris Naraka
37.8,0.46,0,CIY Primaris Naraka
37.9,0.46,0,CIY Primaris Naraka
38.2,0.465,0,CIY Primaris Naraka
38,0.47,0,CIY Primaris Naraka
38,0.475,0,CIY Primaris Naraka
38,0.475,0,CIY Primaris Naraka
37.8,0.48,0,CIY Primaris Naraka
37.9,0.48,0,CIY Primaris Naraka
38,0.485,0,CIY Primaris Naraka
38,0.485,0,CIY Primaris Naraka
38,0.49,0,CIY Primaris Naraka
38,0.49,0,CIY Primaris Naraka
37.8,0.495,0,CIY Primaris Naraka
37.9,0.495,0,CIY Primaris Naraka
37.9,0.495,0,CIY Primaris Naraka
37.9,0.5,0,CIY Primaris Naraka
37.9,0.5,0,CIY Primaris Naraka
38,0.505,0,CIY Primaris Naraka
