force,displacement,judge,name
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
-0.1,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
-0.1,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0,0,CIY Primaris Sakura
0,0.005,0,CIY Primaris Sakura
0,0.005,0,CIY Primaris Sakura
0,0.005,0,CIY Primaris Sakura
0,0.005,0,CIY Primaris Sakura
0,0.01,0,CIY Primaris Sakura
0,0.01,0,CIY Primaris Sakura
0,0.01,0,CIY Primaris Sakura
0,0.015,0,CIY Primaris Sakura
0,0.015,0,CIY Primaris Sakura
0,0.02,0,CIY Primaris Sakura
0,0.02,0,CIY Primaris Sakura
0,0.025,0,CIY Primaris Sakura
0,0.025,0,CIY Primaris Sakura
0,0.03,0,CIY Primaris Sakura
0,0.03,0,CIY Primaris Sakura
0.4,0.035,0,CIY Primaris Sakura
2.8,0.035,0,CIY Primaris Sakura
5.5,0.04,0,CIY Primaris Sakura
8.2,0.045,0,CIY Primaris Sakura
10.2,0.045,0,CIY Primaris Sakura
11.8,0.045,0,CIY Primaris Sakura
13.6,0.05,0,CIY Primaris Sakura
15.1,0.05,0,CIY Primaris Sakura
16.7,0.055,0,CIY Primaris Sakura
19,0.055,0,CIY Primaris Sakura
22.2,0.06,0,CIY Primaris Sakura
23.6,0.06,0,CIY Primaris Sakura
25.3,0.06,0,CIY Primaris Sakura
28.9,0.065,0,CIY Primaris Sakura
30.9,0.07,0,CIY Primaris Sakura
30.9,0.075,0,CIY Primaris Sakura
31.4,0.08,0,CIY Primaris Sakura
31.8,0.08,0,CIY Primaris Sakura
32.3,0.08,0,CIY Primaris Sakura
32.6,0.085,0,CIY Primaris Sakura
33,0.09,0,CIY Primaris Sakura
33.2,0.09,0,CIY Primaris Sakura
33.4,0.09,0,CIY Primaris Sakura
33.5,0.095,0,CIY Primaris Sakura
32.8,0.1,0,CIY Primaris Sakura
32.4,0.105,0,CIY Primaris Sakura
32.3,0.11,0,CIY Primaris Sakura
32.1,0.115,0,CIY Primaris Sakura
31.9,0.12,0,CIY Primaris Sakura
31.7,0.125,0,CIY Primaris Sakura
31.8,0.125,0,CIY Primaris Sakura
31.7,0.13,0,CIY Primaris Sakura
31.8,0.135,0,CIY Primaris Sakura
31.6,0.14,0,CIY Primaris Sakura
31.5,0.145,0,CIY Primaris Sakura
31.6,0.15,0,CIY Primaris Sakura
31.5,0.155,0,CIY Primaris Sakura
31.4,0.16,0,CIY Primaris Sakura
31.4,0.165,0,CIY Primaris Sakura
31.4,0.17,0,CIY Primaris Sakura
31.3,0.18,0,CIY Primaris Sakura
31.3,0.185,0,CIY Primaris Sakura
31.3,0.19,0,CIY Primaris Sakura
31.2,0.195,0,CIY Primaris Sakura
31.1,0.195,0,CIY Primaris Sakura
31,0.2,0,CIY Primaris Sakura
31.3,0.2,0,CIY Primaris Sakura
31.2,0.205,0,CIY Primaris Sakura
31.1,0.21,0,CIY Primaris Sakura
31,0.215,0,CIY Primaris Sakura
31,0.22,0,CIY Primaris Sakura
31,0.225,0,CIY Primaris Sakura
