force,displacement,judge,name
0.1,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.005,0,CK x Haimu Pastel Thistle
0,0.01,0,CK x Haimu Pastel Thistle
0,0.01,0,CK x Haimu Pastel Thistle
0,0.015,0,CK x Haimu Pastel Thistle
0,0.015,0,CK x Haimu Pastel Thistle
0,0.015,0,CK x Haimu Pastel Thistle
0,0.02,0,CK x Haimu Pastel Thistle
0,0.02,0,CK x Haimu Pastel Thistle
0,0.025,0,CK x Haimu Pastel Thistle
0,0.025,0,CK x Haimu Pastel Thistle
0,0.025,0,CK x Haimu Pastel Thistle
0,0.03,0,CK x Haimu Pastel Thistle
0,0.03,0,CK x Haimu Pastel Thistle
0,0.035,0,CK x Haimu Pastel Thistle
0,0.04,0,CK x Haimu Pastel Thistle
0,0.045,0,CK x Haimu Pastel Thistle
0,0.045,0,CK x Haimu Pastel Thistle
0,0.05,0,CK x Haimu Pastel Thistle
0.2,0.055,0,CK x Haimu Pastel Thistle
1,0.055,0,CK x Haimu Pastel Thistle
3.4,0.06,0,CK x Haimu Pastel Thistle
5.7,0.06,0,CK x Haimu Pastel Thistle
7.6,0.065,0,CK x Haimu Pastel Thistle
9.1,0.065,0,CK x Haimu Pastel Thistle
11,0.065,0,CK x Haimu Pastel Thistle
12.6,0.07,0,CK x Haimu Pastel Thistle
15.1,0.07,0,CK x Haimu Pastel Thistle
17.5,0.075,0,CK x Haimu Pastel Thistle
19.7,0.075,0,CK x Haimu Pastel Thistle
21.6,0.08,0,CK x Haimu Pastel Thistle
23,0.08,0,CK x Haimu Pastel Thistle
24.3,0.08,0,CK x Haimu Pastel Thistle
25.3,0.085,0,CK x Haimu Pastel Thistle
26.2,0.085,0,CK x Haimu Pastel Thistle
26.5,0.085,0,CK x Haimu Pastel Thistle
27.9,0.085,0,CK x Haimu Pastel Thistle
28.8,0.085,0,CK x Haimu Pastel Thistle
30.1,0.085,0,CK x Haimu Pastel Thistle
31.4,0.09,0,CK x Haimu Pastel Thistle
31.5,0.09,0,CK x Haimu Pastel Thistle
31.9,0.09,0,CK x Haimu Pastel Thistle
32,0.09,0,CK x Haimu Pastel Thistle
32.6,0.09,0,CK x Haimu Pastel Thistle
33.5,0.09,0,CK x Haimu Pastel Thistle
34.3,0.09,0,CK x Haimu Pastel Thistle
35.5,0.095,0,CK x Haimu Pastel Thistle
36.7,0.095,0,CK x Haimu Pastel Thistle
37.9,0.095,0,CK x Haimu Pastel Thistle
39.2,0.1,0,CK x Haimu Pastel Thistle
40.6,0.1,0,CK x Haimu Pastel Thistle
42.4,0.1,0,CK x Haimu Pastel Thistle
44,0.105,0,CK x Haimu Pastel Thistle
45.4,0.105,0,CK x Haimu Pastel Thistle
46.4,0.105,0,CK x Haimu Pastel Thistle
47.3,0.105,0,CK x Haimu Pastel Thistle
48.2,0.105,0,CK x Haimu Pastel Thistle
49.3,0.11,0,CK x Haimu Pastel Thistle
50.2,0.11,0,CK x Haimu Pastel Thistle
51.2,0.11,0,CK x Haimu Pastel Thistle
52.2,0.11,0,CK x Haimu Pastel Thistle
53.2,0.115,0,CK x Haimu Pastel Thistle
54.2,0.115,0,CK x Haimu Pastel Thistle
55.1,0.115,0,CK x Haimu Pastel Thistle
55.8,0.115,0,CK x Haimu Pastel Thistle
56.6,0.115,0,CK x Haimu Pastel Thistle
57.4,0.12,0,CK x Haimu Pastel Thistle
58,0.12,0,CK x Haimu Pastel Thistle
58.7,0.12,0,CK x Haimu Pastel Thistle
59.4,0.12,0,CK x Haimu Pastel Thistle
60.2,0.12,0,CK x Haimu Pastel Thistle
