force,displacement,judge,name
0.1,0,0,Cherry Blossom
-0.1,0,0,Cherry Blossom
0,0,0,Cherry Blossom
0.1,0,0,Cherry Blossom
0.1,0,0,Cherry Blossom
-0.1,0,0,Cherry Blossom
-0.1,0,0,Cherry Blossom
0.1,0,0,Cherry Blossom
0,0,0,Cherry Blossom
0,0,0,Cherry Blossom
0.1,0,0,Cherry Blossom
0.3,0,0,Cherry Blossom
-0.2,0,0,Cherry Blossom
0,0,0,Cherry Blossom
0,0,0,Cherry Blossom
-0.1,0,0,Cherry Blossom
-0.1,0,0,Cherry Blossom
0.1,0,0,Cherry Blossom
-0.2,0,0,Cherry Blossom
-0.1,0,0,Cherry Blossom
0,0.005,0,Cherry Blossom
0,0.005,0,Cherry Blossom
0,0.005,0,Cherry Blossom
-0.1,0.01,0,Cherry Blossom
0.1,0.015,0,Cherry Blossom
0.1,0.02,0,Cherry Blossom
0,0.03,0,Cherry Blossom
0.1,0.045,0,Cherry Blossom
0,0.06,0,Cherry Blossom
0,0.07,0,Cherry Blossom
-0.1,0.08,0,Cherry Blossom
0.1,0.085,0,Cherry Blossom
0,0.095,0,Cherry Blossom
-0.2,0.105,0,Cherry Blossom
0,0.11,0,Cherry Blossom
0.1,0.12,0,Cherry Blossom
0,0.13,0,Cherry Blossom
-0.1,0.135,0,Cherry Blossom
0.1,0.145,0,Cherry Blossom
0.1,0.15,0,Cherry Blossom
-0.1,0.155,0,Cherry Blossom
-0.1,0.16,0,Cherry Blossom
0.1,0.165,0,Cherry Blossom
0,0.175,0,Cherry Blossom
0,0.18,0,Cherry Blossom
-0.1,0.185,0,Cherry Blossom
0,0.19,0,Cherry Blossom
0,0.195,0,Cherry Blossom
0.1,0.2,0,Cherry Blossom
0.1,0.205,0,Cherry Blossom
0,0.21,0,Cherry Blossom
0,0.215,0,Cherry Blossom
0.1,0.22,0,Cherry Blossom
0.1,0.225,0,Cherry Blossom
0.1,0.235,0,Cherry Blossom
-0.1,0.24,0,Cherry Blossom
0,0.245,0,Cherry Blossom
0,0.25,0,Cherry Blossom
0.1,0.255,0,Cherry Blossom
-0.1,0.265,0,Cherry Blossom
-0.1,0.27,0,Cherry Blossom
0,0.28,0,Cherry Blossom
0,0.29,0,Cherry Blossom
0,0.295,0,Cherry Blossom
0,0.305,0,Cherry Blossom
0.1,0.31,0,Cherry Blossom
0,0.315,0,Cherry Blossom
-0.1,0.32,0,Cherry Blossom
0,0.33,0,Cherry Blossom
0.1,0.335,0,Cherry Blossom
0.1,0.345,0,Cherry Blossom
-0.1,0.35,0,Cherry Blossom
0.1,0.355,0,Cherry Blossom
0.2,0.36,0,Cherry Blossom
0.1,0.365,0,Cherry Blossom
-0.1,0.375,0,Cherry Blossom
0,0.38,0,Cherry Blossom
0.1,0.39,0,Cherry Blossom
0,0.395,0,Cherry Blossom
-0.1,0.4,0,Cherry Blossom
0,0.405,0,Cherry Blossom
0.1,0.41,0,Cherry Blossom
0,0.415,0,Cherry Blossom
0,0.42,0,Cherry Blossom
0,0.425,0,Cherry Blossom
0,0.43,0,Cherry Blossom
0.1,0.435,0,Cherry Blossom
0,0.44,0,Cherry Blossom
0,0.445,0,Cherry Blossom
0,0.455,0,Cherry Blossom
0.1,0.46,0,Cherry Blossom
0,0.465,0,Cherry Blossom
0.1,0.47,0,Cherry Blossom
-0.1,0.475,0,Cherry Blossom
0,0.48,0,Cherry Blossom
0,0.49,0,Cherry Blossom
0,0.495,0,Cherry Blossom
0,0.5,0,Cherry Blossom
0,0.505,0,Cherry Blossom
0,0.51,0,Cherry Blossom
0,0.52,0,Cherry Blossom
0.1,0.525,0,Cherry Blossom
0,0.53,0,Cherry Blossom
0,0.535,0,Cherry Blossom
-0.1,0.54,0,Cherry Blossom
0,0.545,0,Cherry Blossom
0.1,0.55,0,Cherry Blossom
0.1,0.555,0,Cherry Blossom
0,0.56,0,Cherry Blossom
0,0.565,0,Cherry Blossom
0.1,0.57,0,Cherry Blossom
0.1,0.575,0,Cherry Blossom
-0.1,0.585,0,Cherry Blossom
0,0.59,0,Cherry Blossom
0.2,0.6,0,Cherry Blossom
0.1,0.605,0,Cherry Blossom
2,0.615,0,Cherry Blossom
9.5,0.62,0,Cherry Blossom
17.3,0.63,0,Cherry Blossom
24.5,0.64,0,Cherry Blossom
29.9,0.645,0,Cherry Blossom
34.2,0.65,0,Cherry Blossom
35.9,0.655,0,Cherry Blossom
35.9,0.66,0,Cherry Blossom
35,0.665,0,Cherry Blossom
34.4,0.67,0,Cherry Blossom
34.2,0.67,0,Cherry Blossom
34,0.675,0,Cherry Blossom
33.9,0.68,0,Cherry Blossom
33.8,0.685,0,Cherry Blossom
33.8,0.69,0,Cherry Blossom
33.8,0.69,0,Cherry Blossom
33.8,0.695,0,Cherry Blossom
33.8,0.7,0,Cherry Blossom
33.6,0.7,0,Cherry Blossom
33.6,0.705,0,Cherry Blossom
33.4,0.71,0,Cherry Blossom
33.4,0.715,0,Cherry Blossom
33.5,0.715,0,Cherry Blossom
33.5,0.72,0,Cherry Blossom
33.6,0.725,0,Cherry Blossom
33.5,0.73,0,Cherry Blossom
33.5,0.73,0,Cherry Blossom
33.5,0.735,0,Cherry Blossom
33.4,0.74,0,Cherry Blossom
33.5,0.74,0,Cherry Blossom
33.5,0.745,0,Cherry Blossom
33.6,0.75,0,Cherry Blossom
33.6,0.75,0,Cherry Blossom
33.7,0.755,0,Cherry Blossom
33.7,0.76,0,Cherry Blossom
33.7,0.76,0,Cherry Blossom
33.7,0.765,0,Cherry Blossom
33.7,0.77,0,Cherry Blossom
33.7,0.77,0,Cherry Blossom
33.7,0.775,0,Cherry Blossom
33.7,0.78,0,Cherry Blossom
33.7,0.785,0,Cherry Blossom
33.7,0.785,0,Cherry Blossom
33.8,0.79,0,Cherry Blossom
33.9,0.795,0,Cherry Blossom
33.9,0.8,0,Cherry Blossom
33.9,0.805,0,Cherry Blossom
33.9,0.81,0,Cherry Blossom
33.9,0.815,0,Cherry Blossom
34.1,0.815,0,Cherry Blossom
34.2,0.825,0,Cherry Blossom
34.2,0.83,0,Cherry Blossom
33.9,0.835,0,Cherry Blossom
34.1,0.84,0,Cherry Blossom
34.1,0.845,0,Cherry Blossom
34.4,0.845,0,Cherry Blossom
34.4,0.855,0,Cherry Blossom
34.3,0.86,0,Cherry Blossom
34.3,0.865,0,Cherry Blossom
34.3,0.875,0,Cherry Blossom
34.3,0.88,0,Cherry Blossom
34.4,0.89,0,Cherry Blossom
34.5,0.895,0,Cherry Blossom
34.6,0.91,0,Cherry Blossom
34.9,0.925,0,Cherry Blossom
34.6,0.935,0,Cherry Blossom
34.7,0.945,0,Cherry Blossom
34.8,0.95,0,Cherry Blossom
34.9,0.955,0,Cherry Blossom
35,0.965,0,Cherry Blossom
35,0.97,0,Cherry Blossom
35.1,0.98,0,Cherry Blossom
35.2,0.99,0,Cherry Blossom
35.2,1,0,Cherry Blossom
35.4,1.01,0,Cherry Blossom
35.3,1.02,0,Cherry Blossom
35.2,1.025,0,Cherry Blossom
34.9,1.03,0,Cherry Blossom
35.2,1.03,0,Cherry Blossom
35.4,1.035,0,Cherry Blossom
35.3,1.035,0,Cherry Blossom
35.4,1.04,0,Cherry Blossom
35.4,1.04,0,Cherry Blossom
35.5,1.045,0,Cherry Blossom
35.5,1.05,0,Cherry Blossom
35.5,1.05,0,Cherry Blossom
35.5,1.055,0,Cherry Blossom
35.5,1.06,0,Cherry Blossom
35.6,1.06,0,Cherry Blossom
35.6,1.065,0,Cherry Blossom
35.7,1.07,0,Cherry Blossom
35.8,1.075,0,Cherry Blossom
35.8,1.075,0,Cherry Blossom
35.8,1.08,0,Cherry Blossom
35.9,1.085,0,Cherry Blossom
36,1.085,0,Cherry Blossom
36,1.09,0,Cherry Blossom
36.1,1.095,0,Cherry Blossom
36,1.1,0,Cherry Blossom
36,1.105,0,Cherry Blossom
35.9,1.11,0,Cherry Blossom
35.9,1.11,0,Cherry Blossom
36.1,1.115,0,Cherry Blossom
36.1,1.12,0,Cherry Blossom
36.1,1.125,0,Cherry Blossom
36.1,1.125,0,Cherry Blossom
36.1,1.13,0,Cherry Blossom
36.2,1.135,0,Cherry Blossom
36.3,1.14,0,Cherry Blossom
36.4,1.145,0,Cherry Blossom
36.2,1.15,0,Cherry Blossom
36.2,1.15,0,Cherry Blossom
36.3,1.155,0,Cherry Blossom
36.3,1.16,0,Cherry Blossom
36.4,1.16,0,Cherry Blossom
36.4,1.165,0,Cherry Blossom
36.5,1.17,0,Cherry Blossom
36.5,1.175,0,Cherry Blossom
36.6,1.18,0,Cherry Blossom
36.4,1.18,0,Cherry Blossom
36.5,1.185,0,Cherry Blossom
36.4,1.185,0,Cherry Blossom
36.5,1.185,0,Cherry Blossom
36.4,1.19,0,Cherry Blossom
36.4,1.19,0,Cherry Blossom
36.5,1.19,0,Cherry Blossom
36.6,1.19,0,Cherry Blossom
36.6,1.19,0,Cherry Blossom
36.5,1.195,0,Cherry Blossom
36.6,1.195,0,Cherry Blossom
36.7,1.195,0,Cherry Blossom
36.9,1.2,0,Cherry Blossom
36.9,1.205,0,Cherry Blossom
36.8,1.21,0,Cherry Blossom
36.9,1.22,0,Cherry Blossom
37,1.225,0,Cherry Blossom
37.1,1.245,0,Cherry Blossom
37.2,1.26,0,Cherry Blossom
37.2,1.27,0,Cherry Blossom
37.2,1.28,0,Cherry Blossom
37.3,1.29,0,Cherry Blossom
37.5,1.3,0,Cherry Blossom
37.6,1.31,0,Cherry Blossom
37.5,1.32,0,Cherry Blossom
37.5,1.33,0,Cherry Blossom
37.7,1.335,0,Cherry Blossom
37.9,1.345,0,Cherry Blossom
37.8,1.355,0,Cherry Blossom
37.9,1.365,0,Cherry Blossom
37.9,1.37,0,Cherry Blossom
38.2,1.375,0,Cherry Blossom
38.1,1.385,0,Cherry Blossom
38.2,1.395,0,Cherry Blossom
38.2,1.4,0,Cherry Blossom
38.3,1.405,0,Cherry Blossom
38.4,1.415,0,Cherry Blossom
38.5,1.425,0,Cherry Blossom
38.5,1.435,0,Cherry Blossom
38.6,1.44,0,Cherry Blossom
38.6,1.445,0,Cherry Blossom
38.7,1.45,0,Cherry Blossom
38.7,1.46,0,Cherry Blossom
38.8,1.465,0,Cherry Blossom
38.8,1.47,0,Cherry Blossom
38.8,1.47,0,Cherry Blossom
38.8,1.475,0,Cherry Blossom
38.9,1.48,0,Cherry Blossom
39,1.485,0,Cherry Blossom
39,1.485,0,Cherry Blossom
39,1.49,0,Cherry Blossom
39,1.495,0,Cherry Blossom
39,1.495,0,Cherry Blossom
39,1.5,0,Cherry Blossom
39,1.5,0,Cherry Blossom
39,1.5,0,Cherry Blossom
39,1.505,0,Cherry Blossom
39.1,1.505,0,Cherry Blossom
39.1,1.51,0,Cherry Blossom
39.1,1.51,0,Cherry Blossom
39.2,1.51,0,Cherry Blossom
39.2,1.515,0,Cherry Blossom
39.2,1.515,0,Cherry Blossom
39.2,1.515,0,Cherry Blossom
39.2,1.52,0,Cherry Blossom
39.2,1.52,0,Cherry Blossom
39.2,1.525,0,Cherry Blossom
39.4,1.525,0,Cherry Blossom
39.3,1.53,0,Cherry Blossom
39.4,1.535,0,Cherry Blossom
39.6,1.54,0,Cherry Blossom
38.9,1.54,0,Cherry Blossom
39,1.54,0,Cherry Blossom
39,1.54,0,Cherry Blossom
39.2,1.54,0,Cherry Blossom
39.4,1.54,0,Cherry Blossom
39.4,1.54,0,Cherry Blossom
39.4,1.54,0,Cherry Blossom
39.4,1.545,0,Cherry Blossom
39.4,1.545,0,Cherry Blossom
39.3,1.545,0,Cherry Blossom
39.1,1.545,0,Cherry Blossom
38.6,1.545,0,Cherry Blossom
38.7,1.545,0,Cherry Blossom
39,1.545,0,Cherry Blossom
39.5,1.545,0,Cherry Blossom
39.7,1.545,0,Cherry Blossom
39.7,1.55,0,Cherry Blossom
39.8,1.55,0,Cherry Blossom
39.8,1.55,0,Cherry Blossom
39.8,1.55,0,Cherry Blossom
39.7,1.555,0,Cherry Blossom
39.6,1.555,0,Cherry Blossom
39.8,1.56,0,Cherry Blossom
39.8,1.56,0,Cherry Blossom
39.8,1.565,0,Cherry Blossom
39.8,1.57,0,Cherry Blossom
39.9,1.575,0,Cherry Blossom
39.9,1.58,0,Cherry Blossom
39.9,1.585,0,Cherry Blossom
39.9,1.59,0,Cherry Blossom
39.9,1.595,0,Cherry Blossom
39.9,1.595,0,Cherry Blossom
40,1.6,0,Cherry Blossom
40.1,1.605,0,Cherry Blossom
40.1,1.61,0,Cherry Blossom
40.1,1.615,0,Cherry Blossom
40.2,1.62,0,Cherry Blossom
40.2,1.625,0,Cherry Blossom
40.3,1.63,0,Cherry Blossom
40.4,1.635,0,Cherry Blossom
40.5,1.645,0,Cherry Blossom
40.5,1.655,0,Cherry Blossom
40.5,1.66,0,Cherry Blossom
40.6,1.665,0,Cherry Blossom
40.6,1.675,0,Cherry Blossom
40.7,1.68,0,Cherry Blossom
40.6,1.685,0,Cherry Blossom
40.6,1.69,0,Cherry Blossom
40.7,1.695,0,Cherry Blossom
40.9,1.7,0,Cherry Blossom
41,1.705,0,Cherry Blossom
41.1,1.715,0,Cherry Blossom
41.1,1.725,0,Cherry Blossom
41.1,1.735,0,Cherry Blossom
41,1.735,0,Cherry Blossom
