force,displacement,judge,name
0.1,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
0.1,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
0.1,0,0,Cherry MX New Nixie (Black Clear-Top)
-0.1,0,0,Cherry MX New Nixie (Black Clear-Top)
-0.1,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
0.1,0,0,Cherry MX New Nixie (Black Clear-Top)
0,0,0,Cherry MX New Nixie (Black Clear-Top)
-0.1,0.005,0,Cherry MX New Nixie (Black Clear-Top)
-0.1,0.005,0,Cherry MX New Nixie (Black Clear-Top)
0,0.005,0,Cherry MX New Nixie (Black Clear-Top)
0,0.005,0,Cherry MX New Nixie (Black Clear-Top)
-0.1,0.005,0,Cherry MX New Nixie (Black Clear-Top)
0,0.005,0,Cherry MX New Nixie (Black Clear-Top)
-0.1,0.01,0,Cherry MX New Nixie (Black Clear-Top)
0,0.01,0,Cherry MX New Nixie (Black Clear-Top)
0.1,0.01,0,Cherry MX New Nixie (Black Clear-Top)
0,0.01,0,Cherry MX New Nixie (Black Clear-Top)
0,0.01,0,Cherry MX New Nixie (Black Clear-Top)
0,0.01,0,Cherry MX New Nixie (Black Clear-Top)
0,0.015,0,Cherry MX New Nixie (Black Clear-Top)
0,0.015,0,Cherry MX New Nixie (Black Clear-Top)
0,0.015,0,Cherry MX New Nixie (Black Clear-Top)
0,0.015,0,Cherry MX New Nixie (Black Clear-Top)
