force,displacement,judge,name
0,0,0,Cherry MX Brown
0.1,0,0,Cherry MX Brown
0,0,0,Cherry MX Brown
-0.1,0,0,Cherry MX Brown
0,0,0,Cherry MX Brown
0.1,0,0,Cherry MX Brown
0,0,0,Cherry MX Brown
0,0,0,Cherry MX Brown
0,0,0,Cherry MX Brown
0,0,0,Cherry MX Brown
0,0,0,Cherry MX Brown
0,0,0,Cherry MX Brown
0.1,0,0,Cherry MX Brown
0.1,0,0,Cherry MX Brown
0,0,0,Cherry MX Brown
0,0.005,0,Cherry MX Brown
0,0.005,0,Cherry MX Brown
0.1,0.005,0,Cherry MX Brown
0,0.01,0,Cherry MX Brown
0,0.01,0,Cherry MX Brown
0,0.01,0,Cherry MX Brown
0,0.015,0,Cherry MX Brown
0,0.015,0,Cherry MX Brown
0,0.02,0,Cherry MX Brown
0,0.02,0,Cherry MX Brown
0,0.025,0,Cherry MX Brown
0,0.025,0,Cherry MX Brown
0,0.03,0,Cherry MX Brown
0,0.035,0,Cherry MX Brown
2.9,0.04,0,Cherry MX Brown
6.2,0.04,0,Cherry MX Brown
9.7,0.045,0,Cherry MX Brown
12.6,0.05,0,Cherry MX Brown
15,0.05,0,Cherry MX Brown
17.4,0.055,0,Cherry MX Brown
19.8,0.055,0,Cherry MX Brown
21.9,0.06,0,Cherry MX Brown
24,0.06,0,Cherry MX Brown
26.6,0.065,0,Cherry MX Brown
29.8,0.065,0,Cherry MX Brown
32.3,0.07,0,Cherry MX Brown
34,0.075,0,Cherry MX Brown
35.6,0.08,0,Cherry MX Brown
36.3,0.085,0,Cherry MX Brown
37,0.085,0,Cherry MX Brown
36.8,0.09,0,Cherry MX Brown
36.5,0.095,0,Cherry MX Brown
36.2,0.1,0,Cherry MX Brown
36,0.105,0,Cherry MX Brown
35.9,0.11,0,Cherry MX Brown
35.7,0.115,0,Cherry MX Brown
35.7,0.115,0,Cherry MX Brown
35.7,0.12,0,Cherry MX Brown
35.7,0.125,0,Cherry MX Brown
35.5,0.13,0,Cherry MX Brown
35.6,0.135,0,Cherry MX Brown
35.6,0.135,0,Cherry MX Brown
35.9,0.14,0,Cherry MX Brown
35.8,0.145,0,Cherry MX Brown
35.8,0.155,0,Cherry MX Brown
35.5,0.16,0,Cherry MX Brown
35.3,0.17,0,Cherry MX Brown
35.3,0.175,0,Cherry MX Brown
35.4,0.185,0,Cherry MX Brown
35.6,0.19,0,Cherry MX Brown
35.4,0.195,0,Cherry MX Brown
35.3,0.2,0,Cherry MX Brown
35.2,0.205,0,Cherry MX Brown
35.3,0.21,0,Cherry MX Brown
35.4,0.22,0,Cherry MX Brown
35.3,0.225,0,Cherry MX Brown
35.3,0.23,0,Cherry MX Brown
35.3,0.235,0,Cherry MX Brown
35.6,0.235,0,Cherry MX Brown
35.7,0.24,0,Cherry MX Brown
35.8,0.245,0,Cherry MX Brown
35.7,0.25,0,Cherry MX Brown
35.7,0.25,0,Cherry MX Brown
35.7,0.255,0,Cherry MX Brown
35.9,0.26,0,Cherry MX Brown
36,0.265,0,Cherry MX Brown
36,0.265,0,Cherry MX Brown
36.1,0.27,0,Cherry MX Brown
36.1,0.27,0,Cherry MX Brown
36.1,0.275,0,Cherry MX Brown
36.2,0.275,0,Cherry MX Brown
36.2,0.275,0,Cherry MX Brown
36.2,0.28,0,Cherry MX Brown
36.2,0.285,0,Cherry MX Brown
36.1,0.285,0,Cherry MX Brown
36.1,0.29,0,Cherry MX Brown
36,0.29,0,Cherry MX Brown
36,0.295,0,Cherry MX Brown
36,0.295,0,Cherry MX Brown
35.9,0.3,0,Cherry MX Brown
35.9,0.3,0,Cherry MX Brown
35.7,0.305,0,Cherry MX Brown
35.8,0.305,0,Cherry MX Brown
35.7,0.31,0,Cherry MX Brown
35.9,0.315,0,Cherry MX Brown
35.9,0.315,0,Cherry MX Brown
35.8,0.32,0,Cherry MX Brown
35.8,0.325,0,Cherry MX Brown
35.8,0.33,0,Cherry MX Brown
35.8,0.33,0,Cherry MX Brown
35.8,0.335,0,Cherry MX Brown
35.8,0.335,0,Cherry MX Brown
35.8,0.34,0,Cherry MX Brown
36,0.345,0,Cherry MX Brown
36,0.345,0,Cherry MX Brown
36,0.35,0,Cherry MX Brown
35.9,0.35,0,Cherry MX Brown
35.9,0.355,0,Cherry MX Brown
36.1,0.355,0,Cherry MX Brown
36.1,0.355,0,Cherry MX Brown
36.3,0.36,0,Cherry MX Brown
36.5,0.36,0,Cherry MX Brown
36.5,0.365,0,Cherry MX Brown
36.7,0.365,0,Cherry MX Brown
36.7,0.37,0,Cherry MX Brown
36.8,0.37,0,Cherry MX Brown
36.8,0.37,0,Cherry MX Brown
37,0.375,0,Cherry MX Brown
37.1,0.375,0,Cherry MX Brown
37.1,0.38,0,Cherry MX Brown
36.9,0.38,0,Cherry MX Brown
36.9,0.385,0,Cherry MX Brown
36.9,0.385,0,Cherry MX Brown
36.7,0.39,0,Cherry MX Brown
36.7,0.39,0,Cherry MX Brown
36.8,0.39,0,Cherry MX Brown
36.8,0.395,0,Cherry MX Brown
36.8,0.395,0,Cherry MX Brown
36.7,0.4,0,Cherry MX Brown
36.7,0.4,0,Cherry MX Brown
36.6,0.4,0,Cherry MX Brown
36.7,0.405,0,Cherry MX Brown
36.7,0.405,0,Cherry MX Brown
36.7,0.41,0,Cherry MX Brown
36.6,0.41,0,Cherry MX Brown
36.7,0.41,0,Cherry MX Brown
36.8,0.415,0,Cherry MX Brown
36.7,0.415,0,Cherry MX Brown
36.7,0.42,0,Cherry MX Brown
36.7,0.42,0,Cherry MX Brown
36.8,0.425,0,Cherry MX Brown
36.8,0.425,0,Cherry MX Brown
36.8,0.43,0,Cherry MX Brown
36.8,0.43,0,Cherry MX Brown
36.6,0.435,0,Cherry MX Brown
36.6,0.435,0,Cherry MX Brown
36.6,0.44,0,Cherry MX Brown
36.6,0.44,0,Cherry MX Brown
36.7,0.445,0,Cherry MX Brown
36.7,0.445,0,Cherry MX Brown
36.8,0.445,0,Cherry MX Brown
36.9,0.45,0,Cherry MX Brown
36.9,0.45,0,Cherry MX Brown
36.9,0.455,0,Cherry MX Brown
36.9,0.455,0,Cherry MX Brown
36.9,0.46,0,Cherry MX Brown
36.9,0.46,0,Cherry MX Brown
36.9,0.465,0,Cherry MX Brown
36.9,0.465,0,Cherry MX Brown
36.8,0.47,0,Cherry MX Brown
36.8,0.47,0,Cherry MX Brown
36.8,0.47,0,Cherry MX Brown
36.8,0.475,0,Cherry MX Brown
37,0.475,0,Cherry MX Brown
37,0.48,0,Cherry MX Brown
37,0.48,0,Cherry MX Brown
37,0.485,0,Cherry MX Brown
36.9,0.485,0,Cherry MX Brown
36.7,0.49,0,Cherry MX Brown
36.8,0.49,0,Cherry MX Brown
36.8,0.495,0,Cherry MX Brown
36.8,0.495,0,Cherry MX Brown
36.7,0.495,0,Cherry MX Brown
36.8,0.5,0,Cherry MX Brown
36.8,0.5,0,Cherry MX Brown
37,0.5,0,Cherry MX Brown
37.2,0.505,0,Cherry MX Brown
37.2,0.51,0,Cherry MX Brown
37.1,0.51,0,Cherry MX Brown
37.2,0.515,0,Cherry MX Brown
37.1,0.515,0,Cherry MX Brown
37.2,0.52,0,Cherry MX Brown
37.2,0.52,0,Cherry MX Brown
37.2,0.525,0,Cherry MX Brown
37.1,0.525,0,Cherry MX Brown
37.1,0.525,0,Cherry MX Brown
37.1,0.53,0,Cherry MX Brown
37.4,0.535,0,Cherry MX Brown
37.3,0.535,0,Cherry MX Brown
37.3,0.54,0,Cherry MX Brown
37.2,0.545,0,Cherry MX Brown
37.3,0.545,0,Cherry MX Brown
37.2,0.55,0,Cherry MX Brown
37,0.555,0,Cherry MX Brown
36.9,0.56,0,Cherry MX Brown
36.9,0.565,0,Cherry MX Brown
37.2,0.57,0,Cherry MX Brown
37.2,0.57,0,Cherry MX Brown
37.3,0.575,0,Cherry MX Brown
