force,displacement,judge,name
0,0,0,Cherry MX Hyperglide Black (5 Pin)
0,0,0,Cherry MX Hyperglide Black (5 Pin)
0,0,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
0.2,0,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
0,0,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
0,0,0,Cherry MX Hyperglide Black (5 Pin)
0,0,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
0,0,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
0,0,0,Cherry MX Hyperglide Black (5 Pin)
0.2,0,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
0,0,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0,0,Cherry MX Hyperglide Black (5 Pin)
0,0.005,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0.005,0,Cherry MX Hyperglide Black (5 Pin)
0,0.01,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0.01,0,Cherry MX Hyperglide Black (5 Pin)
0.2,0.01,0,Cherry MX Hyperglide Black (5 Pin)
0,0.015,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0.015,0,Cherry MX Hyperglide Black (5 Pin)
0,0.015,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0.02,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0.02,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0.025,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0.03,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0.03,0,Cherry MX Hyperglide Black (5 Pin)
0.1,0.035,0,Cherry MX Hyperglide Black (5 Pin)
0,0.035,0,Cherry MX Hyperglide Black (5 Pin)
-0.1,0.035,0,Cherry MX Hyperglide Black (5 Pin)
0,0.04,0,Cherry MX Hyperglide Black (5 Pin)
0,0.04,0,Cherry MX Hyperglide Black (5 Pin)
