force,displacement,judge,name
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0,0,Cherry MX Purple - 17000 Actuations
0,0.005,0,Cherry MX Purple - 17000 Actuations
0,0.005,0,Cherry MX Purple - 17000 Actuations
0,0.005,0,Cherry MX Purple - 17000 Actuations
0,0.01,0,Cherry MX Purple - 17000 Actuations
0,0.015,0,Cherry MX Purple - 17000 Actuations
0,0.015,0,Cherry MX Purple - 17000 Actuations
0,0.015,0,Cherry MX Purple - 17000 Actuations
0,0.02,0,Cherry MX Purple - 17000 Actuations
0,0.02,0,Cherry MX Purple - 17000 Actuations
0,0.02,0,Cherry MX Purple - 17000 Actuations
0,0.02,0,Cherry MX Purple - 17000 Actuations
0,0.025,0,Cherry MX Purple - 17000 Actuations
0.8,0.025,0,Cherry MX Purple - 17000 Actuations
1.8,0.025,0,Cherry MX Purple - 17000 Actuations
2.6,0.025,0,Cherry MX Purple - 17000 Actuations
3.5,0.03,0,Cherry MX Purple - 17000 Actuations
4.6,0.03,0,Cherry MX Purple - 17000 Actuations
5.7,0.03,0,Cherry MX Purple - 17000 Actuations
6.7,0.03,0,Cherry MX Purple - 17000 Actuations
7.9,0.03,0,Cherry MX Purple - 17000 Actuations
9,0.035,0,Cherry MX Purple - 17000 Actuations
10.3,0.035,0,Cherry MX Purple - 17000 Actuations
11.5,0.035,0,Cherry MX Purple - 17000 Actuations
12.7,0.035,0,Cherry MX Purple - 17000 Actuations
14.1,0.04,0,Cherry MX Purple - 17000 Actuations
15.2,0.04,0,Cherry MX Purple - 17000 Actuations
16.5,0.04,0,Cherry MX Purple - 17000 Actuations
17.9,0.04,0,Cherry MX Purple - 17000 Actuations
18.8,0.045,0,Cherry MX Purple - 17000 Actuations
19.8,0.045,0,Cherry MX Purple - 17000 Actuations
20.8,0.045,0,Cherry MX Purple - 17000 Actuations
21.6,0.045,0,Cherry MX Purple - 17000 Actuations
22.5,0.045,0,Cherry MX Purple - 17000 Actuations
23.9,0.05,0,Cherry MX Purple - 17000 Actuations
26,0.05,0,Cherry MX Purple - 17000 Actuations
27.6,0.055,0,Cherry MX Purple - 17000 Actuations
28.5,0.055,0,Cherry MX Purple - 17000 Actuations
29.2,0.055,0,Cherry MX Purple - 17000 Actuations
29.5,0.055,0,Cherry MX Purple - 17000 Actuations
29.9,0.06,0,Cherry MX Purple - 17000 Actuations
30.4,0.06,0,Cherry MX Purple - 17000 Actuations
30.8,0.06,0,Cherry MX Purple - 17000 Actuations
31.2,0.065,0,Cherry MX Purple - 17000 Actuations
30.9,0.065,0,Cherry MX Purple - 17000 Actuations
31,0.065,0,Cherry MX Purple - 17000 Actuations
31.3,0.07,0,Cherry MX Purple - 17000 Actuations
32.1,0.07,0,Cherry MX Purple - 17000 Actuations
32.6,0.07,0,Cherry MX Purple - 17000 Actuations
33,0.075,0,Cherry MX Purple - 17000 Actuations
33.3,0.075,0,Cherry MX Purple - 17000 Actuations
33.4,0.075,0,Cherry MX Purple - 17000 Actuations
33.6,0.08,0,Cherry MX Purple - 17000 Actuations
33.9,0.08,0,Cherry MX Purple - 17000 Actuations
34.1,0.08,0,Cherry MX Purple - 17000 Actuations
34.3,0.08,0,Cherry MX Purple - 17000 Actuations
34.4,0.085,0,Cherry MX Purple - 17000 Actuations
34.5,0.085,0,Cherry MX Purple - 17000 Actuations
34.6,0.085,0,Cherry MX Purple - 17000 Actuations
34.6,0.09,0,Cherry MX Purple - 17000 Actuations
34.6,0.09,0,Cherry MX Purple - 17000 Actuations
34.7,0.09,0,Cherry MX Purple - 17000 Actuations
34.7,0.095,0,Cherry MX Purple - 17000 Actuations
