force,displacement,judge,name
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0.1,0,0,Cherry MX Purple 3
0.1,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0,0,Cherry MX Purple 3
0,0.005,0,Cherry MX Purple 3
0,0.005,0,Cherry MX Purple 3
0,0.005,0,Cherry MX Purple 3
0,0.005,0,Cherry MX Purple 3
0,0.005,0,Cherry MX Purple 3
0,0.01,0,Cherry MX Purple 3
0,0.015,0,Cherry MX Purple 3
0,0.02,0,Cherry MX Purple 3
4.6,0.03,0,Cherry MX Purple 3
11.2,0.035,0,Cherry MX Purple 3
16.8,0.04,0,Cherry MX Purple 3
21.6,0.045,0,Cherry MX Purple 3
25.5,0.05,0,Cherry MX Purple 3
28.9,0.055,0,Cherry MX Purple 3
32,0.06,0,Cherry MX Purple 3
34.6,0.06,0,Cherry MX Purple 3
36.2,0.065,0,Cherry MX Purple 3
36.7,0.07,0,Cherry MX Purple 3
37.1,0.07,0,Cherry MX Purple 3
37.6,0.075,0,Cherry MX Purple 3
38,0.075,0,Cherry MX Purple 3
37.5,0.08,0,Cherry MX Purple 3
36.9,0.08,0,Cherry MX Purple 3
36.8,0.08,0,Cherry MX Purple 3
36.8,0.085,0,Cherry MX Purple 3
36.6,0.085,0,Cherry MX Purple 3
36.6,0.085,0,Cherry MX Purple 3
36.5,0.085,0,Cherry MX Purple 3
36.7,0.09,0,Cherry MX Purple 3
36.6,0.09,0,Cherry MX Purple 3
36.7,0.09,0,Cherry MX Purple 3
36.3,0.095,0,Cherry MX Purple 3
36.2,0.095,0,Cherry MX Purple 3
36.3,0.095,0,Cherry MX Purple 3
36.4,0.095,0,Cherry MX Purple 3
36.6,0.1,0,Cherry MX Purple 3
36.6,0.1,0,Cherry MX Purple 3
36.3,0.1,0,Cherry MX Purple 3
36.4,0.105,0,Cherry MX Purple 3
36.4,0.105,0,Cherry MX Purple 3
36.5,0.105,0,Cherry MX Purple 3
36.6,0.11,0,Cherry MX Purple 3
36.6,0.11,0,Cherry MX Purple 3
36.9,0.11,0,Cherry MX Purple 3
36.6,0.115,0,Cherry MX Purple 3
36.7,0.115,0,Cherry MX Purple 3
36.7,0.115,0,Cherry MX Purple 3
36.4,0.115,0,Cherry MX Purple 3
36.6,0.12,0,Cherry MX Purple 3
36.7,0.12,0,Cherry MX Purple 3
36.5,0.12,0,Cherry MX Purple 3
36.8,0.12,0,Cherry MX Purple 3
36.9,0.125,0,Cherry MX Purple 3
36.6,0.125,0,Cherry MX Purple 3
36.5,0.125,0,Cherry MX Purple 3
36.4,0.13,0,Cherry MX Purple 3
36.5,0.13,0,Cherry MX Purple 3
36.6,0.13,0,Cherry MX Purple 3
36.5,0.13,0,Cherry MX Purple 3
36.6,0.135,0,Cherry MX Purple 3
36.4,0.135,0,Cherry MX Purple 3
36.3,0.135,0,Cherry MX Purple 3
36.6,0.135,0,Cherry MX Purple 3
37,0.14,0,Cherry MX Purple 3
36.7,0.14,0,Cherry MX Purple 3
36,0.145,0,Cherry MX Purple 3
35.9,0.145,0,Cherry MX Purple 3
36.1,0.145,0,Cherry MX Purple 3
36,0.15,0,Cherry MX Purple 3
36.1,0.155,0,Cherry MX Purple 3
36.2,0.155,0,Cherry MX Purple 3
36,0.16,0,Cherry MX Purple 3
35.7,0.16,0,Cherry MX Purple 3
35.7,0.16,0,Cherry MX Purple 3
35.9,0.165,0,Cherry MX Purple 3
35.9,0.165,0,Cherry MX Purple 3
36.1,0.17,0,Cherry MX Purple 3
36.1,0.17,0,Cherry MX Purple 3
36.2,0.175,0,Cherry MX Purple 3
36.1,0.175,0,Cherry MX Purple 3
36.1,0.18,0,Cherry MX Purple 3
36.2,0.18,0,Cherry MX Purple 3
36.3,0.18,0,Cherry MX Purple 3
36.3,0.185,0,Cherry MX Purple 3
36.3,0.185,0,Cherry MX Purple 3
36.2,0.185,0,Cherry MX Purple 3
36.3,0.19,0,Cherry MX Purple 3
36.5,0.19,0,Cherry MX Purple 3
36.6,0.19,0,Cherry MX Purple 3
36.8,0.19,0,Cherry MX Purple 3
36.9,0.195,0,Cherry MX Purple 3
37,0.195,0,Cherry MX Purple 3
37.1,0.195,0,Cherry MX Purple 3
37,0.2,0,Cherry MX Purple 3
36.7,0.2,0,Cherry MX Purple 3
36.6,0.2,0,Cherry MX Purple 3
36.4,0.205,0,Cherry MX Purple 3
36.4,0.205,0,Cherry MX Purple 3
36.6,0.21,0,Cherry MX Purple 3
37,0.21,0,Cherry MX Purple 3
36.9,0.215,0,Cherry MX Purple 3
36.8,0.22,0,Cherry MX Purple 3
