force,displacement,judge,name
0,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0.1,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0.1,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0,0,0,Cherry MX Tactile Grey
0.1,0,0,Cherry MX Tactile Grey
0.6,0,0,Cherry MX Tactile Grey
1.7,0,0,Cherry MX Tactile Grey
2.5,0,0,Cherry MX Tactile Grey
4.4,0.005,0,Cherry MX Tactile Grey
6.7,0.005,0,Cherry MX Tactile Grey
9,0.01,0,Cherry MX Tactile Grey
11.2,0.01,0,Cherry MX Tactile Grey
13.3,0.015,0,Cherry MX Tactile Grey
15.8,0.015,0,Cherry MX Tactile Grey
18,0.02,0,Cherry MX Tactile Grey
20.4,0.02,0,Cherry MX Tactile Grey
22.9,0.025,0,Cherry MX Tactile Grey
25.5,0.03,0,Cherry MX Tactile Grey
28.5,0.03,0,Cherry MX Tactile Grey
30.1,0.035,0,Cherry MX Tactile Grey
31.7,0.035,0,Cherry MX Tactile Grey
33.9,0.04,0,Cherry MX Tactile Grey
36.8,0.04,0,Cherry MX Tactile Grey
39.7,0.045,0,Cherry MX Tactile Grey
42.6,0.05,0,Cherry MX Tactile Grey
45.3,0.055,0,Cherry MX Tactile Grey
47.6,0.06,0,Cherry MX Tactile Grey
49.5,0.06,0,Cherry MX Tactile Grey
51.1,0.065,0,Cherry MX Tactile Grey
52.2,0.075,0,Cherry MX Tactile Grey
52,0.08,0,Cherry MX Tactile Grey
53.1,0.09,0,Cherry MX Tactile Grey
53.7,0.1,0,Cherry MX Tactile Grey
53.7,0.11,0,Cherry MX Tactile Grey
53.6,0.115,0,Cherry MX Tactile Grey
53.6,0.125,0,Cherry MX Tactile Grey
53.7,0.13,0,Cherry MX Tactile Grey
53.6,0.135,0,Cherry MX Tactile Grey
53.7,0.14,0,Cherry MX Tactile Grey
53.7,0.145,0,Cherry MX Tactile Grey
53.6,0.145,0,Cherry MX Tactile Grey
53.7,0.15,0,Cherry MX Tactile Grey
53.7,0.155,0,Cherry MX Tactile Grey
53.9,0.155,0,Cherry MX Tactile Grey
54.3,0.165,0,Cherry MX Tactile Grey
54.4,0.17,0,Cherry MX Tactile Grey
54.3,0.18,0,Cherry MX Tactile Grey
54.4,0.19,0,Cherry MX Tactile Grey
54.6,0.2,0,Cherry MX Tactile Grey
54.7,0.21,0,Cherry MX Tactile Grey
54.8,0.22,0,Cherry MX Tactile Grey
54.7,0.23,0,Cherry MX Tactile Grey
54.8,0.24,0,Cherry MX Tactile Grey
54.6,0.245,0,Cherry MX Tactile Grey
53.9,0.25,0,Cherry MX Tactile Grey
53.9,0.25,0,Cherry MX Tactile Grey
54.1,0.25,0,Cherry MX Tactile Grey
54.4,0.255,0,Cherry MX Tactile Grey
54.6,0.255,0,Cherry MX Tactile Grey
54.6,0.26,0,Cherry MX Tactile Grey
54.6,0.265,0,Cherry MX Tactile Grey
54.7,0.265,0,Cherry MX Tactile Grey
54.8,0.275,0,Cherry MX Tactile Grey
55.1,0.28,0,Cherry MX Tactile Grey
55.3,0.285,0,Cherry MX Tactile Grey
55.4,0.285,0,Cherry MX Tactile Grey
55.3,0.29,0,Cherry MX Tactile Grey
55.4,0.29,0,Cherry MX Tactile Grey
55.3,0.295,0,Cherry MX Tactile Grey
55.3,0.295,0,Cherry MX Tactile Grey
55.3,0.295,0,Cherry MX Tactile Grey
55.5,0.3,0,Cherry MX Tactile Grey
55.8,0.3,0,Cherry MX Tactile Grey
55.8,0.305,0,Cherry MX Tactile Grey
55.8,0.305,0,Cherry MX Tactile Grey
55.9,0.31,0,Cherry MX Tactile Grey
56.1,0.315,0,Cherry MX Tactile Grey
55.9,0.315,0,Cherry MX Tactile Grey
55.7,0.32,0,Cherry MX Tactile Grey
55.6,0.32,0,Cherry MX Tactile Grey
55.7,0.325,0,Cherry MX Tactile Grey
55.7,0.325,0,Cherry MX Tactile Grey
55.9,0.325,0,Cherry MX Tactile Grey
56,0.33,0,Cherry MX Tactile Grey
55.9,0.33,0,Cherry MX Tactile Grey
55.8,0.335,0,Cherry MX Tactile Grey
55.9,0.34,0,Cherry MX Tactile Grey
55.8,0.345,0,Cherry MX Tactile Grey
55.8,0.345,0,Cherry MX Tactile Grey
56,0.35,0,Cherry MX Tactile Grey
56,0.355,0,Cherry MX Tactile Grey
56.1,0.355,0,Cherry MX Tactile Grey
56.1,0.36,0,Cherry MX Tactile Grey
56.3,0.36,0,Cherry MX Tactile Grey
56.3,0.365,0,Cherry MX Tactile Grey
56.4,0.365,0,Cherry MX Tactile Grey
56.4,0.37,0,Cherry MX Tactile Grey
56.3,0.37,0,Cherry MX Tactile Grey
56.3,0.375,0,Cherry MX Tactile Grey
56.3,0.375,0,Cherry MX Tactile Grey
56.3,0.38,0,Cherry MX Tactile Grey
56.3,0.38,0,Cherry MX Tactile Grey
56.3,0.385,0,Cherry MX Tactile Grey
56.3,0.385,0,Cherry MX Tactile Grey
56.4,0.39,0,Cherry MX Tactile Grey
56.5,0.39,0,Cherry MX Tactile Grey
56.5,0.395,0,Cherry MX Tactile Grey
56.5,0.395,0,Cherry MX Tactile Grey
56.6,0.4,0,Cherry MX Tactile Grey
56.7,0.405,0,Cherry MX Tactile Grey
56.8,0.405,0,Cherry MX Tactile Grey
57.1,0.41,0,Cherry MX Tactile Grey
57.2,0.415,0,Cherry MX Tactile Grey
