force,displacement,judge,name
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0,0,Cherry MX2A RGB Black - 17000 Actuations
0,0.005,0,Cherry MX2A RGB Black - 17000 Actuations
0,0.005,0,Cherry MX2A RGB Black - 17000 Actuations
0,0.01,0,Cherry MX2A RGB Black - 17000 Actuations
0,0.015,0,Cherry MX2A RGB Black - 17000 Actuations
4,0.02,0,Cherry MX2A RGB Black - 17000 Actuations
9.7,0.03,0,Cherry MX2A RGB Black - 17000 Actuations
14.2,0.035,0,Cherry MX2A RGB Black - 17000 Actuations
17.1,0.035,0,Cherry MX2A RGB Black - 17000 Actuations
19.4,0.04,0,Cherry MX2A RGB Black - 17000 Actuations
21.2,0.04,0,Cherry MX2A RGB Black - 17000 Actuations
22.8,0.04,0,Cherry MX2A RGB Black - 17000 Actuations
24.2,0.045,0,Cherry MX2A RGB Black - 17000 Actuations
25.5,0.045,0,Cherry MX2A RGB Black - 17000 Actuations
26.4,0.045,0,Cherry MX2A RGB Black - 17000 Actuations
27.3,0.045,0,Cherry MX2A RGB Black - 17000 Actuations
28.5,0.05,0,Cherry MX2A RGB Black - 17000 Actuations
29.8,0.05,0,Cherry MX2A RGB Black - 17000 Actuations
30.9,0.05,0,Cherry MX2A RGB Black - 17000 Actuations
32,0.05,0,Cherry MX2A RGB Black - 17000 Actuations
33.3,0.055,0,Cherry MX2A RGB Black - 17000 Actuations
34.4,0.055,0,Cherry MX2A RGB Black - 17000 Actuations
35.5,0.055,0,Cherry MX2A RGB Black - 17000 Actuations
36.9,0.055,0,Cherry MX2A RGB Black - 17000 Actuations
37.7,0.06,0,Cherry MX2A RGB Black - 17000 Actuations
38.7,0.06,0,Cherry MX2A RGB Black - 17000 Actuations
40.1,0.06,0,Cherry MX2A RGB Black - 17000 Actuations
40.6,0.06,0,Cherry MX2A RGB Black - 17000 Actuations
40.8,0.065,0,Cherry MX2A RGB Black - 17000 Actuations
41.2,0.065,0,Cherry MX2A RGB Black - 17000 Actuations
41.3,0.065,0,Cherry MX2A RGB Black - 17000 Actuations
41.6,0.07,0,Cherry MX2A RGB Black - 17000 Actuations
42,0.07,0,Cherry MX2A RGB Black - 17000 Actuations
42.1,0.07,0,Cherry MX2A RGB Black - 17000 Actuations
42.3,0.075,0,Cherry MX2A RGB Black - 17000 Actuations
42.5,0.075,0,Cherry MX2A RGB Black - 17000 Actuations
42.8,0.075,0,Cherry MX2A RGB Black - 17000 Actuations
43.2,0.075,0,Cherry MX2A RGB Black - 17000 Actuations
43.5,0.08,0,Cherry MX2A RGB Black - 17000 Actuations
43.9,0.08,0,Cherry MX2A RGB Black - 17000 Actuations
44.2,0.085,0,Cherry MX2A RGB Black - 17000 Actuations
44.2,0.085,0,Cherry MX2A RGB Black - 17000 Actuations
44.3,0.09,0,Cherry MX2A RGB Black - 17000 Actuations
44.5,0.095,0,Cherry MX2A RGB Black - 17000 Actuations
44.5,0.1,0,Cherry MX2A RGB Black - 17000 Actuations
44.2,0.105,0,Cherry MX2A RGB Black - 17000 Actuations
43.9,0.11,0,Cherry MX2A RGB Black - 17000 Actuations
43.9,0.115,0,Cherry MX2A RGB Black - 17000 Actuations
43.9,0.115,0,Cherry MX2A RGB Black - 17000 Actuations
43.9,0.12,0,Cherry MX2A RGB Black - 17000 Actuations
44,0.12,0,Cherry MX2A RGB Black - 17000 Actuations
44.1,0.125,0,Cherry MX2A RGB Black - 17000 Actuations
44.1,0.13,0,Cherry MX2A RGB Black - 17000 Actuations
44.1,0.13,0,Cherry MX2A RGB Black - 17000 Actuations
44.2,0.135,0,Cherry MX2A RGB Black - 17000 Actuations
44.1,0.14,0,Cherry MX2A RGB Black - 17000 Actuations
43.8,0.145,0,Cherry MX2A RGB Black - 17000 Actuations
43.8,0.15,0,Cherry MX2A RGB Black - 17000 Actuations
43.6,0.155,0,Cherry MX2A RGB Black - 17000 Actuations
43.5,0.16,0,Cherry MX2A RGB Black - 17000 Actuations
43.4,0.16,0,Cherry MX2A RGB Black - 17000 Actuations
43.3,0.165,0,Cherry MX2A RGB Black - 17000 Actuations
43.3,0.165,0,Cherry MX2A RGB Black - 17000 Actuations
