force,displacement,judge,name
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
-0.2,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0.2,0,0,Cherry MX2A RGB Silent Red
0.1,0,0,Cherry MX2A RGB Silent Red
0.1,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0.1,0,0,Cherry MX2A RGB Silent Red
0.1,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0.1,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0.1,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
-0.1,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0.1,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0.1,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0.1,0,0,Cherry MX2A RGB Silent Red
0.1,0,0,Cherry MX2A RGB Silent Red
0,0,0,Cherry MX2A RGB Silent Red
0,0.005,0,Cherry MX2A RGB Silent Red
0,0.005,0,Cherry MX2A RGB Silent Red
0,0.005,0,Cherry MX2A RGB Silent Red
0,0.005,0,Cherry MX2A RGB Silent Red
0,0.005,0,Cherry MX2A RGB Silent Red
0,0.005,0,Cherry MX2A RGB Silent Red
0,0.01,0,Cherry MX2A RGB Silent Red
0,0.01,0,Cherry MX2A RGB Silent Red
0,0.01,0,Cherry MX2A RGB Silent Red
0,0.015,0,Cherry MX2A RGB Silent Red
0,0.015,0,Cherry MX2A RGB Silent Red
0,0.015,0,Cherry MX2A RGB Silent Red
0,0.02,0,Cherry MX2A RGB Silent Red
0,0.02,0,Cherry MX2A RGB Silent Red
0.8,0.025,0,Cherry MX2A RGB Silent Red
3.8,0.025,0,Cherry MX2A RGB Silent Red
7,0.03,0,Cherry MX2A RGB Silent Red
10.1,0.035,0,Cherry MX2A RGB Silent Red
12.5,0.035,0,Cherry MX2A RGB Silent Red
14.3,0.04,0,Cherry MX2A RGB Silent Red
16.1,0.04,0,Cherry MX2A RGB Silent Red
17.7,0.045,0,Cherry MX2A RGB Silent Red
19.2,0.045,0,Cherry MX2A RGB Silent Red
20.7,0.05,0,Cherry MX2A RGB Silent Red
21.7,0.05,0,Cherry MX2A RGB Silent Red
22.8,0.055,0,Cherry MX2A RGB Silent Red
23.8,0.055,0,Cherry MX2A RGB Silent Red
24.8,0.055,0,Cherry MX2A RGB Silent Red
25.9,0.06,0,Cherry MX2A RGB Silent Red
27.1,0.06,0,Cherry MX2A RGB Silent Red
28.7,0.065,0,Cherry MX2A RGB Silent Red
29.8,0.065,0,Cherry MX2A RGB Silent Red
30.1,0.065,0,Cherry MX2A RGB Silent Red
30,0.07,0,Cherry MX2A RGB Silent Red
31,0.07,0,Cherry MX2A RGB Silent Red
31.8,0.075,0,Cherry MX2A RGB Silent Red
32.3,0.075,0,Cherry MX2A RGB Silent Red
32.2,0.08,0,Cherry MX2A RGB Silent Red
30.7,0.08,0,Cherry MX2A RGB Silent Red
31.2,0.08,0,Cherry MX2A RGB Silent Red
31.6,0.085,0,Cherry MX2A RGB Silent Red
32.2,0.085,0,Cherry MX2A RGB Silent Red
32.7,0.085,0,Cherry MX2A RGB Silent Red
32.7,0.09,0,Cherry MX2A RGB Silent Red
32.6,0.09,0,Cherry MX2A RGB Silent Red
32.6,0.095,0,Cherry MX2A RGB Silent Red
32.8,0.095,0,Cherry MX2A RGB Silent Red
32.7,0.1,0,Cherry MX2A RGB Silent Red
32.6,0.1,0,Cherry MX2A RGB Silent Red
32.5,0.105,0,Cherry MX2A RGB Silent Red
32.6,0.105,0,Cherry MX2A RGB Silent Red
32.6,0.11,0,Cherry MX2A RGB Silent Red
32.6,0.11,0,Cherry MX2A RGB Silent Red
32.9,0.115,0,Cherry MX2A RGB Silent Red
32.8,0.115,0,Cherry MX2A RGB Silent Red
32.8,0.12,0,Cherry MX2A RGB Silent Red
32.9,0.12,0,Cherry MX2A RGB Silent Red
33,0.125,0,Cherry MX2A RGB Silent Red
32.9,0.125,0,Cherry MX2A RGB Silent Red
32.9,0.13,0,Cherry MX2A RGB Silent Red
32.7,0.13,0,Cherry MX2A RGB Silent Red
32.8,0.13,0,Cherry MX2A RGB Silent Red
32.9,0.135,0,Cherry MX2A RGB Silent Red
33.1,0.135,0,Cherry MX2A RGB Silent Red
33.2,0.135,0,Cherry MX2A RGB Silent Red
33.2,0.14,0,Cherry MX2A RGB Silent Red
33.3,0.14,0,Cherry MX2A RGB Silent Red
33.4,0.145,0,Cherry MX2A RGB Silent Red
33.5,0.145,0,Cherry MX2A RGB Silent Red
33.7,0.15,0,Cherry MX2A RGB Silent Red
33.6,0.155,0,Cherry MX2A RGB Silent Red
33.6,0.155,0,Cherry MX2A RGB Silent Red
33.5,0.16,0,Cherry MX2A RGB Silent Red
33.6,0.165,0,Cherry MX2A RGB Silent Red
33.3,0.165,0,Cherry MX2A RGB Silent Red
33.3,0.17,0,Cherry MX2A RGB Silent Red
33.1,0.175,0,Cherry MX2A RGB Silent Red
33.1,0.18,0,Cherry MX2A RGB Silent Red
33,0.18,0,Cherry MX2A RGB Silent Red
32.8,0.18,0,Cherry MX2A RGB Silent Red
33.1,0.185,0,Cherry MX2A RGB Silent Red
33.2,0.185,0,Cherry MX2A RGB Silent Red
32.6,0.195,0,Cherry MX2A RGB Silent Red
32.5,0.195,0,Cherry MX2A RGB Silent Red
32.5,0.2,0,Cherry MX2A RGB Silent Red
32.4,0.2,0,Cherry MX2A RGB Silent Red
32.6,0.205,0,Cherry MX2A RGB Silent Red
32.7,0.21,0,Cherry MX2A RGB Silent Red
33,0.22,0,Cherry MX2A RGB Silent Red
33,0.225,0,Cherry MX2A RGB Silent Red
32.9,0.23,0,Cherry MX2A RGB Silent Red
33.1,0.235,0,Cherry MX2A RGB Silent Red
32.8,0.24,0,Cherry MX2A RGB Silent Red
32.8,0.24,0,Cherry MX2A RGB Silent Red
32.7,0.245,0,Cherry MX2A RGB Silent Red
32.6,0.245,0,Cherry MX2A RGB Silent Red
32.6,0.25,0,Cherry MX2A RGB Silent Red
32.6,0.25,0,Cherry MX2A RGB Silent Red
32.6,0.25,0,Cherry MX2A RGB Silent Red
32.7,0.255,0,Cherry MX2A RGB Silent Red
32.7,0.255,0,Cherry MX2A RGB Silent Red
32.8,0.255,0,Cherry MX2A RGB Silent Red
32.7,0.26,0,Cherry MX2A RGB Silent Red
32.9,0.26,0,Cherry MX2A RGB Silent Red
33.1,0.26,0,Cherry MX2A RGB Silent Red
32.9,0.26,0,Cherry MX2A RGB Silent Red
32.8,0.265,0,Cherry MX2A RGB Silent Red
33,0.265,0,Cherry MX2A RGB Silent Red
32.9,0.265,0,Cherry MX2A RGB Silent Red
32.9,0.265,0,Cherry MX2A RGB Silent Red
33,0.265,0,Cherry MX2A RGB Silent Red
33.1,0.27,0,Cherry MX2A RGB Silent Red
33.3,0.27,0,Cherry MX2A RGB Silent Red
33.3,0.275,0,Cherry MX2A RGB Silent Red
33.3,0.28,0,Cherry MX2A RGB Silent Red
33.1,0.28,0,Cherry MX2A RGB Silent Red
33.2,0.285,0,Cherry MX2A RGB Silent Red
33.3,0.285,0,Cherry MX2A RGB Silent Red
33.4,0.29,0,Cherry MX2A RGB Silent Red
33.4,0.295,0,Cherry MX2A RGB Silent Red
33.2,0.3,0,Cherry MX2A RGB Silent Red
33.2,0.3,0,Cherry MX2A RGB Silent Red
33.2,0.305,0,Cherry MX2A RGB Silent Red
33,0.305,0,Cherry MX2A RGB Silent Red
