force,displacement,judge,name
-0.1,0,0,Cherry Nixdorf White
-0.1,0,0,Cherry Nixdorf White
0,0,0,Cherry Nixdorf White
0,0,0,Cherry Nixdorf White
-0.1,0,0,Cherry Nixdorf White
-0.1,0,0,Cherry Nixdorf White
0.1,0,0,Cherry Nixdorf White
0,0,0,Cherry Nixdorf White
0,0,0,Cherry Nixdorf White
-0.1,0,0,Cherry Nixdorf White
0,0,0,Cherry Nixdorf White
-0.2,0,0,Cherry Nixdorf White
-0.1,0,0,Cherry Nixdorf White
0.1,0,0,Cherry Nixdorf White
0.1,0,0,Cherry Nixdorf White
0,0,0,Cherry Nixdorf White
0.1,0,0,Cherry Nixdorf White
-0.2,0,0,Cherry Nixdorf White
-0.1,0.005,0,Cherry Nixdorf White
0.1,0.005,0,Cherry Nixdorf White
0.1,0.01,0,Cherry Nixdorf White
0,0.015,0,Cherry Nixdorf White
0,0.015,0,Cherry Nixdorf White
0.1,0.02,0,Cherry Nixdorf White
0.1,0.025,0,Cherry Nixdorf White
1.9,0.03,0,Cherry Nixdorf White
4.2,0.03,0,Cherry Nixdorf White
6.2,0.035,0,Cherry Nixdorf White
8,0.035,0,Cherry Nixdorf White
9.4,0.035,0,Cherry Nixdorf White
10.8,0.04,0,Cherry Nixdorf White
12.1,0.04,0,Cherry Nixdorf White
13,0.04,0,Cherry Nixdorf White
13.8,0.04,0,Cherry Nixdorf White
15,0.04,0,Cherry Nixdorf White
15.9,0.045,0,Cherry Nixdorf White
16.9,0.045,0,Cherry Nixdorf White
17.5,0.045,0,Cherry Nixdorf White
17.7,0.045,0,Cherry Nixdorf White
17.9,0.045,0,Cherry Nixdorf White
18.2,0.045,0,Cherry Nixdorf White
18.8,0.045,0,Cherry Nixdorf White
19.3,0.05,0,Cherry Nixdorf White
20.1,0.05,0,Cherry Nixdorf White
21.1,0.05,0,Cherry Nixdorf White
21.9,0.05,0,Cherry Nixdorf White
22.8,0.05,0,Cherry Nixdorf White
23.8,0.05,0,Cherry Nixdorf White
24.5,0.055,0,Cherry Nixdorf White
25.1,0.055,0,Cherry Nixdorf White
25.7,0.055,0,Cherry Nixdorf White
26.5,0.055,0,Cherry Nixdorf White
27.4,0.055,0,Cherry Nixdorf White
28.3,0.055,0,Cherry Nixdorf White
29.5,0.06,0,Cherry Nixdorf White
31.2,0.06,0,Cherry Nixdorf White
33.1,0.06,0,Cherry Nixdorf White
35.1,0.065,0,Cherry Nixdorf White
36.9,0.065,0,Cherry Nixdorf White
38.1,0.07,0,Cherry Nixdorf White
39.3,0.07,0,Cherry Nixdorf White
40.2,0.075,0,Cherry Nixdorf White
41,0.075,0,Cherry Nixdorf White
41.6,0.075,0,Cherry Nixdorf White
42,0.075,0,Cherry Nixdorf White
42.2,0.08,0,Cherry Nixdorf White
42.5,0.08,0,Cherry Nixdorf White
42.8,0.08,0,Cherry Nixdorf White
43.1,0.08,0,Cherry Nixdorf White
43.5,0.08,0,Cherry Nixdorf White
43.8,0.085,0,Cherry Nixdorf White
44.2,0.085,0,Cherry Nixdorf White
44.5,0.085,0,Cherry Nixdorf White
44.6,0.085,0,Cherry Nixdorf White
44.9,0.085,0,Cherry Nixdorf White
45,0.09,0,Cherry Nixdorf White
45.1,0.09,0,Cherry Nixdorf White
45.7,0.09,0,Cherry Nixdorf White
46.4,0.09,0,Cherry Nixdorf White
46.7,0.095,0,Cherry Nixdorf White
47.1,0.095,0,Cherry Nixdorf White
47.3,0.095,0,Cherry Nixdorf White
47,0.1,0,Cherry Nixdorf White
46.9,0.1,0,Cherry Nixdorf White
46.6,0.105,0,Cherry Nixdorf White
46.7,0.105,0,Cherry Nixdorf White
45.7,0.11,0,Cherry Nixdorf White
44.7,0.11,0,Cherry Nixdorf White
45.3,0.115,0,Cherry Nixdorf White
46,0.115,0,Cherry Nixdorf White
46.4,0.12,0,Cherry Nixdorf White
46.9,0.12,0,Cherry Nixdorf White
47.6,0.125,0,Cherry Nixdorf White
48.4,0.13,0,Cherry Nixdorf White
49,0.13,0,Cherry Nixdorf White
49.7,0.135,0,Cherry Nixdorf White
50.3,0.14,0,Cherry Nixdorf White
50.8,0.14,0,Cherry Nixdorf White
51,0.145,0,Cherry Nixdorf White
50.7,0.15,0,Cherry Nixdorf White
50.6,0.15,0,Cherry Nixdorf White
50.6,0.155,0,Cherry Nixdorf White
50.6,0.16,0,Cherry Nixdorf White
50.6,0.165,0,Cherry Nixdorf White
50.6,0.165,0,Cherry Nixdorf White
50.6,0.17,0,Cherry Nixdorf White
50.7,0.175,0,Cherry Nixdorf White
50.8,0.175,0,Cherry Nixdorf White
50.7,0.18,0,Cherry Nixdorf White
50.4,0.185,0,Cherry Nixdorf White
50.7,0.185,0,Cherry Nixdorf White
50.8,0.19,0,Cherry Nixdorf White
50.9,0.195,0,Cherry Nixdorf White
50.8,0.2,0,Cherry Nixdorf White
50.8,0.2,0,Cherry Nixdorf White
51,0.205,0,Cherry Nixdorf White
51,0.21,0,Cherry Nixdorf White
51.1,0.215,0,Cherry Nixdorf White
51.3,0.22,0,Cherry Nixdorf White
51.4,0.225,0,Cherry Nixdorf White
51.5,0.23,0,Cherry Nixdorf White
51.7,0.235,0,Cherry Nixdorf White
51.8,0.24,0,Cherry Nixdorf White
51.6,0.25,0,Cherry Nixdorf White
51.6,0.255,0,Cherry Nixdorf White
51.6,0.26,0,Cherry Nixdorf White
51.5,0.265,0,Cherry Nixdorf White
51.5,0.27,0,Cherry Nixdorf White
51.4,0.275,0,Cherry Nixdorf White
51.5,0.28,0,Cherry Nixdorf White
51.6,0.29,0,Cherry Nixdorf White
