force,displacement,judge,name
0,0,0,Chocolate Toffee Linear
-0.1,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0.1,0,0,Chocolate Toffee Linear
0,0,0,Chocolate Toffee Linear
0,0.005,0,Chocolate Toffee Linear
0.1,0.005,0,Chocolate Toffee Linear
0.2,0.005,0,Chocolate Toffee Linear
1.4,0.01,0,Chocolate Toffee Linear
3.1,0.01,0,Chocolate Toffee Linear
5.1,0.01,0,Chocolate Toffee Linear
7.4,0.015,0,Chocolate Toffee Linear
9,0.015,0,Chocolate Toffee Linear
10.5,0.02,0,Chocolate Toffee Linear
11.8,0.02,0,Chocolate Toffee Linear
12.8,0.02,0,Chocolate Toffee Linear
13.7,0.02,0,Chocolate Toffee Linear
14.6,0.025,0,Chocolate Toffee Linear
15.3,0.025,0,Chocolate Toffee Linear
16,0.025,0,Chocolate Toffee Linear
16.7,0.025,0,Chocolate Toffee Linear
17.5,0.025,0,Chocolate Toffee Linear
18.2,0.025,0,Chocolate Toffee Linear
19,0.03,0,Chocolate Toffee Linear
19.8,0.03,0,Chocolate Toffee Linear
20.8,0.03,0,Chocolate Toffee Linear
21.5,0.03,0,Chocolate Toffee Linear
22.3,0.03,0,Chocolate Toffee Linear
22.9,0.03,0,Chocolate Toffee Linear
23.6,0.035,0,Chocolate Toffee Linear
24.2,0.035,0,Chocolate Toffee Linear
25,0.035,0,Chocolate Toffee Linear
25.5,0.035,0,Chocolate Toffee Linear
26.2,0.035,0,Chocolate Toffee Linear
27,0.035,0,Chocolate Toffee Linear
27.8,0.035,0,Chocolate Toffee Linear
28.8,0.04,0,Chocolate Toffee Linear
29.7,0.04,0,Chocolate Toffee Linear
30.7,0.04,0,Chocolate Toffee Linear
32.6,0.04,0,Chocolate Toffee Linear
34,0.045,0,Chocolate Toffee Linear
35.2,0.045,0,Chocolate Toffee Linear
36.5,0.045,0,Chocolate Toffee Linear
37.7,0.045,0,Chocolate Toffee Linear
38.9,0.05,0,Chocolate Toffee Linear
40.2,0.05,0,Chocolate Toffee Linear
41.4,0.05,0,Chocolate Toffee Linear
41.7,0.055,0,Chocolate Toffee Linear
42,0.055,0,Chocolate Toffee Linear
42.4,0.055,0,Chocolate Toffee Linear
42.7,0.06,0,Chocolate Toffee Linear
43.4,0.06,0,Chocolate Toffee Linear
43.7,0.06,0,Chocolate Toffee Linear
44,0.06,0,Chocolate Toffee Linear
44.1,0.065,0,Chocolate Toffee Linear
44.2,0.065,0,Chocolate Toffee Linear
44.2,0.065,0,Chocolate Toffee Linear
44.2,0.07,0,Chocolate Toffee Linear
44.3,0.07,0,Chocolate Toffee Linear
44.5,0.07,0,Chocolate Toffee Linear
44.5,0.075,0,Chocolate Toffee Linear
44.5,0.075,0,Chocolate Toffee Linear
44.5,0.08,0,Chocolate Toffee Linear
44.6,0.08,0,Chocolate Toffee Linear
44.6,0.085,0,Chocolate Toffee Linear
44.4,0.085,0,Chocolate Toffee Linear
44.3,0.085,0,Chocolate Toffee Linear
44.2,0.09,0,Chocolate Toffee Linear
44.3,0.09,0,Chocolate Toffee Linear
44.3,0.09,0,Chocolate Toffee Linear
44.3,0.095,0,Chocolate Toffee Linear
44.3,0.095,0,Chocolate Toffee Linear
44.4,0.1,0,Chocolate Toffee Linear
44.3,0.1,0,Chocolate Toffee Linear
44.2,0.105,0,Chocolate Toffee Linear
44.2,0.105,0,Chocolate Toffee Linear
44.2,0.11,0,Chocolate Toffee Linear
44.4,0.11,0,Chocolate Toffee Linear
44.4,0.115,0,Chocolate Toffee Linear
44.4,0.115,0,Chocolate Toffee Linear
44.4,0.12,0,Chocolate Toffee Linear
44.4,0.12,0,Chocolate Toffee Linear
44.3,0.125,0,Chocolate Toffee Linear
44.2,0.125,0,Chocolate Toffee Linear
44.2,0.13,0,Chocolate Toffee Linear
44.3,0.13,0,Chocolate Toffee Linear
44.3,0.135,0,Chocolate Toffee Linear
44.3,0.135,0,Chocolate Toffee Linear
44.4,0.14,0,Chocolate Toffee Linear
44.3,0.14,0,Chocolate Toffee Linear
44.3,0.145,0,Chocolate Toffee Linear
44.2,0.15,0,Chocolate Toffee Linear
44.1,0.15,0,Chocolate Toffee Linear
44.2,0.155,0,Chocolate Toffee Linear
44.3,0.155,0,Chocolate Toffee Linear
44.2,0.16,0,Chocolate Toffee Linear
44.2,0.16,0,Chocolate Toffee Linear
44.3,0.165,0,Chocolate Toffee Linear
44.3,0.17,0,Chocolate Toffee Linear
44.3,0.17,0,Chocolate Toffee Linear
44.2,0.175,0,Chocolate Toffee Linear
44.3,0.18,0,Chocolate Toffee Linear
44.4,0.185,0,Chocolate Toffee Linear
44.4,0.19,0,Chocolate Toffee Linear
44.1,0.195,0,Chocolate Toffee Linear
44,0.195,0,Chocolate Toffee Linear
44,0.2,0,Chocolate Toffee Linear
44.2,0.2,0,Chocolate Toffee Linear
44.2,0.205,0,Chocolate Toffee Linear
44.1,0.205,0,Chocolate Toffee Linear
44.2,0.205,0,Chocolate Toffee Linear
44.4,0.21,0,Chocolate Toffee Linear
44.4,0.21,0,Chocolate Toffee Linear
44.4,0.215,0,Chocolate Toffee Linear
44.3,0.215,0,Chocolate Toffee Linear
44.4,0.22,0,Chocolate Toffee Linear
44.6,0.22,0,Chocolate Toffee Linear
44.5,0.225,0,Chocolate Toffee Linear
44.5,0.225,0,Chocolate Toffee Linear
44.4,0.23,0,Chocolate Toffee Linear
44.4,0.23,0,Chocolate Toffee Linear
44.5,0.23,0,Chocolate Toffee Linear
44.5,0.235,0,Chocolate Toffee Linear
44.5,0.235,0,Chocolate Toffee Linear
44.5,0.24,0,Chocolate Toffee Linear
44.6,0.24,0,Chocolate Toffee Linear
44.6,0.245,0,Chocolate Toffee Linear
44.5,0.245,0,Chocolate Toffee Linear
44.4,0.25,0,Chocolate Toffee Linear
44.4,0.255,0,Chocolate Toffee Linear
44.5,0.255,0,Chocolate Toffee Linear
44.5,0.26,0,Chocolate Toffee Linear
44.5,0.26,0,Chocolate Toffee Linear
44.6,0.265,0,Chocolate Toffee Linear
44.5,0.265,0,Chocolate Toffee Linear
44.4,0.265,0,Chocolate Toffee Linear
44.5,0.27,0,Chocolate Toffee Linear
44.4,0.27,0,Chocolate Toffee Linear
44.4,0.275,0,Chocolate Toffee Linear
44.3,0.275,0,Chocolate Toffee Linear
44.3,0.28,0,Chocolate Toffee Linear
44.3,0.28,0,Chocolate Toffee Linear
44.4,0.285,0,Chocolate Toffee Linear
44.5,0.285,0,Chocolate Toffee Linear
44.5,0.29,0,Chocolate Toffee Linear
44.5,0.29,0,Chocolate Toffee Linear
44.4,0.295,0,Chocolate Toffee Linear
44.4,0.295,0,Chocolate Toffee Linear
44.4,0.3,0,Chocolate Toffee Linear
44.4,0.3,0,Chocolate Toffee Linear
44.5,0.305,0,Chocolate Toffee Linear
44.6,0.31,0,Chocolate Toffee Linear
44.7,0.31,0,Chocolate Toffee Linear
44.8,0.315,0,Chocolate Toffee Linear
44.8,0.32,0,Chocolate Toffee Linear
44.9,0.325,0,Chocolate Toffee Linear
44.8,0.325,0,Chocolate Toffee Linear
44.7,0.33,0,Chocolate Toffee Linear
44.5,0.335,0,Chocolate Toffee Linear
44.6,0.34,0,Chocolate Toffee Linear
44.7,0.345,0,Chocolate Toffee Linear
44.6,0.345,0,Chocolate Toffee Linear
44.5,0.35,0,Chocolate Toffee Linear
44.6,0.35,0,Chocolate Toffee Linear
44.6,0.355,0,Chocolate Toffee Linear
44.6,0.355,0,Chocolate Toffee Linear
44.6,0.36,0,Chocolate Toffee Linear
44.6,0.36,0,Chocolate Toffee Linear
44.6,0.365,0,Chocolate Toffee Linear
44.6,0.365,0,Chocolate Toffee Linear
44.6,0.365,0,Chocolate Toffee Linear
44.6,0.37,0,Chocolate Toffee Linear
44.6,0.37,0,Chocolate Toffee Linear
44.4,0.375,0,Chocolate Toffee Linear
44.3,0.375,0,Chocolate Toffee Linear
44.3,0.38,0,Chocolate Toffee Linear
44.3,0.38,0,Chocolate Toffee Linear
44.3,0.385,0,Chocolate Toffee Linear
44.3,0.385,0,Chocolate Toffee Linear
44.3,0.39,0,Chocolate Toffee Linear
44.4,0.395,0,Chocolate Toffee Linear
44.3,0.4,0,Chocolate Toffee Linear
44.3,0.4,0,Chocolate Toffee Linear
44.4,0.405,0,Chocolate Toffee Linear
44.4,0.41,0,Chocolate Toffee Linear
44.4,0.41,0,Chocolate Toffee Linear
44.6,0.415,0,Chocolate Toffee Linear
44.6,0.415,0,Chocolate Toffee Linear
44.7,0.42,0,Chocolate Toffee Linear
44.8,0.42,0,Chocolate Toffee Linear
44.9,0.425,0,Chocolate Toffee Linear
44.8,0.425,0,Chocolate Toffee Linear
44.8,0.43,0,Chocolate Toffee Linear
44.8,0.435,0,Chocolate Toffee Linear
44.7,0.435,0,Chocolate Toffee Linear
44.7,0.44,0,Chocolate Toffee Linear
44.6,0.445,0,Chocolate Toffee Linear
44.6,0.445,0,Chocolate Toffee Linear
44.6,0.45,0,Chocolate Toffee Linear
44.6,0.455,0,Chocolate Toffee Linear
44.7,0.455,0,Chocolate Toffee Linear
44.8,0.46,0,Chocolate Toffee Linear
44.8,0.465,0,Chocolate Toffee Linear
44.9,0.47,0,Chocolate Toffee Linear
44.9,0.47,0,Chocolate Toffee Linear
44.9,0.475,0,Chocolate Toffee Linear
44.8,0.48,0,Chocolate Toffee Linear
44.9,0.48,0,Chocolate Toffee Linear
45,0.485,0,Chocolate Toffee Linear
45.1,0.485,0,Chocolate Toffee Linear
45,0.49,0,Chocolate Toffee Linear
44.9,0.495,0,Chocolate Toffee Linear
44.8,0.495,0,Chocolate Toffee Linear
44.8,0.5,0,Chocolate Toffee Linear
44.8,0.505,0,Chocolate Toffee Linear
44.8,0.51,0,Chocolate Toffee Linear
44.8,0.515,0,Chocolate Toffee Linear
44.8,0.52,0,Chocolate Toffee Linear
44.9,0.525,0,Chocolate Toffee Linear
45,0.525,0,Chocolate Toffee Linear
45.1,0.53,0,Chocolate Toffee Linear
45.1,0.535,0,Chocolate Toffee Linear
45.1,0.54,0,Chocolate Toffee Linear
45,0.54,0,Chocolate Toffee Linear
45,0.545,0,Chocolate Toffee Linear
44.9,0.55,0,Chocolate Toffee Linear
44.8,0.55,0,Chocolate Toffee Linear
44.7,0.55,0,Chocolate Toffee Linear
44.8,0.555,0,Chocolate Toffee Linear
44.8,0.555,0,Chocolate Toffee Linear
44.8,0.56,0,Chocolate Toffee Linear
44.9,0.56,0,Chocolate Toffee Linear
45,0.565,0,Chocolate Toffee Linear
45.1,0.565,0,Chocolate Toffee Linear
45,0.57,0,Chocolate Toffee Linear
45,0.57,0,Chocolate Toffee Linear
45,0.575,0,Chocolate Toffee Linear
45,0.575,0,Chocolate Toffee Linear
45,0.58,0,Chocolate Toffee Linear
45.2,0.58,0,Chocolate Toffee Linear
45.2,0.585,0,Chocolate Toffee Linear
45.1,0.585,0,Chocolate Toffee Linear
45.3,0.59,0,Chocolate Toffee Linear
45.3,0.59,0,Chocolate Toffee Linear
45.2,0.595,0,Chocolate Toffee Linear
45,0.6,0,Chocolate Toffee Linear
45.1,0.6,0,Chocolate Toffee Linear
45.3,0.605,0,Chocolate Toffee Linear
45.4,0.61,0,Chocolate Toffee Linear
45.3,0.61,0,Chocolate Toffee Linear
45.5,0.615,0,Chocolate Toffee Linear
45.5,0.615,0,Chocolate Toffee Linear
45.5,0.62,0,Chocolate Toffee Linear
45.6,0.62,0,Chocolate Toffee Linear
45.5,0.625,0,Chocolate Toffee Linear
45.4,0.63,0,Chocolate Toffee Linear
45.3,0.63,0,Chocolate Toffee Linear
45.4,0.635,0,Chocolate Toffee Linear
45.4,0.64,0,Chocolate Toffee Linear
45.5,0.64,0,Chocolate Toffee Linear
45.4,0.645,0,Chocolate Toffee Linear
45.1,0.65,0,Chocolate Toffee Linear
45.1,0.65,0,Chocolate Toffee Linear
45.1,0.65,0,Chocolate Toffee Linear
45,0.655,0,Chocolate Toffee Linear
45.2,0.655,0,Chocolate Toffee Linear
45.4,0.66,0,Chocolate Toffee Linear
45.5,0.665,0,Chocolate Toffee Linear
45.4,0.665,0,Chocolate Toffee Linear
45.3,0.67,0,Chocolate Toffee Linear
45.2,0.675,0,Chocolate Toffee Linear
45.2,0.675,0,Chocolate Toffee Linear
45.2,0.68,0,Chocolate Toffee Linear
45.2,0.68,0,Chocolate Toffee Linear
45.2,0.685,0,Chocolate Toffee Linear
45.2,0.685,0,Chocolate Toffee Linear
45.2,0.685,0,Chocolate Toffee Linear
45.1,0.69,0,Chocolate Toffee Linear
45.3,0.69,0,Chocolate Toffee Linear
45.3,0.69,0,Chocolate Toffee Linear
45.4,0.69,0,Chocolate Toffee Linear
45.4,0.695,0,Chocolate Toffee Linear
45.3,0.695,0,Chocolate Toffee Linear
45.3,0.695,0,Chocolate Toffee Linear
45.3,0.695,0,Chocolate Toffee Linear
45.3,0.7,0,Chocolate Toffee Linear
45.2,0.7,0,Chocolate Toffee Linear
45.3,0.7,0,Chocolate Toffee Linear
45.2,0.7,0,Chocolate Toffee Linear
45.2,0.7,0,Chocolate Toffee Linear
45.1,0.705,0,Chocolate Toffee Linear
45.1,0.705,0,Chocolate Toffee Linear
45.1,0.705,0,Chocolate Toffee Linear
45.2,0.705,0,Chocolate Toffee Linear
45.2,0.705,0,Chocolate Toffee Linear
45.1,0.71,0,Chocolate Toffee Linear
45.1,0.71,0,Chocolate Toffee Linear
45.2,0.71,0,Chocolate Toffee Linear
45.1,0.71,0,Chocolate Toffee Linear
45.2,0.71,0,Chocolate Toffee Linear
45.2,0.715,0,Chocolate Toffee Linear
45.3,0.715,0,Chocolate Toffee Linear
45.4,0.715,0,Chocolate Toffee Linear
45.5,0.715,0,Chocolate Toffee Linear
45.5,0.72,0,Chocolate Toffee Linear
45.5,0.72,0,Chocolate Toffee Linear
45.5,0.72,0,Chocolate Toffee Linear
45.5,0.72,0,Chocolate Toffee Linear
45.5,0.725,0,Chocolate Toffee Linear
45.5,0.725,0,Chocolate Toffee Linear
45.5,0.725,0,Chocolate Toffee Linear
45.5,0.73,0,Chocolate Toffee Linear
45.5,0.73,0,Chocolate Toffee Linear
45.5,0.73,0,Chocolate Toffee Linear
45.5,0.73,0,Chocolate Toffee Linear
45.5,0.73,0,Chocolate Toffee Linear
45.6,0.73,0,Chocolate Toffee Linear
45.5,0.735,0,Chocolate Toffee Linear
45.5,0.735,0,Chocolate Toffee Linear
45.5,0.735,0,Chocolate Toffee Linear
45.4,0.735,0,Chocolate Toffee Linear
45.4,0.735,0,Chocolate Toffee Linear
45.5,0.74,0,Chocolate Toffee Linear
45.5,0.74,0,Chocolate Toffee Linear
45.5,0.74,0,Chocolate Toffee Linear
45.5,0.74,0,Chocolate Toffee Linear
45.5,0.745,0,Chocolate Toffee Linear
45.5,0.745,0,Chocolate Toffee Linear
45.4,0.745,0,Chocolate Toffee Linear
45.5,0.745,0,Chocolate Toffee Linear
45.4,0.75,0,Chocolate Toffee Linear
45.4,0.75,0,Chocolate Toffee Linear
45.4,0.75,0,Chocolate Toffee Linear
45.5,0.75,0,Chocolate Toffee Linear
45.6,0.755,0,Chocolate Toffee Linear
45.6,0.755,0,Chocolate Toffee Linear
45.6,0.755,0,Chocolate Toffee Linear
45.6,0.76,0,Chocolate Toffee Linear
45.6,0.76,0,Chocolate Toffee Linear
45.5,0.76,0,Chocolate Toffee Linear
45.5,0.76,0,Chocolate Toffee Linear
45.5,0.765,0,Chocolate Toffee Linear
45.3,0.765,0,Chocolate Toffee Linear
45.2,0.77,0,Chocolate Toffee Linear
45.2,0.77,0,Chocolate Toffee Linear
45.2,0.77,0,Chocolate Toffee Linear
45.1,0.775,0,Chocolate Toffee Linear
45.2,0.775,0,Chocolate Toffee Linear
45.3,0.775,0,Chocolate Toffee Linear
45.4,0.78,0,Chocolate Toffee Linear
45.5,0.78,0,Chocolate Toffee Linear
45.5,0.78,0,Chocolate Toffee Linear
45.7,0.785,0,Chocolate Toffee Linear
45.8,0.785,0,Chocolate Toffee Linear
45.8,0.785,0,Chocolate Toffee Linear
45.7,0.79,0,Chocolate Toffee Linear
45.7,0.79,0,Chocolate Toffee Linear
45.6,0.795,0,Chocolate Toffee Linear
45.6,0.795,0,Chocolate Toffee Linear
45.6,0.795,0,Chocolate Toffee Linear
45.6,0.795,0,Chocolate Toffee Linear
45.6,0.8,0,Chocolate Toffee Linear
45.5,0.8,0,Chocolate Toffee Linear
45.6,0.8,0,Chocolate Toffee Linear
45.6,0.805,0,Chocolate Toffee Linear
45.6,0.805,0,Chocolate Toffee Linear
45.6,0.805,0,Chocolate Toffee Linear
45.6,0.805,0,Chocolate Toffee Linear
45.7,0.81,0,Chocolate Toffee Linear
45.7,0.81,0,Chocolate Toffee Linear
45.7,0.81,0,Chocolate Toffee Linear
45.7,0.815,0,Chocolate Toffee Linear
45.7,0.815,0,Chocolate Toffee Linear
45.7,0.815,0,Chocolate Toffee Linear
45.7,0.82,0,Chocolate Toffee Linear
45.8,0.82,0,Chocolate Toffee Linear
45.7,0.82,0,Chocolate Toffee Linear
45.6,0.825,0,Chocolate Toffee Linear
45.7,0.825,0,Chocolate Toffee Linear
45.7,0.825,0,Chocolate Toffee Linear
45.7,0.83,0,Chocolate Toffee Linear
45.8,0.83,0,Chocolate Toffee Linear
45.8,0.83,0,Chocolate Toffee Linear
45.8,0.835,0,Chocolate Toffee Linear
45.8,0.835,0,Chocolate Toffee Linear
45.9,0.84,0,Chocolate Toffee Linear
45.9,0.84,0,Chocolate Toffee Linear
45.9,0.845,0,Chocolate Toffee Linear
45.9,0.845,0,Chocolate Toffee Linear
45.9,0.845,0,Chocolate Toffee Linear
45.8,0.85,0,Chocolate Toffee Linear
45.9,0.85,0,Chocolate Toffee Linear
46.1,0.855,0,Chocolate Toffee Linear
45.9,0.86,0,Chocolate Toffee Linear
45.9,0.865,0,Chocolate Toffee Linear
45.9,0.865,0,Chocolate Toffee Linear
45.9,0.87,0,Chocolate Toffee Linear
