force,displacement,judge,name
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
0,0,0,Chosfox Hanami Dango Pink
-0.1,0.005,0,Chosfox Hanami Dango Pink
0,0.005,0,Chosfox Hanami Dango Pink
0,0.005,0,Chosfox Hanami Dango Pink
0.2,0.005,0,Chosfox Hanami Dango Pink
0.1,0.005,0,Chosfox Hanami Dango Pink
-0.1,0.005,0,Chosfox Hanami Dango Pink
0,0.005,0,Chosfox Hanami Dango Pink
0,0.005,0,Chosfox Hanami Dango Pink
0,0.005,0,Chosfox Hanami Dango Pink
0,0.005,0,Chosfox Hanami Dango Pink
0,0.005,0,Chosfox Hanami Dango Pink
0,0.01,0,Chosfox Hanami Dango Pink
0,0.01,0,Chosfox Hanami Dango Pink
0,0.01,0,Chosfox Hanami Dango Pink
0,0.015,0,Chosfox Hanami Dango Pink
0,0.015,0,Chosfox Hanami Dango Pink
0,0.015,0,Chosfox Hanami Dango Pink
0,0.015,0,Chosfox Hanami Dango Pink
0,0.015,0,Chosfox Hanami Dango Pink
0,0.02,0,Chosfox Hanami Dango Pink
0,0.02,0,Chosfox Hanami Dango Pink
0,0.02,0,Chosfox Hanami Dango Pink
0,0.02,0,Chosfox Hanami Dango Pink
0,0.02,0,Chosfox Hanami Dango Pink
0,0.02,0,Chosfox Hanami Dango Pink
0,0.025,0,Chosfox Hanami Dango Pink
0,0.025,0,Chosfox Hanami Dango Pink
0,0.025,0,Chosfox Hanami Dango Pink
0,0.03,0,Chosfox Hanami Dango Pink
0,0.03,0,Chosfox Hanami Dango Pink
0,0.035,0,Chosfox Hanami Dango Pink
0,0.04,0,Chosfox Hanami Dango Pink
0,0.04,0,Chosfox Hanami Dango Pink
4,0.045,0,Chosfox Hanami Dango Pink
8.4,0.05,0,Chosfox Hanami Dango Pink
12.1,0.055,0,Chosfox Hanami Dango Pink
15.3,0.06,0,Chosfox Hanami Dango Pink
18.1,0.06,0,Chosfox Hanami Dango Pink
20.9,0.065,0,Chosfox Hanami Dango Pink
23.3,0.065,0,Chosfox Hanami Dango Pink
25.4,0.07,0,Chosfox Hanami Dango Pink
27.4,0.07,0,Chosfox Hanami Dango Pink
29.3,0.075,0,Chosfox Hanami Dango Pink
30.9,0.075,0,Chosfox Hanami Dango Pink
32.5,0.075,0,Chosfox Hanami Dango Pink
33.9,0.08,0,Chosfox Hanami Dango Pink
35.3,0.08,0,Chosfox Hanami Dango Pink
37,0.08,0,Chosfox Hanami Dango Pink
38.6,0.085,0,Chosfox Hanami Dango Pink
40.1,0.085,0,Chosfox Hanami Dango Pink
41.5,0.085,0,Chosfox Hanami Dango Pink
42.7,0.09,0,Chosfox Hanami Dango Pink
43.7,0.09,0,Chosfox Hanami Dango Pink
44.6,0.09,0,Chosfox Hanami Dango Pink
44.1,0.095,0,Chosfox Hanami Dango Pink
44,0.1,0,Chosfox Hanami Dango Pink
44.3,0.1,0,Chosfox Hanami Dango Pink
44.2,0.105,0,Chosfox Hanami Dango Pink
44.1,0.105,0,Chosfox Hanami Dango Pink
43.9,0.11,0,Chosfox Hanami Dango Pink
43.8,0.115,0,Chosfox Hanami Dango Pink
43.8,0.115,0,Chosfox Hanami Dango Pink
43.8,0.12,0,Chosfox Hanami Dango Pink
43.7,0.125,0,Chosfox Hanami Dango Pink
43.7,0.13,0,Chosfox Hanami Dango Pink
43.7,0.13,0,Chosfox Hanami Dango Pink
43.6,0.135,0,Chosfox Hanami Dango Pink
43.6,0.14,0,Chosfox Hanami Dango Pink
43.6,0.14,0,Chosfox Hanami Dango Pink
43.6,0.145,0,Chosfox Hanami Dango Pink
43.6,0.145,0,Chosfox Hanami Dango Pink
43.6,0.145,0,Chosfox Hanami Dango Pink
43.6,0.15,0,Chosfox Hanami Dango Pink
43.7,0.15,0,Chosfox Hanami Dango Pink
43.7,0.155,0,Chosfox Hanami Dango Pink
43.6,0.155,0,Chosfox Hanami Dango Pink
43.6,0.16,0,Chosfox Hanami Dango Pink
43.6,0.16,0,Chosfox Hanami Dango Pink
43.6,0.165,0,Chosfox Hanami Dango Pink
43.6,0.165,0,Chosfox Hanami Dango Pink
43.6,0.17,0,Chosfox Hanami Dango Pink
43.6,0.175,0,Chosfox Hanami Dango Pink
43.6,0.175,0,Chosfox Hanami Dango Pink
43.7,0.18,0,Chosfox Hanami Dango Pink
43.7,0.185,0,Chosfox Hanami Dango Pink
43.7,0.185,0,Chosfox Hanami Dango Pink
43.6,0.19,0,Chosfox Hanami Dango Pink
43.6,0.195,0,Chosfox Hanami Dango Pink
43.6,0.195,0,Chosfox Hanami Dango Pink
43.6,0.2,0,Chosfox Hanami Dango Pink
43.6,0.2,0,Chosfox Hanami Dango Pink
43.6,0.205,0,Chosfox Hanami Dango Pink
43.6,0.205,0,Chosfox Hanami Dango Pink
43.6,0.21,0,Chosfox Hanami Dango Pink
43.6,0.215,0,Chosfox Hanami Dango Pink
43.7,0.215,0,Chosfox Hanami Dango Pink
43.7,0.22,0,Chosfox Hanami Dango Pink
43.7,0.225,0,Chosfox Hanami Dango Pink
43.7,0.225,0,Chosfox Hanami Dango Pink
43.8,0.23,0,Chosfox Hanami Dango Pink
43.8,0.23,0,Chosfox Hanami Dango Pink
43.9,0.235,0,Chosfox Hanami Dango Pink
43.9,0.24,0,Chosfox Hanami Dango Pink
44,0.245,0,Chosfox Hanami Dango Pink
44,0.25,0,Chosfox Hanami Dango Pink
43.9,0.255,0,Chosfox Hanami Dango Pink
44,0.26,0,Chosfox Hanami Dango Pink
44,0.265,0,Chosfox Hanami Dango Pink
44,0.275,0,Chosfox Hanami Dango Pink
44,0.28,0,Chosfox Hanami Dango Pink
44,0.285,0,Chosfox Hanami Dango Pink
43.9,0.29,0,Chosfox Hanami Dango Pink
43.9,0.295,0,Chosfox Hanami Dango Pink
43.9,0.3,0,Chosfox Hanami Dango Pink
43.9,0.305,0,Chosfox Hanami Dango Pink
43.9,0.31,0,Chosfox Hanami Dango Pink
44,0.315,0,Chosfox Hanami Dango Pink
43.9,0.32,0,Chosfox Hanami Dango Pink
43.9,0.32,0,Chosfox Hanami Dango Pink
43.9,0.325,0,Chosfox Hanami Dango Pink
43.9,0.325,0,Chosfox Hanami Dango Pink
43.9,0.33,0,Chosfox Hanami Dango Pink
43.9,0.33,0,Chosfox Hanami Dango Pink
43.9,0.335,0,Chosfox Hanami Dango Pink
44,0.335,0,Chosfox Hanami Dango Pink
44,0.34,0,Chosfox Hanami Dango Pink
44,0.34,0,Chosfox Hanami Dango Pink
44,0.345,0,Chosfox Hanami Dango Pink
44,0.35,0,Chosfox Hanami Dango Pink
44,0.35,0,Chosfox Hanami Dango Pink
44.1,0.355,0,Chosfox Hanami Dango Pink
44.1,0.355,0,Chosfox Hanami Dango Pink
44.1,0.36,0,Chosfox Hanami Dango Pink
44.2,0.36,0,Chosfox Hanami Dango Pink
44.2,0.365,0,Chosfox Hanami Dango Pink
44.2,0.37,0,Chosfox Hanami Dango Pink
44.3,0.375,0,Chosfox Hanami Dango Pink
44.3,0.375,0,Chosfox Hanami Dango Pink
44.3,0.38,0,Chosfox Hanami Dango Pink
44.3,0.385,0,Chosfox Hanami Dango Pink
44.3,0.385,0,Chosfox Hanami Dango Pink
44.3,0.39,0,Chosfox Hanami Dango Pink
44.3,0.395,0,Chosfox Hanami Dango Pink
44.3,0.395,0,Chosfox Hanami Dango Pink
44.4,0.4,0,Chosfox Hanami Dango Pink
