force,displacement,judge,name
0,0,0,Chosfox x JWICK Voyager
0.1,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
-0.1,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
0.1,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
-0.1,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
0.1,0,0,Chosfox x JWICK Voyager
0.1,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
-0.1,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
0.2,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
-0.1,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
-0.1,0,0,Chosfox x JWICK Voyager
0,0,0,Chosfox x JWICK Voyager
0.1,0,0,Chosfox x JWICK Voyager
0,0.005,0,Chosfox x JWICK Voyager
0,0.005,0,Chosfox x JWICK Voyager
0,0.005,0,Chosfox x JWICK Voyager
0.1,0.01,0,Chosfox x JWICK Voyager
0,0.01,0,Chosfox x JWICK Voyager
0,0.015,0,Chosfox x JWICK Voyager
0.4,0.015,0,Chosfox x JWICK Voyager
1.7,0.015,0,Chosfox x JWICK Voyager
3.7,0.02,0,Chosfox x JWICK Voyager
5.5,0.025,0,Chosfox x JWICK Voyager
6.9,0.025,0,Chosfox x JWICK Voyager
8.2,0.025,0,Chosfox x JWICK Voyager
10.1,0.03,0,Chosfox x JWICK Voyager
11.8,0.03,0,Chosfox x JWICK Voyager
13,0.03,0,Chosfox x JWICK Voyager
14.4,0.035,0,Chosfox x JWICK Voyager
16,0.035,0,Chosfox x JWICK Voyager
17.4,0.035,0,Chosfox x JWICK Voyager
18.8,0.04,0,Chosfox x JWICK Voyager
20.4,0.04,0,Chosfox x JWICK Voyager
21.9,0.04,0,Chosfox x JWICK Voyager
23.6,0.045,0,Chosfox x JWICK Voyager
25.6,0.045,0,Chosfox x JWICK Voyager
28,0.05,0,Chosfox x JWICK Voyager
30.5,0.05,0,Chosfox x JWICK Voyager
32.6,0.055,0,Chosfox x JWICK Voyager
34.8,0.06,0,Chosfox x JWICK Voyager
37.1,0.06,0,Chosfox x JWICK Voyager
39.1,0.065,0,Chosfox x JWICK Voyager
41,0.065,0,Chosfox x JWICK Voyager
42.3,0.07,0,Chosfox x JWICK Voyager
42.9,0.07,0,Chosfox x JWICK Voyager
42.9,0.075,0,Chosfox x JWICK Voyager
42.1,0.075,0,Chosfox x JWICK Voyager
41.4,0.08,0,Chosfox x JWICK Voyager
40.9,0.08,0,Chosfox x JWICK Voyager
40.5,0.08,0,Chosfox x JWICK Voyager
40.5,0.085,0,Chosfox x JWICK Voyager
40.6,0.085,0,Chosfox x JWICK Voyager
40.7,0.085,0,Chosfox x JWICK Voyager
40.9,0.09,0,Chosfox x JWICK Voyager
40.9,0.09,0,Chosfox x JWICK Voyager
41.2,0.095,0,Chosfox x JWICK Voyager
41.5,0.095,0,Chosfox x JWICK Voyager
41.8,0.095,0,Chosfox x JWICK Voyager
42.1,0.1,0,Chosfox x JWICK Voyager
41.8,0.1,0,Chosfox x JWICK Voyager
42,0.105,0,Chosfox x JWICK Voyager
40.6,0.105,0,Chosfox x JWICK Voyager
40.9,0.11,0,Chosfox x JWICK Voyager
41.1,0.11,0,Chosfox x JWICK Voyager
41.2,0.11,0,Chosfox x JWICK Voyager
41.3,0.115,0,Chosfox x JWICK Voyager
