force,displacement,judge,name
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
-0.1,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0.1,0,0,Clickiez 40g Clicky 3
-0.1,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0.1,0,0,Clickiez 40g Clicky 3
0.1,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
-0.1,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
0,0,0,Clickiez 40g Clicky 3
-0.1,0.005,0,Clickiez 40g Clicky 3
-0.1,0.005,0,Clickiez 40g Clicky 3
0,0.005,0,Clickiez 40g Clicky 3
0,0.005,0,Clickiez 40g Clicky 3
-0.1,0.01,0,Clickiez 40g Clicky 3
0,0.01,0,Clickiez 40g Clicky 3
0.1,0.015,0,Clickiez 40g Clicky 3
0,0.015,0,Clickiez 40g Clicky 3
0,0.015,0,Clickiez 40g Clicky 3
0.1,0.02,0,Clickiez 40g Clicky 3
0,0.02,0,Clickiez 40g Clicky 3
0.2,0.02,0,Clickiez 40g Clicky 3
0.6,0.025,0,Clickiez 40g Clicky 3
1,0.025,0,Clickiez 40g Clicky 3
1.9,0.025,0,Clickiez 40g Clicky 3
3,0.03,0,Clickiez 40g Clicky 3
4.3,0.03,0,Clickiez 40g Clicky 3
5.6,0.03,0,Clickiez 40g Clicky 3
6.9,0.035,0,Clickiez 40g Clicky 3
8.3,0.035,0,Clickiez 40g Clicky 3
9.6,0.035,0,Clickiez 40g Clicky 3
11,0.04,0,Clickiez 40g Clicky 3
12.9,0.04,0,Clickiez 40g Clicky 3
14.7,0.04,0,Clickiez 40g Clicky 3
16.4,0.045,0,Clickiez 40g Clicky 3
17.4,0.045,0,Clickiez 40g Clicky 3
18.4,0.045,0,Clickiez 40g Clicky 3
19.7,0.045,0,Clickiez 40g Clicky 3
21,0.05,0,Clickiez 40g Clicky 3
22.4,0.05,0,Clickiez 40g Clicky 3
24,0.05,0,Clickiez 40g Clicky 3
25.4,0.055,0,Clickiez 40g Clicky 3
27,0.055,0,Clickiez 40g Clicky 3
28.5,0.055,0,Clickiez 40g Clicky 3
29.7,0.06,0,Clickiez 40g Clicky 3
31.2,0.06,0,Clickiez 40g Clicky 3
32.8,0.06,0,Clickiez 40g Clicky 3
34.4,0.065,0,Clickiez 40g Clicky 3
35.9,0.065,0,Clickiez 40g Clicky 3
37.3,0.065,0,Clickiez 40g Clicky 3
38.5,0.07,0,Clickiez 40g Clicky 3
39.9,0.07,0,Clickiez 40g Clicky 3
40.7,0.07,0,Clickiez 40g Clicky 3
40.8,0.075,0,Clickiez 40g Clicky 3
40.9,0.075,0,Clickiez 40g Clicky 3
40.7,0.075,0,Clickiez 40g Clicky 3
40.4,0.075,0,Clickiez 40g Clicky 3
40.4,0.08,0,Clickiez 40g Clicky 3
40.6,0.08,0,Clickiez 40g Clicky 3
40.7,0.08,0,Clickiez 40g Clicky 3
40.8,0.08,0,Clickiez 40g Clicky 3
40.9,0.085,0,Clickiez 40g Clicky 3
41.2,0.085,0,Clickiez 40g Clicky 3
41,0.085,0,Clickiez 40g Clicky 3
41.3,0.09,0,Clickiez 40g Clicky 3
42.1,0.09,0,Clickiez 40g Clicky 3
42.5,0.095,0,Clickiez 40g Clicky 3
42.4,0.095,0,Clickiez 40g Clicky 3
42.4,0.1,0,Clickiez 40g Clicky 3
42.6,0.1,0,Clickiez 40g Clicky 3
42.6,0.105,0,Clickiez 40g Clicky 3
42.5,0.105,0,Clickiez 40g Clicky 3
42.6,0.105,0,Clickiez 40g Clicky 3
42.8,0.105,0,Clickiez 40g Clicky 3
42.8,0.11,0,Clickiez 40g Clicky 3
42.9,0.11,0,Clickiez 40g Clicky 3
42.8,0.115,0,Clickiez 40g Clicky 3
42.8,0.115,0,Clickiez 40g Clicky 3
42.8,0.12,0,Clickiez 40g Clicky 3
42.8,0.12,0,Clickiez 40g Clicky 3
43,0.125,0,Clickiez 40g Clicky 3
42.7,0.13,0,Clickiez 40g Clicky 3
42.7,0.13,0,Clickiez 40g Clicky 3
42.7,0.135,0,Clickiez 40g Clicky 3
42.7,0.14,0,Clickiez 40g Clicky 3
42.7,0.14,0,Clickiez 40g Clicky 3
42.7,0.145,0,Clickiez 40g Clicky 3
42.7,0.145,0,Clickiez 40g Clicky 3
42.8,0.15,0,Clickiez 40g Clicky 3
42.9,0.155,0,Clickiez 40g Clicky 3
42.7,0.155,0,Clickiez 40g Clicky 3
42.7,0.16,0,Clickiez 40g Clicky 3
42.9,0.165,0,Clickiez 40g Clicky 3
42.9,0.165,0,Clickiez 40g Clicky 3
43.1,0.17,0,Clickiez 40g Clicky 3
43.1,0.17,0,Clickiez 40g Clicky 3
43.2,0.175,0,Clickiez 40g Clicky 3
43.2,0.175,0,Clickiez 40g Clicky 3
43.2,0.18,0,Clickiez 40g Clicky 3
43.2,0.18,0,Clickiez 40g Clicky 3
43.2,0.18,0,Clickiez 40g Clicky 3
43.2,0.185,0,Clickiez 40g Clicky 3
43.2,0.185,0,Clickiez 40g Clicky 3
43.4,0.185,0,Clickiez 40g Clicky 3
43.5,0.19,0,Clickiez 40g Clicky 3
43.5,0.19,0,Clickiez 40g Clicky 3
43.5,0.195,0,Clickiez 40g Clicky 3
43.6,0.195,0,Clickiez 40g Clicky 3
43.7,0.2,0,Clickiez 40g Clicky 3
43.8,0.2,0,Clickiez 40g Clicky 3
43.8,0.205,0,Clickiez 40g Clicky 3
43.8,0.205,0,Clickiez 40g Clicky 3
43.9,0.21,0,Clickiez 40g Clicky 3
43.9,0.21,0,Clickiez 40g Clicky 3
43.9,0.215,0,Clickiez 40g Clicky 3
43.9,0.22,0,Clickiez 40g Clicky 3
43.8,0.22,0,Clickiez 40g Clicky 3
43.8,0.225,0,Clickiez 40g Clicky 3
43.8,0.225,0,Clickiez 40g Clicky 3
44,0.225,0,Clickiez 40g Clicky 3
44,0.23,0,Clickiez 40g Clicky 3
44.2,0.235,0,Clickiez 40g Clicky 3
44.2,0.235,0,Clickiez 40g Clicky 3
44.1,0.24,0,Clickiez 40g Clicky 3
44.1,0.24,0,Clickiez 40g Clicky 3
44.1,0.245,0,Clickiez 40g Clicky 3
44.2,0.245,0,Clickiez 40g Clicky 3
44.2,0.25,0,Clickiez 40g Clicky 3
44.2,0.25,0,Clickiez 40g Clicky 3
44.3,0.25,0,Clickiez 40g Clicky 3
44.5,0.255,0,Clickiez 40g Clicky 3
44.6,0.255,0,Clickiez 40g Clicky 3
44.7,0.26,0,Clickiez 40g Clicky 3
44.8,0.265,0,Clickiez 40g Clicky 3
44.7,0.265,0,Clickiez 40g Clicky 3
44.8,0.27,0,Clickiez 40g Clicky 3
45,0.27,0,Clickiez 40g Clicky 3
45.2,0.275,0,Clickiez 40g Clicky 3
45.3,0.275,0,Clickiez 40g Clicky 3
45.4,0.28,0,Clickiez 40g Clicky 3
45.4,0.28,0,Clickiez 40g Clicky 3
45.6,0.28,0,Clickiez 40g Clicky 3
45.7,0.285,0,Clickiez 40g Clicky 3
45.9,0.29,0,Clickiez 40g Clicky 3
46.1,0.29,0,Clickiez 40g Clicky 3
46,0.295,0,Clickiez 40g Clicky 3
46.2,0.295,0,Clickiez 40g Clicky 3
46.3,0.3,0,Clickiez 40g Clicky 3
46.3,0.3,0,Clickiez 40g Clicky 3
46.4,0.305,0,Clickiez 40g Clicky 3
46.6,0.305,0,Clickiez 40g Clicky 3
46.7,0.31,0,Clickiez 40g Clicky 3
47,0.315,0,Clickiez 40g Clicky 3
47,0.315,0,Clickiez 40g Clicky 3
47.2,0.32,0,Clickiez 40g Clicky 3
47.3,0.32,0,Clickiez 40g Clicky 3
47.5,0.325,0,Clickiez 40g Clicky 3
47.5,0.325,0,Clickiez 40g Clicky 3
47.7,0.33,0,Clickiez 40g Clicky 3
47.7,0.33,0,Clickiez 40g Clicky 3
47.8,0.335,0,Clickiez 40g Clicky 3
48.1,0.335,0,Clickiez 40g Clicky 3
48.1,0.335,0,Clickiez 40g Clicky 3
48.3,0.34,0,Clickiez 40g Clicky 3
48.3,0.34,0,Clickiez 40g Clicky 3
48.7,0.345,0,Clickiez 40g Clicky 3
48.6,0.345,0,Clickiez 40g Clicky 3
48.7,0.35,0,Clickiez 40g Clicky 3
49,0.35,0,Clickiez 40g Clicky 3
49.2,0.355,0,Clickiez 40g Clicky 3
49.2,0.36,0,Clickiez 40g Clicky 3
49.5,0.36,0,Clickiez 40g Clicky 3
49.8,0.365,0,Clickiez 40g Clicky 3
49.8,0.37,0,Clickiez 40g Clicky 3
50.1,0.375,0,Clickiez 40g Clicky 3
50.4,0.38,0,Clickiez 40g Clicky 3
50.4,0.385,0,Clickiez 40g Clicky 3
50.6,0.39,0,Clickiez 40g Clicky 3
50.6,0.39,0,Clickiez 40g Clicky 3
50.7,0.395,0,Clickiez 40g Clicky 3
51.1,0.395,0,Clickiez 40g Clicky 3
51.4,0.4,0,Clickiez 40g Clicky 3
51.9,0.405,0,Clickiez 40g Clicky 3
51.9,0.415,0,Clickiez 40g Clicky 3
52.1,0.42,0,Clickiez 40g Clicky 3
52.2,0.425,0,Clickiez 40g Clicky 3
52.6,0.43,0,Clickiez 40g Clicky 3
52.8,0.435,0,Clickiez 40g Clicky 3
53.1,0.44,0,Clickiez 40g Clicky 3
53.5,0.445,0,Clickiez 40g Clicky 3
53.7,0.45,0,Clickiez 40g Clicky 3
54,0.46,0,Clickiez 40g Clicky 3
54.2,0.465,0,Clickiez 40g Clicky 3
54.5,0.47,0,Clickiez 40g Clicky 3
54.7,0.475,0,Clickiez 40g Clicky 3
55,0.475,0,Clickiez 40g Clicky 3
55.3,0.48,0,Clickiez 40g Clicky 3
55.4,0.485,0,Clickiez 40g Clicky 3
55.5,0.49,0,Clickiez 40g Clicky 3
55.7,0.495,0,Clickiez 40g Clicky 3
55.9,0.5,0,Clickiez 40g Clicky 3
56,0.505,0,Clickiez 40g Clicky 3
56.3,0.505,0,Clickiez 40g Clicky 3
56.3,0.51,0,Clickiez 40g Clicky 3
56.6,0.515,0,Clickiez 40g Clicky 3
56.5,0.515,0,Clickiez 40g Clicky 3
56.4,0.52,0,Clickiez 40g Clicky 3
56.6,0.52,0,Clickiez 40g Clicky 3
56.5,0.525,0,Clickiez 40g Clicky 3
56.6,0.525,0,Clickiez 40g Clicky 3
56.9,0.525,0,Clickiez 40g Clicky 3
56.8,0.525,0,Clickiez 40g Clicky 3
56.9,0.53,0,Clickiez 40g Clicky 3
57.2,0.53,0,Clickiez 40g Clicky 3
57.3,0.53,0,Clickiez 40g Clicky 3
57.2,0.53,0,Clickiez 40g Clicky 3
57.2,0.535,0,Clickiez 40g Clicky 3
57.4,0.535,0,Clickiez 40g Clicky 3
57.3,0.535,0,Clickiez 40g Clicky 3
57.6,0.535,0,Clickiez 40g Clicky 3
57.8,0.54,0,Clickiez 40g Clicky 3
57.6,0.54,0,Clickiez 40g Clicky 3
57.8,0.54,0,Clickiez 40g Clicky 3
57.6,0.54,0,Clickiez 40g Clicky 3
57.8,0.545,0,Clickiez 40g Clicky 3
57.7,0.545,0,Clickiez 40g Clicky 3
58.1,0.545,0,Clickiez 40g Clicky 3
58.1,0.545,0,Clickiez 40g Clicky 3
57.6,0.545,0,Clickiez 40g Clicky 3
57.7,0.55,0,Clickiez 40g Clicky 3
57.8,0.55,0,Clickiez 40g Clicky 3
58,0.55,0,Clickiez 40g Clicky 3
58.1,0.55,0,Clickiez 40g Clicky 3
58.3,0.55,0,Clickiez 40g Clicky 3
58.4,0.55,0,Clickiez 40g Clicky 3
58.8,0.555,0,Clickiez 40g Clicky 3
58.7,0.555,0,Clickiez 40g Clicky 3
58.4,0.555,0,Clickiez 40g Clicky 3
58.2,0.555,0,Clickiez 40g Clicky 3
58.5,0.56,0,Clickiez 40g Clicky 3
58.8,0.56,0,Clickiez 40g Clicky 3
59.2,0.56,0,Clickiez 40g Clicky 3
59.2,0.565,0,Clickiez 40g Clicky 3
59.1,0.565,0,Clickiez 40g Clicky 3
59.3,0.565,0,Clickiez 40g Clicky 3
59.3,0.57,0,Clickiez 40g Clicky 3
59.1,0.57,0,Clickiez 40g Clicky 3
59.1,0.57,0,Clickiez 40g Clicky 3
59.2,0.575,0,Clickiez 40g Clicky 3
59.6,0.575,0,Clickiez 40g Clicky 3
59.7,0.575,0,Clickiez 40g Clicky 3
59.9,0.58,0,Clickiez 40g Clicky 3
60.1,0.58,0,Clickiez 40g Clicky 3
60.1,0.585,0,Clickiez 40g Clicky 3
59.9,0.585,0,Clickiez 40g Clicky 3
60.1,0.59,0,Clickiez 40g Clicky 3
60,0.59,0,Clickiez 40g Clicky 3
60.2,0.59,0,Clickiez 40g Clicky 3
60.3,0.595,0,Clickiez 40g Clicky 3
61,0.595,0,Clickiez 40g Clicky 3
60.4,0.6,0,Clickiez 40g Clicky 3
60.4,0.6,0,Clickiez 40g Clicky 3
59.9,0.6,0,Clickiez 40g Clicky 3
60.9,0.6,0,Clickiez 40g Clicky 3
61.2,0.605,0,Clickiez 40g Clicky 3
61.1,0.605,0,Clickiez 40g Clicky 3
61.3,0.61,0,Clickiez 40g Clicky 3
