force,displacement,judge,name
0.1,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
-0.1,0,0,Clickiez 40g Tactile 3
0.2,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
-0.1,0,0,Clickiez 40g Tactile 3
-0.1,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
0.1,0,0,Clickiez 40g Tactile 3
0.2,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
-0.1,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
0,0,0,Clickiez 40g Tactile 3
0,0.005,0,Clickiez 40g Tactile 3
0,0.005,0,Clickiez 40g Tactile 3
0,0.005,0,Clickiez 40g Tactile 3
0,0.005,0,Clickiez 40g Tactile 3
0,0.01,0,Clickiez 40g Tactile 3
3.1,0.015,0,Clickiez 40g Tactile 3
7,0.02,0,Clickiez 40g Tactile 3
10.7,0.02,0,Clickiez 40g Tactile 3
14,0.025,0,Clickiez 40g Tactile 3
16.9,0.03,0,Clickiez 40g Tactile 3
19.6,0.03,0,Clickiez 40g Tactile 3
22.3,0.035,0,Clickiez 40g Tactile 3
25,0.035,0,Clickiez 40g Tactile 3
27.1,0.04,0,Clickiez 40g Tactile 3
28.9,0.04,0,Clickiez 40g Tactile 3
30.2,0.045,0,Clickiez 40g Tactile 3
31.4,0.045,0,Clickiez 40g Tactile 3
32.8,0.045,0,Clickiez 40g Tactile 3
34.3,0.045,0,Clickiez 40g Tactile 3
36.1,0.05,0,Clickiez 40g Tactile 3
38.1,0.05,0,Clickiez 40g Tactile 3
40.3,0.055,0,Clickiez 40g Tactile 3
42.3,0.055,0,Clickiez 40g Tactile 3
44.4,0.06,0,Clickiez 40g Tactile 3
46.7,0.06,0,Clickiez 40g Tactile 3
49.2,0.065,0,Clickiez 40g Tactile 3
51.5,0.065,0,Clickiez 40g Tactile 3
53.6,0.07,0,Clickiez 40g Tactile 3
56.1,0.07,0,Clickiez 40g Tactile 3
58.5,0.075,0,Clickiez 40g Tactile 3
