force,displacement,judge,name
0,0,0,Clickiez 40g Tactile
-0.1,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
0.1,0,0,Clickiez 40g Tactile
0.1,0,0,Clickiez 40g Tactile
-0.1,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
0.2,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
0.1,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
-0.1,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
0,0,0,Clickiez 40g Tactile
-0.1,0,0,Clickiez 40g Tactile
-0.1,0,0,Clickiez 40g Tactile
0.1,0,0,Clickiez 40g Tactile
0.1,0,0,Clickiez 40g Tactile
0.1,0.005,0,Clickiez 40g Tactile
0,0.005,0,Clickiez 40g Tactile
0,0.01,0,Clickiez 40g Tactile
0,0.01,0,Clickiez 40g Tactile
0,0.015,0,Clickiez 40g Tactile
0,0.015,0,Clickiez 40g Tactile
0,0.02,0,Clickiez 40g Tactile
0,0.02,0,Clickiez 40g Tactile
0,0.025,0,Clickiez 40g Tactile
0.1,0.025,0,Clickiez 40g Tactile
0,0.03,0,Clickiez 40g Tactile
0,0.035,0,Clickiez 40g Tactile
0.1,0.04,0,Clickiez 40g Tactile
0,0.045,0,Clickiez 40g Tactile
-0.1,0.055,0,Clickiez 40g Tactile
0,0.06,0,Clickiez 40g Tactile
0.1,0.07,0,Clickiez 40g Tactile
7,0.08,0,Clickiez 40g Tactile
18.3,0.095,0,Clickiez 40g Tactile
28.7,0.105,0,Clickiez 40g Tactile
37.8,0.115,0,Clickiez 40g Tactile
45,0.12,0,Clickiez 40g Tactile
51.3,0.125,0,Clickiez 40g Tactile
55.4,0.135,0,Clickiez 40g Tactile
58.9,0.14,0,Clickiez 40g Tactile
57.9,0.145,0,Clickiez 40g Tactile
57.1,0.155,0,Clickiez 40g Tactile
56.6,0.16,0,Clickiez 40g Tactile
56.3,0.165,0,Clickiez 40g Tactile
56.1,0.17,0,Clickiez 40g Tactile
55.8,0.17,0,Clickiez 40g Tactile
55.6,0.175,0,Clickiez 40g Tactile
55.4,0.18,0,Clickiez 40g Tactile
55.4,0.18,0,Clickiez 40g Tactile
55.6,0.185,0,Clickiez 40g Tactile
55.6,0.185,0,Clickiez 40g Tactile
55.7,0.19,0,Clickiez 40g Tactile
55.5,0.195,0,Clickiez 40g Tactile
55.5,0.195,0,Clickiez 40g Tactile
55.7,0.2,0,Clickiez 40g Tactile
55.8,0.205,0,Clickiez 40g Tactile
55.5,0.21,0,Clickiez 40g Tactile
55.2,0.21,0,Clickiez 40g Tactile
55.4,0.215,0,Clickiez 40g Tactile
55.7,0.22,0,Clickiez 40g Tactile
56,0.225,0,Clickiez 40g Tactile
57.7,0.235,0,Clickiez 40g Tactile
59.6,0.24,0,Clickiez 40g Tactile
60.3,0.24,0,Clickiez 40g Tactile
61.4,0.245,0,Clickiez 40g Tactile
62.7,0.25,0,Clickiez 40g Tactile
64.2,0.25,0,Clickiez 40g Tactile
66.7,0.26,0,Clickiez 40g Tactile
68.4,0.265,0,Clickiez 40g Tactile
69.5,0.27,0,Clickiez 40g Tactile
70.3,0.275,0,Clickiez 40g Tactile
71.3,0.275,0,Clickiez 40g Tactile
72.2,0.28,0,Clickiez 40g Tactile
72.9,0.28,0,Clickiez 40g Tactile
73.2,0.285,0,Clickiez 40g Tactile
73.6,0.285,0,Clickiez 40g Tactile
74.6,0.285,0,Clickiez 40g Tactile
75.2,0.29,0,Clickiez 40g Tactile
76.5,0.29,0,Clickiez 40g Tactile
77.6,0.295,0,Clickiez 40g Tactile
78.3,0.295,0,Clickiez 40g Tactile
79.3,0.3,0,Clickiez 40g Tactile
80.6,0.305,0,Clickiez 40g Tactile
82.1,0.305,0,Clickiez 40g Tactile
83.1,0.31,0,Clickiez 40g Tactile
83.5,0.315,0,Clickiez 40g Tactile
83.9,0.315,0,Clickiez 40g Tactile
84.6,0.315,0,Clickiez 40g Tactile
85.4,0.32,0,Clickiez 40g Tactile
85.9,0.32,0,Clickiez 40g Tactile
87.1,0.325,0,Clickiez 40g Tactile
88.4,0.33,0,Clickiez 40g Tactile
89.4,0.33,0,Clickiez 40g Tactile
90,0.335,0,Clickiez 40g Tactile
90.9,0.335,0,Clickiez 40g Tactile
91.5,0.34,0,Clickiez 40g Tactile
92.2,0.34,0,Clickiez 40g Tactile
93.2,0.345,0,Clickiez 40g Tactile
93.7,0.345,0,Clickiez 40g Tactile
93.9,0.35,0,Clickiez 40g Tactile
93.7,0.35,0,Clickiez 40g Tactile
94.2,0.35,0,Clickiez 40g Tactile
94.5,0.355,0,Clickiez 40g Tactile
94.7,0.355,0,Clickiez 40g Tactile
95,0.355,0,Clickiez 40g Tactile
95.2,0.36,0,Clickiez 40g Tactile
95.3,0.36,0,Clickiez 40g Tactile
95.6,0.36,0,Clickiez 40g Tactile
95.9,0.365,0,Clickiez 40g Tactile
95.9,0.365,0,Clickiez 40g Tactile
96.1,0.365,0,Clickiez 40g Tactile
96.3,0.37,0,Clickiez 40g Tactile
96.4,0.37,0,Clickiez 40g Tactile
96.4,0.37,0,Clickiez 40g Tactile
96.5,0.375,0,Clickiez 40g Tactile
