force,displacement,judge,name
0,0,0,Clickiez 75g Linear 3
0,0,0,Clickiez 75g Linear 3
-0.1,0,0,Clickiez 75g Linear 3
-0.1,0,0,Clickiez 75g Linear 3
0.1,0,0,Clickiez 75g Linear 3
0,0,0,Clickiez 75g Linear 3
0,0,0,Clickiez 75g Linear 3
0,0,0,Clickiez 75g Linear 3
-0.1,0,0,Clickiez 75g Linear 3
0,0,0,Clickiez 75g Linear 3
0,0,0,Clickiez 75g Linear 3
-0.1,0,0,Clickiez 75g Linear 3
0,0,0,Clickiez 75g Linear 3
0,0,0,Clickiez 75g Linear 3
0,0,0,Clickiez 75g Linear 3
0.1,0.005,0,Clickiez 75g Linear 3
0.1,0.005,0,Clickiez 75g Linear 3
-0.1,0.005,0,Clickiez 75g Linear 3
-0.1,0.005,0,Clickiez 75g Linear 3
0,0.005,0,Clickiez 75g Linear 3
0,0.005,0,Clickiez 75g Linear 3
-0.1,0.005,0,Clickiez 75g Linear 3
-0.1,0.005,0,Clickiez 75g Linear 3
0,0.005,0,Clickiez 75g Linear 3
0.1,0.005,0,Clickiez 75g Linear 3
0.1,0.005,0,Clickiez 75g Linear 3
0,0.005,0,Clickiez 75g Linear 3
0,0.005,0,Clickiez 75g Linear 3
0.1,0.01,0,Clickiez 75g Linear 3
0.6,0.01,0,Clickiez 75g Linear 3
1.6,0.01,0,Clickiez 75g Linear 3
2.6,0.015,0,Clickiez 75g Linear 3
3,0.015,0,Clickiez 75g Linear 3
3.5,0.015,0,Clickiez 75g Linear 3
4.3,0.015,0,Clickiez 75g Linear 3
5.3,0.02,0,Clickiez 75g Linear 3
6.7,0.02,0,Clickiez 75g Linear 3
8.5,0.02,0,Clickiez 75g Linear 3
10.3,0.025,0,Clickiez 75g Linear 3
12.2,0.025,0,Clickiez 75g Linear 3
14.3,0.03,0,Clickiez 75g Linear 3
16.9,0.03,0,Clickiez 75g Linear 3
19.5,0.035,0,Clickiez 75g Linear 3
22.1,0.035,0,Clickiez 75g Linear 3
24.8,0.04,0,Clickiez 75g Linear 3
27.4,0.04,0,Clickiez 75g Linear 3
30.2,0.045,0,Clickiez 75g Linear 3
33.3,0.045,0,Clickiez 75g Linear 3
36.4,0.05,0,Clickiez 75g Linear 3
39.2,0.055,0,Clickiez 75g Linear 3
41.9,0.055,0,Clickiez 75g Linear 3
44.3,0.06,0,Clickiez 75g Linear 3
44.9,0.065,0,Clickiez 75g Linear 3
45.3,0.065,0,Clickiez 75g Linear 3
45.1,0.07,0,Clickiez 75g Linear 3
44.9,0.07,0,Clickiez 75g Linear 3
44.9,0.075,0,Clickiez 75g Linear 3
44.8,0.08,0,Clickiez 75g Linear 3
44.8,0.08,0,Clickiez 75g Linear 3
44.7,0.085,0,Clickiez 75g Linear 3
44.6,0.09,0,Clickiez 75g Linear 3
44.6,0.095,0,Clickiez 75g Linear 3
44.7,0.095,0,Clickiez 75g Linear 3
44.9,0.1,0,Clickiez 75g Linear 3
44.6,0.105,0,Clickiez 75g Linear 3
44.4,0.11,0,Clickiez 75g Linear 3
44.4,0.115,0,Clickiez 75g Linear 3
44.5,0.115,0,Clickiez 75g Linear 3
44.7,0.12,0,Clickiez 75g Linear 3
44.6,0.125,0,Clickiez 75g Linear 3
44.4,0.125,0,Clickiez 75g Linear 3
44.4,0.13,0,Clickiez 75g Linear 3
44.4,0.135,0,Clickiez 75g Linear 3
44.5,0.14,0,Clickiez 75g Linear 3
44.3,0.145,0,Clickiez 75g Linear 3
44.1,0.15,0,Clickiez 75g Linear 3
43.8,0.155,0,Clickiez 75g Linear 3
43.7,0.16,0,Clickiez 75g Linear 3
43.6,0.16,0,Clickiez 75g Linear 3
43.7,0.165,0,Clickiez 75g Linear 3
43.7,0.17,0,Clickiez 75g Linear 3
43.6,0.175,0,Clickiez 75g Linear 3
43.5,0.175,0,Clickiez 75g Linear 3
43.5,0.175,0,Clickiez 75g Linear 3
43.5,0.18,0,Clickiez 75g Linear 3
43.6,0.185,0,Clickiez 75g Linear 3
43.5,0.19,0,Clickiez 75g Linear 3
43.3,0.19,0,Clickiez 75g Linear 3
43.4,0.195,0,Clickiez 75g Linear 3
43.4,0.195,0,Clickiez 75g Linear 3
43.4,0.2,0,Clickiez 75g Linear 3
43.4,0.2,0,Clickiez 75g Linear 3
43.3,0.205,0,Clickiez 75g Linear 3
43.4,0.21,0,Clickiez 75g Linear 3
43.2,0.215,0,Clickiez 75g Linear 3
43.1,0.22,0,Clickiez 75g Linear 3
43.3,0.22,0,Clickiez 75g Linear 3
43.2,0.225,0,Clickiez 75g Linear 3
43.1,0.23,0,Clickiez 75g Linear 3
42.9,0.23,0,Clickiez 75g Linear 3
43.1,0.235,0,Clickiez 75g Linear 3
43,0.235,0,Clickiez 75g Linear 3
43.1,0.24,0,Clickiez 75g Linear 3
43.2,0.24,0,Clickiez 75g Linear 3
43.2,0.245,0,Clickiez 75g Linear 3
43.2,0.25,0,Clickiez 75g Linear 3
43.1,0.255,0,Clickiez 75g Linear 3
43.1,0.255,0,Clickiez 75g Linear 3
43.1,0.26,0,Clickiez 75g Linear 3
43.3,0.265,0,Clickiez 75g Linear 3
43.2,0.27,0,Clickiez 75g Linear 3
43.2,0.27,0,Clickiez 75g Linear 3
43.2,0.275,0,Clickiez 75g Linear 3
43.3,0.28,0,Clickiez 75g Linear 3
43.3,0.28,0,Clickiez 75g Linear 3
43.3,0.285,0,Clickiez 75g Linear 3
43.3,0.29,0,Clickiez 75g Linear 3
43.4,0.295,0,Clickiez 75g Linear 3
43.4,0.3,0,Clickiez 75g Linear 3
43.3,0.305,0,Clickiez 75g Linear 3
43.3,0.305,0,Clickiez 75g Linear 3
43.4,0.31,0,Clickiez 75g Linear 3
43.4,0.315,0,Clickiez 75g Linear 3
43.2,0.32,0,Clickiez 75g Linear 3
43.2,0.32,0,Clickiez 75g Linear 3
43.3,0.325,0,Clickiez 75g Linear 3
43.2,0.33,0,Clickiez 75g Linear 3
43.3,0.33,0,Clickiez 75g Linear 3
43.4,0.335,0,Clickiez 75g Linear 3
43.5,0.335,0,Clickiez 75g Linear 3
43.5,0.34,0,Clickiez 75g Linear 3
43.7,0.34,0,Clickiez 75g Linear 3
43.5,0.345,0,Clickiez 75g Linear 3
43.5,0.345,0,Clickiez 75g Linear 3
43.5,0.35,0,Clickiez 75g Linear 3
43.6,0.355,0,Clickiez 75g Linear 3
43.7,0.36,0,Clickiez 75g Linear 3
43.7,0.36,0,Clickiez 75g Linear 3
43.5,0.365,0,Clickiez 75g Linear 3
43.5,0.37,0,Clickiez 75g Linear 3
43.5,0.375,0,Clickiez 75g Linear 3
43.4,0.375,0,Clickiez 75g Linear 3
43.5,0.375,0,Clickiez 75g Linear 3
43.7,0.38,0,Clickiez 75g Linear 3
43.9,0.38,0,Clickiez 75g Linear 3
43.7,0.385,0,Clickiez 75g Linear 3
43.8,0.39,0,Clickiez 75g Linear 3
43.8,0.39,0,Clickiez 75g Linear 3
44,0.39,0,Clickiez 75g Linear 3
43.8,0.395,0,Clickiez 75g Linear 3
43.8,0.4,0,Clickiez 75g Linear 3
43.9,0.4,0,Clickiez 75g Linear 3
43.9,0.405,0,Clickiez 75g Linear 3
43.9,0.41,0,Clickiez 75g Linear 3
43.9,0.415,0,Clickiez 75g Linear 3
43.8,0.415,0,Clickiez 75g Linear 3
43.9,0.42,0,Clickiez 75g Linear 3
43.9,0.425,0,Clickiez 75g Linear 3
44,0.43,0,Clickiez 75g Linear 3
44.2,0.435,0,Clickiez 75g Linear 3
44.2,0.44,0,Clickiez 75g Linear 3
44.4,0.445,0,Clickiez 75g Linear 3
44.4,0.455,0,Clickiez 75g Linear 3
44.4,0.46,0,Clickiez 75g Linear 3
44.5,0.465,0,Clickiez 75g Linear 3
44.8,0.47,0,Clickiez 75g Linear 3
45,0.475,0,Clickiez 75g Linear 3
45,0.48,0,Clickiez 75g Linear 3
45.2,0.485,0,Clickiez 75g Linear 3
45.3,0.485,0,Clickiez 75g Linear 3
45.3,0.49,0,Clickiez 75g Linear 3
45.4,0.495,0,Clickiez 75g Linear 3
45.5,0.505,0,Clickiez 75g Linear 3
45.6,0.505,0,Clickiez 75g Linear 3
45.7,0.51,0,Clickiez 75g Linear 3
45.8,0.515,0,Clickiez 75g Linear 3
46,0.52,0,Clickiez 75g Linear 3
45.9,0.525,0,Clickiez 75g Linear 3
46.1,0.53,0,Clickiez 75g Linear 3
46.2,0.53,0,Clickiez 75g Linear 3
46.3,0.535,0,Clickiez 75g Linear 3
46.3,0.54,0,Clickiez 75g Linear 3
46.4,0.545,0,Clickiez 75g Linear 3
46.6,0.55,0,Clickiez 75g Linear 3
46.5,0.555,0,Clickiez 75g Linear 3
46.6,0.565,0,Clickiez 75g Linear 3
46.6,0.57,0,Clickiez 75g Linear 3
46.5,0.57,0,Clickiez 75g Linear 3
46.6,0.575,0,Clickiez 75g Linear 3
46.7,0.58,0,Clickiez 75g Linear 3
46.8,0.585,0,Clickiez 75g Linear 3
46.9,0.585,0,Clickiez 75g Linear 3
47.1,0.59,0,Clickiez 75g Linear 3
47.2,0.59,0,Clickiez 75g Linear 3
47.2,0.595,0,Clickiez 75g Linear 3
47.2,0.6,0,Clickiez 75g Linear 3
47.2,0.6,0,Clickiez 75g Linear 3
47.4,0.605,0,Clickiez 75g Linear 3
47.4,0.61,0,Clickiez 75g Linear 3
47.6,0.615,0,Clickiez 75g Linear 3
47.8,0.615,0,Clickiez 75g Linear 3
47.8,0.62,0,Clickiez 75g Linear 3
47.8,0.62,0,Clickiez 75g Linear 3
47.8,0.625,0,Clickiez 75g Linear 3
47.8,0.63,0,Clickiez 75g Linear 3
47.8,0.635,0,Clickiez 75g Linear 3
47.8,0.64,0,Clickiez 75g Linear 3
48,0.64,0,Clickiez 75g Linear 3
47.9,0.645,0,Clickiez 75g Linear 3
47.9,0.65,0,Clickiez 75g Linear 3
48.1,0.655,0,Clickiez 75g Linear 3
48.2,0.66,0,Clickiez 75g Linear 3
48.3,0.665,0,Clickiez 75g Linear 3
48.1,0.67,0,Clickiez 75g Linear 3
48.3,0.675,0,Clickiez 75g Linear 3
46.6,0.68,0,Clickiez 75g Linear 3
46.7,0.685,0,Clickiez 75g Linear 3
46.6,0.69,0,Clickiez 75g Linear 3
46.5,0.69,0,Clickiez 75g Linear 3
46.5,0.695,0,Clickiez 75g Linear 3
46.5,0.695,0,Clickiez 75g Linear 3
46.5,0.7,0,Clickiez 75g Linear 3
46.7,0.705,0,Clickiez 75g Linear 3
46.7,0.71,0,Clickiez 75g Linear 3
46.8,0.71,0,Clickiez 75g Linear 3
46.6,0.715,0,Clickiez 75g Linear 3
46.6,0.715,0,Clickiez 75g Linear 3
46.7,0.72,0,Clickiez 75g Linear 3
46.5,0.725,0,Clickiez 75g Linear 3
46.5,0.73,0,Clickiez 75g Linear 3
46.6,0.73,0,Clickiez 75g Linear 3
46.6,0.735,0,Clickiez 75g Linear 3
46.7,0.74,0,Clickiez 75g Linear 3
46.6,0.745,0,Clickiez 75g Linear 3
46.6,0.745,0,Clickiez 75g Linear 3
46.5,0.75,0,Clickiez 75g Linear 3
46.4,0.755,0,Clickiez 75g Linear 3
46.3,0.76,0,Clickiez 75g Linear 3
46.3,0.76,0,Clickiez 75g Linear 3
46.4,0.765,0,Clickiez 75g Linear 3
46.5,0.77,0,Clickiez 75g Linear 3
46.4,0.775,0,Clickiez 75g Linear 3
46.5,0.775,0,Clickiez 75g Linear 3
46.3,0.78,0,Clickiez 75g Linear 3
46.3,0.785,0,Clickiez 75g Linear 3
46.4,0.795,0,Clickiez 75g Linear 3
46.4,0.8,0,Clickiez 75g Linear 3
46.5,0.805,0,Clickiez 75g Linear 3
46.4,0.81,0,Clickiez 75g Linear 3
46.4,0.815,0,Clickiez 75g Linear 3
46.5,0.82,0,Clickiez 75g Linear 3
46.4,0.825,0,Clickiez 75g Linear 3
46.4,0.83,0,Clickiez 75g Linear 3
46.4,0.835,0,Clickiez 75g Linear 3
46.4,0.84,0,Clickiez 75g Linear 3
46.4,0.845,0,Clickiez 75g Linear 3
46.3,0.845,0,Clickiez 75g Linear 3
46.4,0.85,0,Clickiez 75g Linear 3
46.5,0.855,0,Clickiez 75g Linear 3
46.4,0.86,0,Clickiez 75g Linear 3
46.3,0.865,0,Clickiez 75g Linear 3
46.3,0.87,0,Clickiez 75g Linear 3
46.2,0.875,0,Clickiez 75g Linear 3
46.3,0.88,0,Clickiez 75g Linear 3
46.3,0.885,0,Clickiez 75g Linear 3
46.3,0.89,0,Clickiez 75g Linear 3
46.3,0.895,0,Clickiez 75g Linear 3
46.5,0.9,0,Clickiez 75g Linear 3
46.5,0.905,0,Clickiez 75g Linear 3
46.6,0.91,0,Clickiez 75g Linear 3
46.4,0.915,0,Clickiez 75g Linear 3
46.5,0.92,0,Clickiez 75g Linear 3
46.5,0.925,0,Clickiez 75g Linear 3
46.5,0.93,0,Clickiez 75g Linear 3
46.4,0.94,0,Clickiez 75g Linear 3
