force,displacement,judge,name
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
-0.1,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0,0,Content Blue (Black Bottom)
0,0.005,0,Content Blue (Black Bottom)
0,0.005,0,Content Blue (Black Bottom)
0,0.005,0,Content Blue (Black Bottom)
0,0.005,0,Content Blue (Black Bottom)
0,0.005,0,Content Blue (Black Bottom)
0,0.01,0,Content Blue (Black Bottom)
0,0.01,0,Content Blue (Black Bottom)
0,0.01,0,Content Blue (Black Bottom)
0,0.01,0,Content Blue (Black Bottom)
0,0.01,0,Content Blue (Black Bottom)
0,0.01,0,Content Blue (Black Bottom)
0,0.01,0,Content Blue (Black Bottom)
0,0.015,0,Content Blue (Black Bottom)
0,0.015,0,Content Blue (Black Bottom)
0,0.015,0,Content Blue (Black Bottom)
0,0.015,0,Content Blue (Black Bottom)
0,0.02,0,Content Blue (Black Bottom)
0,0.02,0,Content Blue (Black Bottom)
0,0.025,0,Content Blue (Black Bottom)
0,0.025,0,Content Blue (Black Bottom)
0,0.03,0,Content Blue (Black Bottom)
0,0.03,0,Content Blue (Black Bottom)
0,0.03,0,Content Blue (Black Bottom)
0.1,0.03,0,Content Blue (Black Bottom)
0.6,0.03,0,Content Blue (Black Bottom)
1,0.03,0,Content Blue (Black Bottom)
1.5,0.03,0,Content Blue (Black Bottom)
2,0.035,0,Content Blue (Black Bottom)
2.8,0.035,0,Content Blue (Black Bottom)
4.2,0.035,0,Content Blue (Black Bottom)
5.5,0.035,0,Content Blue (Black Bottom)
6.7,0.04,0,Content Blue (Black Bottom)
8.2,0.04,0,Content Blue (Black Bottom)
9.3,0.04,0,Content Blue (Black Bottom)
10,0.045,0,Content Blue (Black Bottom)
10.5,0.045,0,Content Blue (Black Bottom)
10.7,0.045,0,Content Blue (Black Bottom)
11.1,0.045,0,Content Blue (Black Bottom)
11.3,0.045,0,Content Blue (Black Bottom)
11.6,0.045,0,Content Blue (Black Bottom)
11.9,0.045,0,Content Blue (Black Bottom)
12,0.045,0,Content Blue (Black Bottom)
12.1,0.045,0,Content Blue (Black Bottom)
12.2,0.05,0,Content Blue (Black Bottom)
12.6,0.05,0,Content Blue (Black Bottom)
12.8,0.05,0,Content Blue (Black Bottom)
12.9,0.05,0,Content Blue (Black Bottom)
13.1,0.05,0,Content Blue (Black Bottom)
13.3,0.05,0,Content Blue (Black Bottom)
13.4,0.05,0,Content Blue (Black Bottom)
13.7,0.05,0,Content Blue (Black Bottom)
14,0.055,0,Content Blue (Black Bottom)
14.2,0.055,0,Content Blue (Black Bottom)
14.4,0.055,0,Content Blue (Black Bottom)
14.4,0.055,0,Content Blue (Black Bottom)
14.7,0.055,0,Content Blue (Black Bottom)
14.9,0.055,0,Content Blue (Black Bottom)
14.9,0.055,0,Content Blue (Black Bottom)
15.2,0.055,0,Content Blue (Black Bottom)
15.5,0.055,0,Content Blue (Black Bottom)
15.8,0.055,0,Content Blue (Black Bottom)
16,0.055,0,Content Blue (Black Bottom)
16.3,0.055,0,Content Blue (Black Bottom)
16.5,0.055,0,Content Blue (Black Bottom)
16.9,0.055,0,Content Blue (Black Bottom)
17.6,0.055,0,Content Blue (Black Bottom)
18.2,0.06,0,Content Blue (Black Bottom)
19.2,0.06,0,Content Blue (Black Bottom)
20,0.06,0,Content Blue (Black Bottom)
20.9,0.06,0,Content Blue (Black Bottom)
22.4,0.065,0,Content Blue (Black Bottom)
23.6,0.065,0,Content Blue (Black Bottom)
25,0.065,0,Content Blue (Black Bottom)
26.5,0.07,0,Content Blue (Black Bottom)
26.8,0.07,0,Content Blue (Black Bottom)
27.2,0.07,0,Content Blue (Black Bottom)
28,0.07,0,Content Blue (Black Bottom)
28.9,0.07,0,Content Blue (Black Bottom)
29.7,0.07,0,Content Blue (Black Bottom)
30.9,0.075,0,Content Blue (Black Bottom)
32.4,0.075,0,Content Blue (Black Bottom)
33.7,0.075,0,Content Blue (Black Bottom)
35.1,0.08,0,Content Blue (Black Bottom)
36.6,0.08,0,Content Blue (Black Bottom)
37,0.085,0,Content Blue (Black Bottom)
37,0.085,0,Content Blue (Black Bottom)
36.9,0.09,0,Content Blue (Black Bottom)
36.9,0.09,0,Content Blue (Black Bottom)
36.9,0.09,0,Content Blue (Black Bottom)
36.9,0.095,0,Content Blue (Black Bottom)
36.9,0.1,0,Content Blue (Black Bottom)
36.9,0.1,0,Content Blue (Black Bottom)
37,0.105,0,Content Blue (Black Bottom)
37,0.105,0,Content Blue (Black Bottom)
37,0.11,0,Content Blue (Black Bottom)
