force,displacement,judge,name
0.2,0,0,Crow
0,0,0,Crow
-0.1,0,0,Crow
-0.1,0,0,Crow
0.1,0,0,Crow
0.1,0,0,Crow
0,0,0,Crow
0,0,0,Crow
0.1,0,0,Crow
0.1,0,0,Crow
0.2,0,0,Crow
-0.1,0,0,Crow
-0.1,0,0,Crow
0.1,0,0,Crow
0.2,0,0,Crow
0.1,0,0,Crow
-0.1,0,0,Crow
0,0,0,Crow
0,0,0,Crow
0.1,0,0,Crow
0,0,0,Crow
0,0,0,Crow
0.1,0,0,Crow
0.1,0,0,Crow
0.1,0,0,Crow
0.1,0,0,Crow
0.1,0.005,0,Crow
0,0.005,0,Crow
0,0.01,0,Crow
0.1,0.01,0,Crow
0.1,0.02,0,Crow
0,0.03,0,Crow
0,0.04,0,Crow
0,0.055,0,Crow
0,0.07,0,Crow
0.1,0.08,0,Crow
0,0.09,0,Crow
0,0.1,0,Crow
0,0.11,0,Crow
0.2,0.12,0,Crow
0.1,0.13,0,Crow
-0.1,0.135,0,Crow
0,0.145,0,Crow
0.1,0.15,0,Crow
0.2,0.16,0,Crow
0,0.165,0,Crow
-0.1,0.17,0,Crow
0.1,0.175,0,Crow
0.1,0.18,0,Crow
0.1,0.19,0,Crow
0,0.195,0,Crow
-0.1,0.205,0,Crow
0,0.215,0,Crow
4.8,0.225,0,Crow
12.3,0.235,0,Crow
18.7,0.245,0,Crow
25.5,0.25,0,Crow
30.7,0.255,0,Crow
34.7,0.26,0,Crow
38.4,0.265,0,Crow
42.3,0.27,0,Crow
44.6,0.275,0,Crow
45.5,0.28,0,Crow
44.8,0.285,0,Crow
44.6,0.29,0,Crow
44.3,0.295,0,Crow
44.3,0.3,0,Crow
44.1,0.305,0,Crow
44.2,0.31,0,Crow
44,0.315,0,Crow
43.9,0.32,0,Crow
43.9,0.32,0,Crow
43.7,0.325,0,Crow
43.6,0.33,0,Crow
43.5,0.335,0,Crow
43.4,0.34,0,Crow
43.4,0.345,0,Crow
43.5,0.345,0,Crow
43.4,0.35,0,Crow
43.3,0.355,0,Crow
43.2,0.36,0,Crow
43.3,0.365,0,Crow
43.3,0.37,0,Crow
43.2,0.375,0,Crow
43.1,0.385,0,Crow
43,0.39,0,Crow
43.1,0.395,0,Crow
43.2,0.4,0,Crow
43.2,0.405,0,Crow
43.2,0.415,0,Crow
43.1,0.415,0,Crow
43.1,0.42,0,Crow
43.2,0.425,0,Crow
43.3,0.43,0,Crow
43.3,0.435,0,Crow
43.4,0.44,0,Crow
43.4,0.44,0,Crow
43.4,0.445,0,Crow
43.4,0.45,0,Crow
43.3,0.455,0,Crow
43.4,0.46,0,Crow
43.4,0.465,0,Crow
43.4,0.47,0,Crow
43.4,0.475,0,Crow
43.3,0.48,0,Crow
43.3,0.48,0,Crow
43.1,0.485,0,Crow
43.2,0.49,0,Crow
43.2,0.49,0,Crow
43.3,0.495,0,Crow
43.4,0.495,0,Crow
43.3,0.5,0,Crow
43.3,0.505,0,Crow
43.4,0.505,0,Crow
43.4,0.51,0,Crow
43.4,0.51,0,Crow
43.4,0.515,0,Crow
43.3,0.515,0,Crow
43.4,0.52,0,Crow
43.3,0.52,0,Crow
43.4,0.525,0,Crow
43.4,0.53,0,Crow
43.5,0.535,0,Crow
43.5,0.535,0,Crow
43.5,0.54,0,Crow
43.6,0.545,0,Crow
43.5,0.55,0,Crow
43.6,0.555,0,Crow
43.7,0.555,0,Crow
43.6,0.56,0,Crow
43.7,0.565,0,Crow
43.7,0.565,0,Crow
43.8,0.57,0,Crow
43.8,0.57,0,Crow
43.7,0.575,0,Crow
43.8,0.575,0,Crow
43.8,0.58,0,Crow
43.8,0.58,0,Crow
43.9,0.585,0,Crow
43.9,0.585,0,Crow
43.8,0.59,0,Crow
43.8,0.59,0,Crow
43.8,0.595,0,Crow
43.8,0.595,0,Crow
43.8,0.6,0,Crow
43.8,0.605,0,Crow
43.7,0.605,0,Crow
43.7,0.61,0,Crow
43.7,0.61,0,Crow
43.7,0.615,0,Crow
43.8,0.615,0,Crow
43.8,0.62,0,Crow
43.8,0.62,0,Crow
43.8,0.625,0,Crow
43.8,0.63,0,Crow
43.7,0.63,0,Crow
43.8,0.635,0,Crow
43.8,0.635,0,Crow
43.8,0.64,0,Crow
43.9,0.645,0,Crow
43.9,0.645,0,Crow
43.9,0.65,0,Crow
43.8,0.65,0,Crow
43.9,0.655,0,Crow
43.9,0.655,0,Crow
44,0.66,0,Crow
44,0.665,0,Crow
44,0.665,0,Crow
44,0.67,0,Crow
43.9,0.675,0,Crow
43.9,0.675,0,Crow
43.9,0.68,0,Crow
44,0.68,0,Crow
44.1,0.685,0,Crow
44.1,0.69,0,Crow
44.2,0.695,0,Crow
44.2,0.7,0,Crow
44.2,0.705,0,Crow
44.3,0.705,0,Crow
44.3,0.71,0,Crow
44.3,0.715,0,Crow
44.3,0.715,0,Crow
44.4,0.72,0,Crow
44.4,0.72,0,Crow
44.4,0.725,0,Crow
44.4,0.725,0,Crow
44.5,0.725,0,Crow
44.6,0.73,0,Crow
44.5,0.73,0,Crow
44.5,0.735,0,Crow
44.5,0.735,0,Crow
44.6,0.74,0,Crow
44.6,0.74,0,Crow
44.6,0.745,0,Crow
44.7,0.745,0,Crow
44.6,0.75,0,Crow
44.8,0.75,0,Crow
44.8,0.755,0,Crow
44.7,0.755,0,Crow
44.7,0.76,0,Crow
44.7,0.76,0,Crow
44.7,0.76,0,Crow
44.8,0.765,0,Crow
44.6,0.765,0,Crow
44.6,0.765,0,Crow
44.6,0.765,0,Crow
44.6,0.77,0,Crow
44.7,0.77,0,Crow
44.8,0.77,0,Crow
44.8,0.77,0,Crow
44.8,0.775,0,Crow
44.8,0.775,0,Crow
44.9,0.78,0,Crow
44.9,0.78,0,Crow
44.9,0.785,0,Crow
44.8,0.79,0,Crow
44.9,0.79,0,Crow
44.9,0.795,0,Crow
44.8,0.795,0,Crow
44.8,0.8,0,Crow
44.9,0.8,0,Crow
44.9,0.805,0,Crow
44.9,0.805,0,Crow
44.8,0.81,0,Crow
44.8,0.81,0,Crow
44.8,0.81,0,Crow
44.8,0.81,0,Crow
44.8,0.81,0,Crow
44.8,0.815,0,Crow
44.9,0.815,0,Crow
44.9,0.815,0,Crow
45,0.815,0,Crow
45,0.815,0,Crow
45.1,0.82,0,Crow
45.1,0.82,0,Crow
45.1,0.825,0,Crow
45.1,0.825,0,Crow
45.2,0.825,0,Crow
45.2,0.83,0,Crow
45.2,0.835,0,Crow
45.2,0.835,0,Crow
45.2,0.84,0,Crow
45.3,0.84,0,Crow
45.3,0.845,0,Crow
45.3,0.85,0,Crow
45.3,0.855,0,Crow
45.3,0.855,0,Crow
45.4,0.86,0,Crow
45.4,0.86,0,Crow
45.4,0.865,0,Crow
45.4,0.865,0,Crow
45.4,0.87,0,Crow
45.4,0.875,0,Crow
45.4,0.875,0,Crow
45.5,0.88,0,Crow
45.5,0.88,0,Crow
45.5,0.885,0,Crow
45.6,0.885,0,Crow
45.6,0.89,0,Crow
45.6,0.89,0,Crow
45.6,0.895,0,Crow
45.7,0.895,0,Crow
45.7,0.9,0,Crow
45.7,0.905,0,Crow
45.7,0.905,0,Crow
45.7,0.91,0,Crow
45.8,0.91,0,Crow
45.8,0.915,0,Crow
45.8,0.915,0,Crow
45.8,0.915,0,Crow
45.8,0.92,0,Crow
45.8,0.92,0,Crow
45.7,0.925,0,Crow
45.7,0.925,0,Crow
45.8,0.925,0,Crow
45.8,0.93,0,Crow
45.8,0.93,0,Crow
45.8,0.93,0,Crow
45.8,0.935,0,Crow
45.8,0.935,0,Crow
45.8,0.935,0,Crow
45.8,0.94,0,Crow
45.8,0.94,0,Crow
45.9,0.94,0,Crow
45.9,0.94,0,Crow
45.9,0.945,0,Crow
45.9,0.945,0,Crow
45.8,0.945,0,Crow
45.9,0.95,0,Crow
46,0.95,0,Crow
46.1,0.955,0,Crow
46,0.955,0,Crow
46.1,0.955,0,Crow
46,0.96,0,Crow
46,0.96,0,Crow
46,0.965,0,Crow
46,0.97,0,Crow
46,0.97,0,Crow
46.1,0.975,0,Crow
46.1,0.975,0,Crow
46.1,0.98,0,Crow
46.1,0.98,0,Crow
46.1,0.985,0,Crow
46.2,0.99,0,Crow
46.2,0.99,0,Crow
46.3,0.995,0,Crow
46.3,1,0,Crow
46.3,1,0,Crow
46.4,1.005,0,Crow
46.4,1.01,0,Crow
46.4,1.015,0,Crow
46.5,1.02,0,Crow
46.5,1.02,0,Crow
46.5,1.025,0,Crow
46.5,1.03,0,Crow
46.5,1.035,0,Crow
46.5,1.035,0,Crow
46.5,1.04,0,Crow
46.5,1.045,0,Crow
46.5,1.05,0,Crow
46.6,1.05,0,Crow
46.6,1.055,0,Crow
46.6,1.06,0,Crow
46.6,1.06,0,Crow
46.7,1.065,0,Crow
46.7,1.07,0,Crow
46.7,1.07,0,Crow
46.8,1.075,0,Crow
46.9,1.075,0,Crow
46.9,1.08,0,Crow
46.9,1.08,0,Crow
47,1.085,0,Crow
