force,displacement,judge,name
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0,0,DK Creamery Birthday Cake Blue
0,0.005,0,DK Creamery Birthday Cake Blue
0,0.005,0,DK Creamery Birthday Cake Blue
0,0.005,0,DK Creamery Birthday Cake Blue
0,0.005,0,DK Creamery Birthday Cake Blue
0,0.005,0,DK Creamery Birthday Cake Blue
0,0.005,0,DK Creamery Birthday Cake Blue
0,0.005,0,DK Creamery Birthday Cake Blue
0.1,0.005,0,DK Creamery Birthday Cake Blue
0.2,0.01,0,DK Creamery Birthday Cake Blue
0.2,0.01,0,DK Creamery Birthday Cake Blue
0.4,0.015,0,DK Creamery Birthday Cake Blue
0.5,0.015,0,DK Creamery Birthday Cake Blue
0.7,0.02,0,DK Creamery Birthday Cake Blue
1.4,0.025,0,DK Creamery Birthday Cake Blue
3.7,0.025,0,DK Creamery Birthday Cake Blue
6.7,0.03,0,DK Creamery Birthday Cake Blue
10,0.035,0,DK Creamery Birthday Cake Blue
13.6,0.04,0,DK Creamery Birthday Cake Blue
16.8,0.04,0,DK Creamery Birthday Cake Blue
19.9,0.045,0,DK Creamery Birthday Cake Blue
22.6,0.05,0,DK Creamery Birthday Cake Blue
24.7,0.05,0,DK Creamery Birthday Cake Blue
27.4,0.055,0,DK Creamery Birthday Cake Blue
30.2,0.055,0,DK Creamery Birthday Cake Blue
32.3,0.06,0,DK Creamery Birthday Cake Blue
34.2,0.06,0,DK Creamery Birthday Cake Blue
34.5,0.065,0,DK Creamery Birthday Cake Blue
35.4,0.07,0,DK Creamery Birthday Cake Blue
35,0.075,0,DK Creamery Birthday Cake Blue
34.9,0.08,0,DK Creamery Birthday Cake Blue
35,0.085,0,DK Creamery Birthday Cake Blue
35,0.09,0,DK Creamery Birthday Cake Blue
35,0.095,0,DK Creamery Birthday Cake Blue
34.9,0.1,0,DK Creamery Birthday Cake Blue
34.7,0.105,0,DK Creamery Birthday Cake Blue
34.6,0.11,0,DK Creamery Birthday Cake Blue
34.5,0.115,0,DK Creamery Birthday Cake Blue
34.6,0.12,0,DK Creamery Birthday Cake Blue
34.5,0.125,0,DK Creamery Birthday Cake Blue
34.4,0.13,0,DK Creamery Birthday Cake Blue
34.4,0.135,0,DK Creamery Birthday Cake Blue
34.5,0.135,0,DK Creamery Birthday Cake Blue
34.6,0.14,0,DK Creamery Birthday Cake Blue
34.6,0.145,0,DK Creamery Birthday Cake Blue
34.5,0.15,0,DK Creamery Birthday Cake Blue
34.5,0.155,0,DK Creamery Birthday Cake Blue
34.4,0.155,0,DK Creamery Birthday Cake Blue
34.4,0.16,0,DK Creamery Birthday Cake Blue
34.4,0.165,0,DK Creamery Birthday Cake Blue
34.4,0.17,0,DK Creamery Birthday Cake Blue
34.4,0.175,0,DK Creamery Birthday Cake Blue
34.4,0.175,0,DK Creamery Birthday Cake Blue
34.4,0.18,0,DK Creamery Birthday Cake Blue
34.6,0.185,0,DK Creamery Birthday Cake Blue
34.7,0.19,0,DK Creamery Birthday Cake Blue
34.6,0.195,0,DK Creamery Birthday Cake Blue
34.6,0.2,0,DK Creamery Birthday Cake Blue
34.6,0.205,0,DK Creamery Birthday Cake Blue
34.6,0.205,0,DK Creamery Birthday Cake Blue
34.6,0.21,0,DK Creamery Birthday Cake Blue
34.6,0.215,0,DK Creamery Birthday Cake Blue
34.6,0.22,0,DK Creamery Birthday Cake Blue
34.6,0.22,0,DK Creamery Birthday Cake Blue
34.6,0.225,0,DK Creamery Birthday Cake Blue
34.5,0.225,0,DK Creamery Birthday Cake Blue
34.5,0.23,0,DK Creamery Birthday Cake Blue
34.5,0.23,0,DK Creamery Birthday Cake Blue
34.5,0.235,0,DK Creamery Birthday Cake Blue
34.5,0.235,0,DK Creamery Birthday Cake Blue
34.6,0.24,0,DK Creamery Birthday Cake Blue
34.6,0.24,0,DK Creamery Birthday Cake Blue
34.6,0.24,0,DK Creamery Birthday Cake Blue
34.6,0.245,0,DK Creamery Birthday Cake Blue
34.6,0.245,0,DK Creamery Birthday Cake Blue
34.6,0.245,0,DK Creamery Birthday Cake Blue
34.7,0.25,0,DK Creamery Birthday Cake Blue
34.7,0.25,0,DK Creamery Birthday Cake Blue
34.6,0.25,0,DK Creamery Birthday Cake Blue
34.7,0.255,0,DK Creamery Birthday Cake Blue
34.7,0.255,0,DK Creamery Birthday Cake Blue
34.7,0.26,0,DK Creamery Birthday Cake Blue
34.7,0.26,0,DK Creamery Birthday Cake Blue
34.7,0.26,0,DK Creamery Birthday Cake Blue
34.7,0.265,0,DK Creamery Birthday Cake Blue
34.7,0.265,0,DK Creamery Birthday Cake Blue
34.7,0.265,0,DK Creamery Birthday Cake Blue
34.7,0.265,0,DK Creamery Birthday Cake Blue
34.7,0.27,0,DK Creamery Birthday Cake Blue
34.8,0.27,0,DK Creamery Birthday Cake Blue
34.8,0.275,0,DK Creamery Birthday Cake Blue
34.8,0.275,0,DK Creamery Birthday Cake Blue
34.8,0.28,0,DK Creamery Birthday Cake Blue
34.8,0.28,0,DK Creamery Birthday Cake Blue
34.9,0.28,0,DK Creamery Birthday Cake Blue
34.9,0.285,0,DK Creamery Birthday Cake Blue
34.9,0.285,0,DK Creamery Birthday Cake Blue
34.9,0.29,0,DK Creamery Birthday Cake Blue
34.9,0.29,0,DK Creamery Birthday Cake Blue
