force,displacement,judge,name
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
-0.1,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0,0,DK Creamery Birthday Cake Orange
0,0.005,0,DK Creamery Birthday Cake Orange
0,0.005,0,DK Creamery Birthday Cake Orange
0,0.005,0,DK Creamery Birthday Cake Orange
0,0.005,0,DK Creamery Birthday Cake Orange
0,0.005,0,DK Creamery Birthday Cake Orange
0,0.005,0,DK Creamery Birthday Cake Orange
0,0.01,0,DK Creamery Birthday Cake Orange
0,0.01,0,DK Creamery Birthday Cake Orange
0,0.015,0,DK Creamery Birthday Cake Orange
1.9,0.02,0,DK Creamery Birthday Cake Orange
5.6,0.02,0,DK Creamery Birthday Cake Orange
8.7,0.025,0,DK Creamery Birthday Cake Orange
11.2,0.025,0,DK Creamery Birthday Cake Orange
13.3,0.03,0,DK Creamery Birthday Cake Orange
15.4,0.03,0,DK Creamery Birthday Cake Orange
17.3,0.035,0,DK Creamery Birthday Cake Orange
18.9,0.035,0,DK Creamery Birthday Cake Orange
20.2,0.035,0,DK Creamery Birthday Cake Orange
21.7,0.035,0,DK Creamery Birthday Cake Orange
23,0.04,0,DK Creamery Birthday Cake Orange
24.2,0.04,0,DK Creamery Birthday Cake Orange
25.3,0.04,0,DK Creamery Birthday Cake Orange
26.4,0.04,0,DK Creamery Birthday Cake Orange
27.5,0.045,0,DK Creamery Birthday Cake Orange
28.9,0.045,0,DK Creamery Birthday Cake Orange
30.6,0.045,0,DK Creamery Birthday Cake Orange
32.4,0.05,0,DK Creamery Birthday Cake Orange
32.8,0.05,0,DK Creamery Birthday Cake Orange
33.1,0.05,0,DK Creamery Birthday Cake Orange
33.1,0.05,0,DK Creamery Birthday Cake Orange
33.5,0.055,0,DK Creamery Birthday Cake Orange
33.9,0.055,0,DK Creamery Birthday Cake Orange
34.2,0.055,0,DK Creamery Birthday Cake Orange
34.7,0.055,0,DK Creamery Birthday Cake Orange
35,0.06,0,DK Creamery Birthday Cake Orange
35.4,0.06,0,DK Creamery Birthday Cake Orange
35.8,0.06,0,DK Creamery Birthday Cake Orange
35.8,0.065,0,DK Creamery Birthday Cake Orange
35.7,0.065,0,DK Creamery Birthday Cake Orange
35.6,0.07,0,DK Creamery Birthday Cake Orange
35.6,0.07,0,DK Creamery Birthday Cake Orange
35.6,0.07,0,DK Creamery Birthday Cake Orange
35.6,0.075,0,DK Creamery Birthday Cake Orange
35.6,0.075,0,DK Creamery Birthday Cake Orange
35.5,0.08,0,DK Creamery Birthday Cake Orange
35.5,0.08,0,DK Creamery Birthday Cake Orange
35.5,0.08,0,DK Creamery Birthday Cake Orange
35.5,0.08,0,DK Creamery Birthday Cake Orange
35.5,0.085,0,DK Creamery Birthday Cake Orange
35.4,0.085,0,DK Creamery Birthday Cake Orange
35.5,0.085,0,DK Creamery Birthday Cake Orange
35.5,0.09,0,DK Creamery Birthday Cake Orange
35.5,0.09,0,DK Creamery Birthday Cake Orange
35.6,0.095,0,DK Creamery Birthday Cake Orange
35.5,0.095,0,DK Creamery Birthday Cake Orange
35.5,0.1,0,DK Creamery Birthday Cake Orange
35.6,0.1,0,DK Creamery Birthday Cake Orange
35.6,0.105,0,DK Creamery Birthday Cake Orange
35.5,0.105,0,DK Creamery Birthday Cake Orange
35.5,0.11,0,DK Creamery Birthday Cake Orange
35.6,0.11,0,DK Creamery Birthday Cake Orange
35.6,0.115,0,DK Creamery Birthday Cake Orange
35.5,0.115,0,DK Creamery Birthday Cake Orange
35.5,0.12,0,DK Creamery Birthday Cake Orange
35.6,0.12,0,DK Creamery Birthday Cake Orange
35.6,0.125,0,DK Creamery Birthday Cake Orange
35.6,0.125,0,DK Creamery Birthday Cake Orange
35.6,0.13,0,DK Creamery Birthday Cake Orange
35.6,0.13,0,DK Creamery Birthday Cake Orange
35.7,0.135,0,DK Creamery Birthday Cake Orange
35.6,0.14,0,DK Creamery Birthday Cake Orange
35.5,0.14,0,DK Creamery Birthday Cake Orange
35.5,0.145,0,DK Creamery Birthday Cake Orange
35.6,0.145,0,DK Creamery Birthday Cake Orange
35.6,0.145,0,DK Creamery Birthday Cake Orange
35.7,0.15,0,DK Creamery Birthday Cake Orange
35.6,0.155,0,DK Creamery Birthday Cake Orange
35.7,0.155,0,DK Creamery Birthday Cake Orange
35.9,0.16,0,DK Creamery Birthday Cake Orange
35.9,0.16,0,DK Creamery Birthday Cake Orange
35.9,0.165,0,DK Creamery Birthday Cake Orange
35.9,0.17,0,DK Creamery Birthday Cake Orange
35.8,0.17,0,DK Creamery Birthday Cake Orange
35.8,0.17,0,DK Creamery Birthday Cake Orange
35.9,0.175,0,DK Creamery Birthday Cake Orange
36,0.175,0,DK Creamery Birthday Cake Orange
35.9,0.18,0,DK Creamery Birthday Cake Orange
35.9,0.18,0,DK Creamery Birthday Cake Orange
35.9,0.185,0,DK Creamery Birthday Cake Orange
36,0.185,0,DK Creamery Birthday Cake Orange
35.9,0.185,0,DK Creamery Birthday Cake Orange
35.9,0.19,0,DK Creamery Birthday Cake Orange
36,0.19,0,DK Creamery Birthday Cake Orange
36.1,0.195,0,DK Creamery Birthday Cake Orange
36.1,0.195,0,DK Creamery Birthday Cake Orange
36.1,0.2,0,DK Creamery Birthday Cake Orange
36.1,0.2,0,DK Creamery Birthday Cake Orange
36.2,0.205,0,DK Creamery Birthday Cake Orange
36.1,0.205,0,DK Creamery Birthday Cake Orange
36.1,0.21,0,DK Creamery Birthday Cake Orange
36.1,0.21,0,DK Creamery Birthday Cake Orange
36.1,0.215,0,DK Creamery Birthday Cake Orange
36.1,0.215,0,DK Creamery Birthday Cake Orange
36,0.22,0,DK Creamery Birthday Cake Orange
36.1,0.22,0,DK Creamery Birthday Cake Orange
36.2,0.225,0,DK Creamery Birthday Cake Orange
36.2,0.23,0,DK Creamery Birthday Cake Orange
36.3,0.23,0,DK Creamery Birthday Cake Orange
36.1,0.235,0,DK Creamery Birthday Cake Orange
36,0.235,0,DK Creamery Birthday Cake Orange
36.1,0.235,0,DK Creamery Birthday Cake Orange
36.3,0.24,0,DK Creamery Birthday Cake Orange
36.3,0.245,0,DK Creamery Birthday Cake Orange
36.3,0.245,0,DK Creamery Birthday Cake Orange
36.3,0.25,0,DK Creamery Birthday Cake Orange
36.2,0.255,0,DK Creamery Birthday Cake Orange
36.3,0.26,0,DK Creamery Birthday Cake Orange
36.3,0.26,0,DK Creamery Birthday Cake Orange
36.3,0.265,0,DK Creamery Birthday Cake Orange
36.3,0.27,0,DK Creamery Birthday Cake Orange
36.3,0.275,0,DK Creamery Birthday Cake Orange
36.3,0.275,0,DK Creamery Birthday Cake Orange
36.3,0.28,0,DK Creamery Birthday Cake Orange
36.3,0.28,0,DK Creamery Birthday Cake Orange
36.3,0.285,0,DK Creamery Birthday Cake Orange
36.3,0.29,0,DK Creamery Birthday Cake Orange
36.3,0.29,0,DK Creamery Birthday Cake Orange
