force,displacement,judge,name
0,0,0,DareU Candy Pink V1
0,0,0,DareU Candy Pink V1
0.3,0,0,DareU Candy Pink V1
0.1,0,0,DareU Candy Pink V1
-0.1,0,0,DareU Candy Pink V1
0,0,0,DareU Candy Pink V1
0.1,0,0,DareU Candy Pink V1
-0.1,0,0,DareU Candy Pink V1
-0.1,0,0,DareU Candy Pink V1
0,0,0,DareU Candy Pink V1
0.1,0,0,DareU Candy Pink V1
0.1,0,0,DareU Candy Pink V1
0,0,0,DareU Candy Pink V1
0,0,0,DareU Candy Pink V1
0,0,0,DareU Candy Pink V1
-0.1,0,0,DareU Candy Pink V1
0,0,0,DareU Candy Pink V1
0,0.005,0,DareU Candy Pink V1
0,0.005,0,DareU Candy Pink V1
0,0.005,0,DareU Candy Pink V1
0,0.005,0,DareU Candy Pink V1
0,0.01,0,DareU Candy Pink V1
-0.1,0.01,0,DareU Candy Pink V1
0,0.015,0,DareU Candy Pink V1
0,0.015,0,DareU Candy Pink V1
0,0.015,0,DareU Candy Pink V1
0.1,0.015,0,DareU Candy Pink V1
0,0.02,0,DareU Candy Pink V1
0,0.02,0,DareU Candy Pink V1
0,0.02,0,DareU Candy Pink V1
0,0.025,0,DareU Candy Pink V1
0,0.025,0,DareU Candy Pink V1
0.6,0.03,0,DareU Candy Pink V1
2.5,0.03,0,DareU Candy Pink V1
5.2,0.03,0,DareU Candy Pink V1
7.2,0.035,0,DareU Candy Pink V1
8.4,0.035,0,DareU Candy Pink V1
9.4,0.035,0,DareU Candy Pink V1
10.4,0.04,0,DareU Candy Pink V1
11.7,0.04,0,DareU Candy Pink V1
13.2,0.04,0,DareU Candy Pink V1
14.8,0.04,0,DareU Candy Pink V1
15.4,0.045,0,DareU Candy Pink V1
15.7,0.045,0,DareU Candy Pink V1
16.3,0.045,0,DareU Candy Pink V1
17,0.045,0,DareU Candy Pink V1
18.1,0.045,0,DareU Candy Pink V1
19.2,0.045,0,DareU Candy Pink V1
20.3,0.05,0,DareU Candy Pink V1
21.4,0.05,0,DareU Candy Pink V1
22.5,0.05,0,DareU Candy Pink V1
23.5,0.05,0,DareU Candy Pink V1
24.6,0.055,0,DareU Candy Pink V1
25.9,0.055,0,DareU Candy Pink V1
26.9,0.055,0,DareU Candy Pink V1
27.7,0.055,0,DareU Candy Pink V1
28.8,0.055,0,DareU Candy Pink V1
30.1,0.06,0,DareU Candy Pink V1
30.5,0.06,0,DareU Candy Pink V1
30.6,0.06,0,DareU Candy Pink V1
30.9,0.065,0,DareU Candy Pink V1
31.2,0.065,0,DareU Candy Pink V1
31.5,0.065,0,DareU Candy Pink V1
31.7,0.065,0,DareU Candy Pink V1
31.9,0.07,0,DareU Candy Pink V1
32.1,0.07,0,DareU Candy Pink V1
32.2,0.07,0,DareU Candy Pink V1
32.3,0.075,0,DareU Candy Pink V1
32.4,0.075,0,DareU Candy Pink V1
32.6,0.075,0,DareU Candy Pink V1
32.6,0.08,0,DareU Candy Pink V1
32.7,0.08,0,DareU Candy Pink V1
32.7,0.08,0,DareU Candy Pink V1
32.7,0.085,0,DareU Candy Pink V1
32.7,0.085,0,DareU Candy Pink V1
32.7,0.085,0,DareU Candy Pink V1
32.6,0.09,0,DareU Candy Pink V1
32.7,0.09,0,DareU Candy Pink V1
32.7,0.09,0,DareU Candy Pink V1
32.7,0.09,0,DareU Candy Pink V1
32.7,0.09,0,DareU Candy Pink V1
32.8,0.095,0,DareU Candy Pink V1
32.8,0.095,0,DareU Candy Pink V1
32.7,0.095,0,DareU Candy Pink V1
32.6,0.095,0,DareU Candy Pink V1
32.6,0.1,0,DareU Candy Pink V1
32.5,0.1,0,DareU Candy Pink V1
32.7,0.1,0,DareU Candy Pink V1
32.6,0.1,0,DareU Candy Pink V1
32.5,0.105,0,DareU Candy Pink V1
32.6,0.105,0,DareU Candy Pink V1
32.6,0.105,0,DareU Candy Pink V1
32.6,0.11,0,DareU Candy Pink V1
32.6,0.11,0,DareU Candy Pink V1
32.5,0.115,0,DareU Candy Pink V1
32.5,0.115,0,DareU Candy Pink V1
32.3,0.115,0,DareU Candy Pink V1
32.4,0.12,0,DareU Candy Pink V1
32.5,0.12,0,DareU Candy Pink V1
32.4,0.12,0,DareU Candy Pink V1
32.4,0.125,0,DareU Candy Pink V1
32.3,0.125,0,DareU Candy Pink V1
32.3,0.125,0,DareU Candy Pink V1
32.3,0.125,0,DareU Candy Pink V1
32.3,0.13,0,DareU Candy Pink V1
32.3,0.13,0,DareU Candy Pink V1
32.2,0.13,0,DareU Candy Pink V1
32.3,0.135,0,DareU Candy Pink V1
32.2,0.135,0,DareU Candy Pink V1
32.2,0.135,0,DareU Candy Pink V1
32.2,0.135,0,DareU Candy Pink V1
32.2,0.135,0,DareU Candy Pink V1
32.3,0.14,0,DareU Candy Pink V1
32.3,0.14,0,DareU Candy Pink V1
32.3,0.14,0,DareU Candy Pink V1
32.2,0.145,0,DareU Candy Pink V1
32.2,0.145,0,DareU Candy Pink V1
32.2,0.145,0,DareU Candy Pink V1
32.2,0.15,0,DareU Candy Pink V1
32.2,0.15,0,DareU Candy Pink V1
32.2,0.15,0,DareU Candy Pink V1
32.1,0.155,0,DareU Candy Pink V1
