force,displacement,judge,name
0,0,0,DareU Mahjong Blue 3
-0.1,0,0,DareU Mahjong Blue 3
-0.1,0,0,DareU Mahjong Blue 3
-0.1,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
-0.1,0,0,DareU Mahjong Blue 3
-0.1,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
-0.1,0,0,DareU Mahjong Blue 3
0,0,0,DareU Mahjong Blue 3
-0.1,0.005,0,DareU Mahjong Blue 3
0,0.005,0,DareU Mahjong Blue 3
0,0.005,0,DareU Mahjong Blue 3
0,0.005,0,DareU Mahjong Blue 3
0,0.005,0,DareU Mahjong Blue 3
0,0.005,0,DareU Mahjong Blue 3
0,0.01,0,DareU Mahjong Blue 3
0,0.01,0,DareU Mahjong Blue 3
0,0.01,0,DareU Mahjong Blue 3
0,0.015,0,DareU Mahjong Blue 3
0,0.015,0,DareU Mahjong Blue 3
-0.1,0.02,0,DareU Mahjong Blue 3
0,0.02,0,DareU Mahjong Blue 3
0,0.02,0,DareU Mahjong Blue 3
0,0.025,0,DareU Mahjong Blue 3
0,0.03,0,DareU Mahjong Blue 3
0,0.035,0,DareU Mahjong Blue 3
0,0.035,0,DareU Mahjong Blue 3
0,0.04,0,DareU Mahjong Blue 3
0,0.04,0,DareU Mahjong Blue 3
0,0.045,0,DareU Mahjong Blue 3
0,0.05,0,DareU Mahjong Blue 3
0,0.055,0,DareU Mahjong Blue 3
0,0.06,0,DareU Mahjong Blue 3
0,0.065,0,DareU Mahjong Blue 3
0,0.07,0,DareU Mahjong Blue 3
0,0.08,0,DareU Mahjong Blue 3
0,0.085,0,DareU Mahjong Blue 3
1.2,0.095,0,DareU Mahjong Blue 3
6.3,0.1,0,DareU Mahjong Blue 3
11.4,0.105,0,DareU Mahjong Blue 3
15.9,0.11,0,DareU Mahjong Blue 3
19.6,0.115,0,DareU Mahjong Blue 3
23.4,0.12,0,DareU Mahjong Blue 3
27.1,0.125,0,DareU Mahjong Blue 3
30.7,0.13,0,DareU Mahjong Blue 3
33.4,0.13,0,DareU Mahjong Blue 3
35.6,0.135,0,DareU Mahjong Blue 3
36.4,0.14,0,DareU Mahjong Blue 3
37.1,0.145,0,DareU Mahjong Blue 3
36.6,0.15,0,DareU Mahjong Blue 3
36.8,0.155,0,DareU Mahjong Blue 3
37.1,0.16,0,DareU Mahjong Blue 3
36.8,0.175,0,DareU Mahjong Blue 3
36.5,0.19,0,DareU Mahjong Blue 3
36.4,0.2,0,DareU Mahjong Blue 3
36.4,0.21,0,DareU Mahjong Blue 3
