force,displacement,judge,name
0,0,0,DareU Mahjong Green 3
0.1,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0,0,DareU Mahjong Green 3
0,0.005,0,DareU Mahjong Green 3
0,0.005,0,DareU Mahjong Green 3
0,0.005,0,DareU Mahjong Green 3
0,0.005,0,DareU Mahjong Green 3
0,0.005,0,DareU Mahjong Green 3
0,0.005,0,DareU Mahjong Green 3
0,0.005,0,DareU Mahjong Green 3
0,0.01,0,DareU Mahjong Green 3
0,0.01,0,DareU Mahjong Green 3
0,0.01,0,DareU Mahjong Green 3
0,0.015,0,DareU Mahjong Green 3
0,0.015,0,DareU Mahjong Green 3
0,0.015,0,DareU Mahjong Green 3
0,0.015,0,DareU Mahjong Green 3
-0.1,0.02,0,DareU Mahjong Green 3
0,0.02,0,DareU Mahjong Green 3
0,0.025,0,DareU Mahjong Green 3
-0.1,0.03,0,DareU Mahjong Green 3
0,0.035,0,DareU Mahjong Green 3
0,0.045,0,DareU Mahjong Green 3
0,0.055,0,DareU Mahjong Green 3
1.7,0.065,0,DareU Mahjong Green 3
8.9,0.075,0,DareU Mahjong Green 3
13.6,0.08,0,DareU Mahjong Green 3
17,0.085,0,DareU Mahjong Green 3
20.6,0.09,0,DareU Mahjong Green 3
24.6,0.09,0,DareU Mahjong Green 3
28.2,0.095,0,DareU Mahjong Green 3
30.9,0.1,0,DareU Mahjong Green 3
32.8,0.105,0,DareU Mahjong Green 3
34.1,0.105,0,DareU Mahjong Green 3
35.1,0.105,0,DareU Mahjong Green 3
35.8,0.11,0,DareU Mahjong Green 3
36.6,0.11,0,DareU Mahjong Green 3
37,0.115,0,DareU Mahjong Green 3
36.4,0.115,0,DareU Mahjong Green 3
37,0.12,0,DareU Mahjong Green 3
37.3,0.12,0,DareU Mahjong Green 3
37.4,0.125,0,DareU Mahjong Green 3
37.4,0.125,0,DareU Mahjong Green 3
37.4,0.125,0,DareU Mahjong Green 3
37.8,0.125,0,DareU Mahjong Green 3
37.7,0.125,0,DareU Mahjong Green 3
37.7,0.13,0,DareU Mahjong Green 3
37.5,0.135,0,DareU Mahjong Green 3
37,0.145,0,DareU Mahjong Green 3
36.3,0.165,0,DareU Mahjong Green 3
36,0.185,0,DareU Mahjong Green 3
36,0.2,0,DareU Mahjong Green 3
36.1,0.215,0,DareU Mahjong Green 3
36.2,0.225,0,DareU Mahjong Green 3
