force,displacement,judge,name
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0,0,0,DareU Mahjong Red 1
0.6,0.005,0,DareU Mahjong Red 1
1.6,0.005,0,DareU Mahjong Red 1
2.9,0.005,0,DareU Mahjong Red 1
3.9,0.005,0,DareU Mahjong Red 1
4.8,0.01,0,DareU Mahjong Red 1
5.6,0.01,0,DareU Mahjong Red 1
6.4,0.01,0,DareU Mahjong Red 1
7.2,0.01,0,DareU Mahjong Red 1
8,0.01,0,DareU Mahjong Red 1
8.8,0.01,0,DareU Mahjong Red 1
9.6,0.01,0,DareU Mahjong Red 1
10.7,0.015,0,DareU Mahjong Red 1
11.6,0.015,0,DareU Mahjong Red 1
12.4,0.015,0,DareU Mahjong Red 1
12.9,0.015,0,DareU Mahjong Red 1
13.5,0.015,0,DareU Mahjong Red 1
14.6,0.015,0,DareU Mahjong Red 1
15.8,0.02,0,DareU Mahjong Red 1
17,0.02,0,DareU Mahjong Red 1
18,0.02,0,DareU Mahjong Red 1
19.1,0.02,0,DareU Mahjong Red 1
20.2,0.025,0,DareU Mahjong Red 1
21.5,0.025,0,DareU Mahjong Red 1
22.9,0.025,0,DareU Mahjong Red 1
24,0.03,0,DareU Mahjong Red 1
25.1,0.03,0,DareU Mahjong Red 1
26.1,0.03,0,DareU Mahjong Red 1
27,0.03,0,DareU Mahjong Red 1
27.9,0.035,0,DareU Mahjong Red 1
28.7,0.035,0,DareU Mahjong Red 1
29.5,0.035,0,DareU Mahjong Red 1
30.4,0.04,0,DareU Mahjong Red 1
31.3,0.04,0,DareU Mahjong Red 1
32.2,0.04,0,DareU Mahjong Red 1
33.2,0.045,0,DareU Mahjong Red 1
33.9,0.045,0,DareU Mahjong Red 1
34.4,0.05,0,DareU Mahjong Red 1
34.8,0.05,0,DareU Mahjong Red 1
35.2,0.05,0,DareU Mahjong Red 1
35.6,0.055,0,DareU Mahjong Red 1
35.8,0.06,0,DareU Mahjong Red 1
36.8,0.06,0,DareU Mahjong Red 1
37.1,0.065,0,DareU Mahjong Red 1
37,0.07,0,DareU Mahjong Red 1
37.1,0.07,0,DareU Mahjong Red 1
37.2,0.075,0,DareU Mahjong Red 1
37.2,0.08,0,DareU Mahjong Red 1
37.3,0.08,0,DareU Mahjong Red 1
37.3,0.085,0,DareU Mahjong Red 1
37.3,0.09,0,DareU Mahjong Red 1
37.3,0.09,0,DareU Mahjong Red 1
37.4,0.09,0,DareU Mahjong Red 1
37.5,0.095,0,DareU Mahjong Red 1
37.4,0.095,0,DareU Mahjong Red 1
37.4,0.095,0,DareU Mahjong Red 1
37.4,0.1,0,DareU Mahjong Red 1
37.4,0.1,0,DareU Mahjong Red 1
37.6,0.105,0,DareU Mahjong Red 1
37.5,0.11,0,DareU Mahjong Red 1
37.4,0.11,0,DareU Mahjong Red 1
37.1,0.115,0,DareU Mahjong Red 1
37.1,0.12,0,DareU Mahjong Red 1
37,0.125,0,DareU Mahjong Red 1
37,0.13,0,DareU Mahjong Red 1
36.9,0.135,0,DareU Mahjong Red 1
36.9,0.14,0,DareU Mahjong Red 1
36.8,0.15,0,DareU Mahjong Red 1
36.8,0.155,0,DareU Mahjong Red 1
36.8,0.165,0,DareU Mahjong Red 1
36.7,0.175,0,DareU Mahjong Red 1
36.8,0.185,0,DareU Mahjong Red 1
36.7,0.19,0,DareU Mahjong Red 1
36.7,0.195,0,DareU Mahjong Red 1
36.7,0.205,0,DareU Mahjong Red 1
36.8,0.21,0,DareU Mahjong Red 1
36.7,0.215,0,DareU Mahjong Red 1
36.7,0.22,0,DareU Mahjong Red 1
36.7,0.23,0,DareU Mahjong Red 1
36.7,0.235,0,DareU Mahjong Red 1
36.8,0.235,0,DareU Mahjong Red 1
36.8,0.24,0,DareU Mahjong Red 1
36.9,0.25,0,DareU Mahjong Red 1
36.9,0.255,0,DareU Mahjong Red 1
36.8,0.265,0,DareU Mahjong Red 1
36.8,0.27,0,DareU Mahjong Red 1
36.9,0.28,0,DareU Mahjong Red 1
37.1,0.29,0,DareU Mahjong Red 1
37,0.295,0,DareU Mahjong Red 1
37,0.305,0,DareU Mahjong Red 1
37,0.31,0,DareU Mahjong Red 1
37,0.315,0,DareU Mahjong Red 1
37,0.32,0,DareU Mahjong Red 1
37.1,0.33,0,DareU Mahjong Red 1
37.1,0.335,0,DareU Mahjong Red 1
37,0.345,0,DareU Mahjong Red 1
36.9,0.35,0,DareU Mahjong Red 1
36.8,0.36,0,DareU Mahjong Red 1
36.8,0.37,0,DareU Mahjong Red 1
36.8,0.375,0,DareU Mahjong Red 1
36.8,0.38,0,DareU Mahjong Red 1
36.8,0.38,0,DareU Mahjong Red 1
36.9,0.385,0,DareU Mahjong Red 1
37,0.39,0,DareU Mahjong Red 1
36.8,0.39,0,DareU Mahjong Red 1
37,0.39,0,DareU Mahjong Red 1
37.1,0.395,0,DareU Mahjong Red 1
37.1,0.395,0,DareU Mahjong Red 1
37.1,0.4,0,DareU Mahjong Red 1
37.1,0.4,0,DareU Mahjong Red 1
37.1,0.405,0,DareU Mahjong Red 1
37.1,0.405,0,DareU Mahjong Red 1
37.1,0.41,0,DareU Mahjong Red 1
37,0.415,0,DareU Mahjong Red 1
37.1,0.42,0,DareU Mahjong Red 1
37,0.425,0,DareU Mahjong Red 1
37.2,0.435,0,DareU Mahjong Red 1
36.9,0.455,0,DareU Mahjong Red 1
36.9,0.455,0,DareU Mahjong Red 1
37,0.46,0,DareU Mahjong Red 1
37.2,0.46,0,DareU Mahjong Red 1
37.3,0.465,0,DareU Mahjong Red 1
37.1,0.465,0,DareU Mahjong Red 1
37.5,0.47,0,DareU Mahjong Red 1
37.5,0.475,0,DareU Mahjong Red 1
37.4,0.48,0,DareU Mahjong Red 1
37.4,0.485,0,DareU Mahjong Red 1
37.5,0.485,0,DareU Mahjong Red 1
37.5,0.495,0,DareU Mahjong Red 1
37.4,0.495,0,DareU Mahjong Red 1
37.4,0.5,0,DareU Mahjong Red 1
37.5,0.505,0,DareU Mahjong Red 1
37.5,0.51,0,DareU Mahjong Red 1
37.4,0.515,0,DareU Mahjong Red 1
37.4,0.52,0,DareU Mahjong Red 1
37.4,0.52,0,DareU Mahjong Red 1
37.4,0.525,0,DareU Mahjong Red 1
37.4,0.525,0,DareU Mahjong Red 1
37.4,0.53,0,DareU Mahjong Red 1
37.5,0.535,0,DareU Mahjong Red 1
37.4,0.535,0,DareU Mahjong Red 1
37.5,0.535,0,DareU Mahjong Red 1
37.3,0.535,0,DareU Mahjong Red 1
37.3,0.54,0,DareU Mahjong Red 1
37.5,0.54,0,DareU Mahjong Red 1
37.5,0.54,0,DareU Mahjong Red 1
37.5,0.54,0,DareU Mahjong Red 1
37.5,0.545,0,DareU Mahjong Red 1
37.5,0.545,0,DareU Mahjong Red 1
37.6,0.545,0,DareU Mahjong Red 1
37.6,0.55,0,DareU Mahjong Red 1
37.5,0.55,0,DareU Mahjong Red 1
37.5,0.555,0,DareU Mahjong Red 1
37.4,0.56,0,DareU Mahjong Red 1
37.4,0.56,0,DareU Mahjong Red 1
37.2,0.565,0,DareU Mahjong Red 1
37.3,0.57,0,DareU Mahjong Red 1
37.3,0.57,0,DareU Mahjong Red 1
37.3,0.575,0,DareU Mahjong Red 1
37.4,0.58,0,DareU Mahjong Red 1
37.3,0.585,0,DareU Mahjong Red 1
37.5,0.59,0,DareU Mahjong Red 1
37.7,0.595,0,DareU Mahjong Red 1
37.7,0.6,0,DareU Mahjong Red 1
37.8,0.61,0,DareU Mahjong Red 1
37.8,0.615,0,DareU Mahjong Red 1
37.9,0.62,0,DareU Mahjong Red 1
37.9,0.625,0,DareU Mahjong Red 1
38,0.63,0,DareU Mahjong Red 1
38,0.635,0,DareU Mahjong Red 1
38,0.64,0,DareU Mahjong Red 1
38.1,0.645,0,DareU Mahjong Red 1
38.1,0.65,0,DareU Mahjong Red 1
38.1,0.655,0,DareU Mahjong Red 1
38.1,0.66,0,DareU Mahjong Red 1
38.3,0.665,0,DareU Mahjong Red 1
38.3,0.67,0,DareU Mahjong Red 1
38.3,0.68,0,DareU Mahjong Red 1
38.2,0.69,0,DareU Mahjong Red 1
38.3,0.695,0,DareU Mahjong Red 1
38.3,0.7,0,DareU Mahjong Red 1
38.2,0.705,0,DareU Mahjong Red 1
38.3,0.71,0,DareU Mahjong Red 1
38.3,0.715,0,DareU Mahjong Red 1
38.3,0.72,0,DareU Mahjong Red 1
38.4,0.72,0,DareU Mahjong Red 1
38.4,0.725,0,DareU Mahjong Red 1
38.5,0.725,0,DareU Mahjong Red 1
38.5,0.73,0,DareU Mahjong Red 1
38.6,0.73,0,DareU Mahjong Red 1
38.5,0.735,0,DareU Mahjong Red 1
38.6,0.735,0,DareU Mahjong Red 1
38.6,0.74,0,DareU Mahjong Red 1
38.7,0.74,0,DareU Mahjong Red 1
38.7,0.745,0,DareU Mahjong Red 1
38.6,0.75,0,DareU Mahjong Red 1
38.6,0.75,0,DareU Mahjong Red 1
38.6,0.755,0,DareU Mahjong Red 1
38.6,0.76,0,DareU Mahjong Red 1
38.5,0.765,0,DareU Mahjong Red 1
38.4,0.77,0,DareU Mahjong Red 1
38.5,0.775,0,DareU Mahjong Red 1
38.4,0.78,0,DareU Mahjong Red 1
38.4,0.785,0,DareU Mahjong Red 1
38.3,0.785,0,DareU Mahjong Red 1
38.3,0.79,0,DareU Mahjong Red 1
38.3,0.795,0,DareU Mahjong Red 1
38.3,0.795,0,DareU Mahjong Red 1
38.3,0.8,0,DareU Mahjong Red 1
