force,displacement,judge,name
0,0,0,DareU Violet_Purple Gold V2
-0.1,0,0,DareU Violet_Purple Gold V2
-0.1,0,0,DareU Violet_Purple Gold V2
0.2,0,0,DareU Violet_Purple Gold V2
-0.1,0,0,DareU Violet_Purple Gold V2
-0.1,0,0,DareU Violet_Purple Gold V2
-0.1,0,0,DareU Violet_Purple Gold V2
0.1,0,0,DareU Violet_Purple Gold V2
0,0,0,DareU Violet_Purple Gold V2
-0.1,0,0,DareU Violet_Purple Gold V2
0,0,0,DareU Violet_Purple Gold V2
-0.1,0,0,DareU Violet_Purple Gold V2
0,0,0,DareU Violet_Purple Gold V2
0,0,0,DareU Violet_Purple Gold V2
0.1,0,0,DareU Violet_Purple Gold V2
0,0.005,0,DareU Violet_Purple Gold V2
0,0.005,0,DareU Violet_Purple Gold V2
-0.1,0.005,0,DareU Violet_Purple Gold V2
0,0.005,0,DareU Violet_Purple Gold V2
0.1,0.01,0,DareU Violet_Purple Gold V2
0,0.015,0,DareU Violet_Purple Gold V2
-0.1,0.015,0,DareU Violet_Purple Gold V2
0,0.02,0,DareU Violet_Purple Gold V2
2.9,0.025,0,DareU Violet_Purple Gold V2
6.8,0.03,0,DareU Violet_Purple Gold V2
10.5,0.03,0,DareU Violet_Purple Gold V2
13.9,0.035,0,DareU Violet_Purple Gold V2
16.9,0.04,0,DareU Violet_Purple Gold V2
20.1,0.04,0,DareU Violet_Purple Gold V2
23.8,0.045,0,DareU Violet_Purple Gold V2
27.6,0.05,0,DareU Violet_Purple Gold V2
31.1,0.05,0,DareU Violet_Purple Gold V2
34.1,0.055,0,DareU Violet_Purple Gold V2
37,0.06,0,DareU Violet_Purple Gold V2
39.8,0.06,0,DareU Violet_Purple Gold V2
41.8,0.065,0,DareU Violet_Purple Gold V2
42.8,0.07,0,DareU Violet_Purple Gold V2
43.5,0.075,0,DareU Violet_Purple Gold V2
44,0.075,0,DareU Violet_Purple Gold V2
44.3,0.08,0,DareU Violet_Purple Gold V2
44.4,0.08,0,DareU Violet_Purple Gold V2
44.5,0.085,0,DareU Violet_Purple Gold V2
44.5,0.085,0,DareU Violet_Purple Gold V2
44.7,0.085,0,DareU Violet_Purple Gold V2
44.7,0.09,0,DareU Violet_Purple Gold V2
44.8,0.09,0,DareU Violet_Purple Gold V2
44.9,0.09,0,DareU Violet_Purple Gold V2
44.9,0.095,0,DareU Violet_Purple Gold V2
45,0.095,0,DareU Violet_Purple Gold V2
45.1,0.1,0,DareU Violet_Purple Gold V2
45.2,0.1,0,DareU Violet_Purple Gold V2
45.2,0.105,0,DareU Violet_Purple Gold V2
45.1,0.105,0,DareU Violet_Purple Gold V2
45.1,0.105,0,DareU Violet_Purple Gold V2
45.1,0.11,0,DareU Violet_Purple Gold V2
45.2,0.11,0,DareU Violet_Purple Gold V2
45.2,0.11,0,DareU Violet_Purple Gold V2
45.2,0.115,0,DareU Violet_Purple Gold V2
45.2,0.115,0,DareU Violet_Purple Gold V2
45.2,0.115,0,DareU Violet_Purple Gold V2
45.1,0.12,0,DareU Violet_Purple Gold V2
45.2,0.12,0,DareU Violet_Purple Gold V2
45.2,0.12,0,DareU Violet_Purple Gold V2
45.2,0.125,0,DareU Violet_Purple Gold V2
45.3,0.125,0,DareU Violet_Purple Gold V2
45.2,0.13,0,DareU Violet_Purple Gold V2
45.3,0.13,0,DareU Violet_Purple Gold V2
45.3,0.135,0,DareU Violet_Purple Gold V2
45.5,0.14,0,DareU Violet_Purple Gold V2
45.7,0.145,0,DareU Violet_Purple Gold V2
45.7,0.15,0,DareU Violet_Purple Gold V2
45.8,0.155,0,DareU Violet_Purple Gold V2
45.8,0.16,0,DareU Violet_Purple Gold V2
45.9,0.165,0,DareU Violet_Purple Gold V2
46.1,0.17,0,DareU Violet_Purple Gold V2
46.3,0.17,0,DareU Violet_Purple Gold V2
46.3,0.175,0,DareU Violet_Purple Gold V2
46.3,0.18,0,DareU Violet_Purple Gold V2
46.4,0.18,0,DareU Violet_Purple Gold V2
46.5,0.185,0,DareU Violet_Purple Gold V2
46.6,0.185,0,DareU Violet_Purple Gold V2
46.6,0.19,0,DareU Violet_Purple Gold V2
46.6,0.19,0,DareU Violet_Purple Gold V2
46.7,0.195,0,DareU Violet_Purple Gold V2
46.8,0.195,0,DareU Violet_Purple Gold V2
47,0.2,0,DareU Violet_Purple Gold V2
47.1,0.2,0,DareU Violet_Purple Gold V2
47.2,0.205,0,DareU Violet_Purple Gold V2
47.2,0.205,0,DareU Violet_Purple Gold V2
47.2,0.21,0,DareU Violet_Purple Gold V2
47.2,0.215,0,DareU Violet_Purple Gold V2
47.4,0.215,0,DareU Violet_Purple Gold V2
47.3,0.22,0,DareU Violet_Purple Gold V2
47.4,0.22,0,DareU Violet_Purple Gold V2
47.5,0.225,0,DareU Violet_Purple Gold V2
47.5,0.225,0,DareU Violet_Purple Gold V2
47.6,0.225,0,DareU Violet_Purple Gold V2
47.6,0.23,0,DareU Violet_Purple Gold V2
47.7,0.23,0,DareU Violet_Purple Gold V2
47.8,0.235,0,DareU Violet_Purple Gold V2
47.9,0.235,0,DareU Violet_Purple Gold V2
47.9,0.24,0,DareU Violet_Purple Gold V2
47.9,0.24,0,DareU Violet_Purple Gold V2
48,0.245,0,DareU Violet_Purple Gold V2
48.1,0.245,0,DareU Violet_Purple Gold V2
48.1,0.245,0,DareU Violet_Purple Gold V2
48.1,0.25,0,DareU Violet_Purple Gold V2
48.2,0.25,0,DareU Violet_Purple Gold V2
48.2,0.25,0,DareU Violet_Purple Gold V2
48.2,0.255,0,DareU Violet_Purple Gold V2
48.2,0.255,0,DareU Violet_Purple Gold V2
48.3,0.255,0,DareU Violet_Purple Gold V2
48.3,0.26,0,DareU Violet_Purple Gold V2
48.4,0.26,0,DareU Violet_Purple Gold V2
48.5,0.26,0,DareU Violet_Purple Gold V2
48.6,0.265,0,DareU Violet_Purple Gold V2
48.6,0.265,0,DareU Violet_Purple Gold V2
48.6,0.265,0,DareU Violet_Purple Gold V2
48.7,0.265,0,DareU Violet_Purple Gold V2
48.8,0.27,0,DareU Violet_Purple Gold V2
48.8,0.27,0,DareU Violet_Purple Gold V2
48.8,0.27,0,DareU Violet_Purple Gold V2
48.9,0.275,0,DareU Violet_Purple Gold V2
49,0.275,0,DareU Violet_Purple Gold V2
49,0.275,0,DareU Violet_Purple Gold V2
48.9,0.28,0,DareU Violet_Purple Gold V2
48.9,0.28,0,DareU Violet_Purple Gold V2
48.9,0.28,0,DareU Violet_Purple Gold V2
48.9,0.28,0,DareU Violet_Purple Gold V2
48.9,0.285,0,DareU Violet_Purple Gold V2
48.9,0.285,0,DareU Violet_Purple Gold V2
48.9,0.285,0,DareU Violet_Purple Gold V2
48.9,0.29,0,DareU Violet_Purple Gold V2
48.9,0.29,0,DareU Violet_Purple Gold V2
48.9,0.29,0,DareU Violet_Purple Gold V2
48.9,0.29,0,DareU Violet_Purple Gold V2
48.9,0.295,0,DareU Violet_Purple Gold V2
