force,displacement,judge,name
0,0,0,Designer Studio Graphite Gold
0,0,0,Designer Studio Graphite Gold
0.1,0,0,Designer Studio Graphite Gold
-0.2,0,0,Designer Studio Graphite Gold
0,0,0,Designer Studio Graphite Gold
-0.3,0,0,Designer Studio Graphite Gold
-0.1,0,0,Designer Studio Graphite Gold
-0.1,0,0,Designer Studio Graphite Gold
0.1,0,0,Designer Studio Graphite Gold
0,0,0,Designer Studio Graphite Gold
-0.2,0,0,Designer Studio Graphite Gold
0,0,0,Designer Studio Graphite Gold
0.1,0,0,Designer Studio Graphite Gold
0.1,0,0,Designer Studio Graphite Gold
-0.1,0,0,Designer Studio Graphite Gold
0,0,0,Designer Studio Graphite Gold
-0.1,0,0,Designer Studio Graphite Gold
0,0.005,0,Designer Studio Graphite Gold
0.1,0.005,0,Designer Studio Graphite Gold
0.1,0.005,0,Designer Studio Graphite Gold
-0.2,0.005,0,Designer Studio Graphite Gold
0,0.01,0,Designer Studio Graphite Gold
0.1,0.01,0,Designer Studio Graphite Gold
0,0.01,0,Designer Studio Graphite Gold
0.5,0.015,0,Designer Studio Graphite Gold
1.6,0.015,0,Designer Studio Graphite Gold
3.3,0.015,0,Designer Studio Graphite Gold
5.4,0.02,0,Designer Studio Graphite Gold
7.7,0.025,0,Designer Studio Graphite Gold
9.3,0.025,0,Designer Studio Graphite Gold
10.9,0.025,0,Designer Studio Graphite Gold
12.5,0.03,0,Designer Studio Graphite Gold
14.5,0.03,0,Designer Studio Graphite Gold
16.5,0.035,0,Designer Studio Graphite Gold
18.4,0.035,0,Designer Studio Graphite Gold
19.7,0.035,0,Designer Studio Graphite Gold
20.8,0.04,0,Designer Studio Graphite Gold
22.3,0.04,0,Designer Studio Graphite Gold
24.3,0.04,0,Designer Studio Graphite Gold
26.1,0.045,0,Designer Studio Graphite Gold
27.8,0.045,0,Designer Studio Graphite Gold
29.5,0.05,0,Designer Studio Graphite Gold
31.6,0.05,0,Designer Studio Graphite Gold
33.6,0.055,0,Designer Studio Graphite Gold
35.1,0.055,0,Designer Studio Graphite Gold
36.6,0.06,0,Designer Studio Graphite Gold
38.2,0.06,0,Designer Studio Graphite Gold
39.6,0.065,0,Designer Studio Graphite Gold
40.7,0.065,0,Designer Studio Graphite Gold
41.6,0.07,0,Designer Studio Graphite Gold
42,0.07,0,Designer Studio Graphite Gold
42.3,0.07,0,Designer Studio Graphite Gold
42.3,0.07,0,Designer Studio Graphite Gold
42.4,0.075,0,Designer Studio Graphite Gold
42.2,0.075,0,Designer Studio Graphite Gold
39.2,0.08,0,Designer Studio Graphite Gold
39.8,0.08,0,Designer Studio Graphite Gold
40,0.085,0,Designer Studio Graphite Gold
39.9,0.085,0,Designer Studio Graphite Gold
39.8,0.09,0,Designer Studio Graphite Gold
40,0.09,0,Designer Studio Graphite Gold
40.2,0.09,0,Designer Studio Graphite Gold
40.2,0.095,0,Designer Studio Graphite Gold
40.1,0.1,0,Designer Studio Graphite Gold
40.2,0.1,0,Designer Studio Graphite Gold
40.1,0.105,0,Designer Studio Graphite Gold
39.4,0.105,0,Designer Studio Graphite Gold
39.3,0.11,0,Designer Studio Graphite Gold
39.3,0.11,0,Designer Studio Graphite Gold
39.3,0.115,0,Designer Studio Graphite Gold
39.4,0.115,0,Designer Studio Graphite Gold
39.4,0.12,0,Designer Studio Graphite Gold
39.1,0.12,0,Designer Studio Graphite Gold
38.9,0.125,0,Designer Studio Graphite Gold
39,0.125,0,Designer Studio Graphite Gold
39,0.13,0,Designer Studio Graphite Gold
39.2,0.13,0,Designer Studio Graphite Gold
38.9,0.13,0,Designer Studio Graphite Gold
38.9,0.135,0,Designer Studio Graphite Gold
39.3,0.14,0,Designer Studio Graphite Gold
39.5,0.14,0,Designer Studio Graphite Gold
39.8,0.145,0,Designer Studio Graphite Gold
40.7,0.15,0,Designer Studio Graphite Gold
41.9,0.15,0,Designer Studio Graphite Gold
41.8,0.155,0,Designer Studio Graphite Gold
41.6,0.16,0,Designer Studio Graphite Gold
41.5,0.165,0,Designer Studio Graphite Gold
41.5,0.17,0,Designer Studio Graphite Gold
41.5,0.17,0,Designer Studio Graphite Gold
41.4,0.175,0,Designer Studio Graphite Gold
41.4,0.18,0,Designer Studio Graphite Gold
41.4,0.18,0,Designer Studio Graphite Gold
41.4,0.185,0,Designer Studio Graphite Gold
41.5,0.19,0,Designer Studio Graphite Gold
41.4,0.19,0,Designer Studio Graphite Gold
41.4,0.195,0,Designer Studio Graphite Gold
41.4,0.2,0,Designer Studio Graphite Gold
41.3,0.205,0,Designer Studio Graphite Gold
41.2,0.21,0,Designer Studio Graphite Gold
41.2,0.215,0,Designer Studio Graphite Gold
41.2,0.22,0,Designer Studio Graphite Gold
41.2,0.225,0,Designer Studio Graphite Gold
41.2,0.23,0,Designer Studio Graphite Gold
41.2,0.235,0,Designer Studio Graphite Gold
41.2,0.24,0,Designer Studio Graphite Gold
41.2,0.24,0,Designer Studio Graphite Gold
41.2,0.245,0,Designer Studio Graphite Gold
41.2,0.25,0,Designer Studio Graphite Gold
41.2,0.255,0,Designer Studio Graphite Gold
41.1,0.26,0,Designer Studio Graphite Gold
41.1,0.265,0,Designer Studio Graphite Gold
41.1,0.27,0,Designer Studio Graphite Gold
41.1,0.275,0,Designer Studio Graphite Gold
41.1,0.28,0,Designer Studio Graphite Gold
41.1,0.285,0,Designer Studio Graphite Gold
41.1,0.29,0,Designer Studio Graphite Gold
41.1,0.295,0,Designer Studio Graphite Gold
41.1,0.3,0,Designer Studio Graphite Gold
41.1,0.305,0,Designer Studio Graphite Gold
41.1,0.31,0,Designer Studio Graphite Gold
41.2,0.315,0,Designer Studio Graphite Gold
41.3,0.32,0,Designer Studio Graphite Gold
41.2,0.32,0,Designer Studio Graphite Gold
41.2,0.325,0,Designer Studio Graphite Gold
41.2,0.33,0,Designer Studio Graphite Gold
41.2,0.335,0,Designer Studio Graphite Gold
41.2,0.345,0,Designer Studio Graphite Gold
41.1,0.35,0,Designer Studio Graphite Gold
41.2,0.355,0,Designer Studio Graphite Gold
41.2,0.36,0,Designer Studio Graphite Gold
41.2,0.365,0,Designer Studio Graphite Gold
41.2,0.37,0,Designer Studio Graphite Gold
41.2,0.375,0,Designer Studio Graphite Gold
41.2,0.38,0,Designer Studio Graphite Gold
41.3,0.385,0,Designer Studio Graphite Gold
41.3,0.385,0,Designer Studio Graphite Gold
41.3,0.385,0,Designer Studio Graphite Gold
41.5,0.39,0,Designer Studio Graphite Gold
41.4,0.39,0,Designer Studio Graphite Gold
41.5,0.39,0,Designer Studio Graphite Gold
41.4,0.395,0,Designer Studio Graphite Gold
41.4,0.395,0,Designer Studio Graphite Gold
41.6,0.395,0,Designer Studio Graphite Gold
41.7,0.395,0,Designer Studio Graphite Gold
41.5,0.4,0,Designer Studio Graphite Gold
41.6,0.4,0,Designer Studio Graphite Gold
41.6,0.4,0,Designer Studio Graphite Gold
41.7,0.405,0,Designer Studio Graphite Gold
41.6,0.405,0,Designer Studio Graphite Gold
41.6,0.41,0,Designer Studio Graphite Gold
41.7,0.41,0,Designer Studio Graphite Gold
41.6,0.415,0,Designer Studio Graphite Gold
41.7,0.415,0,Designer Studio Graphite Gold
41.7,0.42,0,Designer Studio Graphite Gold
41.6,0.425,0,Designer Studio Graphite Gold
41.6,0.425,0,Designer Studio Graphite Gold
41.6,0.43,0,Designer Studio Graphite Gold
41.6,0.43,0,Designer Studio Graphite Gold
41.6,0.435,0,Designer Studio Graphite Gold
41.6,0.435,0,Designer Studio Graphite Gold
41.6,0.435,0,Designer Studio Graphite Gold
41.4,0.435,0,Designer Studio Graphite Gold
41.7,0.44,0,Designer Studio Graphite Gold
41.8,0.44,0,Designer Studio Graphite Gold
41.8,0.44,0,Designer Studio Graphite Gold
41.8,0.445,0,Designer Studio Graphite Gold
