force,displacement,judge,name
0,0,0,Designer Studio Starry
0.1,0,0,Designer Studio Starry
0,0,0,Designer Studio Starry
0,0,0,Designer Studio Starry
0,0,0,Designer Studio Starry
0,0,0,Designer Studio Starry
0.1,0,0,Designer Studio Starry
0,0,0,Designer Studio Starry
-0.1,0,0,Designer Studio Starry
-0.1,0,0,Designer Studio Starry
0.2,0,0,Designer Studio Starry
0,0,0,Designer Studio Starry
-0.1,0,0,Designer Studio Starry
-0.1,0,0,Designer Studio Starry
0,0,0,Designer Studio Starry
0.1,0,0,Designer Studio Starry
0.2,0,0,Designer Studio Starry
-0.1,0,0,Designer Studio Starry
-0.2,0,0,Designer Studio Starry
0.1,0.005,0,Designer Studio Starry
0.2,0.005,0,Designer Studio Starry
0,0.005,0,Designer Studio Starry
-0.2,0.005,0,Designer Studio Starry
-0.1,0.005,0,Designer Studio Starry
0.1,0.01,0,Designer Studio Starry
0,0.01,0,Designer Studio Starry
0,0.015,0,Designer Studio Starry
-0.1,0.02,0,Designer Studio Starry
0,0.025,0,Designer Studio Starry
0.1,0.035,0,Designer Studio Starry
0.1,0.045,0,Designer Studio Starry
-0.1,0.055,0,Designer Studio Starry
-0.1,0.06,0,Designer Studio Starry
0.1,0.07,0,Designer Studio Starry
1.4,0.075,0,Designer Studio Starry
8.9,0.085,0,Designer Studio Starry
15.8,0.095,0,Designer Studio Starry
21.2,0.1,0,Designer Studio Starry
24.8,0.105,0,Designer Studio Starry
27.8,0.105,0,Designer Studio Starry
30.4,0.11,0,Designer Studio Starry
32.7,0.115,0,Designer Studio Starry
33.9,0.115,0,Designer Studio Starry
34.7,0.12,0,Designer Studio Starry
32.8,0.125,0,Designer Studio Starry
33.5,0.125,0,Designer Studio Starry
34.8,0.13,0,Designer Studio Starry
35.9,0.13,0,Designer Studio Starry
36.8,0.135,0,Designer Studio Starry
37.7,0.14,0,Designer Studio Starry
38.6,0.14,0,Designer Studio Starry
39.1,0.145,0,Designer Studio Starry
39.6,0.15,0,Designer Studio Starry
40.1,0.15,0,Designer Studio Starry
39.8,0.155,0,Designer Studio Starry
40.1,0.155,0,Designer Studio Starry
40.5,0.16,0,Designer Studio Starry
40.3,0.16,0,Designer Studio Starry
40.3,0.165,0,Designer Studio Starry
40.4,0.165,0,Designer Studio Starry
40.5,0.17,0,Designer Studio Starry
40.5,0.175,0,Designer Studio Starry
40.5,0.175,0,Designer Studio Starry
40.5,0.18,0,Designer Studio Starry
40.5,0.185,0,Designer Studio Starry
40.5,0.185,0,Designer Studio Starry
40.7,0.185,0,Designer Studio Starry
40.7,0.19,0,Designer Studio Starry
40.7,0.19,0,Designer Studio Starry
40.9,0.19,0,Designer Studio Starry
40.9,0.19,0,Designer Studio Starry
40.7,0.195,0,Designer Studio Starry
40.6,0.2,0,Designer Studio Starry
40.5,0.205,0,Designer Studio Starry
40.5,0.21,0,Designer Studio Starry
40.4,0.215,0,Designer Studio Starry
40.3,0.22,0,Designer Studio Starry
40.5,0.225,0,Designer Studio Starry
40.6,0.225,0,Designer Studio Starry
40.7,0.23,0,Designer Studio Starry
40.4,0.23,0,Designer Studio Starry
40.8,0.23,0,Designer Studio Starry
40.5,0.235,0,Designer Studio Starry
40.4,0.24,0,Designer Studio Starry
40.6,0.24,0,Designer Studio Starry
40.5,0.245,0,Designer Studio Starry
40.5,0.25,0,Designer Studio Starry
40.3,0.255,0,Designer Studio Starry
40.3,0.26,0,Designer Studio Starry
40.2,0.265,0,Designer Studio Starry
40.2,0.27,0,Designer Studio Starry
40.2,0.27,0,Designer Studio Starry
40.3,0.275,0,Designer Studio Starry
40.3,0.275,0,Designer Studio Starry
40.2,0.28,0,Designer Studio Starry
40.2,0.28,0,Designer Studio Starry
40.1,0.285,0,Designer Studio Starry
40.1,0.29,0,Designer Studio Starry
40,0.295,0,Designer Studio Starry
40,0.3,0,Designer Studio Starry
40,0.305,0,Designer Studio Starry
40,0.31,0,Designer Studio Starry
40,0.315,0,Designer Studio Starry
40,0.32,0,Designer Studio Starry
40.1,0.325,0,Designer Studio Starry
40,0.33,0,Designer Studio Starry
40.1,0.335,0,Designer Studio Starry
40.2,0.335,0,Designer Studio Starry
40.1,0.34,0,Designer Studio Starry
40.2,0.345,0,Designer Studio Starry
40.1,0.35,0,Designer Studio Starry
40.1,0.355,0,Designer Studio Starry
40,0.355,0,Designer Studio Starry
40.1,0.36,0,Designer Studio Starry
40.1,0.365,0,Designer Studio Starry
40.2,0.37,0,Designer Studio Starry
40.2,0.37,0,Designer Studio Starry
40.3,0.375,0,Designer Studio Starry
40.3,0.375,0,Designer Studio Starry
40.4,0.38,0,Designer Studio Starry
40.4,0.38,0,Designer Studio Starry
40.5,0.38,0,Designer Studio Starry
40.5,0.385,0,Designer Studio Starry
40.5,0.385,0,Designer Studio Starry
40.5,0.39,0,Designer Studio Starry
40.5,0.39,0,Designer Studio Starry
40.6,0.39,0,Designer Studio Starry
40.5,0.395,0,Designer Studio Starry
40.5,0.4,0,Designer Studio Starry
40.4,0.4,0,Designer Studio Starry
40.5,0.4,0,Designer Studio Starry
40.5,0.405,0,Designer Studio Starry
40.4,0.405,0,Designer Studio Starry
40.4,0.41,0,Designer Studio Starry
40.5,0.41,0,Designer Studio Starry
40.5,0.415,0,Designer Studio Starry
40.5,0.42,0,Designer Studio Starry
40.5,0.42,0,Designer Studio Starry
40.6,0.425,0,Designer Studio Starry
40.7,0.425,0,Designer Studio Starry
40.7,0.425,0,Designer Studio Starry
40.7,0.43,0,Designer Studio Starry
40.5,0.435,0,Designer Studio Starry
40.3,0.44,0,Designer Studio Starry
40.3,0.445,0,Designer Studio Starry
40.2,0.455,0,Designer Studio Starry
40.3,0.455,0,Designer Studio Starry
40.2,0.465,0,Designer Studio Starry
40.3,0.47,0,Designer Studio Starry
40.3,0.475,0,Designer Studio Starry
40.3,0.48,0,Designer Studio Starry
40.4,0.485,0,Designer Studio Starry
40.5,0.485,0,Designer Studio Starry
40.6,0.49,0,Designer Studio Starry
40.7,0.49,0,Designer Studio Starry
40.7,0.49,0,Designer Studio Starry
40.8,0.49,0,Designer Studio Starry
40.8,0.495,0,Designer Studio Starry
40.8,0.495,0,Designer Studio Starry
40.8,0.495,0,Designer Studio Starry
40.8,0.495,0,Designer Studio Starry
40.8,0.5,0,Designer Studio Starry
40.9,0.5,0,Designer Studio Starry
40.8,0.505,0,Designer Studio Starry
40.8,0.505,0,Designer Studio Starry
40.8,0.51,0,Designer Studio Starry
40.8,0.51,0,Designer Studio Starry
40.8,0.515,0,Designer Studio Starry
40.8,0.515,0,Designer Studio Starry
40.8,0.52,0,Designer Studio Starry
40.8,0.525,0,Designer Studio Starry
40.7,0.525,0,Designer Studio Starry
40.7,0.53,0,Designer Studio Starry
40.7,0.535,0,Designer Studio Starry
40.6,0.535,0,Designer Studio Starry
40.6,0.54,0,Designer Studio Starry
40.7,0.545,0,Designer Studio Starry
40.6,0.55,0,Designer Studio Starry
40.7,0.555,0,Designer Studio Starry
40.6,0.555,0,Designer Studio Starry
40.6,0.56,0,Designer Studio Starry
40.7,0.565,0,Designer Studio Starry
40.7,0.57,0,Designer Studio Starry
40.6,0.57,0,Designer Studio Starry
40.7,0.575,0,Designer Studio Starry
40.7,0.575,0,Designer Studio Starry
40.8,0.58,0,Designer Studio Starry
40.8,0.58,0,Designer Studio Starry
40.9,0.585,0,Designer Studio Starry
40.8,0.585,0,Designer Studio Starry
40.8,0.59,0,Designer Studio Starry
40.8,0.595,0,Designer Studio Starry
40.8,0.595,0,Designer Studio Starry
40.9,0.6,0,Designer Studio Starry
